Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-0.01777581311762333,1.9238247871398926,78.86422729492188,0.45290772423820064,0.834446880477351,-92.11104986816387,-1.1344719,0.8139059,-0.9724361,7.7510953,-10.227072,-2.2394755,-1.5973859,-2.0678318,-6.1817656,11.697775,-9.791871,-1.0851481,-0.8983566,-0.5059193,5.3216887,7.223909,17.007986,-28.891237,39.57947,5.646603,3.315982,-2.3223574,1.8196788,-19.149464,42.80474,41.26636,0.58984476,4.633749,-4.907067
1,-0.01730288192629814,1.921282172203064,78.8628158569336,0.45880301575309307,0.8323202012838328,-92.10225276511713,-1.1394615,0.80255294,-0.9798983,7.7591467,-10.2322445,-2.2286966,-1.6050762,-2.0798566,-6.189706,11.715428,-9.804498,-1.0772879,-0.8859211,-0.53091246,5.367135,7.2666764,16.991522,-28.69938,39.91079,5.490976,3.3543234,-2.0033271,1.8443569,-19.16245,42.70948,41.55048,0.5344299,4.675599,-5.0901785
2,-0.01741570234298706,1.9203709363937378,78.8651123046875,0.46440501348654806,0.8308379941780887,-92.09368262239741,-1.1440039,0.7911558,-0.98733675,7.764286,-10.235908,-2.2177122,-1.6114535,-2.0918124,-6.1979413,11.7280035,-9.814541,-1.0692042,-0.90120465,-0.54595023,5.4067383,7.303864,16.92991,-28.466953,40.271835,5.3742056,3.389661,-1.6854049,1.8388023,-19.166689,42.642536,41.862663,0.4732904,4.7153754,-5.273954
3,-0.014598059467971325,1.9236592054367065,78.86725616455078,0.47007973616545845,0.8274162036261569,-92.08461730487785,-1.1493281,0.7800196,-0.99495167,7.7763166,-10.24304,-2.2069774,-1.6189929,-2.1037204,-6.2059035,11.749121,-9.828903,-1.061511,-0.91149795,-0.5560439,5.437868,7.314124,16.84284,-28.248787,40.686016,5.2288733,3.4210324,-1.3663554,1.82609,-19.154305,42.577374,42.21743,0.42641056,4.758846,-5.459295
4,-0.010588453151285648,1.9278178215026855,78.86770629882812,0.47468842942799994,0.8190748275175465,-92.07443492596047,-1.1482607,0.77053916,-1.0030884,7.789291,-10.250381,-2.1971529,-1.6164404,-2.1136765,-6.2138734,11.765909,-9.840725,-1.0547568,-0.9191444,-0.5636652,5.468906,7.3055425,16.748571,-28.038902,41.148033,5.010717,3.4447796,-1.0581666,1.8087348,-19.13054,42.51562,42.62257,0.41501883,4.812452,-5.642629
5,-0.021645912900567055,1.9133193492889404,78.86925506591797,0.4783511514815965,0.8025137667186092,-92.06206129483796,-1.1388563,0.76327527,-1.0118718,7.8080115,-10.260462,-2.1876125,-1.6004741,-2.121216,-6.2221303,11.782056,-9.851742,-1.0481212,-0.92695105,-0.5695166,5.504685,7.2784686,16.647573,-27.831472,41.66776,4.6862454,3.4529226,-0.7551257,1.7837739,-19.097694,42.463036,43.091084,0.45457307,4.8692913,-5.825615
6,-0.019638750702142715,1.9109431505203247,78.8669204711914,0.48143792789280615,0.7801406362856721,-92.04799676117594,-1.1227797,0.7573803,-1.0210606,7.8295336,-10.272036,-2.1782794,-1.5746512,-2.1273496,-6.2305007,11.796739,-9.861588,-1.0416176,-0.9356252,-0.57366544,5.542836,7.2373586,16.539213,-27.625082,42.23114,4.2872715,3.448891,-0.45620486,1.7516581,-19.056337,42.41854,43.608322,0.53086054,4.9287624,-6.0085707
7,-0.013120627962052822,1.9150007963180542,78.86460876464844,0.4841439497683306,0.7576293628908365,-92.03439067275312,-1.1067888,0.751879,-1.0305707,7.85234,-10.283827,-2.1705227,-1.5481879,-2.1329274,-6.2383842,11.811491,-9.871692,-1.0370227,-0.9430194,-0.57686454,5.5788383,7.1927004,16.436327,-27.42575,42.80436,3.8647788,3.446764,-0.17758651,1.7225581,-19.012236,42.373615,44.139694,0.6223503,5.0068245,-6.1874228
8,-0.011776333674788475,1.9184863567352295,78.86595153808594,0.486821639807359,0.7405931499074768,-92.02292264401167,-1.0942521,0.74551123,-1.0401446,7.868492,-10.291953,-2.1655836,-1.5301152,-2.1393056,-6.245223,11.82774,-9.883338,-1.0361339,-0.95132416,-0.5773783,5.6040325,7.147813,16.334856,-27.234144,43.371853,3.475958,3.4603646,0.06623389,1.6966845,-18.964647,42.327034,44.66846,0.708371,5.1191316,-6.359304
9,-0.010438386350870132,1.9215846061706543,78.86553955078125,0.48992026175183556,0.7312563778361153,-92.01481189835843,-1.0869699,0.737295,-1.0503489,7.876776,-10.295158,-2.1646087,-1.5251989,-2.147382,-6.249801,11.84874,-9.898503,-1.0418814,-0.95511556,-0.5781732,5.62181,7.1113925,16.25187,-27.049475,43.918274,3.0872893,3.49634,0.28062257,1.6851052,-18.92246,42.274933,45.180943,0.79258716,5.2705417,-6.525661
