Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-0.1123780608177185,2.896758556365967,78.68887329101562,1.2108248598013023,-2.044682784940784,-92.15957314503711,3.6724772,5.181556,14.162728,11.026778,-12.773434,-4.3936715,-1.4972814,-10.28875,-13.99561,21.770723,-16.70892,5.9807405,-1.4901632,0.5781409,10.236269,-0.29558754,16.064737,-31.327719,58.180943,-10.581282,2.8243876,1.3116747,2.1304336,-15.075053,17.630362,58.075607,-10.732129,14.864061,-8.08884
1,-0.12507641315460205,2.9232914447784424,78.6849136352539,1.2333689800035164,-1.949518297976953,-92.09511516114331,3.3904095,5.1868534,14.086558,11.297558,-12.811139,-4.3631444,-1.716233,-10.341664,-14.03758,21.98835,-16.774338,5.8977537,-1.5950468,0.55732137,10.17356,-0.28241324,16.083971,-31.313522,58.16722,-10.560835,2.8197248,1.2976317,2.230667,-15.069595,17.595938,57.94381,-10.842174,14.871153,-8.068296
2,-0.13743680715560913,2.956389904022217,78.68262481689453,1.255102264317027,-1.853623039342367,-92.02390096346006,3.1049309,5.1933064,14.004067,11.572024,-12.850396,-4.3300924,-1.930428,-10.393305,-14.087009,22.200708,-16.840534,5.811676,-1.6812851,0.5397571,10.124531,-0.2943572,16.103603,-31.31963,58.159958,-10.538836,2.8139424,1.2834549,2.2223227,-15.061028,17.58663,57.908253,-10.889982,14.877367,-8.047618
3,-0.15130242705345154,2.984938144683838,78.68045043945312,1.278880610804028,-1.7596808282889804,-91.96631790880895,2.8278773,5.1960416,13.934485,11.8367195,-12.885273,-4.3022323,-2.154152,-10.447826,-14.120621,22.4239,-16.905365,5.7317824,-1.758087,0.5193315,10.079448,-0.30902633,16.119587,-31.323956,58.15535,-10.5205555,2.8074682,1.2731583,2.207073,-15.051696,17.58197,57.87721,-10.933237,14.884307,-8.031993
4,-0.16589194536209106,3.0148935317993164,78.67549133300781,1.3148083328616231,-1.6703783904497949,-91.94302089476348,2.5711966,5.190911,13.897252,12.077925,-12.909206,-4.2875457,-2.4028249,-10.5098505,-14.115323,22.67657,-16.96825,5.6674795,-1.8052268,0.48646623,10.050642,-0.32275656,16.145296,-31.326508,58.134163,-10.512961,2.8023677,1.2701987,2.1763508,-15.0340395,17.576374,57.85139,-10.971713,14.892013,-8.0269985
5,-0.17625248432159424,3.0434627532958984,78.6670913696289,1.3702440849136872,-1.583341681681194,-91.96957682882157,2.353255,5.1668267,13.908785,12.265414,-12.911884,-4.2915745,-2.6833482,-10.586782,-14.053279,22.962744,-17.029482,5.634178,-1.8097887,0.4378184,10.028297,-0.3358896,16.169785,-31.331001,58.1073,-10.521383,2.7959633,1.2795659,2.139501,-15.015426,17.573547,57.827644,-11.000872,14.900159,-8.036959
6,-0.1884397268295288,3.0843703746795654,78.65706634521484,1.4393617820034739,-1.4981611558531602,-92.03170190581916,2.1627018,5.129535,13.95525,12.415601,-12.899486,-4.3088884,-2.9865317,-10.673958,-13.950615,23.272343,-17.088896,5.6226697,-1.7965767,0.37637976,9.999467,-0.33554292,16.19259,-31.327204,58.077465,-10.541038,2.7892692,1.2967104,2.1833167,-14.993958,17.543585,57.732895,-11.076796,14.908753,-8.05563
7,-0.20312131941318512,3.1414382457733154,78.6454086303711,1.5059792843480184,-1.420550605609633,-92.10457463799936,1.9650235,5.1007905,14.009746,12.588486,-12.893543,-4.3305078,-3.303591,-10.756363,-13.835201,23.603155,-17.145824,5.6048784,-1.7698916,0.3205712,9.99949,-0.35795048,16.211075,-31.321115,58.050518,-10.56094,2.7823257,1.3151369,2.1868691,-14.974887,17.517519,57.656635,-11.1347275,14.919455,-8.07573
8,-0.22187349200248718,3.208090305328369,78.63819885253906,1.5545416270560275,-1.3560760586995002,-92.1638546051378,1.728312,5.1005282,14.045956,12.837891,-12.911856,-4.3474026,-3.626423,-10.820151,-13.7346,23.953917,-17.20027,5.5528193,-1.7192113,0.29007882,10.069015,-0.4505878,16.219336,-31.328707,58.03552,-10.566712,2.7752993,1.3289506,1.986328,-14.969826,17.536339,57.725273,-11.078585,14.934604,-8.089666
9,-0.24085822701454163,3.2858333587646484,78.63089752197266,1.576954977918209,-1.3123756659305286,-92.19604378859812,1.4309117,5.142351,14.047233,13.203437,-12.965885,-4.356509,-3.9534593,-10.8574915,-13.663348,24.331375,-17.25035,5.448301,-1.7390894,0.2780203,10.185744,-0.5594473,16.231497,-31.284426,58.02468,-10.563726,2.770694,1.3302375,1.864703,-14.959864,17.53026,57.68445,-11.104279,14.959816,-8.093153
