Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,1.844072937965393,0.47432422637939453,75.82744598388672,6.082204178852288,4.531042693284037,179.75307584011918,-4.2833543,0.5871634,17.505129,24.623165,-20.918617,-4.43496,-36.707832,-17.522306,-12.63628,74.73569,-13.542892,-1.8392128,-10.185771,-1.6119223,2.7588916,8.221839,29.973,-22.331732,-22.315586,-0.21427955,14.850702,14.588421,16.705881,-23.679064,27.808407,-4.76167,-27.073906,4.255616,-16.31943
1,1.0424848794937134,0.45645636320114136,76.13172149658203,6.0439713554609495,4.610578159552565,179.45698802426145,-2.6430855,0.31114146,17.715834,22.41124,-19.49453,-4.667152,-36.150463,-17.164078,-13.781859,70.75536,-13.613775,-1.6631095,-10.665899,-1.5957514,2.549488,7.8273835,30.122112,-22.262762,-22.596209,-0.48894382,14.855401,14.482865,17.215862,-23.802462,27.838297,-5.285613,-27.351086,4.3270636,-16.047808
2,0.243628591299057,0.43140357732772827,76.41143035888672,5.987134156592777,4.6918623086552085,179.16196341589446,-0.9784533,0.043648656,17.912876,20.146048,-18.08143,-4.898792,-35.5889,-16.777575,-14.945235,66.743706,-13.745151,-1.4975148,-11.160996,-1.5622251,2.373594,7.4770083,30.34195,-22.16851,-22.975534,-0.81193286,14.857339,14.39409,17.779802,-24.002806,27.856522,-5.922459,-27.61675,4.4088416,-15.778684
3,-0.5732139348983765,0.4068619906902313,76.68943786621094,5.94332390079378,4.775942841326856,178.87197162467325,0.64857656,-0.2326176,18.088839,17.948017,-16.633444,-5.1209507,-34.97175,-16.340261,-16.097683,62.6706,-13.738399,-1.2594448,-11.645238,-1.5304989,2.2049046,7.224907,30.598146,-22.050194,-23.449919,-1.1198527,14.860395,14.310884,18.39563,-24.246634,27.848598,-6.629016,-27.831366,4.466898,-15.507636
4,-1.3986659049987793,0.39284783601760864,76.95233154296875,5.9488038499826015,4.863795930646097,178.59038690748756,2.1715477,-0.5374342,18.236576,15.949005,-15.106429,-5.324356,-34.253983,-15.8441305,-17.197777,58.515354,-13.401264,-0.8786654,-12.091256,-1.5250661,2.0180006,7.065664,30.858404,-21.91499,-23.96287,-1.3716419,14.867622,14.223284,19.063711,-24.504093,27.798338,-7.367413,-27.953712,4.467483,-15.231075
5,-2.2311813831329346,0.38841482996940613,77.20352935791016,6.020014893742964,4.95549284413263,178.3189062457059,3.6190763,-0.9033913,18.363592,14.087221,-13.42492,-5.4945483,-33.39975,-15.27903,-18.231619,54.14436,-12.567525,-0.28967896,-12.497334,-1.5509468,1.7936927,7.1163564,31.100199,-21.761503,-24.588867,-1.4909323,14.875583,14.119169,19.784224,-24.756544,27.692408,-8.105005,-27.968287,4.3774676,-14.930762
6,-3.0787479877471924,0.39329493045806885,77.43758392333984,6.140720255011324,5.049559946240237,178.05641618229487,5.0135846,-1.314775,18.468857,12.320116,-11.630394,-5.6439204,-32.443676,-14.671025,-19.196867,49.59461,-11.3801775,0.43406978,-12.879121,-1.6017593,1.5415473,7.1354165,31.31716,-21.612629,-25.126371,-1.5756179,14.883703,14.002487,20.53283,-24.997139,27.55003,-8.831153,-27.907125,4.2241154,-14.614832
7,-3.932797908782959,0.4057973027229309,77.65318298339844,6.300739551909401,5.144512137095382,177.80058505073262,6.2779036,-1.7241337,18.536058,10.81483,-9.861231,-5.8059516,-31.451756,-14.071887,-20.072193,45.12492,-10.111067,1.1563091,-13.214056,-1.6796261,1.2682934,7.2381525,31.50146,-21.464773,-25.698215,-1.5933782,14.902186,13.882719,21.297531,-25.214361,27.383202,-9.546544,-27.801842,4.0635195,-14.31643
8,-4.78289270401001,0.4235502779483795,77.84156799316406,6.489746291336777,5.238295087279503,177.54777485198403,7.338552,-2.0876737,18.55213,9.733083,-8.251706,-6.014724,-30.488941,-13.524851,-20.856113,40.99889,-9.029497,1.7509949,-13.487301,-1.7912742,0.9845813,7.3421526,31.64922,-21.324482,-26.249588,-1.5914426,14.940082,13.770863,22.053118,-25.396864,27.21566,-10.245951,-27.684643,3.9523685,-14.069304
9,-5.6322479248046875,0.455235093832016,78.00548553466797,6.717217299457826,5.335006329653931,177.30227783736717,8.209714,-2.4259026,18.52307,9.032316,-6.768653,-6.302642,-29.546833,-13.001288,-21.536562,37.168293,-8.167332,2.2592444,-13.694158,-1.9462314,0.67013013,7.4394474,31.75783,-21.209059,-26.771467,-1.5635269,15.01494,13.680422,22.81775,-25.534592,27.049213,-10.929607,-27.54911,3.908617,-13.887486
