Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,2.082084894180298,1.0893194675445557,74.57693481445312,4.782876335752754,-1.0546544929581305,-169.7157784789011,7.487771,0.7227096,25.494015,27.308569,-30.148888,-5.9091206,-37.92016,-31.950449,-15.504521,61.537106,-7.393156,2.3998542,-8.49069,-5.85747,18.889172,1.6414354,42.54348,-19.630503,-24.02732,5.887292,1.7879225,-3.0384085,16.690868,-23.551893,7.709823,52.579338,-5.7253857,-1.1045246,4.010017
1,2.1282153129577637,1.9539637565612793,74.57945251464844,5.127626871505036,-0.9236854742252675,-170.10717509351025,7.190061,1.2425674,25.795189,27.47613,-29.696234,-6.6504993,-38.149006,-33.88781,-15.251936,60.640854,-6.9360194,0.7506611,-7.4400616,-6.0889964,19.037174,4.077821,42.216793,-18.94518,-24.717537,6.247411,1.9025592,-3.2435527,15.399002,-23.80223,7.8763285,51.3998,-6.230289,-0.95282465,3.8222458
2,2.168257713317871,2.839524030685425,74.59330749511719,5.483055067841406,-0.7985657714244432,-170.50375829657668,6.893332,1.7507055,26.097126,27.668488,-29.268394,-7.386939,-38.45769,-35.859413,-15.034132,59.778065,-6.5638094,-0.9269759,-6.5221543,-6.2651906,19.172165,6.3648205,41.640087,-18.21998,-25.165346,6.634698,1.9981989,-3.5204344,14.050257,-24.240904,8.1697035,50.22828,-6.660267,-0.7979901,3.6588113
3,2.190809965133667,3.7304885387420654,74.62126922607422,5.8064903196889714,-0.6528301154369774,-170.88520705572074,6.597828,2.2901592,26.373306,27.822319,-28.811983,-8.137157,-38.79776,-37.67315,-14.749132,58.84125,-6.1609516,-2.5274656,-5.6667123,-6.3392506,19.24149,8.577206,40.88319,-17.548038,-25.531128,7.0115657,2.0789108,-3.81847,12.753868,-24.795732,8.469124,49.005413,-7.085757,-0.63102436,3.5352137
4,2.2000069618225098,4.637218475341797,74.66647338867188,6.055593486289963,-0.46003111721778284,-171.23131939614106,6.303559,2.9027236,26.594938,27.872252,-28.271832,-8.918314,-39.11328,-39.144096,-14.3010435,57.72816,-5.6038423,-3.948924,-4.8745313,-6.281458,19.203033,10.840182,40.006943,-16.90712,-25.979347,7.3285947,2.1459048,-4.1059456,11.557327,-25.427248,8.719145,47.68648,-7.569228,-0.44200227,3.4686913
5,2.1849329471588135,5.5447306632995605,74.72885131835938,6.21437083409484,-0.20070505922201892,-171.5581534056155,6.005925,3.6006548,26.773003,27.79415,-27.639893,-9.731579,-39.391594,-40.267624,-13.743953,56.402573,-4.8230743,-5.2717557,-4.1373286,-6.095123,19.044233,13.157719,39.05318,-16.264992,-26.542622,7.5301876,2.2075558,-4.38812,10.440359,-26.120028,8.92051,46.25838,-8.170764,-0.22648384,3.4701858
6,2.1550939083099365,6.454745769500732,74.80658721923828,6.308006628551781,0.1065320396449605,-171.87109271731165,5.7052326,4.3592587,26.913973,27.624426,-26.941265,-10.567311,-39.651745,-41.133297,-13.108604,54.941166,-3.8945062,-6.5209365,-3.4425342,-5.8249793,18.796923,15.523335,38.044853,-15.62413,-27.207903,7.641797,2.265435,-4.6619744,9.377403,-26.8592,9.096841,44.74763,-8.8531885,0.0075000525,3.5242808
7,2.097773313522339,7.38686990737915,74.89434814453125,6.354753012853082,0.43117320554956057,-172.13293669491225,5.40745,5.163577,26.979225,27.386549,-26.168484,-11.424746,-39.871876,-41.700836,-12.262318,53.409325,-2.886223,-7.513304,-2.8130932,-5.5013433,18.488783,17.885416,37.00868,-15.019329,-27.922344,7.670038,2.309524,-4.8911715,8.382695,-27.622305,9.252604,43.17708,-9.523863,0.25232753,3.6098654
8,2.0234439373016357,8.3369779586792,74.98519897460938,6.374037798063846,0.7421835436293225,-172.30667983926722,5.117384,5.9988756,26.92982,27.107344,-25.316565,-12.304777,-40.021534,-41.933826,-11.062763,51.86462,-1.8557295,-8.06391,-2.266946,-5.152736,18.149504,20.185293,35.976704,-14.487835,-28.62466,7.621899,2.3302567,-5.0395274,7.4791694,-28.384281,9.38117,41.56532,-10.09587,0.5009915,3.7034714
9,1.9249645471572876,9.304854393005371,75.08084869384766,6.363894953419396,1.0254543013830526,-172.37745311032364,4.8361654,6.8664346,26.73819,26.806273,-24.392628,-13.205244,-40.024265,-41.840694,-9.492394,50.260807,-0.7288963,-8.044081,-1.8080931,-4.780457,17.787199,22.456085,34.97361,-14.023144,-29.342354,7.452519,2.3278983,-5.077536,6.684438,-29.132227,9.457299,39.865677,-10.604077,0.7820627,3.813446
10,1.8214629888534546,10.295886993408203,75.1789321899414,6.316904912119114,1.2989448295168209,-172.36728923229194,4.5567408,7.769461,26.425417,26.46254,-23.393932,-14.126309,-39.869698,-41.450855,-7.6217537,48.585262,0.5038648,-7.5810905,-1.4161774,-4.3820167,17.392717,24.730526,34.0114,-13.597484,-30.112055,7.1627564,2.3089712,-5.024189,5.989755,-29.862114,9.477344,38.07873,-11.083912,1.0884681,3.944699
11,1.704689621925354,11.30981159210205,75.27436828613281,6.251320139543869,1.5812525402331712,-172.28901496351946,4.268336,8.673866,26.013971,26.030277,-22.295477,-15.000033,-39.618378,-40.781963,-5.435718,46.933556,1.6936518,-6.8673053,-1.076951,-3.9838386,16.969479,26.954344,33.10228,-13.213901,-30.885075,6.835577,2.2730992,-4.917388,5.3618307,-30.564869,9.474002,36.313446,-11.441287,1.3611209,4.0650206
12,1.580332636833191,12.329017639160156,75.37538146972656,6.330842067383623,1.9345985353415827,-172.06617801335358,3.9170053,9.211712,25.399252,25.245474,-20.95183,-15.000033,-39.45414,-40.03547,-2.8078063,45.396862,2.7191107,-6.0559726,-0.8590646,-3.746431,16.4678,29.067635,32.259274,-12.876176,-31.606764,6.554168,2.2203088,-4.796239,4.768484,-31.224909,9.480887,34.67907,-11.583543,1.5414693,4.1390643
13,1.4479286670684814,13.377848625183105,75.47784423828125,6.410939099362646,2.3222300152998385,-171.7843136398164,3.5502625,9.737037,24.72582,24.321783,-19.48355,-15.000033,-39.27281,-38.94449,0.3290749,44.059956,3.4801073,-5.4202943,-0.674415,-3.5364742,15.927264,31.080866,31.49971,-12.585666,-32.278435,6.328443,2.1548858,-4.645086,4.199585,-31.837921,9.504416,33.200134,-11.423462,1.5947963,4.1461444
14,1.3060965538024902,14.4561128616333,75.58190155029297,6.483433358632022,2.7290667177867967,-171.43778252090607,3.1811807,10.262174,23.983526,23.273891,-17.899136,-15.000033,-38.956055,-37.55678,3.8610587,42.868156,4.040141,-4.8078628,-0.52828825,-3.3447845,15.359018,33.031654,30.831356,-12.324312,-32.934296,6.1129165,2.076021,-4.4489284,3.6714528,-32.40241,9.522656,31.823519,-11.033619,1.5584648,4.1055765
