Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-1.112313985824585,1.9487502574920654,77.44693756103516,4.984896885458756,-1.031768761496041,-71.16909967195559,-16.135614,-0.1828152,3.1339402,28.668386,-4.399338,-10.877568,10.717328,-3.829724,-13.641782,53.939934,16.402466,3.2392452,4.0179386,-2.6921408,9.439035,31.329363,20.860453,-12.723832,-25.371874,6.6911464,-9.624751,0.7904251,7.4233055,-17.552048,23.582327,-36.057144,-9.324648,-7.5299244,8.734133
1,-0.7576353549957275,1.1124213933944702,76.90542602539062,5.284932114305726,-1.112841870078703,-71.48398467858934,-16.284569,-0.2395153,3.9722166,31.234034,-7.398433,-10.047072,9.458538,-5.0756044,-13.858353,57.668526,14.016451,1.8783998,3.3460648,-2.818757,9.7284565,29.611956,21.064577,-13.346013,-24.464489,6.449934,-9.636917,0.30952743,7.8215055,-17.354597,22.82553,-35.78849,-10.409842,-7.5904307,8.14555
2,-0.42613688111305237,0.31281498074531555,76.35578155517578,5.585180375776259,-1.2036054892693773,-71.78585808122256,-16.44298,-0.30745566,4.7719073,33.851715,-10.44613,-9.191306,8.238149,-6.270367,-13.990751,61.419544,11.596789,0.5390505,2.7752287,-2.995357,10.005896,27.887438,21.394608,-14.038142,-23.581657,6.138147,-9.636943,-0.13890067,8.225993,-17.00724,21.969995,-35.453518,-11.535795,-7.6446357,7.600184
3,-0.11079466342926025,-0.47038084268569946,75.81633758544922,5.858038523804584,-1.2767785756846892,-72.11648373168144,-16.544384,-0.35260662,5.506227,36.321384,-13.392845,-8.40964,6.9822206,-7.4143953,-14.062737,65.09517,9.228433,-0.74550885,2.2517912,-3.1857765,10.257866,26.114414,21.81072,-14.782815,-22.704449,5.8708897,-9.62615,-0.52090245,8.605528,-16.546923,21.105797,-35.035748,-12.636827,-7.6962585,7.0805826
4,0.18148450553417206,-1.2354894876480103,75.295654296875,6.078255575204624,-1.3050931040969025,-72.51689176479081,-16.526474,-0.3358902,6.159364,38.45324,-16.09358,-7.8018003,5.6147814,-8.528454,-14.098588,68.60023,6.9927206,-1.9518526,1.7722796,-3.3486686,10.468396,24.189388,22.29267,-15.624884,-21.766521,5.76423,-9.604283,-0.7847361,8.966167,-15.997011,20.262661,-34.53347,-13.644982,-7.752957,6.5836973
5,0.4695780575275421,-1.9854333400726318,74.80072784423828,6.22520843092912,-1.2762358670038962,-73.00752559188982,-16.391304,-0.22278818,6.711424,40.230476,-18.539791,-7.427652,4.112745,-9.677221,-14.141211,71.96577,4.9038553,-3.0681052,1.343632,-3.4471383,10.633943,22.033712,22.828966,-16.614208,-20.710175,5.7999983,-9.559402,-0.9048112,9.292524,-15.373612,19.431509,-33.9179,-14.555023,-7.8302727,6.1002483
6,0.7420563697814941,-2.7350592613220215,74.34664916992188,6.320837630880816,-1.2064904137171029,-73.5622030886435,-16.170065,-0.03776357,7.197227,41.75345,-20.804762,-7.2214236,2.5142634,-10.8619175,-14.168813,75.2366,2.906173,-4.1292996,0.95902604,-3.5086856,10.771936,19.714025,23.398413,-17.71883,-19.592615,5.9356747,-9.498053,-0.9145134,9.604498,-14.690868,18.601025,-33.232006,-15.394474,-7.9224477,5.6287804
7,1.0065094232559204,-3.488516092300415,73.94546508789062,6.405100877311395,-1.1113486348313804,-74.15180723073664,-15.841865,0.17084184,7.685444,43.0012,-22.860327,-7.0959496,0.83026665,-12.001745,-14.10963,78.33094,0.98394984,-5.17584,0.5959287,-3.5899246,10.894301,17.342243,23.974102,-18.861612,-18.52194,6.2499113,-9.4472475,-0.8511183,9.951066,-13.963108,17.797747,-32.565105,-16.14558,-8.00612,5.1818132
8,1.2555605173110962,-4.23998498916626,73.59916687011719,6.516377453558657,-1.0051808626393155,-74.74790553163142,-15.385241,0.3512553,8.239162,43.950077,-24.676878,-6.964621,-0.93410677,-12.997518,-13.89896,81.15995,-0.8652012,-6.2385397,0.22595267,-3.7428544,11.007936,15.026021,24.531475,-19.96333,-17.581305,6.824592,-9.434554,-0.756964,10.371372,-13.203687,17.058554,-31.996883,-16.79038,-8.057341,4.7709184
9,1.4829126596450806,-5.003438949584961,73.31083679199219,6.685242445841218,-0.8863376899235451,-75.35997360729993,-14.770708,0.47904742,8.927135,44.553627,-26.259565,-6.7966084,-2.8255804,-13.852041,-13.502438,83.76105,-2.6466455,-7.3953657,-0.15988904,-3.9902146,11.111,12.714828,25.069836,-21.054462,-16.686083,7.8357444,-9.490595,-0.6166556,10.873334,-12.41124,16.39127,-31.51586,-17.282759,-8.057459,4.3673215
