Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.6355692744255066,-2.2860183715820312,74.51209259033203,4.188934017453741,-0.5615253635625166,92.60535378893269,-19.046734,-8.431828,2.4693763,23.690548,-3.4358866,2.7332873,9.94585,-14.820042,-11.721041,75.449165,-2.6873538,3.2753963,3.7865274,-6.031566,5.6655297,23.13998,42.32592,-30.767084,0.73851895,18.084185,8.319272,10.821761,1.181921,-27.446095,42.002647,-12.814824,-13.507027,8.408297,-4.8346276
1,0.7362013459205627,-0.6585536003112793,73.89704132080078,5.0038866593799165,-0.406642039212427,93.28916635364624,-19.808828,-9.554892,2.6219525,27.60284,-6.586248,3.0078132,7.8593726,-16.58964,-11.50789,79.32734,-5.37216,2.407263,3.0471315,-7.2836843,6.066096,21.548979,42.06251,-30.634506,0.6051057,17.98935,8.133369,10.926401,2.2999518,-27.353886,40.957573,-10.809643,-15.762843,8.804298,-6.621638
2,0.8114940524101257,0.9392450451850891,73.35303497314453,5.848436870382774,-0.2676310317402234,93.98509105446928,-20.7018,-10.7066555,2.8046503,31.771702,-9.850426,3.299386,5.803386,-18.348808,-11.19757,83.29906,-8.091015,1.5718077,2.2605143,-8.533283,6.3951645,19.659737,41.543736,-30.633606,0.95564723,17.848217,7.94469,11.093676,3.2525334,-27.11808,40.024662,-8.556185,-17.941408,9.29925,-8.441711
3,0.8467630743980408,2.544679880142212,72.87968444824219,6.623688705593052,-0.12572390119724441,94.66495420406272,-21.427904,-11.772403,2.911734,35.604248,-12.969468,3.5518558,3.6888988,-19.96758,-10.8051405,87.056244,-10.794004,0.7517567,1.4322048,-9.660613,6.630841,17.734835,40.816135,-30.60498,1.3092152,17.832516,7.7561073,11.1663265,4.1307435,-26.768616,39.09778,-6.1475334,-20.282116,9.822936,-10.107686
4,0.8556342720985413,4.1551923751831055,72.46090698242188,7.235622439003718,0.04066173184186948,95.30146937857975,-21.68138,-12.647384,2.8341942,38.49113,-15.675176,3.7091553,1.4130026,-21.324804,-10.346963,90.29061,-13.419882,-0.07136808,0.5697527,-10.530846,6.758638,15.697055,39.92456,-30.562561,1.4365402,17.953072,7.571839,10.996996,5.035199,-26.343203,38.06361,-3.6807306,-23.036968,10.302348,-11.42661
5,0.8751333951950073,5.753213405609131,72.11808013916016,7.67328183140865,0.26977619230825756,95.95441881719127,-21.383059,-13.3517685,2.4866886,40.20653,-17.87158,3.7470467,-1.1153008,-22.444586,-9.853924,93.00945,-16.058985,-0.965084,-0.33104718,-11.097752,6.7893276,13.505925,38.885975,-30.517267,1.2351402,18.259453,7.362047,10.457769,6.144966,-25.838594,36.6679,-1.0920117,-26.804249,10.725614,-12.31662
6,0.9306327700614929,7.331117153167725,71.88153839111328,7.9854352530240424,0.5437381126546121,96.61554536818026,-20.679037,-13.928234,1.9465408,41.081673,-19.702742,3.703567,-3.8369606,-23.369797,-9.320776,95.35235,-18.700275,-1.9031378,-1.2496074,-11.436627,6.74403,11.170238,37.723186,-30.485804,0.8361498,18.69064,7.131022,9.6612835,7.3954067,-25.260958,35.01473,1.5781926,-31.293299,11.110848,-12.883835
7,0.9965922832489014,8.939596176147461,71.77378845214844,8.163408633638822,0.8024510479999625,97.1546474044376,-19.603336,-14.301699,1.3487233,41.34454,-21.2606,3.6163032,-6.6270313,-24.025644,-8.733146,97.204735,-21.12127,-2.7756836,-2.1161513,-11.602078,6.6367645,8.7844925,36.4824,-30.467382,0.27980107,19.165741,6.9370666,8.820669,8.568597,-24.687925,33.49546,4.039073,-35.40795,11.408157,-13.244229
8,1.0675818920135498,10.569171905517578,71.76111602783203,8.197071497035681,0.9851868850208275,97.4410142164237,-18.189222,-14.400647,0.8307239,41.21411,-22.631895,3.5192251,-9.350783,-24.349312,-8.093975,98.45001,-23.096672,-3.4779391,-2.856345,-11.657587,6.495107,6.454598,35.227005,-30.450413,-0.41843736,19.610838,6.8426967,8.142304,9.493075,-24.258244,32.484608,5.955264,-38.033184,11.573331,-13.542947
9,1.1301480531692505,12.206282615661621,71.8266830444336,8.029355852562368,1.0442658879792073,97.36691468252847,-16.353352,-14.107617,0.45763695,40.690224,-23.91482,3.4026384,-12.002744,-24.25293,-7.381068,99.03648,-24.55669,-4.0270433,-3.3856533,-11.579485,6.395369,4.2459784,33.994522,-30.38771,-1.4009868,19.953857,6.868559,7.6904964,10.179719,-24.11267,32.086655,7.0453467,-38.592712,11.53831,-13.778798
10,1.1873040199279785,13.873579978942871,71.96994018554688,7.683217413392039,1.0199995245150395,97.02569178516161,-14.110707,-13.489061,0.17054136,39.67072,-25.037878,3.2569935,-14.612359,-23.7944,-6.661836,99.02609,-25.615955,-4.4657726,-3.762039,-11.340737,6.3480835,2.1391053,32.80032,-30.270689,-2.732719,20.245724,6.9798746,7.3458195,10.818431,-24.30025,32.07847,7.368961,-37.73636,11.32388,-13.903367
11,1.221886396408081,15.544581413269043,72.17053985595703,7.270071687755518,0.9831331191573557,96.5891008490645,-11.646397,-12.748209,-0.08717183,38.230118,-25.836212,3.1031704,-17.09531,-23.15179,-6.0685754,98.47304,-26.329973,-4.7344594,-4.1055627,-11.0094385,6.279818,0.097585976,31.67793,-30.175716,-4.2767606,20.595577,7.1614523,7.039745,11.515383,-24.804306,32.317886,7.128288,-36.2006,11.030616,-13.991429
12,1.2380067110061646,17.194358825683594,72.41390991210938,6.900564083171296,1.0086795179084014,96.2290849395837,-9.140964,-12.087837,-0.39235875,36.436783,-26.140734,2.9508555,-19.384094,-22.522541,-5.704504,97.4327,-26.753876,-4.772571,-4.533218,-10.66564,6.110425,-1.9111383,30.670916,-30.184038,-5.8972754,21.103544,7.3973627,6.702343,12.350749,-25.561325,32.65072,6.5718813,-34.733044,10.760601,-14.133084
13,1.2621166706085205,18.874126434326172,72.71117401123047,6.600689398529428,1.120182937421205,95.96401725749192,-6.526906,-11.556776,-0.7905269,34.085564,-25.9022,2.765004,-21.50612,-21.941242,-5.5520396,95.873245,-26.849276,-4.5120935,-5.0622673,-10.348573,5.7993593,-3.9018538,29.815601,-30.364597,-7.650316,21.859865,7.7319446,6.3293076,13.286497,-26.541832,33.14406,5.7208505,-33.33694,10.514054,-14.415358
