Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-0.022963669151067734,-1.7773137092590332,78.72370910644531,2.557143937751098,2.7514024023973063,75.75794009956807,-23.952747,-9.780669,6.7299542,20.458681,6.0847497,-12.227498,10.713685,5.1228485,-16.219372,22.446405,-7.817004,0.16769755,15.803734,-0.9251413,8.856472,49.625755,34.63933,-13.181579,-42.965725,0.62987036,-2.084769,-2.3460233,-2.0381818,-48.488827,20.190239,-41.191593,4.847818,-5.5727053,2.0738854
1,0.8520658016204834,-0.8925901055335999,78.83924865722656,2.245278824323757,2.6588860021882823,75.74232832042942,-23.063335,-9.950329,6.830221,19.274149,7.210059,-12.657263,10.429665,5.6962214,-15.368486,24.22207,-6.104911,1.5101366,15.874974,-0.8541776,8.903285,49.87994,34.359936,-13.338487,-43.61007,0.7258714,-2.1568046,-2.1252592,0.19020143,-48.21987,19.78034,-42.738052,4.536241,-5.5147743,2.2499142
2,1.7360312938690186,-0.007436382118612528,78.91227722167969,1.8874937714594038,2.567812635124944,75.71796212626273,-22.08854,-10.1224785,6.8413897,17.852222,8.454045,-13.384766,10.18996,6.4009466,-14.486775,25.892416,-4.3544054,2.8402839,15.862224,-0.76917374,8.897993,50.155296,33.8948,-13.430189,-44.14844,0.85766244,-2.233584,-1.9678524,2.0894055,-47.75341,19.654793,-44.11585,4.1453633,-5.4464984,2.5330575
3,2.622286319732666,0.8718984127044678,78.94857788085938,1.5780236791481772,2.4696265900527727,75.71306195694633,-21.286499,-10.261064,6.9802303,16.9287,9.453808,-13.527799,9.8815975,7.0590672,-13.6134615,27.715893,-2.7456455,4.3778114,15.688594,-0.7472547,8.890871,50.428436,33.30735,-13.500984,-44.63353,1.0893213,-2.2887266,-1.8403884,3.6581795,-47.145336,19.82369,-45.131973,3.7428625,-5.382946,2.816638
4,3.521888256072998,1.731346607208252,78.94706726074219,1.426778661108272,2.3558848052077113,75.7566411504439,-20.915733,-10.336833,7.497461,17.240812,9.835983,-12.19164,9.38505,7.4822106,-12.782064,29.972662,-1.4801235,6.3419967,15.274221,-0.8866705,8.951361,50.477673,32.65279,-13.576781,-44.948277,1.4125538,-2.292851,-1.7301214,4.9828663,-46.41625,20.230867,-45.661327,3.3674612,-5.335869,3.0335743
5,4.417165756225586,2.5699610710144043,78.901123046875,1.507052059993485,2.2250135941493587,75.876082002494,-21.253996,-10.337095,8.628374,19.410082,9.557431,-8.385589,8.710502,7.655535,-11.878404,32.658913,-0.47898102,9.174581,14.6160965,-1.2640356,9.106067,50.326202,31.954062,-13.689392,-45.149574,1.952189,-2.2243056,-1.6132649,6.1704454,-45.566982,20.817665,-45.719677,3.0520647,-5.3125663,3.1405728
6,5.298332691192627,3.385572910308838,78.81074523925781,1.6628671596564653,2.0623724544509874,76.02472393193418,-22.058208,-10.130781,10.206662,22.9046,8.746614,-2.7831275,7.9695044,7.8049726,-10.8937025,35.579487,0.31794062,12.625417,13.803983,-1.7270573,9.308682,50.038506,31.229467,-13.820675,-45.27119,2.637661,-2.1012917,-1.4926872,7.249668,-44.613598,21.54995,-45.418304,2.7715952,-5.3049164,3.1791441
7,6.172110080718994,4.182754993438721,78.66105651855469,1.676620505685826,1.8591294783736194,76.11303402084448,-22.846495,-9.554782,11.788203,26.78081,7.2639065,2.9358757,7.1796384,8.006279,-10.271176,38.72177,0.74152124,15.000033,12.926182,-2.05997,9.507681,49.62856,30.512226,-13.964805,-45.318073,3.2827337,-1.956726,-1.3852543,8.188102,-43.58523,22.387735,-44.75933,2.4916823,-5.302028,3.2074583
8,7.105093955993652,4.981466770172119,78.4166488647461,1.3051337203698468,1.6710559964995455,76.01855451545602,-23.352673,-8.458527,12.838057,30.372862,4.886497,6.987068,6.2884808,8.24313,-10.460782,42.043087,0.75153184,15.000033,12.11126,-2.0321178,9.600927,49.091232,29.844421,-14.118119,-45.27969,3.6968923,-1.8259562,-1.3034472,8.970659,-42.511574,23.279055,-43.756485,2.1756966,-5.294909,3.2755733
9,7.995985984802246,5.774315357208252,78.14144134521484,0.9807472785597583,1.3674741547510614,75.89160306433622,-22.94196,-7.493749,13.379013,32.677917,1.745706,8.925064,5.244115,8.072937,-10.804043,46.100746,-0.14603525,15.000033,11.229961,-2.0129225,9.804467,48.432667,29.254047,-14.297037,-45.181923,3.8110545,-1.7066932,-1.2333663,9.646424,-41.41228,24.185326,-42.446793,1.7966583,-5.2638927,3.3993328
