Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-0.020010488107800484,1.3741986751556396,78.6050033569336,0.06790500388833041,6.2685456713790915,-90.44758092835086,-2.5320475,7.494978,23.811768,6.8101487,-8.184329,-4.79999,-2.6131744,-8.024942,-18.387245,7.056976,-8.640074,6.723755,-1.3146946,2.1538618,-1.4232862,2.5350926,17.554586,-35.588634,52.37522,-1.9269533,0.8127518,-3.6457853,-0.37148708,-15.030946,31.971916,55.574375,-0.42621857,0.89340913,-4.179633
1,-0.03444518521428108,1.3760523796081543,78.60408020019531,0.08046651173254582,6.2956711208210505,-90.40001897529615,-2.5769486,7.4853644,23.764137,6.810071,-8.18266,-4.7872496,-2.6375403,-8.02582,-18.412292,7.078589,-8.714138,6.6573796,-1.3122596,2.131596,-1.4113617,2.5216935,17.574797,-35.58371,52.36859,-1.9219413,0.80563664,-3.6518846,-0.4119688,-15.03891,31.983131,55.52484,-0.3558371,0.87823963,-4.1421733
2,-0.049938593059778214,1.3726750612258911,78.60343933105469,0.09275154085880759,6.322559876152365,-90.35296837986353,-2.622099,7.476562,23.717,6.8124304,-8.181955,-4.778117,-2.6760266,-8.030343,-18.432116,7.1299195,-8.802091,6.5931416,-1.3105167,2.1101484,-1.4014046,2.505715,17.59176,-35.57997,52.369106,-1.9167398,0.79672,-3.6582072,-0.4512419,-15.047423,31.994083,55.478706,-0.28237247,0.861249,-4.102678
3,-0.06244352459907532,1.3773822784423828,78.59475708007812,0.099118851076579,6.350541810739267,-90.30476785214718,-2.690483,7.4818563,23.664856,6.863977,-8.208758,-4.7622533,-2.7874143,-8.056945,-18.448715,7.345173,-8.98002,6.5262866,-1.3081174,2.0952535,-1.3891609,2.4896176,17.609402,-35.573174,52.365578,-1.9107071,0.78997785,-3.6639178,-0.4914679,-15.058027,32.006897,55.42497,-0.2146278,0.8478741,-4.066897
4,-0.0755729153752327,1.3797749280929565,78.585205078125,0.10668818168970282,6.379975144317987,-90.25388755905323,-2.7658312,7.485385,23.608982,6.9241185,-8.243187,-4.7289886,-2.933074,-8.1019,-18.475166,7.6427984,-9.210212,6.449539,-1.3029401,2.0805953,-1.3719975,2.469747,17.62481,-35.560776,52.3578,-1.9025209,0.7888328,-3.667138,-0.53641623,-15.069841,32.021164,55.35934,-0.16526072,0.8430848,-4.040873
5,-0.08587866276502609,1.381527066230774,78.57435607910156,0.11337393967017757,6.409420741704161,-90.19615353424531,-2.8478673,7.489623,23.545328,6.994259,-8.284355,-4.6847315,-3.1169145,-8.16788,-18.52081,8.044953,-9.513703,6.350641,-1.3026409,2.069755,-1.345479,2.4557405,17.646868,-35.53504,52.33015,-1.8907361,0.797063,-3.673381,-0.5798025,-15.091271,32.039288,55.268497,-0.1391371,0.8470388,-4.026977
6,-0.09224828332662582,1.3831069469451904,78.55980682373047,0.1199195082890585,6.4389276986050445,-90.13359466459187,-2.9331882,7.493319,23.47644,7.068368,-8.327668,-4.6319647,-3.3284028,-8.249428,-18.579523,8.521894,-9.8691225,6.2363343,-1.3016013,2.06118,-1.3145866,2.4371479,17.666681,-35.50636,52.300804,-1.8778422,0.8114105,-3.6801693,-0.62221044,-15.11505,32.055542,55.16455,-0.13132492,0.8569995,-4.02213
7,-0.09950049966573715,1.3867459297180176,78.54291534423828,0.12873534459996033,6.472233391420323,-90.07399416197352,-3.100992,7.526537,23.39832,7.3212104,-8.472306,-4.5555983,-3.562861,-8.341636,-18.63477,9.0363035,-10.239755,6.1288505,-1.2945905,2.0512893,-1.2797095,2.4180067,17.685549,-35.4703,52.263447,-1.8622068,0.82662845,-3.6807816,-0.6730715,-15.143608,32.078663,55.04908,-0.12878676,0.87581044,-4.021042
8,-0.11211469769477844,1.3941162824630737,78.52632141113281,0.1424664340356253,6.513231108315461,-90.02512721037937,-3.4625616,7.6329765,23.302235,8.002434,-8.852953,-4.4405885,-3.815807,-8.44009,-18.670418,9.552118,-10.589671,6.0504503,-1.2783096,2.0386474,-1.2390313,2.4051478,17.707466,-35.420338,52.205433,-1.8438681,0.83740157,-3.6689086,-0.7363613,-15.18505,32.11986,54.91236,-0.115672745,0.9066396,-4.0175667
9,-0.12159806489944458,1.4002383947372437,78.5078125,0.16253097699115931,6.566293580776954,-89.99035236185185,-3.8498855,7.7332106,23.214146,8.7128725,-9.257456,-4.2667985,-4.1034822,-8.549435,-18.680971,10.085171,-10.91826,6.0096498,-1.2499161,2.0235646,-1.1965777,2.3898582,17.729849,-35.369755,52.138344,-1.824029,0.8408756,-3.638731,-0.82190514,-15.23984,32.188225,54.755928,-0.08748251,0.9591625,-4.0015893
