Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-0.17095404863357544,-1.2790549993515015,76.16392517089844,-1.5850440561666355,10.024829710958635,96.96535765364924,16.32986,8.470209,7.6166353,19.766693,-4.387041,-4.8174253,-34.330704,-7.193891,-12.472631,28.674505,-11.10001,3.2547958,-18.852062,3.8800163,12.750294,-0.36191064,32.510788,-40.857788,-25.719957,11.79079,-6.103636,5.2124352,38.783672,-29.67198,26.598007,21.088371,3.1920497,0.5107122,-7.8711452
1,-0.03141139820218086,-0.18139654397964478,76.24742126464844,-1.6399047372395241,9.909064770390197,96.99156834761816,15.741633,8.963506,7.6258307,22.42041,-3.3833296,-4.225654,-33.4485,-6.796161,-12.55339,27.951881,-10.670981,3.412597,-18.78948,4.101324,12.678742,0.4147499,32.614532,-40.92073,-26.12671,11.85356,-5.9502335,5.2176247,38.771587,-29.623652,26.406326,20.422146,3.7182932,0.36000282,-8.139688
2,0.1171782836318016,0.9259765148162842,76.29361724853516,-1.6834767974605276,9.798949370163506,97.01708405729227,15.239772,9.421155,7.632362,24.876831,-2.262087,-3.6154387,-32.540157,-6.389326,-12.618712,27.087004,-10.154311,3.6163533,-18.689398,4.31222,12.584479,1.116715,32.70387,-41.065826,-26.516401,11.896278,-5.787184,5.2258334,38.7774,-29.500679,26.18521,19.805544,4.2494197,0.1997004,-8.412268
3,0.28730159997940063,2.015634775161743,76.3277359008789,-1.731033711625098,9.66157655852798,97.02726059957331,14.775006,9.903051,7.7084565,27.319668,-1.1498832,-3.0441499,-31.669321,-5.9986844,-12.666306,26.497665,-9.808903,3.7300706,-18.539701,4.500257,12.513267,1.8121121,32.768845,-41.19316,-26.801168,11.981333,-5.638938,5.230883,38.697445,-29.319897,25.986801,19.248423,4.710008,0.041417506,-8.680983
4,0.4538708031177521,3.0900771617889404,76.33406829833984,-1.7924917877337467,9.461637606715149,97.0043006377133,14.3080635,10.4670925,7.9229608,29.927128,-0.172529,-2.5658383,-30.900366,-5.650081,-12.69203,26.606873,-9.8966675,3.6176202,-18.316748,4.6505723,12.511993,2.5579066,32.79837,-41.213745,-26.892868,12.167843,-5.5295687,5.2274446,38.431152,-29.086632,25.85543,18.763847,5.020529,-0.1028505,-8.937518
5,0.635010838508606,4.191683769226074,76.2640380859375,-1.8511921082029463,9.177609422817572,96.95875229360533,13.844646,11.136296,8.323513,32.800415,0.6129454,-2.1940498,-30.258772,-5.3888626,-12.68599,27.679976,-10.541771,3.1852965,-18.025904,4.7371635,12.580908,3.375085,32.783073,-41.11963,-26.731237,12.523004,-5.487189,5.2390995,37.973946,-28.801376,25.809765,18.356928,5.1501207,-0.21971224,-9.175741
6,0.8025543689727783,5.280587673187256,76.14994049072266,-1.893862533375344,8.825105150679713,96.89829643455859,13.390496,11.869832,8.847796,35.88061,1.2477397,-1.889378,-29.689707,-5.197925,-12.643096,29.418085,-11.575588,2.5269117,-17.68422,4.7621136,12.701257,4.232259,32.72116,-40.949234,-26.37158,12.998357,-5.4919863,5.25796,37.375084,-28.469618,25.824413,18.015562,5.1467075,-0.31710184,-9.402785
7,1.002474308013916,6.340237617492676,76.01951599121094,-1.9418983733723418,8.425811672679362,96.79781498853623,12.902627,12.636557,9.398716,39.118256,1.7507918,-1.6237632,-29.144726,-5.0051513,-12.565662,31.412052,-12.827643,1.7872928,-17.280645,4.756284,12.891149,5.108977,32.611286,-40.6873,-25.895052,13.481162,-5.4969673,5.2322793,36.610214,-28.102213,25.878208,17.73264,5.0520196,-0.41514495,-9.630239
8,1.1986231803894043,7.37979793548584,75.85704040527344,-2.0275843626357664,8.006780370117765,96.62735035295852,12.334857,13.420898,9.885153,42.45972,2.1438267,-1.3708856,-28.595867,-4.7286267,-12.463512,33.28061,-14.139762,1.1092529,-16.803974,4.7635126,13.16721,5.9894676,32.453697,-40.312477,-25.386158,13.858255,-5.4562726,5.109117,35.65678,-27.714996,25.95117,17.49694,4.9077225,-0.53409666,-9.869736
9,1.381744146347046,8.397640228271484,75.67582702636719,-2.165361233908724,7.570647687822367,96.35891750973134,11.677469,14.281433,10.369087,45.96135,2.4926198,-1.156247,-28.095228,-4.3323197,-12.322214,35.045815,-15.542787,0.46068326,-16.23784,4.79821,13.542421,6.885009,32.249725,-39.7996,-24.901777,14.061842,-5.3675585,4.8006063,34.511204,-27.317896,26.029718,17.279867,4.712607,-0.69174004,-10.109646
10,1.5627952814102173,9.401424407958984,75.43534851074219,-2.337052809300845,7.105384516374434,96.01357868016032,10.947405,15.234504,10.862535,49.66349,2.7417557,-0.9635453,-27.64273,-3.8519802,-12.139411,36.8731,-17.095776,-0.21202156,-15.596695,4.846857,14.006984,7.807751,31.998768,-39.162674,-24.395683,14.163799,-5.2527714,4.3600845,33.193718,-26.915726,26.121334,17.080393,4.4524627,-0.8718176,-10.348511
11,1.749818205833435,10.36274242401123,75.15997314453125,-2.5398701990987433,6.619989680023649,95.63337890843881,10.136456,16.187517,11.204791,53.470577,2.7447004,-0.7259801,-27.147152,-3.3146026,-11.952969,38.623344,-18.697882,-0.7999546,-14.916692,4.9200625,14.539419,8.745182,31.69662,-38.437714,-23.796112,14.261776,-5.1026096,3.946056,31.718796,-26.51547,26.240847,16.925922,4.150468,-1.0435327,-10.612816
12,1.910873293876648,11.324722290039062,74.87870025634766,-2.767798334007554,6.124756552442021,95.26161291901994,9.230884,17.01399,11.237371,57.275253,2.3676188,-0.4068311,-26.520613,-2.7567115,-11.803864,40.163685,-20.253908,-1.1938634,-14.234328,5.0258503,15.115365,9.681038,31.33682,-37.659985,-23.028019,14.453487,-4.9085884,3.7154024,30.105465,-26.124823,26.401283,16.840195,3.8291643,-1.1756626,-10.928529
13,2.0395708084106445,12.28243637084961,74.5970458984375,-3.037562882669996,5.598587912648544,94.8799392956045,8.240804,17.647926,10.88844,61.13904,1.4587544,0.03203004,-25.73142,-2.1689487,-11.707052,41.4902,-21.788702,-1.3186563,-13.544569,5.178083,15.759426,10.660844,30.914192,-36.79223,-22.143099,14.866299,-4.6391225,3.6728153,28.370415,-25.742975,26.573502,16.781612,3.4680154,-1.2123367,-11.321803
14,2.1976449489593506,13.21092414855957,74.29082489013672,-3.345942474977477,5.045351602324685,94.47736493136034,7.1618366,18.111027,10.252846,65.09129,0.13305952,0.52093506,-24.839048,-1.5453771,-11.644903,42.678497,-23.34618,-1.248804,-12.834795,5.3728833,16.468203,11.6721945,30.428396,-35.83153,-21.14519,15.414582,-4.307968,3.7429883,26.509947,-25.369059,26.755203,16.742924,3.066183,-1.1841351,-11.77196
15,2.369415044784546,14.166435241699219,73.99108123779297,-3.6507651020866696,4.514444680148796,94.10842740589482,5.9549794,18.402592,9.430719,68.97249,-1.3301258,0.9295052,-23.888477,-0.93319064,-11.610755,43.7106,-24.857918,-1.100182,-12.131545,5.589009,17.176228,12.608996,29.880577,-34.861713,-19.88625,15.875234,-3.9737852,3.9640725,24.514597,-25.01057,26.9964,16.794277,2.6765137,-1.1904023,-12.235378
16,2.5254549980163574,15.11962604522705,73.70582580566406,-3.9173132857250246,4.056074235978697,93.82639566789148,4.58243,18.552969,8.525238,72.62001,-2.6560707,1.1447059,-22.920551,-0.37763792,-11.595271,44.562187,-26.251534,-0.9881279,-11.460672,5.8046455,17.821331,13.365321,29.269829,-33.967144,-18.219904,16.027042,-3.6962934,4.377939,22.372843,-24.679691,27.34202,17.002365,2.3519828,-1.3315126,-12.6693125
17,2.6865406036376953,16.078767776489258,73.4656753540039,-4.147341229320197,3.6721526858917426,93.67884888386281,3.0171797,18.541689,7.481402,76.0336,-3.8027549,1.0940021,-21.922497,0.09484118,-11.623409,45.22585,-27.517511,-0.92821944,-10.8587265,6.024643,18.428003,13.902609,28.584684,-33.15588,-16.07248,15.929372,-3.5318673,5.056387,20.03657,-24.38561,27.795885,17.422281,2.1570997,-1.6732965,-13.074081
18,2.8456780910491943,17.012540817260742,73.24666595458984,-4.35939634578493,3.3413255359792693,93.62570323459065,1.2920989,18.35979,6.2919574,79.29494,-4.9093246,0.8543195,-20.878931,0.5087477,-11.691083,45.714233,-28.690939,-0.86222404,-10.30548,6.2598033,19.019747,14.27753,27.82092,-32.380474,-13.5315075,15.664487,-3.4396405,5.9547462,17.540918,-24.124697,28.317898,17.975538,2.0506763,-2.149184,-13.470157
19,2.9834823608398438,17.93360137939453,73.06024169921875,-4.550024451681247,3.0789679144690094,93.58606057230934,-0.5488625,18.085121,5.12238,82.3591,-5.9687653,0.5489967,-19.828672,0.8997839,-11.743935,46.0331,-29.762497,-0.794146,-9.74044,6.4966297,19.534859,14.52999,26.995665,-31.641478,-10.6976385,15.041537,-3.3435624,6.9465747,14.998471,-23.886356,28.896957,18.532383,1.9187125,-2.6609309,-13.844466
20,2.9758141040802,18.86393165588379,72.92545318603516,-4.70995409349137,2.9003569986857918,93.482501225885,-2.4623756,17.799166,4.1273303,85.15573,-6.9625196,0.30353943,-18.806932,1.3010186,-11.730259,46.187954,-30.72722,-0.7292609,-9.1036005,6.7177086,19.909317,14.706369,26.140438,-30.941793,-7.6833143,13.862514,-3.1721575,7.9123955,12.505964,-23.655323,29.54071,18.984886,1.6491338,-3.1101913,-14.183052
21,3.0988292694091797,19.843666076660156,72.80162811279297,-4.851078337553329,2.8408738190099476,93.29460257962344,-4.5095143,17.521782,3.2889347,87.69992,-7.8399014,0.13623735,-17.857042,1.7431812,-11.649506,46.180122,-31.585743,-0.6771229,-8.361691,6.92195,20.104776,14.781199,25.25833,-30.276892,-4.2727213,11.611792,-2.8674622,8.927821,10.0210705,-23.415413,30.321606,19.438862,1.2664098,-3.5287337,-14.560601
22,3.2677135467529297,20.829612731933594,72.7035903930664,-4.973320420417671,2.8821469016624044,93.06429724156352,-6.6926546,17.21744,2.5419426,90.00792,-8.611036,-0.009830136,-16.946438,2.1995914,-11.527386,46.003666,-32.338734,-0.6330249,-7.549821,7.1039844,20.16139,14.751122,24.351582,-29.641191,-0.5025577,8.540463,-2.520192,10.033992,7.495047,-23.157852,31.23081,19.930128,0.8107204,-3.9491558,-14.958496
23,3.387465238571167,21.776958465576172,72.6236572265625,-5.0562057137711225,2.9583187999216363,92.8054287305608,-8.891078,16.906157,1.956879,92.013145,-9.348834,-0.11952788,-16.001207,2.6259458,-11.353998,45.66151,-32.987305,-0.5839773,-6.7082124,7.2470303,20.13416,14.714096,23.471037,-29.036318,3.1151175,5.6019115,-2.2466714,11.060715,5.001857,-22.88547,32.17295,20.26633,0.19929525,-4.2760854,-15.220567
