Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,1.1394097805023193,-1.933864712715149,78.11236572265625,1.3001898600503103,-1.021330189527299,116.8620624800052,5.2378807,10.43301,31.160841,9.562745,-8.538589,-7.1410685,-2.3618176,-13.396871,-16.46923,13.67663,-10.40402,8.686814,-1.0057477,-0.37874472,9.667779,-7.8948865,26.264206,-45.29034,54.976933,12.637793,-2.4076855,-3.5236466,-14.816985,-24.144402,53.064735,58.3279,-2.5145254,1.7505606,-1.8529881
1,1.1304941177368164,-1.9342131614685059,78.1023178100586,1.26838909622421,-0.9970763620967786,116.86653102066175,5.0305667,10.576028,31.117033,10.017635,-8.813981,-7.1245804,-2.3735297,-13.367093,-16.475403,13.672978,-10.489362,8.691297,-1.0152425,-0.35246873,9.666599,-7.8763337,26.297495,-45.244717,54.932613,12.625587,-2.3827097,-3.571762,-14.80732,-24.17477,53.03473,58.19223,-2.5189178,1.7696828,-1.8570267
2,1.1236226558685303,-1.9326766729354858,78.09272766113281,1.2385244039048628,-0.9736143476226737,116.87057042883696,4.833163,10.711173,31.075651,10.450359,-9.07826,-7.1098237,-2.3839855,-13.3390875,-16.480507,13.668039,-10.572074,8.692898,-1.0247244,-0.32823056,9.665931,-7.857422,26.329187,-45.195213,54.889626,12.61538,-2.3577042,-3.6202016,-14.798502,-24.205046,53.006256,58.05638,-2.5227895,1.7909423,-1.8599358
3,1.112414002418518,-1.9330703020095825,78.0816650390625,1.2018204182335996,-0.9487815329415092,116.87531031339566,4.6169734,10.863763,31.02755,10.924193,-9.362913,-7.0922008,-2.3940623,-13.303532,-16.488708,13.660276,-10.657289,8.700048,-1.0363678,-0.29470938,9.655132,-7.846654,26.341139,-45.157616,54.872227,12.601938,-2.3336284,-3.6649578,-14.78901,-24.21695,52.97701,57.943188,-2.5331604,1.8071843,-1.8671076
4,1.1003557443618774,-1.932913064956665,78.06842041015625,1.1481024108882067,-0.9205674885153972,116.88217547753248,4.357971,11.056525,30.963938,11.491504,-9.694094,-7.067375,-2.400318,-13.248994,-16.505676,13.640759,-10.746826,8.721021,-1.0521823,-0.24286355,9.655556,-7.8287344,26.362598,-45.107132,54.83078,12.60136,-2.3101153,-3.7123275,-14.803779,-24.241268,52.965622,57.82933,-2.5171049,1.813295,-1.8753713
5,1.0846672058105469,-1.9337941408157349,78.05248260498047,1.074954384517286,-0.8884491304546818,116.89174589134527,4.044385,11.298129,30.879223,12.17617,-10.079393,-7.0332627,-2.4056144,-13.172957,-16.532957,13.612852,-10.845159,8.761889,-1.075858,-0.16797696,9.637927,-7.8129563,26.367262,-45.078224,54.81071,12.591877,-2.2833855,-3.759017,-14.800968,-24.24725,52.94521,57.73463,-2.5139592,1.7990493,-1.8997602
6,1.0677704811096191,-1.935798168182373,78.03362274169922,0.9703165519839605,-0.8491862143446263,116.90863564253044,3.6531072,11.612797,30.764236,13.019181,-10.539267,-6.995794,-2.3990357,-13.058119,-16.580683,13.550445,-10.935949,8.8134575,-1.118022,-0.058057893,9.636351,-7.778091,26.384638,-44.99756,54.752323,12.619322,-2.255551,-3.8178186,-14.808786,-24.274166,52.910236,57.618618,-2.5190532,1.7717819,-1.922713
7,1.0463552474975586,-1.9372793436050415,78.0136947631836,0.8664783257007471,-0.8112647905179845,116.92118256207485,3.2767284,11.916216,30.653269,13.836184,-10.992394,-6.952785,-2.3954356,-12.947169,-16.622585,13.498965,-11.037103,8.872745,-1.1482548,0.0516608,9.626738,-7.7524786,26.392548,-44.957493,54.711147,12.625849,-2.232563,-3.8619432,-14.826704,-24.28931,52.90071,57.52678,-2.5013883,1.7469064,-1.9472404
8,1.0174438953399658,-1.9405268430709839,77.9921646118164,0.7715805633324827,-0.7765585532199872,116.9264025194958,2.9464364,12.183405,30.55983,14.564705,-11.416326,-6.90581,-2.3927722,-12.849979,-16.652039,13.458801,-11.1445875,8.931988,-1.1856402,0.15644734,9.624157,-7.7100186,26.399963,-44.91273,54.658764,12.627042,-2.223559,-3.8851795,-14.840472,-24.307104,52.890076,57.420113,-2.5192282,1.7443341,-1.9571936
9,0.9892460703849792,-1.9400523900985718,77.97149658203125,0.6863930441648718,-0.7452879689434722,116.92635581621569,2.6602526,12.414808,30.482897,15.208962,-11.814541,-6.8497515,-2.3905752,-12.76853,-16.669895,13.432321,-11.259644,8.994972,-1.2274884,0.25727612,9.632517,-7.652888,26.412868,-44.870296,54.591408,12.61863,-2.234216,-3.8797836,-14.853803,-24.34385,52.888256,57.284557,-2.5669897,1.7789469,-1.9429561
