Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-0.02864239178597927,-2.4025895595550537,79.41410064697266,-1.0211719718784422,-1.966759746432751,94.2890852988144,2.2433975,4.312768,-3.6213086,9.8534355,-11.402148,-5.3722596,5.4210253,-2.4019814,-16.118975,8.320274,-8.633193,1.7524158,-3.0585978,1.1186744,7.970001,-1.8558769,12.591327,-34.527206,61.848732,3.72379,-1.8263834,11.4639845,0.91699296,-8.407824,18.94338,59.706394,-0.35439563,-1.7452879,-10.295462
1,-0.04019435867667198,-2.4605729579925537,79.43484497070312,-1.0640979760721585,-1.936692228025064,94.26695913720414,2.1267412,4.3486185,-3.6111271,9.902877,-11.33552,-5.3461,5.2961793,-2.3749468,-16.183235,8.348808,-8.433891,1.717687,-3.0714922,1.1666765,8.018087,-1.905847,12.593526,-34.432316,61.55283,3.8283703,-1.6984408,11.389148,0.8891202,-8.426684,18.862501,59.62933,-0.450421,-1.728712,-10.347743
2,-0.05344327166676521,-2.5295917987823486,79.45721435546875,-1.1042584838543994,-1.9054089612804463,94.24316655822693,2.0127373,4.3829503,-3.6003075,9.949138,-11.270062,-5.3196583,5.171037,-2.3499522,-16.247494,8.377893,-8.236443,1.6846678,-3.0832279,1.2115456,8.062951,-1.9481391,12.598226,-34.334515,61.262184,3.9240396,-1.5651666,11.310797,0.860519,-8.443832,18.783886,59.556625,-0.5510399,-1.7094684,-10.402101
3,-0.06476698815822601,-2.605023145675659,79.48094177246094,-1.1487725899236938,-1.8767057891397338,94.2224939059546,1.8946303,4.4207683,-3.5909193,10.00033,-11.201492,-5.294159,5.0456357,-2.3220155,-16.312166,8.407161,-8.035715,1.6488646,-3.1057775,1.2640855,8.124707,-1.9934623,12.610716,-34.22227,60.933254,4.048088,-1.4420804,11.232463,0.8272315,-8.471242,18.699244,59.468685,-0.64813745,-1.6949531,-10.445974
4,-0.07363686710596085,-2.686964273452759,79.50538635253906,-1.2012893893858538,-1.8542207542473794,94.20971104126339,1.7700145,4.465909,-3.5845048,10.057205,-11.122463,-5.270701,4.918366,-2.2870023,-16.377594,8.436809,-7.82616,1.6060218,-3.1396337,1.324145,8.199094,-2.062376,12.631156,-34.129536,60.55853,4.20782,-1.3431944,11.171897,0.7912388,-8.500669,18.617115,59.36949,-0.7167529,-1.6933359,-10.484738
5,-0.08623621612787247,-2.7772345542907715,79.52970123291016,-1.2665844226358478,-1.8433976868346613,94.2084920732678,1.6422414,4.5229545,-3.5833325,10.122718,-11.032816,-5.255559,4.792798,-2.2413113,-16.44953,8.4725275,-7.610037,1.547218,-3.189912,1.3964267,8.300695,-2.156526,12.66578,-34.06106,60.123592,4.4160295,-1.2725741,11.127682,0.7500327,-8.535058,18.531898,59.255623,-0.75132066,-1.7102058,-10.509541
6,-0.10486791282892227,-2.8758692741394043,79.55667114257812,-1.3412405081119918,-1.8405797496492953,94.21550491540249,1.5121561,4.5878263,-3.5856016,10.1936655,-10.9348,-5.2464805,4.669397,-2.1884327,-16.526073,8.509288,-7.3874664,1.477598,-3.2497215,1.4777576,8.430694,-2.2496438,12.737231,-34.01113,59.603252,4.6560326,-1.221018,11.089896,0.7178406,-8.587115,18.441168,59.1052,-0.7585601,-1.7397985,-10.517959
7,-0.12098292261362076,-2.9775524139404297,79.58462524414062,-1.417501680126383,-1.836210191065208,94.2246733594255,1.3710337,4.6527925,-3.587145,10.267648,-10.8280945,-5.2320223,4.5371456,-2.1352565,-16.595741,8.544669,-7.1564326,1.4138584,-3.3156846,1.5584521,8.561072,-2.360728,12.811121,-33.959232,59.048355,4.9236703,-1.1857632,11.065893,0.67667246,-8.631835,18.347418,58.951843,-0.76101047,-1.7737281,-10.52927
8,-0.1452355682849884,-3.0927181243896484,79.61737823486328,-1.490254371432245,-1.8203925935237917,94.2300038173549,1.208882,4.710142,-3.5839393,10.3439,-10.7129135,-5.200903,4.386731,-2.0882351,-16.646957,8.571617,-6.912743,1.3726896,-3.3812294,1.6360717,8.690135,-2.463811,12.913635,-33.884544,58.407402,5.207209,-1.1610966,11.049039,0.6440624,-8.69062,18.245762,58.754807,-0.773015,-1.8011045,-10.543395
9,-0.17190200090408325,-3.2156760692596436,79.64879608154297,-1.558904935384437,-1.790417567705498,94.22949945070813,1.0234346,4.757346,-3.5768623,10.421315,-10.592028,-5.1485453,4.2169213,-2.0485294,-16.67211,8.584302,-6.652753,1.3630699,-3.4452865,1.7091473,8.79841,-2.5897734,13.00172,-33.789745,57.741234,5.51351,-1.1543739,11.048556,0.6036751,-8.743262,18.139668,58.55199,-0.79325455,-1.8225366,-10.567654
10,-0.2009866088628769,-3.3521084785461426,79.68171691894531,-1.6234246922467372,-1.7515971351956314,94.22620792087295,0.82015896,4.7975607,-3.567086,10.500652,-10.464472,-5.082132,4.032715,-2.013725,-16.678537,8.586401,-6.378983,1.3746648,-3.5113218,1.7814956,8.90561,-2.716391,13.108025,-33.68191,57.001774,5.8414226,-1.1639849,11.057842,0.56866634,-8.810922,18.029665,58.314808,-0.8106124,-1.8413799,-10.590946
11,-0.23288924992084503,-3.491697072982788,79.71682739257812,-1.6879790422160572,-1.7061017709385404,94.22265183534095,0.6021985,4.832944,-3.5507255,10.579705,-10.321821,-5.0074263,3.8341432,-1.9835184,-16.677048,8.588278,-6.0983706,1.3950189,-3.5812905,1.8565725,9.01704,-2.8417048,13.231917,-33.548016,56.194946,6.1869116,-1.1781363,11.074381,0.5456901,-8.894193,17.91143,58.031715,-0.8429973,-1.8549055,-10.61865
12,-0.26243630051612854,-3.634005308151245,79.75027465820312,-1.754189828528049,-1.6561031349766049,94.22103526999601,0.36875892,4.865779,-3.5247285,10.665042,-10.160533,-4.930345,3.6257255,-1.956659,-16.678919,8.591432,-5.8138614,1.4115506,-3.654271,1.9368851,9.130971,-2.9801462,13.351841,-33.37722,55.359383,6.5502486,-1.1858983,11.099453,0.533475,-8.981655,17.776667,57.71005,-0.91243255,-1.8610979,-10.660385
13,-0.3076658546924591,-3.790071487426758,79.78578186035156,-1.8282238772064308,-1.6034111291815654,94.22460044240113,0.12369285,4.9030833,-3.484755,10.753311,-9.981943,-4.854119,3.4100916,-1.9289482,-16.691698,8.598438,-5.524917,1.420448,-3.7332532,2.0290089,9.249339,-3.1330805,13.465985,-33.16276,54.497406,6.939186,-1.1834241,11.133694,0.5328758,-9.075273,17.623655,57.352726,-1.0322622,-1.8553869,-10.722085
14,-0.3579491674900055,-3.9485361576080322,79.82295989990234,-1.9103190509497354,-1.5464346811384448,94.23168426873818,-0.13721444,4.945291,-3.4355175,10.849284,-9.790278,-4.777026,3.1881485,-1.8978043,-16.708942,8.599443,-5.226059,1.4285223,-3.8172252,2.1341093,9.369525,-3.3004146,13.574021,-32.911694,53.6053,7.3537807,-1.1771586,11.177849,0.5426402,-9.176222,17.455551,56.96106,-1.1891158,-1.8401476,-10.798691
15,-0.40341201424598694,-4.1197614669799805,79.85868835449219,-1.9875467944032443,-1.482270688546531,94.23624215782573,-0.41435125,4.975965,-3.381583,10.945962,-9.574385,-4.6907177,2.948036,-1.8782289,-16.717674,8.606708,-4.9277587,1.4399922,-3.8989005,2.2386508,9.488691,-3.488285,13.675565,-32.63967,52.690247,7.771259,-1.1708956,11.23031,0.56454575,-9.28421,17.273024,56.524452,-1.362092,-1.8231697,-10.8797455
16,-0.4535267651081085,-4.300890922546387,79.8917465209961,-2.0890293881158106,-1.4025899094430578,94.23876156986553,-0.96420014,5.0128946,-3.3662636,11.560314,-9.598401,-4.5948668,2.7061474,-1.8261043,-16.720097,8.558548,-4.602844,1.4527712,-3.977852,2.3737292,9.600445,-3.6968563,13.768244,-32.358814,51.755592,8.174214,-1.1674391,11.289244,0.6003198,-9.400418,17.075441,56.034077,-1.5320551,-1.812225,-10.954288
17,-0.513968288898468,-4.487724781036377,79.92353820800781,-2.1859666135874125,-1.3138828715511162,94.24175015624141,-1.6199608,5.031683,-3.3699336,12.35681,-9.679881,-4.473022,2.4524817,-1.7801151,-16.706652,8.499412,-4.282611,1.4767034,-4.0433025,2.5037198,9.692589,-3.9543583,13.830692,-32.081947,50.84811,8.559168,-1.1701571,11.358916,0.644442,-9.495116,16.849669,55.527275,-1.6957253,-1.8274448,-11.0244665
18,-0.5847616195678711,-4.681579113006592,79.95610046386719,-2.2678851833788696,-1.2188368030274925,94.24240877066723,-2.2764132,5.027147,-3.3725116,13.121403,-9.714794,-4.3293443,2.1821146,-1.757383,-16.676258,8.447187,-3.9713569,1.5105644,-4.105212,2.6346514,9.797982,-4.2067614,13.911163,-31.783457,49.860947,8.931898,-1.1761872,11.426301,0.73339194,-9.638698,16.606268,54.91983,-1.8474681,-1.8555535,-11.075048
19,-0.6588644981384277,-4.886742115020752,79.98358154296875,-2.346516900714838,-1.1142224635405245,94.22530923853584,-2.953874,5.0158286,-3.371465,13.888441,-9.725999,-4.1857367,1.883492,-1.7436771,-16.625786,8.402559,-3.6540382,1.5444869,-4.155017,2.7653491,9.903481,-4.4881625,13.978988,-31.477638,48.87096,9.294507,-1.181759,11.505512,0.8227583,-9.782142,16.357876,54.259857,-2.012109,-1.8643959,-11.132551
20,-0.7373862266540527,-5.112548351287842,80.01276397705078,-2.4302300892107627,-0.9972566123938618,94.17438782345545,-3.657675,5.0126395,-3.3623102,14.661281,-9.722848,-4.0639834,1.5477757,-1.724948,-16.55225,8.359384,-3.311437,1.5695549,-4.191884,2.904862,10.018173,-4.7942963,14.035846,-31.159727,47.87951,9.650893,-1.1829783,11.598884,0.89285564,-9.929575,16.122044,53.53551,-2.2032444,-1.8191403,-11.206505
