Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,1.9968056678771973,1.0904616117477417,77.44884490966797,-0.9084368343621417,-2.876653288432567,-151.40945056308593,-7.659991,-9.603092,-26.109695,22.538788,-12.518333,-2.2762866,7.4462657,-5.9005165,-35.383877,15.701713,-17.98587,0.55146086,4.9421554,0.069175854,10.339555,9.220955,11.869791,-1.5451683,-31.934223,29.655844,4.04891,60.979626,-39.17571,-23.968073,36.169685,14.249296,18.6321,-20.35178,4.2605224
1,1.939043641090393,1.1428937911987305,77.44625091552734,-0.9350959985222159,-2.9309266418112214,-150.33132897931992,-7.595343,-9.886631,-26.988878,22.532179,-12.387371,-2.4856234,7.969495,-5.811913,-36.37163,15.327019,-17.95888,0.57544786,5.033919,0.025554238,10.345339,9.404773,11.834261,-1.9381793,-31.60018,29.58126,4.17253,61.05817,-39.22219,-24.084581,36.847168,14.602568,17.089378,-20.45803,4.218916
2,1.8806785345077515,1.1982383728027344,77.44076538085938,-0.963923437682905,-2.9850448511032153,-149.23221507986912,-7.5265665,-10.17556,-27.890331,22.52742,-12.257992,-2.700167,8.503353,-5.708729,-37.37881,14.935763,-17.926601,0.6025538,5.1239767,0.004979318,10.35345,9.600217,11.750287,-2.3332372,-31.267334,29.517921,4.299765,61.132908,-39.299385,-24.239143,37.57036,14.962378,15.477159,-20.565142,4.1940236
3,1.8213210105895996,1.2520545721054077,77.4361572265625,-0.9888598314139594,-3.038625925806388,-148.17532131029668,-7.4516196,-10.452483,-28.750269,22.519949,-12.132087,-2.9083793,9.023065,-5.5997725,-38.34581,14.546484,-17.886425,0.6322114,5.220124,-0.00039742954,10.367114,9.757987,11.640474,-2.7311144,-30.9226,29.479406,4.395676,61.17943,-39.308712,-24.410677,38.244564,15.256564,14.020726,-20.661068,4.1135964
4,1.753733515739441,1.2980037927627563,77.42979431152344,-1.0038618312929781,-3.091674281105529,-147.22391456372208,-7.3707557,-10.700375,-29.50412,22.506449,-12.011639,-3.0983322,9.503169,-5.4957085,-39.21268,14.178863,-17.836174,0.66307396,5.3253555,0.0013934092,10.387798,9.833528,11.528221,-3.1281323,-30.554962,29.478168,4.4257045,61.174503,-39.160336,-24.572294,38.78252,15.424923,12.944946,-20.732246,3.9056487
5,1.691677212715149,1.3348904848098755,77.42664337158203,-1.0048736732731303,-3.14750429693783,-146.38499536963056,-7.2812304,-10.921099,-30.144144,22.485432,-11.8900585,-3.2679825,9.942251,-5.4050455,-39.970757,13.84106,-17.775787,0.6932002,5.4448276,-0.0018498668,10.414887,9.8192625,11.432598,-3.5203648,-30.15711,29.528217,4.365129,61.125813,-38.83511,-24.704525,39.17154,15.4708185,12.367238,-20.782045,3.5270839
6,1.6398677825927734,1.368249535560608,77.42760467529297,-0.9960753251032368,-3.2054998703627633,-145.62790415317818,-7.1864004,-11.122107,-30.701012,22.460127,-11.768721,-3.4228456,10.350882,-5.324354,-40.64963,13.526018,-17.708727,0.7225794,5.571835,-0.015398401,10.444748,9.74189,11.360943,-3.9063425,-29.738413,29.60815,4.2426224,61.04915,-38.38704,-24.800205,39.450237,15.439703,12.143489,-20.817408,3.0277417
7,1.5840294361114502,1.393035888671875,77.4277114868164,-0.9828819529447739,-3.2596467914651046,-144.9592848263167,-7.0928283,-11.292904,-31.169554,22.426527,-11.657226,-3.5625615,10.721949,-5.2482004,-41.24758,13.231411,-17.639408,0.752826,5.678729,-0.0440833,10.477,9.629662,11.326065,-4.267727,-29.330893,29.67214,4.1019144,60.930016,-37.848072,-24.83352,39.61538,15.343198,12.105865,-20.831537,2.4750795
8,1.5327931642532349,1.4127435684204102,77.42749786376953,-0.9715934782390075,-3.303840246460474,-144.3859888027099,-7.0072255,-11.422316,-31.544588,22.38106,-11.565672,-3.6862895,11.051157,-5.167962,-41.763157,12.946561,-17.5674,0.78564817,5.762203,-0.06575579,10.507101,9.478539,11.301421,-4.62654,-28.933199,29.697327,3.9861784,60.753567,-37.224724,-24.831621,39.660664,15.167197,12.092071,-20.812656,1.9330742
9,1.4863897562026978,1.4297363758087158,77.42585754394531,-0.9635065011616417,-3.336402950003751,-143.9067715698893,-6.9315963,-11.506298,-31.823177,22.321383,-11.496279,-3.7967799,11.335486,-5.084581,-42.198833,12.676937,-17.498251,0.8251928,5.832039,-0.07552322,10.532136,9.279745,11.279783,-4.9901567,-28.542358,29.68123,3.918429,60.506107,-36.492397,-24.789377,39.540794,14.893674,12.11078,-20.736053,1.4490628
