Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.03853341564536095,2.419464349746704,77.4236831665039,0.1262584350405169,-4.632088015913578,-89.13951697751644,-3.558484,10.77014,7.723177,14.302343,-6.6078744,-9.208274,9.496204,-0.0080334395,-19.039185,7.190345,-14.401678,1.6218046,-4.674648,4.2998424,10.1968565,-5.684596,16.08192,-41.62866,61.513153,-8.048233,5.7211366,2.6574576,-3.6324959,-16.068836,29.63164,62.099,-2.0304375,4.4056325,-0.71587265
1,0.0384691096842289,2.418736457824707,77.42398834228516,0.1289715818056184,-4.624729245516089,-89.14588035510361,-3.5635018,10.767747,7.7278004,14.297565,-6.6023955,-9.205412,9.4848385,-0.011473404,-19.037386,7.1911726,-14.403261,1.6189045,-4.6719136,4.300926,10.196215,-5.669703,16.104395,-41.636444,61.47797,-8.103224,5.725846,2.65571,-3.6267457,-16.082373,29.637241,62.081566,-2.0117764,4.4253736,-0.71294874
2,0.03968022018671036,2.418855667114258,77.42436218261719,0.13177028651440317,-4.61649943495681,-89.15329491106503,-3.5697176,10.765047,7.7333994,14.293777,-6.5972185,-9.202397,9.471855,-0.015534159,-19.03816,7.191767,-14.405285,1.6156788,-4.666281,4.3019776,10.191643,-5.6682014,16.109417,-41.642998,61.468884,-8.155743,5.7290354,2.6548455,-3.6333323,-16.085398,29.642694,62.083656,-1.9916043,4.445452,-0.71173704
3,0.03973515331745148,2.4204461574554443,77.4247055053711,0.13318323927266593,-4.610473603357959,-89.15845593152949,-3.57428,10.763165,7.7366524,14.290247,-6.592711,-9.199685,9.4628315,-0.017937073,-19.03418,7.192111,-14.405883,1.6131625,-4.6621675,4.302674,10.187604,-5.666299,16.11404,-41.64949,61.462273,-8.200009,5.7312083,2.6537628,-3.6360655,-16.088217,29.647903,62.084694,-1.9752985,4.4623666,-0.71069145
4,0.04147589951753616,2.4239516258239746,77.42499542236328,0.1332989699253133,-4.608789096939046,-89.15854126077349,-3.575932,10.76238,7.7349052,14.286971,-6.5893087,-9.197559,9.461629,-0.016954465,-19.01764,7.193222,-14.403542,1.6124032,-4.6633577,4.3035917,10.18696,-5.6642985,16.115473,-41.65267,61.457363,-8.2279215,5.7337437,2.6538851,-3.636316,-16.089111,29.65015,62.086,-1.968997,4.474286,-0.71033496
5,0.03791319951415062,2.4256093502044678,77.42738342285156,0.13022599603216395,-4.614594927030805,-89.1504227216197,-3.5720482,10.763414,7.724688,14.283664,-6.5874715,-9.195656,9.47373,-0.010085895,-18.97444,7.1964397,-14.39457,1.6145108,-4.6692257,4.3054934,10.191683,-5.6587334,16.123291,-41.66385,61.447376,-8.24042,5.736613,2.6552277,-3.6362383,-16.093977,29.657694,62.088432,-1.9668612,4.480526,-0.70988035
6,0.0445915162563324,2.4326560497283936,77.4207763671875,0.12295173572596706,-4.626691279622472,-89.13550245112657,-3.5653024,10.76696,7.7071834,14.284175,-6.588912,-9.194128,9.496783,0.0022826279,-18.913599,7.199653,-14.380259,1.6185886,-4.6809344,4.307699,10.204041,-5.6549478,16.125978,-41.66495,61.442356,-8.224829,5.738719,2.6553314,-3.6319306,-16.095638,29.65791,62.089153,-1.9807942,4.479418,-0.709182
7,0.044172145426273346,2.429483652114868,77.42374420166016,0.11579818135015116,-4.637920484080764,-89.12072975994298,-3.5581627,10.770005,7.6904836,14.282444,-6.589365,-9.193499,9.518994,0.01373565,-18.859093,7.201729,-14.367492,1.6229037,-4.69172,4.3090715,10.215112,-5.6525536,16.129753,-41.66438,61.43901,-8.204858,5.739671,2.6547298,-3.6284451,-16.097893,29.65683,62.09089,-1.9937726,4.4767613,-0.7075222
8,0.04102391004562378,2.4253110885620117,77.4283676147461,0.11347281110121966,-4.6435193495791545,-89.11301172124465,-3.553292,10.76977,7.6829634,14.278368,-6.5882525,-9.194254,9.529775,0.017474657,-18.83462,7.203153,-14.363846,1.6256812,-4.697016,4.3073225,10.221521,-5.6469464,16.13402,-41.660297,61.428436,-8.192698,5.7413583,2.6554272,-3.6208928,-16.100416,29.651981,62.08501,-2.0021305,4.4773917,-0.7060033
9,0.03956730663776398,2.424508810043335,77.4261474609375,0.11853990738691866,-4.63816996873289,-89.11639873313405,-3.555344,10.7661495,7.6886797,14.272271,-6.585176,-9.197547,9.521096,0.011062412,-18.858482,7.2013397,-14.373277,1.6262599,-4.6906466,4.3025064,10.215593,-5.6435146,16.138004,-41.655006,61.42022,-8.195999,5.7410216,2.656255,-3.615671,-16.102528,29.646004,62.08044,-1.9903142,4.4819674,-0.7030616
