Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-0.10503587871789932,1.7728084325790405,121.71321868896484,0.9125801184172275,1.183096084537686,-89.29509439469975,-3.6939766,6.190899,0.9799168,16.520515,-14.63898,-7.562643,-4.9962487,-9.457185,-1.23582,23.18575,-18.732224,8.671345,-2.3613493,-1.1621646,8.138207,-4.1851754,23.04114,-38.658768,49.401386,2.3244658,-5.62419,5.1029234,-7.538441,-17.725523,33.67724,47.939426,-10.26382,4.0513315,-3.2727377
1,-0.09941036254167557,1.7590926885604858,121.69833374023438,0.8812126158867354,1.2211211106290991,-89.31404953659504,-3.8354187,6.2308855,0.98009133,16.783913,-14.814934,-7.5720916,-4.980345,-9.423547,-1.2224854,23.096674,-18.767729,8.72956,-2.3330584,-1.1259494,8.138602,-4.149348,23.06209,-38.621113,49.326424,2.3050935,-5.6210113,5.103069,-7.539661,-17.728546,33.684593,47.962383,-10.31219,4.009274,-3.280614
2,-0.09261562675237656,1.7423666715621948,121.68347930908203,0.8505653366822968,1.2585602021397622,-89.33245187237125,-3.9741445,6.270142,0.97999495,17.041025,-14.986723,-7.5831633,-4.9608264,-9.390312,-1.2099895,23.000872,-18.799543,8.787883,-2.3037214,-1.0894499,8.136928,-4.1245313,23.072973,-38.5877,49.266235,2.2847848,-5.6177826,5.102807,-7.547381,-17.73015,33.69647,47.99469,-10.358278,3.9649177,-3.2898438
3,-0.08505667001008987,1.7221972942352295,121.66940307617188,0.8185286138961613,1.2970480803907483,-89.35220103023903,-4.120425,6.3102984,0.98027754,17.315222,-15.168761,-7.591105,-4.947239,-9.356686,-1.1960363,22.91643,-18.837107,8.846363,-2.2787347,-1.0498366,8.135606,-4.0899343,23.080807,-38.544025,49.20385,2.2715952,-5.6162786,5.1051536,-7.5700717,-17.732143,33.719532,48.037598,-10.38877,3.9251034,-3.29836
4,-0.07321343570947647,1.7005685567855835,121.65390014648438,0.7838802836646974,1.3383588694651052,-89.3762622169767,-4.281738,6.3533525,0.9827406,17.623196,-15.37524,-7.5913424,-4.946559,-9.321881,-1.1779956,22.855736,-18.886591,8.905053,-2.2525961,-1.006804,8.134105,-4.056426,23.084764,-38.499435,49.158978,2.2586725,-5.6229625,5.112928,-7.6074333,-17.735195,33.754017,48.08754,-10.387005,3.8959756,-3.304392
5,-0.057824015617370605,1.678244948387146,121.634033203125,0.7428438903359476,1.385476061333806,-89.4071979944636,-4.4724956,6.4040565,0.98806053,17.990072,-15.61838,-7.581108,-4.964191,-9.281703,-1.154182,22.821512,-18.951235,8.965788,-2.2304077,-0.95604575,8.128869,-4.0105047,23.084652,-38.44236,49.125004,2.2497165,-5.641824,5.1326046,-7.6296105,-17.739153,33.783142,48.113995,-10.360362,3.880176,-3.3087485
6,-0.04310239478945732,1.6564912796020508,121.6119155883789,0.697949895918332,1.4366908527446125,-89.44291458014453,-4.6806293,6.4597797,0.99577576,18.391697,-15.886362,-7.5635724,-4.9946294,-9.238254,-1.126292,22.806257,-19.026575,9.027938,-2.186748,-0.90453184,8.122557,-3.9799817,23.082962,-38.410225,49.112225,2.2341175,-5.6687145,5.163264,-7.6612563,-17.742088,33.803123,48.145676,-10.29205,3.8722982,-3.3107502
7,-0.02378843165934086,1.6294851303100586,121.58983612060547,0.6535865415300035,1.4863701533979936,-89.4790161617584,-4.891941,6.512353,1.0027816,18.809214,-16.164206,-7.542269,-5.0310574,-9.198498,-1.09718,22.812122,-19.110062,9.087716,-2.1888628,-0.8429393,8.120467,-3.9059203,23.072851,-38.30852,49.084198,2.2463694,-5.69757,5.1849017,-7.7303367,-17.756033,33.88496,48.19792,-10.214694,3.8743029,-3.311067
8,-0.002706725848838687,1.59611976146698,121.56611633300781,0.6156416652834127,1.5291622989443683,-89.51091961843852,-5.0864205,6.552295,1.0072366,19.212343,-16.434185,-7.520755,-5.0684624,-9.17042,-1.0689032,22.844908,-19.201038,9.141194,-2.1742694,-0.7880829,8.120132,-3.8443346,23.059725,-38.23406,49.070984,2.2615387,-5.718061,5.193123,-7.775446,-17.771437,33.94304,48.252846,-10.198255,3.8824663,-3.3023036
9,0.019952652975916862,1.5607109069824219,121.5413589477539,0.5857885927119121,1.562447140640221,-89.53556338250347,-5.2677007,6.576723,1.0048016,19.61087,-16.697695,-7.5011063,-5.11017,-9.156724,-1.042788,22.917826,-19.3026,9.185793,-2.1341486,-0.7470207,8.1243725,-3.799471,23.053719,-38.202026,49.07045,2.2800295,-5.7287483,5.177853,-7.799005,-17.777826,33.965168,48.32509,-10.279548,3.9069436,-3.2812903
