Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.015640554949641228,2.0493037700653076,78.0718994140625,-0.029928590620041242,-0.9807384421610753,-88.3359952198103,2.2167366,8.910683,10.482337,7.8825064,-8.800564,-7.8173122,4.6887474,-9.406841,-14.793231,6.881974,-8.82413,10.61672,-1.1521066,-0.5291825,7.03487,-3.986003,15.128477,-44.54274,57.7746,-6.208143,5.9073734,1.6290652,-4.187441,-14.951785,43.10066,57.237545,9.796947,-2.1714687,4.0372753
1,0.020590269938111305,2.055511474609375,78.07438659667969,-0.02786206675243046,-0.9924724576341541,-88.34221079254209,2.2222118,8.902377,10.4851055,7.880102,-8.791348,-7.814777,4.6886725,-9.41376,-14.783916,6.88109,-8.807841,10.612075,-1.1302762,-0.5488664,7.0940733,-4.04563,15.152463,-44.62174,57.79349,-6.2541957,5.8777905,1.6133697,-4.4467287,-14.965297,42.851757,56.65861,10.805773,-2.2770073,4.153828
2,0.02590068057179451,2.071333408355713,78.07553100585938,-0.024931001958794635,-1.004850435933408,-88.34874807426282,2.2289262,8.893999,10.488002,7.876654,-8.781494,-7.8127227,4.68833,-9.420772,-14.774049,6.882252,-8.792415,10.606707,-1.0881774,-0.57219255,7.1517243,-4.1145644,15.18059,-44.73032,57.817192,-6.311564,5.8458023,1.5963932,-4.69619,-14.970504,42.586372,56.11046,11.790803,-2.3680778,4.2771587
3,0.031931132078170776,2.0866053104400635,78.07672119140625,-0.02165846459295662,-1.0160624111090595,-88.35456498712713,2.233341,8.885618,10.490685,7.8746486,-8.77228,-7.8097734,4.687795,-9.427811,-14.7652,6.880943,-8.776009,10.602699,-1.0444431,-0.5983932,7.2086844,-4.184309,15.2118435,-44.83678,57.839535,-6.363871,5.820249,1.58425,-4.955622,-14.967415,42.29645,55.519337,12.804944,-2.4837391,4.3953958
4,0.03851325064897537,2.100869655609131,78.07855224609375,-0.019398521549745945,-1.0241368738789434,-88.35863529079211,2.2335348,8.876711,10.493388,7.8711696,-8.761292,-7.8046417,4.6826515,-9.435942,-14.757903,6.882112,-8.761727,10.602204,-1.0182308,-0.62511486,7.2630844,-4.2508297,15.237217,-44.90999,57.86562,-6.3945136,5.809113,1.583852,-5.24306,-14.956732,41.97185,54.813435,13.897394,-2.6634424,4.497429
5,0.04421759024262428,2.115605115890503,78.07991790771484,-0.01667489863876302,-1.0272460655334468,-88.3596779706318,2.2272315,8.866794,10.496358,7.865495,-8.747465,-7.795969,4.67322,-9.445473,-14.754087,6.881516,-8.7480135,10.607098,-0.96300495,-0.66096026,7.3179984,-4.339416,15.272813,-45.012802,57.89535,-6.418564,5.823073,1.6043676,-5.53333,-14.932999,41.534096,53.959946,15.092704,-2.9203217,4.569661
6,0.04969245567917824,2.1265177726745605,78.08122253417969,-0.01176665994351081,-1.0266944965026827,-88.35883328521979,2.2145338,8.856337,10.499407,7.8617563,-8.733446,-7.7847385,4.657308,-9.457112,-14.751949,6.885857,-8.737581,10.615923,-0.9292013,-0.69733894,7.3694434,-4.422335,15.304072,-45.083138,57.92715,-6.4219856,5.853184,1.6383932,-5.8490424,-14.904096,41.073788,53.013096,16.379055,-3.2330773,4.619722
7,0.05690949037671089,2.1450319290161133,78.08234405517578,-0.007284309445227398,-1.0261037817552499,-88.35762736782411,2.2023673,8.845548,10.502107,7.856464,-8.719223,-7.7732286,4.6422033,-9.468414,-14.749997,6.8881607,-8.726729,10.625336,-0.8642087,-0.74336517,7.4210725,-4.5158696,15.347583,-45.17755,57.955963,-6.426436,5.887681,1.6743708,-6.1691074,-14.856178,40.53268,51.979286,17.661171,-3.589291,4.696939
8,0.0630870833992958,2.160623550415039,78.08324432373047,-0.004318448766215171,-1.028765569660296,-88.35798670639988,2.19542,8.835569,10.503736,7.8496704,-8.70624,-7.763562,4.631286,-9.47771,-14.746096,6.88858,-8.714951,10.632198,-0.82376605,-0.7857695,7.4723177,-4.587468,15.382939,-45.21359,57.97831,-6.4117346,5.909732,1.6969768,-6.5193076,-14.807978,40.00471,50.870834,18.89287,-3.9734533,4.8349113
9,0.07099666446447372,2.176254987716675,78.0856704711914,-0.002215372470921867,-1.0369530502986901,-88.35999933831538,2.1956563,8.826513,10.5023365,7.843164,-8.696697,-7.7566185,4.628967,-9.484133,-14.74028,6.8833423,-8.700523,10.635618,-0.7758041,-0.8291437,7.5259595,-4.650454,15.416414,-45.223732,57.996582,-6.390222,5.9143553,1.7049843,-6.8832693,-14.7531805,39.43752,49.68424,20.010736,-4.3937464,5.0726705
10,0.07513368129730225,2.1904945373535156,78.0852279663086,-0.002166667305214621,-1.0484278815632464,-88.3627658984738,2.1997216,8.817818,10.498788,7.837797,-8.690144,-7.7511415,4.630121,-9.489322,-14.733037,6.8781776,-8.68684,10.637271,-0.70952964,-0.879851,7.5797167,-4.7136536,15.45732,-45.232758,58.0119,-6.3690786,5.9107256,1.7054901,-7.262497,-14.677078,38.81087,48.425964,21.058968,-4.851825,5.3834124
11,0.07982540875673294,2.2058064937591553,78.0859375,-0.0007327048526081488,-1.0597009479877264,-88.366960505198,2.2052433,8.809524,10.4970665,7.8301864,-8.682662,-7.746172,4.6284823,-9.494652,-14.72376,6.8779116,-8.675561,10.63793,-0.65601385,-0.9309161,7.6296916,-4.762317,15.494775,-45.209015,58.021812,-6.3299537,5.905129,1.6979718,-7.667803,-14.598403,38.18828,47.08896,22.127924,-5.3217044,5.706795
12,0.08658978343009949,2.2187001705169678,78.08659362792969,-0.0009660862299737314,-1.0676579166667306,-88.37253629670006,2.20781,8.802487,10.500424,7.821725,-8.67307,-7.7408338,4.6226974,-9.499257,-14.713106,6.877789,-8.663789,10.637949,-0.5986694,-0.9858082,7.672516,-4.809454,15.533209,-45.189693,58.030273,-6.2809467,5.905495,1.6838255,-8.090154,-14.512307,37.56423,45.668755,23.283241,-5.7789803,5.990028
13,0.09302081167697906,2.2319445610046387,78.08936309814453,-0.0006867494226204046,-1.0724365092701595,-88.3815710784061,2.2084548,8.7979765,10.513056,7.811323,-8.659775,-7.7348166,4.6122317,-9.50244,-14.698992,6.8759313,-8.649412,10.637016,-0.5435317,-1.0424536,7.7085953,-4.850162,15.569692,-45.16227,58.035706,-6.1971307,5.916732,1.6520605,-8.528378,-14.427324,36.950565,44.150425,24.594288,-6.2278247,6.225774
14,0.09936216473579407,2.2483556270599365,78.08915710449219,-6.923891009947369e-05,-1.0752870300780086,-88.39334319407705,2.2080848,8.795241,10.531983,7.8006587,-8.64527,-7.7286286,4.5987744,-9.504297,-14.682104,6.8743377,-8.634765,10.6349125,-0.483923,-1.1028951,7.7386894,-4.886535,15.607549,-45.13206,58.03798,-6.089661,5.934186,1.6061459,-8.980243,-14.337935,36.32814,42.53934,26.003113,-6.6775074,6.4437094
