Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.46806302666664124,-1.5054504871368408,78.51911926269531,0.9182207990553108,4.0002660619674355,101.49549158032131,-1.1175536,2.3360803,-1.8826303,7.7592764,-10.157927,-4.049004,2.4548352,-4.522637,-16.981148,7.1181126,-13.286166,2.9890218,-0.18829969,-1.1046131,-0.32712805,3.810886,13.525811,-22.132484,57.508453,22.928263,-6.311734,-6.7585535,5.745924,-12.093837,21.660093,65.90995,-13.103975,-6.1318064,6.4461207
1,0.47280699014663696,-1.5071682929992676,78.51805877685547,0.9245888546889008,3.9764296088580826,101.5195009625102,-1.0991472,2.3312562,-1.8966241,7.764194,-10.157229,-4.058021,2.4865103,-4.5248322,-16.994783,7.118718,-13.307926,2.9912624,-0.21568024,-1.1138836,-0.2844882,3.7860534,13.530675,-22.197237,57.531883,23.022617,-6.3051934,-6.764461,5.7547216,-12.102424,21.687016,65.92739,-13.1435,-6.151406,6.466064
2,0.4775236248970032,-1.506847620010376,78.51528930664062,0.9291031717058407,3.9514495804533034,101.54489592903435,-1.0792105,2.3290334,-1.9118599,7.7675467,-10.155814,-4.0680532,2.51924,-4.52457,-17.009865,7.119227,-13.329837,2.9932783,-0.23238832,-1.1225061,-0.24313629,3.762451,13.539464,-22.276735,57.54983,23.109293,-6.2960668,-6.766853,5.7738867,-12.111869,21.708235,65.93896,-13.180817,-6.171408,6.486257
3,0.481640487909317,-1.5049878358840942,78.51168823242188,0.9311026188684363,3.9292843887998496,101.56803834086124,-1.0628165,2.328746,-1.9263417,7.774356,-10.156251,-4.0765147,2.549444,-4.522444,-17.023615,7.1203837,-13.351698,2.9956527,-0.23450363,-1.131552,-0.20871346,3.7289846,13.555806,-22.395527,57.58013,23.17998,-6.2862315,-6.769517,5.8117642,-12.123328,21.721745,65.93593,-13.210876,-6.189779,6.50529
4,0.4874585270881653,-1.4996222257614136,78.50952911376953,0.9322597776991234,3.913307225114987,101.58714308993547,-1.0757189,2.330273,-1.9409996,7.836718,-10.18665,-4.080762,2.5749838,-4.5176554,-17.035355,7.1202927,-13.371048,2.9989946,-0.23204021,-1.1382378,-0.18526746,3.6832266,13.583899,-22.562822,57.63563,23.241,-6.2805066,-6.7780604,5.8550878,-12.134972,21.73291,65.930916,-13.235076,-6.206771,6.522172
5,0.49523255228996277,-1.4946799278259277,78.50479125976562,0.9263849096112049,3.907408062667516,101.5997507624149,-1.1479112,2.3377059,-1.9555147,8.0096,-10.274992,-4.0821276,2.5906491,-4.5051,-17.043268,7.1207576,-13.38705,3.0019362,-0.24349102,-1.135944,-0.18131104,3.6296203,13.609293,-22.75456,57.726276,23.288397,-6.2814817,-6.7929482,5.8851285,-12.140781,21.766022,65.943954,-13.248415,-6.220734,6.530586
6,0.49027618765830994,-1.4839437007904053,78.50104522705078,0.9211693658417097,3.90879914042123,101.60744428460399,-1.2143328,2.3471508,-1.966962,8.160089,-10.351484,-4.08104,2.5999088,-4.4908214,-17.04785,7.1193986,-13.398983,3.005026,-0.21262148,-1.1422797,-0.19226268,3.5555475,13.666375,-23.050034,57.834652,23.285706,-6.2831717,-6.811455,5.9557343,-12.146501,21.765985,65.92852,-13.254619,-6.2336993,6.537615
7,0.4898145794868469,-1.4701042175292969,78.49848175048828,0.9176659541584632,3.910711231851277,101.61413377607919,-1.2685324,2.353328,-1.9787232,8.288201,-10.417374,-4.0743427,2.6105669,-4.4799824,-17.052288,7.1191406,-13.413381,3.0107162,-0.20570068,-1.1473484,-0.2077585,3.4814234,13.7183275,-23.340258,57.96476,23.315678,-6.2867937,-6.8321886,6.0038085,-12.148314,21.79407,65.93529,-13.250564,-6.2449417,6.541429
8,0.5015136003494263,-1.4546810388565063,78.49579620361328,0.9186787058105101,3.907101493817562,101.6235420777977,-1.3009988,2.3510575,-1.993931,8.387839,-10.471833,-4.058957,2.630415,-4.477505,-17.060486,7.119571,-13.434148,3.021438,-0.17654383,-1.1662984,-0.21717493,3.4000704,13.80228,-23.693329,58.096992,23.379648,-6.285735,-6.8542614,6.0734463,-12.147644,21.79831,65.924286,-13.2416935,-6.2566137,6.5512547
9,0.5038062930107117,-1.4400193691253662,78.49263763427734,0.9262859541985261,3.894678151015228,101.63664343488031,-1.3087898,2.3374262,-2.015258,8.459024,-10.512156,-4.026579,2.6638427,-4.485908,-17.073774,7.1203036,-13.461042,3.0384927,-0.16620567,-1.1874,-0.22293316,3.3109338,13.8852825,-24.066584,58.25978,23.525398,-6.2824473,-6.8705244,6.1305895,-12.146242,21.822613,65.92957,-13.210608,-6.2687798,6.563327
