Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-0.19904015958309174,1.8302377462387085,79.00496673583984,0.424122339001037,-0.6014539412409311,-85.38812147900367,0.94789296,1.091368,-2.827856,9.2721815,-11.431031,-2.0556273,2.1420584,-4.171075,-10.189466,11.764777,-10.219869,-0.8771901,-3.6455424,-0.10331331,1.3216817,22.938196,17.55182,-87.62892,13.083394,29.458485,-8.074504,-25.466913,25.514639,-24.281233,82.11643,7.7595263,-29.216457,-3.9943197,19.297583
1,-0.0190783329308033,1.7648098468780518,79.00483703613281,0.43090853843214666,-0.5300267198410801,-85.68805283511537,0.9815321,1.0685706,-2.5320477,9.20826,-11.45633,-1.9921641,1.9681876,-4.2042956,-9.876764,11.847724,-10.194158,-0.848116,-3.3635857,0.037386257,1.2078176,22.987795,17.606134,-87.65357,12.885742,29.639038,-8.12508,-25.479757,25.584942,-24.499388,82.07839,7.6777043,-29.255192,-4.006727,19.268705
2,0.06675474345684052,1.7504433393478394,79.00159454345703,0.4588242376197906,-0.449889941802549,-86.0093752517312,1.0288484,1.0211352,-2.2103598,9.107618,-11.46587,-1.9231199,1.6772863,-4.279695,-9.530381,12.153398,-10.280556,-0.81412244,-3.063724,0.16354585,1.0800594,23.03089,17.613201,-87.668884,12.721871,29.952318,-8.210133,-25.49468,25.659079,-24.725704,82.039825,7.5953426,-29.298624,-4.020327,19.238985
3,0.09536145627498627,1.751818299293518,78.9975357055664,0.4799696399419655,-0.37905815619187994,-86.29635145226307,1.0702571,0.98094416,-1.9235419,9.022546,-11.477039,-1.8624943,1.4404294,-4.3385243,-9.223113,12.37933,-10.333599,-0.78096193,-2.8020077,0.281149,0.9664499,23.082455,17.584066,-87.69988,12.620631,30.000164,-8.227474,-25.497335,25.720304,-24.95517,82.009285,7.4988112,-29.330381,-4.0310783,19.213423
4,0.10776592791080475,1.7547706365585327,78.9966049194336,0.49428670102967265,-0.3289210810570727,-86.50060884698227,1.1006899,0.95162725,-1.7203636,8.961436,-11.484239,-1.8187553,1.2780681,-4.378878,-9.005677,12.528232,-10.367032,-0.7492045,-2.6254284,0.3688432,0.8875849,23.160345,17.534523,-87.773026,12.608158,29.387163,-8.074157,-25.472607,25.762598,-25.177326,81.9913,7.37814,-29.343494,-4.034526,19.197235
5,0.11656412482261658,1.754410743713379,78.99551391601562,0.5018774383973321,-0.3091739168318635,-86.59045248987746,1.1145571,0.9379152,-1.6347014,8.937596,-11.486852,-1.7977798,1.2181655,-4.39579,-8.913535,12.575228,-10.376999,-0.7145941,-2.5658433,0.4157249,0.8606565,23.280666,17.482244,-87.91931,12.7018175,27.658735,-7.633323,-25.409573,25.79252,-25.378445,81.98655,7.23282,-29.348864,-4.027224,19.192657
6,0.12072634696960449,1.7539745569229126,78.99609375,0.5034354041465459,-0.3108188978429121,-86.5987889149129,1.1178693,0.9345608,-1.6326243,8.937075,-11.484407,-1.7927293,1.2282076,-4.397616,-8.910415,12.555825,-10.373554,-0.67822814,-2.586564,0.43220362,0.8733061,23.42824,17.437714,-88.11699,12.863127,25.143621,-6.993158,-25.298145,25.792328,-25.551365,81.994064,7.083823,-29.330654,-4.012771,19.19579
7,0.11863342672586441,1.752780795097351,78.99738311767578,0.5035960190649212,-0.31864174639590737,-86.57270684338043,1.1139129,0.9356488,-1.6635399,8.946031,-11.480101,-1.793411,1.2598528,-4.3939176,-8.943114,12.517832,-10.366963,-0.6498828,-2.6380315,0.43396345,0.8998354,23.568636,17.404789,-88.31211,13.031403,22.613583,-6.356706,-25.13948,25.772694,-25.69038,82.006935,6.952335,-29.29585,-3.9965193,19.202879
8,0.11745598167181015,1.7519645690917969,78.99851989746094,0.5043521401887189,-0.3171574969675574,-86.55944837830513,1.1062354,0.9345292,-1.6767468,8.95103,-11.477681,-1.7896916,1.2661827,-4.3942046,-8.958244,12.506829,-10.366874,-0.6391319,-2.671555,0.43788314,0.91114557,23.672726,17.376358,-88.45488,13.157789,20.840427,-5.923775,-24.964249,25.7727,-25.812962,82.0106,6.8357,-29.272707,-3.983703,19.211647
9,0.11791497468948364,1.7470812797546387,79.00045776367188,0.510000470606607,-0.2989124964346051,-86.56645760748083,1.0898179,0.92889553,-1.6607666,8.950395,-11.477686,-1.7767491,1.2267793,-4.4021974,-8.944742,12.545011,-10.379353,-0.65926266,-2.679076,0.44401094,0.8968284,23.74322,17.350357,-88.54925,13.246298,19.97551,-5.7380276,-24.71811,25.77502,-25.914934,82.010025,6.738872,-29.241209,-3.9755437,19.225595
