Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,1.904859185218811,0.15169262886047363,78.79682922363281,-0.1905337209944667,2.1040386465330507,-178.99872132187397,-4.2501855,3.8812568,-1.6633234,7.2701273,-7.70903,-5.406939,-4.130636,-4.4776106,-3.9897885,11.208574,-7.29685,1.1086956,-0.25948516,-0.23873231,5.493873,-0.5623284,15.125701,-33.807476,60.249752,7.849733,7.8587246,6.7552824,-5.1471086,-18.588184,52.232067,55.669548,-5.46657,8.051583,-9.196149
1,1.9043363332748413,0.15562382340431213,78.79225158691406,-0.1628121560004589,2.1107908534802746,-178.98149865062493,-4.2440586,3.8479192,-1.674958,7.233396,-7.694699,-5.40097,-4.3033104,-4.5154524,-3.9745479,11.569064,-7.500617,1.0442197,-0.25986606,-0.26015064,5.5022583,-0.5676058,15.137089,-33.81112,60.23542,7.8201528,7.8583746,6.7651377,-5.1216893,-18.629644,52.191784,55.609634,-5.438234,8.058903,-9.172463
2,1.9032472372055054,0.16366805136203766,78.78710174560547,-0.13512299076608092,2.117904358973167,-178.96479145481214,-4.238654,3.8150194,-1.6861101,7.1981225,-7.6816545,-5.3943887,-4.469024,-4.552069,-3.9586365,11.913624,-7.6963053,0.98065066,-0.2606685,-0.28169551,5.507667,-0.5748862,15.145211,-33.815453,60.22677,7.7883472,7.858174,6.7755885,-5.1030354,-18.658518,52.15182,55.565845,-5.411495,8.065744,-9.145914
3,1.903969645500183,0.16941621899604797,78.78157806396484,-0.10775309432530442,2.123563951061267,-178.94622246339165,-4.232575,3.7822142,-1.6994046,7.163723,-7.6683435,-5.389766,-4.6242375,-4.588346,-3.9460933,12.240678,-7.8825893,0.91439337,-0.25451276,-0.30377385,5.5169964,-0.5859068,15.156177,-33.828014,60.21693,7.7587333,7.8577695,6.786016,-5.0732174,-18.696459,52.10207,55.506866,-5.386143,8.072449,-9.1254425
4,1.9035415649414062,0.17385724186897278,78.77877044677734,-0.07682462594826925,2.126063266053119,-178.92353227371638,-4.2224264,3.745519,-1.7163011,7.1266136,-7.6521277,-5.38934,-4.7822495,-4.6299357,-3.9385896,12.583757,-8.075364,0.84234905,-0.25948653,-0.32783628,5.5251594,-0.5933374,15.16082,-33.831497,60.214405,7.7408295,7.8547306,6.797935,-5.0603023,-18.711607,52.073566,55.483295,-5.349443,8.07339,-9.124384
5,1.903537631034851,0.17938843369483948,78.77333068847656,-0.041628577707921804,2.124448895729336,-178.89791486969008,-4.2045007,3.7045338,-1.7363737,7.0824485,-7.630943,-5.396259,-4.9379783,-4.677315,-3.9351394,12.933968,-8.272769,0.76385987,-0.25362277,-0.3560735,5.5415587,-0.6053488,15.169105,-33.84492,60.209774,7.7359486,7.847937,6.810493,-5.035336,-18.736237,52.03754,55.447353,-5.308854,8.069431,-9.150144
6,1.906651496887207,0.18339885771274567,78.76782989501953,-0.003231362992242574,2.119900401362828,-178.87002674088865,-4.1822557,3.6599157,-1.7587959,7.035096,-7.6068907,-5.4083967,-5.095323,-4.729588,-3.9344316,13.296251,-8.475762,0.6806853,-0.25797817,-0.3860487,5.557263,-0.6122335,15.172021,-33.848812,60.20946,7.7428455,7.8380103,6.8252664,-5.0238504,-18.744102,52.024033,55.438858,-5.2575235,8.060955,-9.198261
7,1.904578685760498,0.1940547078847885,78.76040649414062,0.03714821478909683,2.113630791538154,-178.836702607866,-4.158492,3.612704,-1.7851543,6.985969,-7.580435,-5.4202657,-5.251548,-4.785156,-3.9401367,13.663581,-8.681867,0.59291655,-0.25856853,-0.4174982,5.5776567,-0.6224676,15.177682,-33.858353,60.208115,7.7535768,7.8287334,6.837844,-5.004813,-18.757463,51.999252,55.420006,-5.2054343,8.049872,-9.245737
8,1.901743769645691,0.20581409335136414,78.75458526611328,0.07736058361434328,2.1070494812812486,-178.79490950297046,-4.1401095,3.5645173,-1.8172389,6.9455934,-7.5562806,-5.4265733,-5.4013705,-4.8417697,-3.9565969,14.023749,-8.885571,0.5004925,-0.26199877,-0.4482906,5.599934,-0.6341145,15.185202,-33.87174,60.20681,7.760726,7.824392,6.8468933,-4.981158,-18.773537,51.963924,55.39289,-5.152988,8.039046,-9.27464
9,1.902631163597107,0.2190834879875183,78.74481201171875,0.11842190105704015,2.1016720139874865,-178.74432849324958,-4.1266556,3.5137348,-1.8526225,6.9093103,-7.5318556,-5.4254956,-5.5490437,-4.9018035,-3.9882963,14.382712,-9.091113,0.40425584,-0.27296418,-0.47712624,5.6229887,-0.6430957,15.193131,-33.88468,60.202267,7.7703786,7.826353,6.8494205,-4.9581475,-18.788605,51.915634,55.36106,-5.0976715,8.025506,-9.267327
