Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-0.06516928970813751,-2.3295390605926514,78.37321472167969,-1.1683191107938313,-2.7410839951660084,90.50209876769458,4.1227436,4.933733,-3.4659128,9.3939295,-13.416337,-6.2340083,5.0546,-4.1961966,-4.884114,9.528934,-11.826022,4.2915783,-2.104996,0.53545773,12.159004,-7.424802,12.744697,-42.56741,65.87823,14.480832,6.820272,-5.38676,-7.1687093,-9.607508,38.01492,68.011314,-20.9401,-2.284517,0.83952594
1,-0.0650973916053772,-2.323758840560913,78.37201690673828,-1.165350909758903,-2.753975806167701,90.51771222855697,4.1458707,4.9281855,-3.4796445,9.381184,-13.417315,-6.250658,5.085264,-4.201508,-4.8986855,9.51665,-11.835711,4.3072295,-2.0804973,0.54150677,12.177162,-7.4046044,12.751916,-42.46953,65.846275,13.993402,6.709549,-5.1835685,-7.1205826,-9.627134,37.990788,68.00669,-20.959106,-2.2678978,0.83769435
2,-0.06609316170215607,-2.3179526329040527,78.37081146240234,-1.1629997305295492,-2.7670930661182735,90.53410571708459,4.1698785,4.922468,-3.4939487,9.366497,-13.417437,-6.2690387,5.116576,-4.2072296,-4.914045,9.503642,-11.845396,4.3238797,-2.0556502,0.5468599,12.192993,-7.384493,12.756684,-42.36056,65.813576,13.470165,6.591766,-4.9833317,-7.0800056,-9.638312,37.969162,68.01918,-20.980024,-2.2516737,0.83240134
3,-0.06859192997217178,-2.310460329055786,78.36953735351562,-1.1610296156926165,-2.7799420955987513,90.54904622886413,4.192302,4.9172144,-3.5071197,9.355121,-13.41889,-6.284051,5.146596,-4.2124248,-4.9277973,9.492196,-11.854922,4.338566,-2.0496783,0.55275285,12.21152,-7.35654,12.764401,-42.246838,65.784805,13.030225,6.4810553,-4.781065,-7.050336,-9.651406,37.96194,68.032,-20.993153,-2.2375576,0.83176565
4,-0.06660301983356476,-2.304241180419922,78.36702728271484,-1.1594223461549396,-2.7915188005896723,90.56031513464018,4.2110796,4.9123087,-3.5172508,9.351624,-13.424032,-6.2905846,5.1721845,-4.217038,-4.937465,9.486275,-11.865125,4.348391,-2.0398762,0.55539507,12.215912,-7.332197,12.767783,-42.21376,65.799934,12.757154,6.3953576,-4.562037,-7.0202675,-9.655519,37.951626,68.05202,-20.984652,-2.227911,0.8355796
5,-0.06869064271450043,-2.2973508834838867,78.3645248413086,-1.158134314791944,-2.8029795067621306,90.56689917910369,4.226505,4.9084907,-3.5235584,9.359147,-13.4344635,-6.2843,5.193541,-4.220335,-4.94173,9.487129,-11.87555,4.3512697,-2.0589156,0.5571802,12.221433,-7.2962995,12.774531,-42.242634,65.85487,12.73034,6.321479,-4.2604837,-7.0081983,-9.660959,37.949463,68.071815,-20.953732,-2.227796,0.85821396
6,-0.07031214982271194,-2.290858030319214,78.36200714111328,-1.157289007078156,-2.813260098302516,90.56924462760652,4.23818,4.9054947,-3.5263703,9.3747225,-13.448283,-6.268964,5.209279,-4.22296,-4.941204,9.495721,-11.887655,4.349114,-2.06535,0.5555031,12.214849,-7.2606554,12.7858715,-42.38191,65.94407,12.840982,6.262707,-3.895892,-6.9797792,-9.66759,37.93686,68.0763,-20.896973,-2.2319617,0.8891558
7,-0.06906664371490479,-2.2815287113189697,78.36122131347656,-1.1559805059862884,-2.822354624897176,90.57045034776858,4.2480593,4.9024286,-3.5282407,9.392179,-13.463373,-6.2515516,5.223302,-4.2255483,-4.9395413,9.505795,-11.900103,4.3453298,-2.027834,0.552056,12.20342,-7.245664,12.806441,-42.583645,66.040215,13.035054,6.246321,-3.6141706,-6.92655,-9.679201,37.874382,68.06063,-20.848988,-2.2379096,0.9180682
8,-0.07107584178447723,-2.2721595764160156,78.36111450195312,-1.1542111737023952,-2.830159671713004,90.57304209105718,4.2597814,4.899498,-3.5311124,9.402611,-13.476323,-6.238857,5.2390237,-4.2279735,-4.9398956,9.510737,-11.910993,4.3433056,-2.0390513,0.5546802,12.198601,-7.2245026,12.810871,-42.617905,66.11181,13.320959,6.2921076,-3.563047,-6.9172654,-9.681622,37.864723,68.07872,-20.813612,-2.237861,0.931588
9,-0.07279502600431442,-2.2615158557891846,78.3603286743164,-1.153526595675937,-2.834553739727787,90.57608955551945,4.270473,4.8966584,-3.534345,9.407651,-13.48863,-6.232432,5.252753,-4.230535,-4.9416013,9.514286,-11.92323,4.343674,-1.9878836,0.5592463,12.179643,-7.2161217,12.823092,-42.60668,66.13462,13.746246,6.463233,-3.8987315,-6.863359,-9.6904955,37.810013,68.07,-20.79203,-2.2300966,0.910098
