Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-0.15018489956855774,1.5877289772033691,77.3777084350586,0.2697756213031929,4.605216612502158,-87.28603597140884,-7.8088064,1.7929958,8.743337,14.743663,-14.07569,-2.1184177,-7.83129,-3.5774689,-3.60087,19.595293,-17.231573,4.151783,-2.032801,0.46358296,1.6839347,-7.305929,15.833816,-53.161205,59.617527,1.226794,4.463611,6.6060514,7.795473,-15.876571,30.184845,49.537285,9.982961,6.8426685,-1.6075262
1,-0.1494593322277069,1.581079363822937,77.37645721435547,0.2654808504850912,4.606015312658283,-87.2843013097989,-7.8129864,1.7978777,8.738611,14.7498255,-14.0907,-2.1069067,-7.832489,-3.5739338,-3.6093988,19.599865,-17.227367,4.160735,-2.0438273,0.47648075,1.6874688,-7.300589,15.82896,-53.16008,59.61539,1.2304653,4.4678745,6.6363726,7.8013964,-15.883978,30.16752,49.54409,10.001516,6.8014593,-1.5667942
2,-0.15063372254371643,1.582042932510376,77.37604522705078,0.2609210681913337,4.606551439859536,-87.28262179869526,-7.819079,1.8034004,8.733359,14.760339,-14.109551,-2.0942695,-7.8326735,-3.570252,-3.6190221,19.603088,-17.221813,4.1712027,-2.0562978,0.48756364,1.6904519,-7.2938905,15.826504,-53.16018,59.61292,1.2336388,4.472909,6.6698046,7.8042693,-15.887229,30.153471,49.55541,10.031011,6.759236,-1.52511
3,-0.14959987998008728,1.5772435665130615,77.37622833251953,0.2574157337921167,4.607512630283539,-87.28086456013163,-7.8211126,1.8073213,8.729255,14.761848,-14.120693,-2.0838187,-7.8351283,-3.5671723,-3.6264794,19.60973,-17.219326,4.178659,-2.062584,0.4996327,1.6946808,-7.289985,15.822194,-53.16091,59.609505,1.2380568,4.476873,6.6967545,7.8118467,-15.892085,30.127218,49.561897,10.035238,6.7188077,-1.4852078
4,-0.15004463493824005,1.585038423538208,77.377685546875,0.2563290570769977,4.6095069915974864,-87.27899221589361,-7.826172,1.809132,8.726481,14.767807,-14.127649,-2.0782835,-7.840178,-3.566408,-3.6305778,19.618101,-17.22069,4.1797585,-2.072706,0.5072042,1.6940966,-7.285004,15.820637,-53.15845,59.607323,1.2342114,4.4776063,6.709896,7.818179,-15.893462,30.114521,49.570026,9.996706,6.6820354,-1.46193
5,-0.15298619866371155,1.5914212465286255,77.37722778320312,0.259219008935005,4.612997626933089,-87.27601665414267,-7.8349233,1.8072519,8.725092,14.778599,-14.125978,-2.081038,-7.8509727,-3.568925,-3.629793,19.633799,-17.230272,4.169103,-2.0686574,0.5166624,1.6972927,-7.28601,15.815022,-53.14648,59.600834,1.2372745,4.4723735,6.6961465,7.839224,-15.897107,30.0621,49.56592,9.828949,6.645507,-1.4469173
6,-0.15131312608718872,1.5899468660354614,77.37604522705078,0.2646779451363239,4.617265530013349,-87.2729492532304,-7.8467727,1.8030612,8.725225,14.794823,-14.1179085,-2.0897114,-7.865895,-3.5737164,-3.6249926,19.654951,-17.245956,4.1500273,-2.0738876,0.5199971,1.691536,-7.2827,15.813932,-53.137077,59.597702,1.2209089,4.462632,6.670592,7.8556094,-15.897372,30.043686,49.5692,9.609215,6.6082644,-1.45492
7,-0.15580090880393982,1.5903337001800537,77.37320709228516,0.2707930095641651,4.622168438244116,-87.27023957814161,-7.856685,1.7978044,8.726529,14.805656,-14.108512,-2.098523,-7.880428,-3.579191,-3.618903,19.673155,-17.260532,4.1320114,-2.061614,0.52583903,1.6975315,-7.2907023,15.809273,-53.113895,59.58986,1.2307262,4.454189,6.633009,7.886457,-15.897174,29.970459,49.550407,9.378572,6.5825276,-1.452165
8,-0.15671858191490173,1.5875141620635986,77.37415313720703,0.2756393195444862,4.627328280606382,-87.26930593150102,-7.8641148,1.7934753,8.729167,14.810756,-14.10367,-2.1017358,-7.891209,-3.5836186,-3.6137867,19.682713,-17.268833,4.1242924,-2.0583699,0.52859175,1.6947457,-7.293423,15.806579,-53.108437,59.586853,1.2275436,4.4526563,6.614038,7.8988886,-15.896487,29.94354,49.544518,9.310016,6.573542,-1.453511
9,-0.16094882786273956,1.5869462490081787,77.37358093261719,0.27938706075514147,4.633659792219564,-87.27117322236074,-7.8701167,1.7896898,8.734997,14.810575,-14.1082945,-2.0933018,-7.8973155,-3.588001,-3.6089928,19.679054,-17.267296,4.133421,-2.0523264,0.52834505,1.6921992,-7.300223,15.804339,-53.11257,59.586323,1.2341318,4.4627504,6.6112213,7.901134,-15.895904,29.930788,49.532692,9.454353,6.5942006,-1.4468879
10,-0.1590956598520279,1.5864981412887573,77.37368774414062,0.2830147859383672,4.641037833363258,-87.27478177788954,-7.875154,1.7856104,8.743236,14.806466,-14.117948,-2.0778422,-7.8998127,-3.5927117,-3.603985,19.664877,-17.258717,4.1531425,-2.0449355,0.5255932,1.6877997,-7.30898,15.802419,-53.12477,59.58796,1.2440132,4.480354,6.617893,7.8957076,-15.8958025,29.93056,49.518528,9.741326,6.636393,-1.4384245
11,-0.15396882593631744,1.582642674446106,77.37385559082031,0.2848905312566731,4.647369682654061,-87.27915633478491,-7.8781857,1.7833909,8.750794,14.800212,-14.127381,-2.0654354,-7.900773,-3.5951865,-3.5997286,19.6501,-17.24957,4.173366,-2.037308,0.52324486,1.6825366,-7.3182955,15.79961,-53.14481,59.593143,1.2478411,4.497786,6.630319,7.8891797,-15.896134,29.939873,49.50437,10.054497,6.681478,-1.4309882
12,-0.15383432805538177,1.5806728601455688,77.371826171875,0.28362022496025996,4.650546065185621,-87.28288603653398,-7.8766794,1.7848955,8.754572,14.791557,-14.130158,-2.0663004,-7.899728,-3.593175,-3.5975199,19.64013,-17.243769,4.1841946,-2.0330043,0.524526,1.6813811,-7.323143,15.797647,-53.1559,59.596493,1.2505931,4.508104,6.64146,7.883311,-15.896582,29.946266,49.49559,10.264517,6.7116833,-1.4234842
13,-0.15775306522846222,1.580130696296692,77.36949157714844,0.2763755016061948,4.6483534043499395,-87.28601169509643,-7.869336,1.7938074,8.752004,14.781441,-14.124304,-2.088535,-7.8967,-3.5829446,-3.5992584,19.639967,-17.244127,4.180875,-2.033733,0.53421694,1.68679,-7.3222175,15.796926,-53.158203,59.595863,1.2475454,4.5087132,6.65335,7.8831205,-15.8965845,29.946785,49.48825,10.348242,6.7233105,-1.4130934
14,-0.1589353233575821,1.5812876224517822,77.37052917480469,0.2648266778201022,4.642367977610832,-87.28922273780506,-7.8572435,1.8082286,8.745554,14.76966,-14.113703,-2.1249864,-7.8905935,-3.5665293,-3.603488,19.643824,-17.24697,4.169397,-2.0318747,0.54658085,1.6971322,-7.3198757,15.796053,-53.15967,59.5955,1.2432578,4.504716,6.6689024,7.8829217,-15.896491,29.947268,49.482086,10.383313,6.7285566,-1.4020963
15,-0.15467599034309387,1.5796922445297241,77.37139129638672,0.2534638922256435,4.63545646521649,-87.29232167899715,-7.844266,1.822394,8.738873,14.758583,-14.101477,-2.1628613,-7.883839,-3.550217,-3.6071005,19.648838,-17.250816,4.155828,-2.0309894,0.5581775,1.7083523,-7.317006,15.795461,-53.16068,59.596893,1.2353722,4.49638,6.683065,7.881423,-15.896435,29.948076,49.482025,10.353497,6.724019,-1.3935107
16,-0.15928888320922852,1.578011393547058,77.37226867675781,0.24822105791375806,4.633459071778178,-87.29442104755935,-7.83747,1.828907,8.73554,14.750232,-14.0908785,-2.188975,-7.882906,-3.5415366,-3.6066215,19.6541,-17.254656,4.1465497,-2.0297842,0.5638317,1.7123888,-7.314876,15.794899,-53.160633,59.59971,1.228776,4.4874926,6.6844983,7.8812037,-15.896411,29.950073,49.48883,10.252336,6.707649,-1.3922354
17,-0.15563131868839264,1.5902312994003296,77.373291015625,0.2523441590791227,4.636560574945514,-87.29446201036775,-7.8385243,1.8240451,8.736495,14.748473,-14.082548,-2.2004182,-7.8877797,-3.5444918,-3.6002655,19.660826,-17.259777,4.142985,-2.0331688,0.55983,1.7049173,-7.311648,15.792942,-53.15736,59.60898,1.2199444,4.474027,6.668328,7.879925,-15.896545,29.95892,49.516335,9.987695,6.665006,-1.404881
18,-0.15482574701309204,1.595334529876709,77.37373352050781,0.26232333212368114,4.642491928198441,-87.29329364389116,-7.837806,1.8111598,8.740691,14.73825,-14.068053,-2.2041936,-7.897173,-3.5543692,-3.5891724,19.671251,-17.267328,4.141331,-2.0334966,0.54833806,1.6930103,-7.311408,15.791983,-53.156723,59.621403,1.209149,4.457049,6.639632,7.8801503,-15.897159,29.968304,49.55395,9.598553,6.603356,-1.4280314
19,-0.15923543274402618,1.5862799882888794,77.37076568603516,0.273112947537847,4.651419064574869,-87.29268561825657,-7.8457355,1.798003,8.745826,14.738399,-14.060375,-2.2015653,-7.9102345,-3.5655231,-3.5778182,19.680035,-17.273056,4.1418076,-2.0359344,0.53654224,1.6772667,-7.3093395,15.791289,-53.154026,59.633278,1.1995195,4.441893,6.609506,7.879795,-15.897928,29.979153,49.58883,9.259514,6.5483656,-1.4497288
20,-0.16134138405323029,1.5737254619598389,77.37042999267578,0.27901460107956516,4.662633701896302,-87.29553095107264,-7.85969,1.7913111,8.751584,14.7433,-14.059536,-2.1943057,-7.9262915,-3.5714257,-3.568344,19.684412,-17.274626,4.143742,-2.038879,0.529791,1.6663021,-7.3076854,15.789538,-53.143032,59.64045,1.199979,4.435878,6.5888014,7.8714757,-15.899665,29.994514,49.60507,9.160084,6.528166,-1.4592808
21,-0.15931087732315063,1.57185697555542,77.37200164794922,0.27773442456749103,4.678416621342436,-87.3042325870902,-7.8844123,1.7940439,8.758924,14.755436,-14.069092,-2.1779833,-7.949047,-3.5697823,-3.5612254,19.682278,-17.26892,4.148731,-2.0332835,0.5290121,1.6616331,-7.313622,15.788586,-53.13671,59.64247,1.2091329,4.4435706,6.5831685,7.8568335,-15.900762,30.001759,49.585632,9.460731,6.5684185,-1.4458354
22,-0.1589689701795578,1.5807284116744995,77.3685302734375,0.2729191250544661,4.698112496153086,-87.3171476790945,-7.9183965,1.8020074,8.768144,14.774889,-14.087051,-2.15333,-7.9778447,-3.5643845,-3.5549083,19.676735,-17.258648,4.156462,-2.0240324,0.5311673,1.6595182,-7.324013,15.787352,-53.13096,59.64202,1.224025,4.460636,6.5860806,7.83527,-15.902663,30.009602,49.545517,10.028014,6.64826,-1.4193448
23,-0.15357141196727753,1.583100438117981,77.37095642089844,0.26654971038336533,4.717191123890962,-87.32934248129479,-7.9541125,1.8120555,8.776053,14.799266,-14.108407,-2.1297967,-8.005233,-3.5574586,-3.5501747,19.67024,-17.24848,4.1636047,-2.017774,0.5354412,1.659134,-7.335033,15.785738,-53.124203,59.641453,1.2356557,4.4788837,6.5902195,7.8133264,-15.905963,30.020452,49.50525,10.592666,6.725686,-1.3943698
24,-0.15372741222381592,1.583964228630066,77.36870574951172,0.26124082585996755,4.731337744107948,-87.33570929408816,-7.9852524,1.8205471,8.779499,14.828806,-14.1295,-2.1168487,-8.025205,-3.5518007,-3.5479803,19.668814,-17.244638,4.16698,-2.0143964,0.5403413,1.6613433,-7.3425145,15.784307,-53.11468,59.638954,1.2406348,4.4905114,6.587024,7.8007097,-15.908925,30.025602,49.48391,10.878689,6.758053,-1.3814946
25,-0.1591489464044571,1.5812864303588867,77.37032318115234,0.25861689577589986,4.735450435666028,-87.33375448586276,-8.002221,1.8258882,8.778161,14.857872,-14.146222,-2.123472,-8.030921,-3.5485744,-3.5476692,19.674398,-17.250183,4.1639147,-2.0167568,0.5450228,1.6682805,-7.347081,15.783229,-53.106182,59.636845,1.2235917,4.491084,6.574141,7.8022,-15.9110565,30.02507,49.49532,10.717593,6.713566,-1.3882186
26,-0.16174012422561646,1.5767369270324707,77.36446380615234,0.2567730798124803,4.733055651662339,-87.32623782674041,-8.011288,1.8303181,8.773169,14.889081,-14.161723,-2.1425312,-8.02728,-3.5458252,-3.5494106,19.684082,-17.26151,4.1567945,-2.024424,0.5520911,1.6838822,-7.350159,15.781612,-53.085373,59.63174,1.2043382,4.4854255,6.552793,7.811415,-15.91358,30.011917,49.523678,10.276902,6.62211,-1.4035579
27,-0.1613093465566635,1.5763508081436157,77.36380767822266,0.25400398268251845,4.732787992124735,-87.31740823966408,-8.030565,1.8361876,8.764976,14.935763,-14.184755,-2.1590447,-8.026089,-3.54287,-3.553991,19.695276,-17.274044,4.1496544,-2.0298033,0.55858546,1.6953611,-7.354065,15.780533,-53.071262,59.62797,1.1849734,4.4800954,6.530276,7.8229327,-15.914645,29.999975,49.552963,9.819581,6.5325747,-1.422144
28,-0.15875792503356934,1.5845518112182617,77.36126708984375,0.24798516057812123,4.743146834776251,-87.31107304820178,-8.076689,1.845841,8.753623,15.008816,-14.222061,-2.158017,-8.037831,-3.5383353,-3.56249,19.70319,-17.282257,4.146677,-2.0296679,0.5652108,1.6985313,-7.361286,15.77979,-53.059193,59.625416,1.1889889,4.481158,6.5080705,7.829347,-15.9150505,29.990532,49.56089,9.592014,6.4951925,-1.4314909
