Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,2.901049852371216,1.1189767122268677,78.45958709716797,-3.096951732333634,3.406085212687541,179.87002541465515,-16.052359,7.5121727,5.290721,26.417955,-11.045331,-4.4699483,-8.008694,0.27420017,-13.243796,10.047699,-7.368253,5.151057,-3.9274974,-3.0616572,3.4880762,14.3785715,18.63144,-8.8886175,44.1839,25.807644,5.762837,10.849625,15.77636,-7.766378,19.523384,51.23569,-33.866974,10.313825,-22.25079
1,3.0124003887176514,1.2085528373718262,78.47858428955078,-3.213076491626407,3.447060876834759,179.94580968534024,-16.21941,7.679556,5.1196623,26.386465,-10.91197,-4.5721164,-8.099976,0.13909009,-13.485469,10.517427,-7.6489825,4.9663815,-3.9524236,-2.9796982,3.553598,14.173092,18.735476,-8.7623625,44.221302,25.840424,5.798843,10.863995,15.809954,-7.754153,19.586182,51.248775,-33.884693,10.265152,-22.199924
2,3.1249582767486572,1.3011027574539185,78.4940414428711,-3.3227130778334777,3.4882832319072734,-179.97886269438115,-16.38303,7.8388104,4.952755,26.348867,-10.775759,-4.6718855,-8.186092,0.0004086536,-13.733735,10.965955,-7.940156,4.7835174,-3.9792218,-2.9153109,3.62387,13.9808855,18.867847,-8.635941,44.23932,25.868507,5.832875,10.868387,15.853004,-7.741826,19.653913,51.250183,-33.910366,10.214922,-22.14333
3,3.230860471725464,1.3925635814666748,78.5080795288086,-3.440540101878548,3.528991237194231,-179.90235525289432,-16.552654,8.007824,4.7767844,26.321108,-10.643121,-4.775905,-8.275248,-0.13999121,-13.964292,11.446092,-8.207501,4.5963297,-4.001222,-2.8477356,3.6926003,13.801145,19.012703,-8.503704,44.241398,25.881838,5.86273,10.871967,15.897109,-7.728619,19.724892,51.241253,-33.908882,10.163067,-22.090385
4,3.3433756828308105,1.491756558418274,78.52236938476562,-3.580787464799023,3.5683191265418044,-179.82306220287245,-16.735506,8.203572,4.5788674,26.314837,-10.523427,-4.8909287,-8.37487,-0.28079173,-14.152994,12.00824,-8.414899,4.3983984,-4.0180106,-2.758562,3.7546973,13.642942,19.158054,-8.351587,44.221573,25.870728,5.884674,10.881151,15.935362,-7.7189593,19.805347,51.217495,-33.84193,10.109194,-22.048801
5,3.4571588039398193,1.5952879190444946,78.53890228271484,-3.748934615589862,3.6071810253992638,-179.74216276887122,-16.93324,8.432519,4.355675,26.329988,-10.414203,-5.020223,-8.498782,-0.42687166,-14.312107,12.694418,-8.536752,4.1665263,-4.027877,-2.637165,3.8077543,13.50483,19.295029,-8.171049,44.183125,25.833302,5.89707,10.901142,15.96752,-7.7172303,19.913668,51.173946,-33.663143,10.053645,-22.025492
6,3.5713207721710205,1.7055379152297974,78.55416870117188,-3.93376473129001,3.6453604752237743,-179.65976181198275,-17.140932,8.681151,4.1151357,26.35943,-10.31221,-5.1591015,-8.633827,-0.57923627,-14.448232,13.457768,-8.594506,3.911955,-4.035861,-2.4938443,3.8545983,13.381626,19.421108,-7.9673,44.131847,25.77898,5.9028106,10.929658,15.994593,-7.726215,20.043291,51.115025,-33.40508,9.997026,-22.014551
7,3.6879401206970215,1.820076823234558,78.56814575195312,-4.1265564717745695,3.680060368284997,-179.57216241445911,-17.355383,8.93896,3.8597357,26.404018,-10.219686,-5.3027115,-8.759121,-0.7303194,-14.529449,14.240223,-8.624031,3.679883,-4.0511174,-2.3386855,3.898612,13.27816,19.537289,-7.7478356,44.063774,25.712463,5.90419,10.96028,16.019474,-7.7452917,20.165163,51.04339,-33.144745,9.938935,-22.004105
8,3.8008804321289062,1.934053897857666,78.57987976074219,-4.319658354872584,3.7089717746764834,-179.47578580092056,-17.577501,9.197112,3.5910652,26.47109,-10.141412,-5.446444,-8.8462305,-0.8688896,-14.523737,14.965914,-8.659732,3.5155666,-4.081082,-2.18273,3.943026,13.197943,19.64723,-7.5219975,43.975414,25.638086,5.903551,10.986746,16.042791,-7.772881,20.247799,50.964737,-32.960472,9.879193,-21.982462
9,3.9166371822357178,2.0550451278686523,78.58600616455078,-4.515993040274467,3.73069129327202,-179.36911363944367,-17.807713,9.458197,3.3069727,26.563831,-10.081092,-5.590562,-8.891482,-0.98540497,-14.406292,15.626444,-8.690532,3.445396,-4.1257453,-2.0239215,3.98931,13.142561,19.752441,-7.284481,43.861485,25.551197,5.901374,11.00287,16.0672,-7.8067565,20.280462,50.876087,-32.883366,9.811861,-21.938889
