Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-0.27130141854286194,-1.7568029165267944,74.67865753173828,0.017316583837015422,2.8030800427574634,59.26287588786675,-26.008808,-1.629402,19.657244,25.752012,-9.590863,4.628488,1.1985387,19.06378,12.582275,52.00768,-1.2412254,15.000033,6.8320303,-1.9043802,8.179272,3.089539,18.989174,-35.384583,64.2119,1.0177103,4.3493824,3.325529,-12.893536,-18.517935,40.756283,62.85581,-9.592788,-3.1840181,-0.6626194
1,0.20165856182575226,-1.2183870077133179,74.76469421386719,0.17339656634944034,2.7005583450629347,59.592254788415886,-25.471659,-1.8998548,19.26676,26.04758,-9.997961,5.0811725,-0.1517154,18.458046,11.777643,54.55987,-2.053197,15.000033,6.3026304,-2.031763,8.21064,2.5016284,19.035957,-35.42954,64.48612,1.2327101,4.605827,3.3023536,-12.787054,-18.606615,41.26475,63.016605,-9.429292,-3.2308366,-0.5738249
2,0.6782839298248291,-0.6870817542076111,74.8660888671875,0.32864595222792325,2.5914897522589677,59.91892523071343,-24.948175,-2.163923,18.872456,26.390604,-10.421991,5.5509734,-1.4624251,17.877243,11.054706,57.13471,-2.839164,15.000033,5.7597933,-2.1473107,8.258242,1.9132892,19.074108,-35.47337,64.77343,1.464425,4.881664,3.2628946,-12.668039,-18.755827,41.81454,63.11442,-9.221567,-3.2736876,-0.46687436
3,1.1544468402862549,-0.16743405163288116,74.98021697998047,0.4954608534235759,2.494663939585534,60.2416807723892,-24.382425,-2.4507065,18.491089,26.612637,-10.799304,5.991101,-2.814057,17.127977,10.291495,59.626564,-3.648123,15.000033,5.238931,-2.2659988,8.291749,1.3195502,19.104504,-35.504875,65.01763,1.6664071,5.115064,3.2480361,-12.512148,-18.941246,42.313892,63.177353,-9.060363,-3.3156922,-0.3777098
4,1.6230688095092773,0.36163291335105896,75.11617279052734,0.6943337671279934,2.427844163878513,60.563955169599325,-23.720762,-2.798061,18.140188,26.551424,-11.063733,6.3571277,-4.274804,16.011044,9.396927,61.928925,-4.546761,15.000033,4.74804,-2.4073162,8.285769,0.7306371,19.137125,-35.49379,65.13952,1.7857863,5.2479577,3.2970872,-12.305132,-19.149576,42.705738,63.22287,-9.021799,-3.3590357,-0.34125805
5,2.077718734741211,0.8889116048812866,75.25775909423828,0.9532037590897972,2.401609737726266,60.90106699603105,-22.929457,-3.25646,17.825554,26.103403,-11.161207,6.6552887,-5.878234,14.376221,8.293872,64.07912,-5.634483,15.000033,4.276613,-2.601553,8.219529,0.15686631,19.183374,-35.433155,65.11593,1.8062445,5.258278,3.4349782,-12.039684,-19.371304,42.999886,63.25991,-9.178135,-3.4198964,-0.3690647
6,2.509535551071167,1.430430293083191,75.41213989257812,1.2723245171394841,2.3937356768745173,61.263230848553825,-22.020916,-3.82558,17.528654,25.348076,-11.123551,6.9103556,-7.5416512,12.337008,7.09376,66.12167,-6.907375,15.000033,3.8066487,-2.8501885,8.119801,-0.40481946,19.249363,-35.341736,64.9809,1.7488232,5.1803293,3.635236,-11.741657,-19.60087,43.234158,63.29775,-9.459684,-3.4924562,-0.44368437
7,2.9429492950439453,1.9747456312179565,75.56993865966797,1.6270623129887989,2.373505198306309,61.64504851137464,-21.004911,-4.4671483,17.228283,24.382074,-11.007349,7.1047835,-9.161877,10.100267,5.9718356,67.951675,-8.27024,15.000033,3.3384836,-3.125228,8.03074,-0.947035,19.334192,-35.203957,64.7306,1.6451913,5.039933,3.8591707,-11.410007,-19.830103,43.346817,63.326294,-9.774189,-3.5449858,-0.55498016
8,3.3709843158721924,2.503023386001587,75.72289276123047,1.980766377070449,2.3192772577594405,62.02996400757558,-19.909533,-5.114797,16.907398,23.325417,-10.880581,7.2156563,-10.672793,7.8967996,5.067135,69.45943,-9.584028,15.000033,2.8815079,-3.388757,7.9889903,-1.4814285,19.43394,-35.02716,64.38075,1.5026059,4.860517,4.0693126,-11.042627,-20.051474,43.27266,63.336914,-10.0336685,-3.5462437,-0.692765
9,3.789799928665161,3.030635356903076,75.87014770507812,2.3239425933307434,2.224239969071827,62.41685937024895,-18.71764,-5.757617,16.561157,22.159094,-10.744356,7.209165,-12.094271,5.7341175,4.351234,70.64225,-10.854113,15.000033,2.4414568,-3.630826,8.001929,-2.0040648,19.54495,-34.7891,63.91578,1.3136685,4.629606,4.2668424,-10.629336,-20.259056,42.971237,63.333088,-10.239856,-3.4793928,-0.8734771
