Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.7913352847099304,1.4814746379852295,77.70560455322266,-0.49209885606091863,-0.9274718694008239,-91.6406315263264,4.0369687,12.044298,15.089535,6.8157363,-8.91089,-12.995879,3.1434596,-10.745799,-11.009621,6.8970075,-6.9381013,11.699651,-1.3017946,1.333708,6.8533874,-5.1161942,16.347948,-10.203589,54.139805,-10.007861,6.8869452,12.454605,-11.716375,-14.447984,12.327155,59.010685,-3.6479104,-0.83732766,-6.356813
1,0.8579287528991699,1.4661425352096558,77.70421600341797,-0.4220381513600445,-0.9523735884479055,-91.63249816136495,4.0808287,11.889175,15.087184,6.8171263,-8.960857,-12.8836,3.164672,-10.908834,-11.007578,6.946499,-6.9463854,11.81675,-1.2668029,1.2185568,6.8771224,-5.084961,16.343689,-10.156247,53.991253,-9.940755,6.953916,12.5042715,-11.711418,-14.451142,12.308134,59.001423,-3.6227393,-0.8306057,-6.369627
2,0.9288705587387085,1.444775938987732,77.70355224609375,-0.35190189198320315,-0.9763780657626817,-91.62394020754964,4.1231747,11.73599,15.083361,6.8191304,-9.01131,-12.77017,3.1888533,-11.069032,-11.008214,6.9881487,-6.950567,11.934237,-1.2534212,1.1187664,6.9111867,-5.03763,16.318737,-10.06286,53.827084,-9.84616,7.0187855,12.548542,-11.724403,-14.468399,12.30309,58.9924,-3.5989947,-0.8197582,-6.3763204
3,1.0009618997573853,1.4168837070465088,77.7041244506836,-0.2781041614237078,-1.0020299813468232,-91.61677375038254,4.169023,11.576697,15.082828,6.819874,-9.061374,-12.658808,3.1563663,-11.24604,-10.994665,7.1556425,-7.0220966,12.052517,-1.2348981,1.0266651,6.9382973,-5.000481,16.271465,-9.976328,53.678043,-9.748684,7.0849843,12.596797,-11.731072,-14.500865,12.305264,58.986645,-3.5722914,-0.8148086,-6.3874183
4,1.0797404050827026,1.3963394165039062,77.70149993896484,-0.1978235446643586,-1.0330345255906166,-91.61175770738234,4.223378,11.404858,15.088573,6.8209352,-9.112304,-12.553155,3.0571744,-11.449806,-10.959974,7.478191,-7.175945,12.171657,-1.207447,0.9275345,6.965122,-4.963602,16.21759,-9.89232,53.52102,-9.641655,7.1608977,12.639339,-11.729666,-14.5379505,12.300988,58.98312,-3.5605059,-0.82639843,-6.4040184
5,1.1600301265716553,1.3737776279449463,77.69954681396484,-0.1142705818454326,-1.0718921429084005,-91.60623967958003,4.2889996,11.224024,15.099128,6.8205686,-9.161797,-12.456181,2.9765353,-11.660105,-10.922143,7.784716,-7.323622,12.2889595,-1.1795008,0.82570684,6.99517,-4.9199553,16.155378,-9.794829,53.347794,-9.511528,7.256022,12.674462,-11.725362,-14.578558,12.297294,58.990025,-3.570961,-0.86580235,-6.4303803
6,1.2462594509124756,1.345878005027771,77.69435119628906,-0.028213789011503045,-1.1163537822294358,-91.60050827616278,4.3626776,11.036543,15.113095,6.8201213,-9.210919,-12.365307,2.9045744,-11.876652,-10.8810005,8.089389,-7.4718695,12.40507,-1.152084,0.7217732,7.0272684,-4.871326,16.086874,-9.686804,53.163555,-9.364857,7.3644896,12.704343,-11.720095,-14.620931,12.294755,59.005672,-3.5979962,-0.92472965,-6.4643173
7,1.3362231254577637,1.3167569637298584,77.68738555908203,0.05910019928273598,-1.1642839220809875,-91.59804773225632,4.443127,10.844287,15.131305,6.8191032,-9.262069,-12.276814,2.835618,-12.097307,-10.834538,8.39441,-7.619671,12.52326,-1.1214526,0.61519885,7.0580254,-4.816993,16.016603,-9.581853,52.969353,-9.220639,7.4702997,12.728135,-11.713626,-14.664817,12.293096,59.021484,-3.6256046,-0.9842227,-6.4990153
8,1.4332091808319092,1.290358066558838,77.6791000366211,0.1479022600846203,-1.2137271337273683,-91.60237928422491,4.5290937,10.64956,15.154572,6.818599,-9.31907,-12.18684,2.7626092,-12.322442,-10.779703,8.706351,-7.7667923,12.646777,-1.0827409,0.5028384,7.0850782,-4.755688,15.95493,-9.495875,52.764057,-9.100445,7.557891,12.744402,-11.706495,-14.7082,12.29275,59.02945,-3.6354127,-1.0255045,-6.5277185
9,1.5318760871887207,1.2632321119308472,77.67041015625,0.2403865811899042,-1.2649237980002266,-91.6134994762412,4.6208773,10.450695,15.181481,6.818065,-9.381431,-12.095119,2.6959732,-12.550559,-10.718717,9.003425,-7.905491,12.778551,-1.0354731,0.385478,7.1090174,-4.684367,15.901042,-9.426809,52.543026,-9.010885,7.61465,12.74609,-11.695709,-14.7527485,12.288735,59.021233,-3.6219318,-1.0373365,-6.5446367
