Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,1.3995002508163452,0.9592248797416687,60.281402587890625,-11.581671473683159,40.58391061610299,-5.93603933032393,-71.28364,1.5642438,15.774625,96.11215,-32.96948,9.351958,-82.83854,-4.6195407,-46.07484,59.168983,-19.29952,-15.000033,3.8396397,7.8292766,29.793802,-86.143814,30.28198,-63.270233,33.780712,27.699986,-6.2830925,9.027749,-83.544044,-31.843573,57.638126,46.190365,-32.545437,-10.420685,-31.004786
1,1.0150883197784424,0.6485961079597473,60.042083740234375,-11.462922236672025,40.43991547931918,-5.53917707472977,-70.97613,1.1752695,15.315792,95.726295,-35.28516,9.714647,-82.99185,-4.743791,-46.427883,59.239273,-19.237272,-15.000033,3.843401,7.983831,29.793802,-86.13846,29.972504,-63.173325,33.79507,27.640099,-6.307957,9.104447,-83.619354,-31.979109,57.623672,46.14326,-32.501247,-10.41153,-31.05012
2,0.6276246905326843,0.33986321091651917,59.8155517578125,-11.369099274387803,40.29165292258686,-5.154201381586844,-70.63857,0.7615287,14.811169,95.31005,-37.69915,10.100868,-83.14012,-4.8626914,-46.802032,59.317955,-19.183676,-15.000033,3.8654933,8.162923,29.793802,-86.13826,29.657776,-63.073357,33.801685,27.572655,-6.3348374,9.185302,-83.68985,-32.13249,57.608532,46.087654,-32.460213,-10.398742,-31.094473
3,0.23314808309078217,0.027881884947419167,59.60565185546875,-11.241107011522812,40.14868048765551,-4.753657687671264,-70.363174,0.38244048,14.3595705,94.95862,-39.911495,10.470215,-83.29186,-4.987597,-47.139145,59.372173,-19.108734,-15.000033,3.8753958,8.321048,29.793802,-86.13566,29.339079,-62.9746,33.811832,27.516665,-6.359093,9.256993,-83.75818,-32.300327,57.599358,46.023357,-32.408882,-10.391954,-31.137291
4,-0.16796080768108368,-0.2900516986846924,59.41550064086914,-11.01981489939598,40.0201025461048,-4.310242300034601,-70.2445,0.09562671,14.066458,94.76575,-41.622406,10.774981,-83.45599,-5.127909,-47.37989,59.36494,-18.976833,-15.000033,3.8413951,8.41432,29.793802,-86.12677,29.02168,-62.88369,33.83459,27.483908,-6.3763304,9.305696,-83.82561,-32.47695,57.60228,45.95246,-32.334023,-10.400289,-31.178291
5,-0.5715676546096802,-0.6136203408241272,59.24711227416992,-10.686150838509883,39.91444381753417,-3.809277493515238,-70.326836,-0.049249116,13.999974,94.78367,-42.71803,11.003528,-83.64571,-5.2930517,-47.50685,59.294495,-18.78831,-15.000033,3.7472007,8.426561,29.793802,-86.11524,28.712673,-62.800266,33.86683,27.489685,-6.3830447,9.32079,-83.902466,-32.65684,57.61936,45.873745,-32.21316,-10.433371,-31.218132
6,-0.9766430854797363,-0.9386209845542908,59.10087966918945,-10.270716369732215,39.8236578797356,-3.26755038498849,-70.55382,-0.09165285,14.098423,94.952,-43.372562,11.173613,-83.85557,-5.474091,-47.549816,59.17715,-18.55669,-15.000033,3.6067376,8.376676,29.793802,-86.09957,28.416521,-62.72275,33.902863,27.522192,-6.382076,9.311676,-83.988396,-32.835304,57.649143,45.78948,-32.059803,-10.484158,-31.257
7,-1.3845577239990234,-1.261430025100708,58.97671127319336,-9.788321089102451,39.7311630421829,-2.7043730872283436,-70.86716,-0.1042124,14.274837,95.196846,-43.719715,11.280227,-84.06507,-5.660861,-47.524696,59.016205,-18.283855,-15.000033,3.4319344,8.271524,29.793802,-86.06442,28.134916,-62.651764,33.947052,27.556633,-6.378604,9.29436,-84.06601,-33.00648,57.686703,45.706963,-31.915081,-10.536245,-31.294638
8,-1.7966221570968628,-1.5836901664733887,58.870418548583984,-9.254229607194864,39.620448987059234,-2.1394889932978653,-71.210815,-0.16252081,14.4415655,95.44591,-43.889698,11.319313,-84.25548,-5.8426905,-47.444767,58.81566,-17.96513,-15.000033,3.2349749,8.118583,29.793802,-85.99782,27.867653,-62.5906,34.007072,27.565882,-6.377775,9.284932,-84.12042,-33.163925,57.7306,45.635315,-31.819937,-10.573148,-31.330961
9,-2.21339750289917,-1.905185341835022,58.78202438354492,-8.649910150102473,39.4852677284692,-1.5611411428684296,-71.60814,-0.27351272,14.602322,95.738266,-43.813354,11.280005,-84.42519,-6.0299277,-47.29389,58.58419,-17.615183,-15.000033,3.0048778,7.9059725,29.793802,-85.89117,27.614508,-62.543335,34.085106,27.540627,-6.3823805,9.293427,-84.154045,-33.30131,57.787598,45.5883,-31.812004,-10.585545,-31.371569
