Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-0.0032742845360189676,6.333606719970703,18.876310348510742,-4.737546480674673,-22.718904722878126,-86.97013745081829,-101.650215,15.80777,-29.318989,165.00038,-45.290215,-7.815355,-86.83678,-25.54103,28.334427,165.00038,-50.000305,15.000033,3.312553,8.331028,29.793802,-67.31304,13.779789,-93.771286,45.174206,21.087416,-1.815399,-12.994518,-62.599663,-24.357628,91.146805,52.866364,-11.181238,-7.635052,-1.687639
1,-0.004800712689757347,6.332515239715576,18.87752914428711,-4.7613113542972485,-22.723940835615853,-86.97043250325495,-101.65794,15.780554,-29.366503,165.00038,-45.274296,-7.836929,-86.80139,-25.53173,28.293528,165.00038,-50.000305,15.000033,3.4925406,8.543182,29.793802,-67.40036,13.413159,-93.79683,45.339073,21.136745,-1.8556101,-13.009511,-62.533684,-24.517101,91.1029,52.94442,-11.190812,-7.6285634,-1.72679
2,-0.0035944445990025997,6.331927299499512,18.876174926757812,-4.785137660363361,-22.728195980138455,-86.97087287370412,-101.66812,15.75341,-29.413439,165.00038,-45.256454,-7.856049,-86.76514,-25.521742,28.251286,165.00038,-50.000305,15.000033,3.6637645,8.745754,29.793802,-67.48616,13.088066,-93.8226,45.472755,21.185345,-1.8936532,-13.024457,-62.472492,-24.691189,91.062,52.993797,-11.198938,-7.620265,-1.7680651
3,-0.003280036151409149,6.331830978393555,18.876251220703125,-4.808431620648172,-22.73208997612493,-86.97130806117342,-101.67688,15.727573,-29.4574,165.00038,-45.24107,-7.876369,-86.731804,-25.514523,28.212784,165.00038,-50.000305,15.000033,3.8274755,8.93948,29.793802,-67.568794,12.796456,-93.84589,45.579178,21.234781,-1.9288086,-13.039074,-62.414402,-24.874481,91.02312,53.023823,-11.207013,-7.612178,-1.8055892
4,-0.00512420479208231,6.332822322845459,18.877605438232422,-4.8280703165456345,-22.73509276215667,-86.97042683837833,-101.681885,15.706581,-29.492157,165.00038,-45.232,-7.897131,-86.705124,-25.517616,28.182043,165.00038,-50.000305,15.000033,3.98402,9.124715,29.793802,-67.64899,12.531535,-93.86501,45.66169,21.28482,-1.9601141,-13.053027,-62.359406,-25.06336,90.986916,53.042183,-11.21693,-7.6065483,-1.8333439
5,-0.003156860126182437,6.332862377166748,18.878013610839844,-4.845043488609159,-22.737130540417905,-86.96815661630453,-101.68745,15.691081,-29.51273,165.00038,-45.225143,-7.916339,-86.68679,-25.536968,28.161503,165.00038,-50.000305,15.000033,4.1349525,9.303873,29.793802,-67.72552,12.287399,-93.876785,45.723446,21.340178,-1.9886276,-13.065956,-62.30625,-25.255636,90.95174,53.05584,-11.228945,-7.6064124,-1.8471539
6,-0.0021202394273132086,6.330953598022461,18.87872886657715,-4.859896792391733,-22.73977344729445,-86.96680824430645,-101.67948,15.676452,-29.533768,165.00038,-45.23438,-7.950731,-86.67017,-25.566341,28.14385,165.00038,-50.000305,15.000033,4.284425,9.482215,29.793802,-67.800186,12.0590515,-93.88397,45.767582,21.398733,-2.0148919,-13.078266,-62.25293,-25.450203,90.916115,53.06774,-11.243393,-7.610332,-1.8511037
7,-0.0004460633499547839,6.331357479095459,18.880395889282227,-4.871997532114455,-22.74121388165305,-86.9637455069781,-101.680244,15.667265,-29.543821,165.00038,-45.23574,-7.97015,-86.66046,-25.598587,28.133408,165.00038,-50.000305,15.000033,4.4268956,9.65116,29.793802,-67.87224,11.844093,-93.88938,45.802197,21.454199,-2.037546,-13.090097,-62.2027,-25.645008,90.8835,53.07182,-11.2574625,-7.612669,-1.8517209
8,0.0014113681390881538,6.3318328857421875,18.87947654724121,-4.884856414858492,-22.742806781406575,-86.96168566258174,-101.677124,15.659167,-29.55985,165.00038,-45.241676,-7.9869366,-86.65078,-25.62299,28.1217,165.00038,-50.000305,15.000033,4.5649204,9.813519,29.793802,-67.943436,11.640874,-93.89783,45.828564,21.498413,-2.0549257,-13.101861,-62.15474,-25.838364,90.85436,53.067524,-11.270255,-7.6081924,-1.8558615
9,0.0032047138083726168,6.333024978637695,18.879539489746094,-4.895310078909414,-22.74396775810056,-86.9579134413148,-101.68208,15.655469,-29.575562,165.00038,-45.24064,-7.9840417,-86.643654,-25.639683,28.112238,165.00038,-50.000305,15.000033,4.697154,9.9669485,29.793802,-68.01226,11.448344,-93.90929,45.84778,21.529362,-2.0650556,-13.112696,-62.108356,-26.028925,90.82986,53.05495,-11.287412,-7.5947876,-1.8694515
