Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,1.5486819744110107,1.4604284763336182,78.49822998046875,-1.0870713689252895,-3.863650242256394,-94.30084763856568,8.920798,5.549606,12.517622,6.9704614,-10.333351,-7.4192424,4.859742,-3.2112417,3.3427627,10.146718,-11.866694,5.0767775,-0.5551217,1.5699968,8.77718,0.2390303,13.595596,-30.187027,65.365166,9.467393,-4.109921,-1.2588345,-4.7352633,-12.467371,35.507053,68.70356,-8.318459,-1.6925943,-0.4380535
1,1.5644054412841797,1.4724282026290894,78.49629211425781,-1.03546085926049,-3.813126667993286,-94.31173610922984,8.85711,5.47356,12.557273,6.967716,-10.33743,-7.3709836,4.7400236,-3.295489,3.3714433,10.250311,-11.9404335,5.164566,-0.5507652,1.5313461,8.763772,0.25349548,13.6019125,-30.166376,65.320015,9.4381275,-4.095262,-1.2976183,-4.742818,-12.4726515,35.4827,68.71885,-8.294478,-1.705698,-0.44212273
2,1.5886608362197876,1.481863260269165,78.4959487915039,-0.985009179632423,-3.7666721529468856,-94.32429218652038,8.798573,5.396715,12.600269,6.964615,-10.342217,-7.3216996,4.632653,-3.3801372,3.4026797,10.338452,-12.007947,5.253897,-0.5433241,1.4924885,8.758094,0.26544732,13.60629,-30.136066,65.271835,9.416887,-4.0781655,-1.3431387,-4.7506533,-12.480715,35.44729,68.729774,-8.279716,-1.7215582,-0.44232923
3,1.614844799041748,1.495656132698059,78.49327087402344,-0.9338532029260036,-3.7121922965777947,-94.33385988521343,8.729083,5.3187833,12.636892,6.961916,-10.344467,-7.2757597,4.512631,-3.465433,3.428837,10.433966,-12.076239,5.340344,-0.5390189,1.4551017,8.747573,0.27408487,13.608303,-30.109064,65.22966,9.397754,-4.0668387,-1.3785207,-4.759108,-12.490978,35.41312,68.739395,-8.264292,-1.7328206,-0.44468665
4,1.6448099613189697,1.512589931488037,78.49441528320312,-0.881184049929959,-3.636799703292474,-94.33681268483785,8.632674,5.23662,12.658909,6.9576974,-10.3393955,-7.2371445,4.3521147,-3.5532231,3.443753,10.564144,-12.1549015,5.4199505,-0.53987134,1.4203104,8.726624,0.2801412,13.607804,-30.089235,65.19084,9.387404,-4.068338,-1.3895434,-4.7686677,-12.509694,35.380108,68.7415,-8.2480135,-1.7326387,-0.45108536
5,1.6745820045471191,1.5309988260269165,78.49443817138672,-0.8340841754444371,-3.5405701263801523,-94.32926288434501,8.507798,5.153124,12.656761,6.951635,-10.325152,-7.2139506,4.152675,-3.6413982,3.4390278,10.7251425,-12.24045,5.4916687,-0.5543601,1.3917866,8.689191,0.28703254,13.603052,-30.097548,65.163345,9.3923435,-4.09073,-1.3562305,-4.7835026,-12.532499,35.36517,68.747025,-8.2186775,-1.7143523,-0.46757856
6,1.7147077322006226,1.5513484477996826,78.48867797851562,-0.798659804836669,-3.4276597209574824,-94.31137339322491,8.343096,5.08413,12.6329365,6.9816384,-10.323528,-7.2031946,3.911092,-3.718528,3.41732,10.9366865,-12.34463,5.557691,-0.57743526,1.3750181,8.6397,0.2886226,13.595017,-30.126757,65.149414,9.409213,-4.1275644,-1.2909712,-4.7936006,-12.555787,35.357033,68.74333,-8.184088,-1.679594,-0.49258122
7,1.7543202638626099,1.5705511569976807,78.48101806640625,-0.7695961129102977,-3.295503581555063,-94.28977294154036,8.119877,5.0244937,12.602673,7.086972,-10.35771,-7.1906466,3.634271,-3.7934592,3.3928132,11.175189,-12.458627,5.6192913,-0.59648925,1.3696114,8.575552,0.28372934,13.577182,-30.157288,65.14049,9.408528,-4.1648955,-1.2236843,-4.7965746,-12.594159,35.34475,68.73056,-8.149497,-1.6443946,-0.51694
8,1.7919903993606567,1.5869919061660767,78.47189331054688,-0.7376429871365308,-3.1418253098095095,-94.27108380384122,7.7317233,4.993191,12.572863,7.498353,-10.552121,-7.162525,3.3099523,-3.8698504,3.380549,11.459028,-12.589739,5.6775355,-0.6138708,1.360026,8.492359,0.29105464,13.566849,-30.1498,65.11057,9.363034,-4.187132,-1.1867654,-4.8159466,-12.612643,35.33406,68.74496,-8.1223545,-1.6218003,-0.54050887
9,1.8341686725616455,1.6134768724441528,78.46005249023438,-0.7058734582787309,-2.9541520703333104,-94.25475848446018,7.258654,4.9701962,12.555639,8.011727,-10.797239,-7.11741,2.9279728,-3.9463844,3.3825164,11.78024,-12.733524,5.7346487,-0.62437385,1.3678393,8.389617,0.28278702,13.525225,-30.08437,65.08431,9.276704,-4.188749,-1.1951866,-4.804157,-12.6799135,35.32167,68.70227,-8.1060095,-1.6090442,-0.5492392
