Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.04721929877996445,-1.9334564208984375,77.56730651855469,1.1864347300311624,1.0136620948616488,87.48125363434747,0.6255749,1.869234,22.982115,16.488503,-18.598894,2.2099717,-28.568325,-12.450341,-12.312621,52.919083,-7.92255,6.269974,-5.008112,-2.9763515,8.603171,-4.113546,34.892326,-37.121372,45.339832,18.78023,5.089093,-3.019218,4.0778627,-24.97499,42.627567,47.671993,-15.371823,0.47173366,4.6082597
1,0.08356253057718277,-1.2472925186157227,77.5373306274414,1.2989801775114211,1.1288923818332879,87.54161662753681,1.5785424,1.5275493,22.977985,15.412475,-18.606155,2.0322201,-28.694166,-12.305118,-12.756667,49.343517,-7.1933823,6.7167387,-5.1660514,-3.005785,8.51484,-4.6265206,35.00549,-37.07871,45.116154,18.729574,5.103059,-2.923479,4.3194118,-24.99963,42.636806,47.72524,-15.361542,0.5101488,4.5665193
2,0.11818777769804001,-0.5549682974815369,77.48692321777344,1.401169378736342,1.2400592190886452,87.60800653765013,2.5387745,1.1944102,22.963352,14.325437,-18.608831,1.8601145,-28.7916,-12.148875,-13.22417,45.72024,-6.441853,7.14591,-5.3324165,-3.0294623,8.437112,-5.1362753,35.14845,-37.04258,44.865192,18.667261,5.11845,-2.8275998,4.555448,-25.01986,42.642822,47.77783,-15.344685,0.55661404,4.525355
3,0.1597750037908554,0.1372293084859848,77.41980743408203,1.5128187681119571,1.3528743230501428,87.67767019649183,3.5132625,0.84761727,22.939964,13.205709,-18.590446,1.6762106,-28.827604,-11.977897,-13.667545,41.989872,-5.6581726,7.6160507,-5.497134,-3.0696971,8.354045,-5.6166854,35.31163,-36.990826,44.59052,18.60473,5.1332374,-2.7425406,4.7966666,-25.036303,42.654736,47.827713,-15.343161,0.5852817,4.4833474
4,0.20404785871505737,0.8459781408309937,77.33638763427734,1.6536669913651072,1.4724163681501674,87.74955834171487,4.5144353,0.462636,22.907127,12.021095,-18.5293,1.4635495,-28.763039,-11.788378,-14.040465,38.08223,-4.826887,8.184642,-5.652853,-3.1490738,8.251106,-6.054052,35.48646,-36.910675,44.304436,18.543615,5.1455274,-2.679405,5.053935,-25.04953,42.68089,47.871983,-15.381023,0.57029766,4.4389086
5,0.2615513503551483,1.5588699579238892,77.23591613769531,1.8435398741849502,1.5995017002779666,87.82625407069445,5.5658913,0.0061034653,22.859234,10.714544,-18.397223,1.2150608,-28.54323,-11.582436,-14.344856,33.844376,-3.8525424,8.96932,-5.801085,-3.2870684,8.119207,-6.446813,35.66767,-36.7988,44.016068,18.488407,5.1527414,-2.6465898,5.3325605,-25.061378,42.734287,47.919632,-15.473661,0.4825599,4.3778133
6,0.3256875276565552,2.2811248302459717,77.1175765991211,2.0743756771861284,1.7241583022546108,87.92102324875401,6.6737447,-0.5124305,22.782494,9.290459,-18.196741,0.9433609,-28.158014,-11.36535,-14.608884,29.271868,-2.730832,9.905335,-5.959673,-3.4717596,7.972268,-6.8112235,35.853004,-36.666054,43.730312,18.434765,5.156417,-2.636145,5.6274056,-25.072893,42.80799,47.96752,-15.60603,0.34391975,4.3052826
7,0.39486172795295715,3.0086822509765625,76.97643280029297,2.325136854159987,1.8327047743471356,88.05136506075462,7.83454,-1.0621666,22.661724,7.787351,-17.947235,0.6620279,-27.632462,-11.149862,-14.829453,24.52433,-1.5865744,10.776595,-6.143339,-3.68474,7.8310914,-7.1478086,36.040016,-36.51395,43.442368,18.38028,5.1604733,-2.6342409,5.9280515,-25.083605,42.883053,48.002285,-15.747645,0.20431949,4.2490435
8,0.46802306175231934,3.7413506507873535,76.81912231445312,2.582953374749996,1.9109625743002103,88.23349963009505,8.449722,-1.3574933,22.497608,7.615349,-18.388783,0.37288857,-27.018818,-10.962925,-15.001912,19.82175,-0.574126,11.368238,-6.36655,-3.9129388,7.7166967,-7.462556,36.22657,-36.347828,43.152363,18.318064,5.16864,-2.627073,6.2248116,-25.091627,42.93992,48.00887,-15.870328,0.11383926,4.2372127
9,0.5485888123512268,4.480981349945068,76.6440200805664,2.8634799404449036,1.952212756779361,88.47859009376236,9.069842,-1.6555458,22.275522,7.5217667,-18.8743,0.08991758,-26.327322,-10.822351,-15.011278,15.128537,0.24946235,11.566958,-6.64111,-4.1744366,7.6331844,-7.768327,36.411953,-36.173237,42.86586,18.240509,5.1834383,-2.6105213,6.513717,-25.095675,42.961216,47.978226,-15.963258,0.09113701,4.3206515
