Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.7036896347999573,-2.2857587337493896,75.48881530761719,6.318503087246429,-1.18038634946098,88.59786399448956,-16.68964,-1.9848057,14.823132,20.289768,-5.680083,-4.239711,10.501173,-11.853353,-3.6443741,35.718105,-23.599852,12.600002,2.577677,-6.650638,3.8330631,2.5014064,10.800698,-20.574703,72.404655,1.5618569,-2.0320265,4.692789,-4.504785,-15.791919,50.960503,69.73216,6.8149424,0.9318242,-2.08862
1,0.5321835875511169,-1.8018629550933838,75.53666687011719,6.61982985317081,-1.2134598242291446,88.57926118652448,-15.94035,-2.5617487,14.972118,19.661049,-5.7718086,-4.084545,9.737896,-12.401842,-3.1248553,37.936607,-22.75808,13.542384,2.5353763,-6.875254,3.7650208,2.52148,10.806404,-20.528454,72.24898,1.6125437,-2.0487747,4.733029,-4.3455453,-15.824655,50.87554,69.88779,6.8306475,0.9608275,-1.9164546
2,0.36718839406967163,-1.3244742155075073,75.58647155761719,6.9178491249217196,-1.2436376955417416,88.56133155556611,-15.188868,-3.139114,15.113237,19.02461,-5.8643517,-3.935868,9.001106,-12.915868,-2.5989997,40.1164,-21.928797,14.523415,2.5060246,-7.089022,3.6974146,2.536651,10.803878,-20.493126,72.10317,1.6657381,-2.0674713,4.7726274,-4.151886,-15.903538,50.772495,69.99677,6.852519,0.996478,-1.732555
3,0.21419627964496613,-0.8551205396652222,75.64259338378906,7.119503052695598,-1.2648484972387026,88.53052921388924,-14.5412035,-3.574434,15.2088375,18.58696,-6.044695,-3.7999995,8.225038,-13.232427,-2.0677378,42.297962,-21.061214,15.000033,2.484367,-7.2081647,3.6277847,2.5331616,10.796844,-20.455551,71.951294,1.7147686,-2.0840874,4.81535,-3.9667807,-16.000162,50.670666,70.07481,6.8583326,1.0267076,-1.5658413
4,0.07388553023338318,-0.39811408519744873,75.69710540771484,7.249095233081667,-1.2925820621290462,88.49093348651651,-13.966567,-3.9042797,15.262989,18.299805,-6.275958,-3.6502848,7.353249,-13.423378,-1.5513196,44.591545,-20.154438,15.000033,2.4627779,-7.262071,3.5865245,2.4901922,10.799307,-20.416891,71.77191,1.7484719,-2.094548,4.8608356,-3.8127096,-16.115017,50.572563,70.095055,6.8257995,1.0412412,-1.4419234
5,-0.062314413487911224,0.05280608311295509,75.74880981445312,7.37843857753807,-1.3387711414570331,88.4531992355728,-13.380989,-4.235544,15.29385,18.00164,-6.473292,-3.4573135,6.375719,-13.632473,-1.0301704,47.07421,-19.24147,15.000033,2.4304373,-7.320243,3.5898128,2.4104447,10.821622,-20.368402,71.54674,1.7675515,-2.0877714,4.893192,-3.7018018,-16.241255,50.494205,70.0598,6.7461247,1.0339109,-1.3692675
6,-0.19262701272964478,0.49357208609580994,75.79444122314453,7.506896132678964,-1.3983501183877176,88.41599880295253,-12.788441,-4.568909,15.307746,17.697807,-6.647494,-3.2333405,5.3234916,-13.854302,-0.51009357,49.689743,-18.32145,15.000033,2.3901424,-7.3835196,3.6267717,2.3102741,10.865524,-20.310143,71.279305,1.7776407,-2.0686133,4.91467,-3.6188414,-16.375734,50.426357,69.97792,6.629524,1.0110736,-1.3332407
7,-0.3210318386554718,0.9305689334869385,75.8344955444336,7.635165694907815,-1.473108322895506,88.3788149878666,-12.189192,-4.9023485,15.31093,17.398388,-6.813772,-2.9899108,4.210667,-14.087302,0.009505797,52.38131,-17.369854,15.000033,2.3417745,-7.452543,3.6976674,2.1890671,10.932587,-20.259483,70.98505,1.7706997,-2.0571864,4.9524727,-3.5603368,-16.51522,50.34752,69.85569,6.4912295,0.9799555,-1.3258631
8,-0.44843655824661255,1.3549888134002686,75.87196350097656,7.764829093252271,-1.5649558200952154,88.3410219541686,-11.584728,-5.2388797,15.309794,17.11357,-6.9871826,-2.738786,3.0523062,-14.324492,0.5323583,55.08891,-16.359118,15.000033,2.286374,-7.527576,3.802798,2.0471299,11.023721,-20.232012,70.678116,1.7421168,-2.0733469,5.0339746,-3.5205867,-16.65622,50.232388,69.69733,6.344146,0.9480457,-1.3388869
9,-0.5730612874031067,1.7679404020309448,75.90137481689453,7.901918717325204,-1.6821049130263201,88.3035017534392,-10.959162,-5.589809,15.303355,16.825554,-7.1601877,-2.4749403,1.811419,-14.552552,1.1249479,57.902603,-15.194206,15.000033,2.222281,-7.6158986,3.9554148,1.882247,11.140487,-20.231543,70.350876,1.6816567,-2.1272466,5.177121,-3.506435,-16.796814,50.070114,69.50019,6.1685286,0.9231457,-1.3621093
