Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.10645698010921478,-1.8643492460250854,75.11568450927734,3.5485842000586394,-0.7203342681897941,87.00038066569083,1.7735881,-6.697272,-0.24229729,27.494745,-28.215939,2.0070493,-23.524994,-10.8367405,-15.259248,6.6085935,0.6569131,9.998772,-5.7894473,-6.415806,15.747541,-21.327679,22.148443,-11.32342,55.550354,8.169002,-2.635589,19.652872,1.9988027,-1.7977718,-12.801543,-60.000134,2.3095305,-0.24525973,-37.098385
1,-0.04797578603029251,-2.5653135776519775,75.31938934326172,3.31090798336603,-0.7267858526735715,86.45456890726508,1.7295718,-6.396511,0.21655327,26.416248,-27.506674,1.983281,-22.881092,-10.398745,-15.520523,6.722717,0.96037084,9.745502,-5.467567,-6.234375,15.853174,-20.484041,21.956831,-12.099898,56.098446,9.537776,-2.262425,19.902725,1.7563131,-1.7549093,-11.6403055,-60.000134,2.150248,-0.1108279,-37.105072
2,-0.18322375416755676,-3.238896369934082,75.53523254394531,3.0867990241519943,-0.7448389340067513,85.90902965947838,1.6962893,-6.1128926,0.67600685,25.338058,-26.8149,1.9638368,-22.25198,-9.974574,-15.815047,6.847492,1.2403108,9.495089,-5.1075544,-6.023498,15.937496,-19.773743,21.657532,-13.0036745,56.81368,11.076147,-1.8634032,20.212402,1.5050533,-1.7408276,-10.521933,-59.928986,1.95251,0.020796712,-37.11304
3,-0.31914180517196655,-3.8890280723571777,75.76367950439453,2.860659696538954,-0.770353785135698,85.38602774885915,1.6674187,-5.824505,1.1143118,24.273216,-26.095188,1.9413717,-22.61549,-9.832727,-15.8478,9.225691,0.36681953,9.257891,-4.7778635,-5.8260584,15.918317,-19.055378,21.295223,-13.792149,57.635468,12.374279,-1.4913038,20.478966,0.99154586,-1.7663105,-9.454963,-59.50032,1.8035833,0.10747438,-37.091534
4,-0.4539698362350464,-4.524118900299072,76.00047302246094,2.6238193684020534,-0.8002176542104492,84.91167577024838,1.6378223,-5.518153,1.5071343,23.23587,-25.300451,1.9102659,-22.94705,-9.67717,-15.680189,11.754251,-0.49344784,9.041184,-4.48888,-5.615934,15.854784,-18.21295,20.879204,-14.22011,58.370808,13.03364,-1.2112421,20.598408,0.4343157,-1.8216643,-8.409291,-59.082806,1.8061348,0.17460363,-37.051075
5,-0.5770386457443237,-5.151081562042236,76.24365997314453,2.379985656103187,-0.8442918225706939,84.4891839506687,1.6431456,-5.2027235,1.855497,22.176413,-24.3787,1.8715823,-23.23573,-9.502723,-15.2569,14.474268,-1.3336977,8.834452,-4.271162,-5.4117846,15.749773,-17.173138,20.406796,-14.176098,58.96589,12.837732,-1.0776215,20.53796,-0.19105755,-1.9035952,-7.347514,-58.664196,2.0291758,0.2231745,-36.994904
6,-0.6937665939331055,-5.767667293548584,76.4872055053711,2.152107909607989,-0.9085216284410654,84.11507942097111,1.6886407,-4.909749,2.1645334,21.089872,-23.358063,1.831529,-23.482292,-9.320137,-14.650519,17.32429,-2.1534412,8.651121,-4.123849,-5.2299824,15.61965,-15.981508,19.885448,-13.7881155,59.45266,12.0324,-1.0479312,20.34671,-0.87002885,-2.0104117,-6.263548,-58.240623,2.4086096,0.25885147,-36.93378
7,-0.8021605014801025,-6.37045955657959,76.72105407714844,1.9472296589765832,-0.9835203014351006,83.80295529725045,1.7322099,-4.651748,2.4152248,20.035213,-22.310188,1.7908267,-23.669744,-9.12604,-13.935316,20.193106,-2.9297302,8.536496,-4.025766,-5.0733986,15.466829,-14.716087,19.33365,-13.18895,59.867355,10.92063,-1.0409042,20.06122,-1.5663134,-2.1383564,-5.2064705,-57.8431,2.8311274,0.27549267,-36.852745
8,-0.9064949750900269,-6.9822235107421875,76.93940734863281,1.7645584258000404,-1.0543605972653072,83.56126375790005,1.7216623,-4.424147,2.5908597,19.082602,-21.313059,1.7481294,-23.784204,-8.915255,-13.186183,22.96939,-3.6429048,8.527151,-3.9500015,-4.935088,15.290696,-13.454179,18.778492,-12.50916,60.244534,9.803379,-0.97676384,19.72049,-2.2425861,-2.2823942,-4.2253585,-57.506145,3.182318,0.26650473,-36.733932
9,-0.9955819845199585,-7.565665245056152,77.14822387695312,1.5905243178783441,-1.112724317273461,83.39364431765271,1.6401546,-4.206985,2.6732717,18.249453,-20.367235,1.7057868,-23.842142,-8.667403,-12.356798,25.674568,-4.2998657,8.647592,-3.892945,-4.8098083,15.085083,-12.181397,18.227123,-11.708218,60.542683,8.661281,-0.8175408,19.302584,-2.8923917,-2.4330935,-3.315705,-57.246193,3.4877028,0.22369896,-36.584766
