Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-0.10771965980529785,2.674539089202881,78.34811401367188,1.4679061633858257,-6.052831194192243,-92.00603497177059,8.968483,3.3403656,4.4209633,8.890417,-12.471508,-4.6444573,4.278486,-7.31041,-0.10938933,14.056448,-12.134016,3.5718658,-0.93337154,-2.224855,10.25171,5.4221745,11.226725,-22.285673,58.0428,1.4142157,4.4419546,-2.5625544,-1.9950746,-10.82631,36.43589,62.240463,-8.892844,1.7454545,-3.54176
1,-0.08285180479288101,2.6684348583221436,78.35250091552734,1.4829130728295765,-6.005321150685882,-91.97868215414441,8.922748,3.2910783,4.40195,8.871051,-12.461364,-4.6121345,4.2422066,-7.3607416,-0.123933576,14.047856,-12.141411,3.6057177,-0.8549045,-2.2527063,10.285653,5.447482,11.226934,-22.007528,57.942062,1.2839388,4.423067,-2.6435459,-1.9869883,-10.82534,36.373486,62.247204,-8.90707,1.7310139,-3.5841224
2,-0.05317240208387375,2.6614389419555664,78.35549926757812,1.4969428402434681,-5.9598317140279145,-91.95077322121912,8.877752,3.242719,4.382249,8.854004,-12.452252,-4.5798697,4.207879,-7.4102936,-0.13904507,14.039474,-12.14883,3.639276,-0.8496964,-2.2820377,10.330293,5.4983034,11.209261,-21.640661,57.82478,1.2150041,4.402346,-2.7452524,-2.021936,-10.827899,36.381584,62.269917,-8.914504,1.715606,-3.6251044
3,-0.021789412945508957,2.651752233505249,78.35845184326172,1.5115117953252764,-5.910991633260181,-91.92399635269085,8.830533,3.1932256,4.3638844,8.8356085,-12.442758,-4.5474963,4.1713643,-7.460704,-0.15312544,14.02819,-12.154929,3.6734195,-0.81131583,-2.3062906,10.364763,5.5357385,11.18111,-21.2739,57.72497,1.0968205,4.3793273,-2.8245194,-2.0348437,-10.833121,36.35966,62.284534,-8.922491,1.70436,-3.6640143
4,0.01263634953647852,2.637341022491455,78.36042785644531,1.5256201624733656,-5.854459971864846,-91.89987192567773,8.777417,3.1414332,4.348433,8.815812,-12.434061,-4.5150123,4.129663,-7.5132675,-0.16467392,14.010417,-12.157907,3.708991,-0.7926445,-2.3295908,10.396607,5.596568,11.120599,-20.731897,57.610264,0.92884797,4.347158,-2.875976,-2.0584588,-10.84399,36.349304,62.297073,-8.931748,1.7034248,-3.688908
5,0.05554622784256935,2.622588872909546,78.3640365600586,1.5439225344647203,-5.785727654176419,-91.87780557723788,8.718132,3.0822704,4.3361115,8.785221,-12.420718,-4.4828615,4.0694833,-7.572905,-0.17254221,14.004855,-12.168351,3.7474651,-0.76430494,-2.3514657,10.415697,5.669098,11.021084,-20.028812,57.49657,0.67415446,4.2986655,-2.8769789,-2.072987,-10.859963,36.318684,62.30015,-8.949519,1.717827,-3.695521
6,0.09478330612182617,2.6093904972076416,78.3678970336914,1.560737279270912,-5.709308131979292,-91.85655899674583,8.652573,3.0209959,4.3250995,8.751966,-12.406587,-4.4513903,4.0081973,-7.6344795,-0.18018037,13.9851885,-12.1721325,3.787291,-0.72075987,-2.3700864,10.426957,5.7424994,10.894085,-19.219637,57.38909,0.3549715,4.23864,-2.841629,-2.0774887,-10.879244,36.261333,62.295113,-8.9772005,1.7426528,-3.6881206
7,0.13387489318847656,2.593553304672241,78.36991882324219,1.5791901359086387,-5.629594698683722,-91.84025853188759,8.587036,2.9578485,4.31885,8.715954,-12.392566,-4.418197,3.936424,-7.6974254,-0.18198279,13.978637,-12.182476,3.8277154,-0.6745433,-2.3833978,10.434094,5.8123116,10.738034,-18.325336,57.28937,0.0019125477,4.180367,-2.7942505,-2.0832136,-10.902125,36.204395,62.292477,-8.998683,1.7701594,-3.6780007
8,0.17006604373455048,2.5761661529541016,78.37239074707031,1.5931907844812698,-5.55319809992286,-91.83172693576302,8.524776,2.89929,4.318579,8.684967,-12.382702,-4.3819966,3.8702757,-7.7551765,-0.17769976,13.963574,-12.186851,3.8665826,-0.6157324,-2.3902223,10.445247,5.8709316,10.572629,-17.396935,57.1914,-0.36668032,4.139085,-2.7592132,-2.0894022,-10.926946,36.14746,62.292503,-9.003965,1.7916541,-3.6750233
9,0.20777806639671326,2.5594043731689453,78.37364959716797,1.604335364117692,-5.482165007996399,-91.83458659940885,8.467725,2.846536,4.3271127,8.662065,-12.378857,-4.3411255,3.8076916,-7.805346,-0.16321762,13.946015,-12.186921,3.9033377,-0.5426132,-2.3929117,10.465794,5.924541,10.398946,-16.39428,57.080235,-0.7667614,4.126973,-2.748563,-2.0988789,-10.953252,36.098732,62.293446,-8.9788475,1.808484,-3.6833189
