Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-0.03385714441537857,3.559840440750122,75.09420776367188,0.5237722269179813,-13.418757609315579,-91.07421880966749,9.714902,13.370121,26.359268,32.38278,-26.114792,-6.6336355,7.518899,-15.889212,-24.957355,33.248646,-23.371922,7.7263513,-3.2952452,-2.6629877,7.1156516,-16.664085,22.926174,-20.588943,62.529682,-16.423336,14.884834,-0.483527,-20.046154,-18.479288,27.889494,62.68445,19.77315,12.387105,-2.051867
1,-0.03408508002758026,3.559666156768799,75.09430694580078,0.523734588833231,-13.41640196634317,-91.07229948054949,9.716345,13.363468,26.357452,32.372494,-26.109978,-6.645379,7.5236673,-15.891204,-24.961918,33.23671,-23.37108,7.742206,-3.3017006,-2.6669214,7.118815,-16.650822,22.945917,-20.586239,62.507683,-16.5024,14.893454,-0.47764176,-20.046894,-18.483309,27.901419,62.677235,19.868635,12.372205,-2.0730007
2,-0.02927454188466072,3.558424472808838,75.09503936767578,0.524543848889687,-13.414420675101358,-91.06988375345338,9.71928,13.355599,26.355034,32.358475,-26.102997,-6.658296,7.5300546,-15.892173,-24.967125,33.22183,-23.369051,7.758862,-3.307905,-2.6689494,7.1204753,-16.641685,22.960365,-20.586552,62.491848,-16.587685,14.902186,-0.46960738,-20.049114,-18.487127,27.916157,62.674065,19.97109,12.355492,-2.0963948
3,-0.02583864890038967,3.554854154586792,75.0956802368164,0.5253922525778821,-13.411850650330527,-91.06841274629494,9.719063,13.350491,26.353643,32.352192,-26.100521,-6.66889,7.5330415,-15.895027,-24.970964,33.21322,-23.369532,7.7738996,-3.3096821,-2.6688166,7.120545,-16.641253,22.964697,-20.587788,62.48878,-16.657759,14.907952,-0.46082762,-20.052011,-18.488714,27.922983,62.675915,20.057768,12.341536,-2.1168997
4,-0.021849721670150757,3.5517237186431885,75.0968017578125,0.5247087627658421,-13.407806487174664,-91.06943767238707,9.718653,13.346194,26.354887,32.346245,-26.098646,-6.6716366,7.5329924,-15.895584,-24.97176,33.204563,-23.36714,7.7831573,-3.3122244,-2.6659381,7.119322,-16.63865,22.967869,-20.590607,62.486965,-16.707773,14.909199,-0.45409918,-20.056385,-18.49014,27.931778,62.677814,20.120522,12.335327,-2.1311336
5,-0.01583445444703102,3.5509891510009766,75.09838104248047,0.5235402050041045,-13.401549653538327,-91.07441487377781,9.715216,13.345494,26.35976,32.347057,-26.100632,-6.6628084,7.5276084,-15.89634,-24.967949,33.199646,-23.362753,7.7846212,-3.3160343,-2.6591508,7.1161923,-16.636236,22.972532,-20.597706,62.49043,-16.730425,14.902917,-0.4510893,-20.065693,-18.492502,27.94449,62.682823,20.148853,12.340637,-2.1354203
6,-0.01228198129683733,3.5499439239501953,75.10107421875,0.522836134377117,-13.393329537587366,-91.08219780722332,9.709815,13.346974,26.367228,32.35139,-26.104418,-6.645662,7.5178127,-15.895612,-24.961172,33.197178,-23.35694,7.7803106,-3.3191915,-2.6492903,7.112631,-16.632442,22.975409,-20.60534,62.495094,-16.73203,14.891414,-0.44930732,-20.079407,-18.494032,27.954754,62.691372,20.15214,12.354236,-2.1328366
7,-0.008657851256430149,3.547610282897949,75.10189056396484,0.5214133036310371,-13.3861815217692,-91.09007750448274,9.705613,13.348129,26.375216,32.3561,-26.109392,-6.6270247,7.5083838,-15.895515,-24.953617,33.196156,-23.351082,7.77453,-3.322462,-2.6401377,7.111071,-16.630112,22.976854,-20.611172,62.500484,-16.72246,14.881292,-0.44808638,-20.089298,-18.494837,27.961193,62.69622,20.140404,12.368065,-2.1291573
8,-0.00536295585334301,3.545304298400879,75.10215759277344,0.5201691826004657,-13.37873027686096,-91.09750966410418,9.701254,13.348181,26.383276,32.35935,-26.114733,-6.6139154,7.4979095,-15.896841,-24.945696,33.19716,-23.346533,7.770791,-3.32798,-2.629411,7.1040444,-16.622877,22.984406,-20.632147,62.503857,-16.733915,14.872185,-0.445931,-20.10882,-18.498274,27.988014,62.71083,20.146297,12.3811455,-2.1266634
9,-0.002761127892881632,3.542739152908325,75.10216522216797,0.5208318668102403,-13.374659533453949,-91.10235447400218,9.70202,13.343986,26.389883,32.356007,-26.118856,-6.6087976,7.490997,-15.900531,-24.939735,33.20018,-23.343285,7.768202,-3.3299906,-2.6245117,7.106783,-16.619925,22.987465,-20.638113,62.502605,-16.72978,14.872716,-0.44349763,-20.117165,-18.499706,27.996622,62.71166,20.143093,12.387587,-2.130096
10,0.0002212496183346957,3.540043830871582,75.10185241699219,0.5241150804446166,-13.372057755928461,-91.10585649542938,9.705523,13.338347,26.39533,32.347805,-26.121943,-6.6077447,7.4866743,-15.904863,-24.93479,33.20269,-23.339096,7.7649803,-3.332722,-2.620162,7.1116376,-16.61843,22.98827,-20.64149,62.50176,-16.72122,14.876648,-0.4414456,-20.122099,-18.500141,28.000744,62.70942,20.133526,12.391227,-2.1354284
