Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-0.9926325678825378,2.8119561672210693,78.03450775146484,1.3331979159682685,-1.5547379926371936,-86.77562267431738,3.2000263,6.792416,8.6396675,14.356892,-13.6632,-8.400389,5.1420693,-7.3281875,-18.881737,16.880901,-18.880836,5.444639,-3.8017313,0.69162905,10.573668,-1.8235734,16.674845,-32.541348,56.395912,-5.6473904,4.8177924,4.260015,0.3127852,-16.555271,22.654089,56.82506,-9.915161,12.117107,-9.288855
1,-1.0539963245391846,2.801175355911255,78.02857971191406,1.346581486544771,-1.4230612278924475,-86.7471381941886,2.9444225,6.8406825,8.572844,14.559704,-13.658264,-8.444177,4.9945498,-7.2917295,-18.903599,16.90774,-18.91533,5.3961635,-3.8202121,0.74041355,10.56293,-1.7738864,16.69033,-32.492157,56.016937,-5.5259576,4.8155947,4.2828298,0.332617,-16.557947,22.625078,56.779846,-9.952882,12.1343355,-9.278585
2,-1.1188371181488037,2.7821602821350098,78.02391052246094,1.3611216953072387,-1.289480115806516,-86.71733887688153,2.6859732,6.8878245,8.503661,14.761827,-13.651278,-8.48742,4.845714,-7.255322,-18.926615,16.932678,-18.948122,5.3488307,-3.840143,0.78780425,10.554038,-1.7274368,16.7066,-32.435047,55.64203,-5.4001827,4.8142724,4.305828,0.32739285,-16.558702,22.603956,56.755836,-9.982695,12.150818,-9.264502
3,-1.1833754777908325,2.769400119781494,78.02059173583984,1.3735352067405258,-1.160039802144751,-86.6901288040174,2.4340653,6.9362407,8.4388275,14.963953,-13.647788,-8.53271,4.70031,-7.218705,-18.947407,16.960415,-18.98379,5.2991652,-3.8580718,0.83733016,10.539555,-1.6857481,16.713589,-32.38965,55.2791,-5.2794156,4.8094172,4.3297234,0.34486434,-16.55691,22.580267,56.720154,-10.015723,12.168736,-9.261214
4,-1.2482692003250122,2.7558393478393555,78.01795959472656,1.388437251356157,-1.0414074699347937,-86.66955073182315,2.1983552,6.9884286,8.384931,15.1673765,-13.653974,-8.582516,4.5609255,-7.182163,-18.962622,17.000856,-19.028116,5.2435656,-3.869272,0.8882107,10.541902,-1.6540073,16.72018,-32.34043,54.91064,-5.146351,4.795238,4.3412704,0.3518838,-16.55373,22.557373,56.688328,-10.034642,12.187578,-9.27533
5,-1.3104397058486938,2.7445807456970215,78.01685333251953,1.4000273148183129,-0.9403962528983894,-86.6578506504792,1.9867182,7.0478845,8.346673,15.374598,-13.677426,-8.641316,4.439846,-7.1420126,-18.970951,17.042168,-19.080914,5.1788273,-3.882982,0.94578874,10.569534,-1.6140416,16.727278,-32.27615,54.51553,-5.0034986,4.7659235,4.3397126,0.3544505,-16.548525,22.530773,56.650352,-10.052513,12.215966,-9.312965
6,-1.3746862411499023,2.730919122695923,78.0150375366211,1.411946395992434,-0.8515192166978561,-86.65309068117787,1.7935824,7.1120453,8.320168,15.580844,-13.711552,-8.70621,4.328643,-7.100176,-18.97354,17.089748,-19.14088,5.107558,-3.899125,1.0014725,10.613011,-1.5737674,16.740294,-32.198837,54.111366,-4.856631,4.7231116,4.325852,0.3514521,-16.537216,22.50975,56.611267,-10.061634,12.251214,-9.369816
7,-1.4422067403793335,2.712430238723755,78.01370239257812,1.4241517702022397,-0.7634522476524037,-86.65064115227312,1.6021327,7.1760106,8.296945,15.790806,-13.746608,-8.768793,4.216337,-7.0604367,-18.974262,17.144499,-19.20527,5.0351195,-3.8996484,1.0596007,10.650546,-1.5490546,16.745903,-32.150803,53.716076,-4.706826,4.6844883,4.311952,0.3533094,-16.52894,22.492939,56.57793,-10.050261,12.27653,-9.436827
8,-1.511437177658081,2.688866376876831,78.01090240478516,1.4416482280146667,-0.6657231821171546,-86.646074753641,1.399025,7.234448,8.269012,16.002575,-13.770064,-8.820872,4.092358,-7.0261183,-18.976768,17.207981,-19.271606,4.9667835,-3.9102511,1.1120855,10.67227,-1.5133841,16.751688,-32.088085,53.305325,-4.517846,4.669522,4.2925625,0.37615612,-16.51725,22.474934,56.5381,-10.057696,12.273696,-9.500739
9,-1.581785798072815,2.658919334411621,78.0064468383789,1.4655934792321457,-0.5511635741884853,-86.63752369127545,1.1736366,7.283736,8.233339,16.219458,-13.776652,-8.849866,3.9483154,-7.0009217,-18.982773,17.282404,-19.337484,4.907623,-3.9154932,1.1593397,10.663162,-1.4836855,16.753662,-32.05001,52.897125,-4.29659,4.689306,4.270261,0.42010832,-16.508764,22.467236,56.50192,-10.059907,12.22502,-9.569026
