Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-0.0961066409945488,1.1638280153274536,78.2905044555664,0.662741888840097,3.1374431792582875,-97.77503311654635,2.559488,5.4716325,6.280948,6.9732943,-11.987873,-8.738519,0.7968329,-11.107461,-14.139348,6.95077,-10.649546,9.874283,-1.3959517,-0.6880661,4.912798,0.19418044,16.032042,-36.30744,55.543957,4.9769607,-0.48519933,-4.786891,-9.619424,-11.151918,38.80949,58.93438,-7.562895,7.115725,1.9581146
1,-0.0791555643081665,1.1564048528671265,78.2800521850586,0.6552104795262634,3.164081886549757,-97.77616009887878,2.526459,5.4565153,6.2644715,6.989532,-12.024976,-8.678542,0.76968396,-11.1187,-14.129284,6.9512777,-10.676496,9.886978,-1.382921,-0.69109195,4.9373527,0.20361164,16.041695,-36.26779,55.50052,4.974388,-0.47187507,-4.783083,-9.6283655,-11.147945,38.769382,58.921196,-7.5368314,7.102638,1.9726746
2,-0.05989038571715355,1.1492645740509033,78.27127838134766,0.6481681390151426,3.1896830243629073,-97.7791372896556,2.4953697,5.4413953,6.2484035,7.004895,-12.063359,-8.619807,0.74289536,-11.129713,-14.117921,6.95201,-10.703026,9.897935,-1.3681917,-0.6941162,4.9624333,0.20873201,16.04789,-36.228996,55.463398,4.9709086,-0.45768994,-4.7788086,-9.634988,-11.1459675,38.72664,58.902935,-7.5100856,7.0895176,1.9895995
3,-0.03795134648680687,1.143347144126892,78.261962890625,0.6399243992884536,3.217549643385367,-97.77853016645376,2.4603603,5.4265647,6.231157,7.0220942,-12.099834,-8.558346,0.71514714,-11.140952,-14.1093025,6.9527025,-10.730699,9.912291,-1.3536557,-0.69568694,4.9850783,0.21216892,16.052547,-36.191433,55.428776,4.969276,-0.4467109,-4.7746773,-9.641317,-11.145354,38.68627,58.89001,-7.4841785,7.0770617,2.0021865
4,-0.00880433153361082,1.1390790939331055,78.25048065185547,0.6291892016613376,3.250653392393123,-97.76971549395769,2.415093,5.411811,6.2113156,7.045696,-12.131751,-8.49005,0.6860559,-11.152906,-14.107283,6.952613,-10.761113,9.934863,-1.3414506,-0.6940792,5.003828,0.2144124,16.054855,-36.1574,55.393764,4.9724526,-0.44262362,-4.770784,-9.647501,-11.146144,38.6539,58.888924,-7.4634557,7.0664515,2.003712
5,0.02166837453842163,1.130419373512268,78.23907470703125,0.6147336396390939,3.2919261809380727,-97.7514654844056,2.3562448,5.398688,6.191878,7.0738807,-12.15437,-8.414418,0.65213567,-11.1637945,-14.111172,6.952179,-10.796307,9.970421,-1.3298719,-0.6897226,5.0176044,0.21387964,16.055773,-36.123116,55.359444,4.988054,-0.45085296,-4.767183,-9.65749,-11.148355,38.631397,58.904827,-7.44501,7.05891,1.9854605
6,0.05506860464811325,1.119529128074646,78.22523498535156,0.5979154343014983,3.339054445154347,-97.72649890941123,2.2869313,5.3863516,6.172561,7.106809,-12.169473,-8.333469,0.61506724,-11.1743355,-14.119329,6.951117,-10.834763,10.01529,-1.3220682,-0.6826398,5.0281153,0.21380843,16.055439,-36.082497,55.324078,5.014086,-0.46814552,-4.7646036,-9.669457,-11.15348,38.618507,58.930706,-7.4279747,7.053318,1.9535174
7,0.0879584550857544,1.1054611206054688,78.20769500732422,0.5792930328949177,3.38758833919749,-97.6944681718653,2.2133706,5.372745,6.146172,7.1450725,-12.186954,-8.247128,0.58054435,-11.186662,-14.135277,6.9496655,-10.873547,10.061343,-1.3252268,-0.6709769,5.0390596,0.21832097,16.052992,-36.03569,55.28278,5.041744,-0.48539186,-4.764527,-9.681545,-11.162554,38.613342,58.960697,-7.4191465,7.04843,1.9247826
8,0.12314186990261078,1.0877264738082886,78.19086456298828,0.5598889095347424,3.4335071401757236,-97.65586564411457,2.1403074,5.355344,6.106175,7.1913314,-12.212569,-8.155089,0.55314314,-11.203848,-14.161161,6.9496884,-10.911033,10.10056,-1.3339576,-0.6571245,5.050212,0.22004485,16.048489,-35.9981,55.243736,5.053835,-0.49497962,-4.7683454,-9.690238,-11.173822,38.603626,58.996895,-7.422875,7.0396256,1.9152445
9,0.16719648241996765,1.0711617469787598,78.17585754394531,0.539649747649233,3.4772636596718156,-97.61056940214426,2.0078123,5.3398967,6.0429597,7.3716316,-12.311093,-8.053092,0.53240466,-11.226094,-14.198308,6.949895,-10.944143,10.127099,-1.3507557,-0.6399616,5.065643,0.21723555,16.041107,-35.963104,55.204502,5.0513363,-0.4926652,-4.7794375,-9.694961,-11.189443,38.578438,59.034157,-7.4577937,7.0211773,1.9437761
