Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-0.0030025967862457037,-1.977134346961975,76.66799926757812,-0.1535734790203984,1.5059122408098593,89.35766238978212,0.5600048,8.895458,9.200799,48.72132,-13.861491,-0.7694161,-25.65854,-10.882408,-11.585009,20.771845,-0.20171712,11.570704,-5.672185,-2.3812203,14.004745,11.535365,17.611855,-26.82208,-31.185448,-10.083468,-5.557348,-4.1749687,14.545647,-14.505132,23.891256,-15.253432,3.6105535,-8.432628,4.5992227
1,-0.22536779940128326,-3.243868827819824,76.38214111328125,-0.2644292662100381,1.416155292182496,89.28398518207602,1.0200683,8.669464,9.446253,46.75043,-15.943495,-2.0021636,-26.91132,-12.062356,-12.571366,25.840946,-2.2310061,10.307914,-5.4812336,-2.3030028,14.172074,11.373453,17.676298,-26.56501,-30.883204,-9.874658,-5.538721,-4.2403393,14.162424,-14.581203,23.803385,-15.151813,3.7106555,-8.416013,4.702964
2,-0.43992823362350464,-4.49522590637207,76.06621551513672,-0.31905909758583567,1.3087073985663467,89.24331389588615,1.6064291,8.364765,9.725011,44.558323,-17.949097,-3.3106873,-28.021135,-13.475516,-13.565203,30.689268,-4.22981,8.9648285,-5.342084,-2.2807176,14.359337,11.231404,17.753098,-26.292164,-30.63967,-9.68845,-5.526116,-4.334221,13.822238,-14.699294,23.72018,-15.144784,3.837277,-8.37762,4.8119507
3,-0.6613257527351379,-5.744417190551758,75.7080078125,-0.3034675269194033,1.1582509045001277,89.22726188090229,2.1222806,8.006927,10.048928,42.53917,-19.904146,-4.5106974,-28.985624,-14.981678,-14.290024,35.398117,-6.2068744,7.593931,-5.21595,-2.3208284,14.586664,11.12339,17.833086,-26.012033,-30.377882,-9.466393,-5.500431,-4.3769655,13.4682255,-14.845724,23.66041,-15.079916,3.9445245,-8.378524,4.8866925
4,-0.881402850151062,-6.978573799133301,75.31976318359375,-0.18805474787412993,0.9341400938341891,89.23146815253004,2.3644955,7.604761,10.409847,41.111393,-21.856987,-5.397913,-29.818449,-16.429632,-14.467695,40.048195,-8.144296,6.2668557,-5.075558,-2.4433746,14.876658,11.066055,17.898737,-25.724014,-30.02171,-9.149105,-5.4410105,-4.2932334,13.04298,-15.012031,23.652567,-14.80586,3.9854434,-8.479848,4.885056
5,-1.0953071117401123,-8.222833633422852,74.90546417236328,0.051482610583459064,0.6115169120132307,89.25176567127126,2.2548623,7.149283,10.798738,40.457066,-23.957823,-5.867395,-30.600742,-17.744705,-13.92992,44.7873,-10.0609865,4.9812565,-4.921486,-2.6720257,15.249808,11.043891,17.936243,-25.428404,-29.521793,-8.769492,-5.347194,-4.019022,12.505705,-15.193108,23.710846,-14.267133,3.8996263,-8.703092,4.807635
6,-1.29837167263031,-9.467019081115723,74.46761322021484,0.3796325831049095,0.21799176467383596,89.28126000717806,1.8786464,6.6542177,11.192425,40.38185,-26.180088,-6.028888,-31.357141,-18.93068,-12.862348,49.56606,-11.941082,3.7373328,-4.7559657,-2.9732633,15.68119,11.040634,17.940687,-25.127308,-28.903778,-8.339665,-5.225239,-3.613123,11.885856,-15.385149,23.820051,-13.53239,3.7244477,-9.013772,4.6733375
7,-1.49448823928833,-10.697464942932129,74.02581787109375,0.7459511434593187,-0.2013305074539675,89.31401050743168,1.2756783,6.1597505,11.561213,40.756027,-28.319958,-5.994942,-32.00856,-19.965576,-11.539256,54.17215,-13.711132,2.613756,-4.556156,-3.2879217,16.127548,11.071739,17.907557,-24.82239,-28.206768,-7.770116,-5.06385,-3.185398,11.237514,-15.584785,23.964857,-12.6420965,3.5583892,-9.389226,4.466973
8,-1.6889986991882324,-11.914384841918945,73.59119415283203,1.0983492994974087,-0.6014667805966616,89.34577034432301,0.49479446,5.709064,11.887397,41.435875,-30.16168,-5.884874,-32.46365,-20.85907,-10.243375,58.404686,-15.311854,1.6785566,-4.301862,-3.5563834,16.54524,11.15345,17.832342,-24.515438,-27.471285,-6.970836,-4.8522415,-2.8461025,10.615173,-15.788022,24.129993,-11.6382265,3.5007324,-9.807422,4.1741047
9,-1.8846343755722046,-13.129511833190918,73.16297912597656,1.4431481453430903,-0.983228107114561,89.39169814790753,-0.51627946,5.3020945,12.158577,42.536232,-31.67104,-5.6768,-32.71891,-21.569187,-8.930616,62.284798,-16.725418,1.006455,-3.9949598,-3.7787242,16.940262,11.259033,17.709902,-24.206053,-26.640099,-5.869661,-4.5856934,-2.632973,10.012124,-15.9890585,24.320074,-10.453798,3.6286325,-10.318905,3.7227414
