Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,1.3349518775939941,-0.037380561232566833,77.17286682128906,3.315494216403418,9.7396688457966,179.20587828583766,0.59716123,22.409748,16.8158,16.671541,0.5702794,-15.000033,-31.934902,-40.830723,-9.613275,42.560303,6.314015,-3.3685918,-7.0658174,1.7565199,3.8299916,6.8527837,25.72369,-32.57901,-21.62174,3.6267457,-10.991578,-10.264309,18.402994,-24.030077,21.628653,27.384335,-10.096057,-7.521204,-1.7270509
1,1.1160311698913574,1.5411591529846191,77.39107513427734,3.018029236435446,9.822413537081147,178.96290428067692,-0.2817618,24.278189,16.497509,18.057268,2.8954177,-15.000033,-30.060444,-38.861256,-9.085986,40.780453,6.3450985,1.3543984,-6.771466,1.8174843,3.5251012,7.425841,25.77186,-32.31097,-22.289742,3.5002255,-10.895128,-10.479032,18.70649,-24.025438,21.772474,26.979534,-10.656209,-7.608926,-1.2187383
2,0.8822396397590637,3.156184673309326,77.5585708618164,2.6956728975675137,9.914384348352147,178.75878435495903,-1.2200396,26.155775,16.047623,19.37212,5.346725,-15.000033,-28.13153,-36.920757,-8.612782,38.870323,6.303559,6.1623526,-6.5930877,1.8978943,3.2134385,8.127328,25.859741,-31.918251,-23.060476,3.357779,-10.798335,-10.7231245,18.9166,-24.008587,22.020786,26.649694,-11.165463,-7.7078247,-0.6838493
3,0.6502586007118225,4.7826361656188965,77.70132446289062,2.3253516854547196,9.97478203232593,178.50747735560768,-2.1553555,28.0825,15.572638,20.72133,7.6329656,-15.000033,-26.280027,-34.97411,-8.242635,37.085716,5.9701047,10.510758,-6.4020305,1.9923759,2.9577324,8.87149,25.987411,-31.479576,-23.897112,3.2272167,-10.701369,-10.956622,19.060484,-23.983482,22.293535,26.347816,-11.761981,-7.7953825,-0.23772435
4,0.417772114276886,6.420563220977783,77.80278015136719,1.8751173100300025,9.96020169512769,178.12080752371574,-3.0296905,30.11402,15.1622715,22.234402,9.446633,-15.000033,-24.641924,-32.96653,-8.028294,35.68621,5.1608744,13.856878,-6.1135345,2.112425,2.8219392,9.597703,26.11701,-31.009539,-24.75646,3.1418755,-10.606728,-11.169932,19.114069,-23.966774,22.55952,26.064005,-12.582581,-7.8468904,0.001252221
5,0.19658364355564117,8.086878776550293,77.86212158203125,1.0740555784227357,9.916040115911864,177.4263760513067,-3.8948076,32.653305,14.863017,24.023182,10.841342,-15.000033,-23.248896,-30.548382,-8.336636,34.591656,3.8885145,15.000033,-5.572936,2.496383,2.778693,10.315649,26.22106,-30.494173,-25.647478,3.1489575,-10.50437,-11.39257,19.080133,-23.969137,22.835663,25.79953,-13.870118,-7.838564,-0.061871894
6,-0.0179759468883276,9.771949768066406,77.86590576171875,0.19879287521697875,9.772324542070491,176.60211348506485,-4.6124754,35.30484,14.602602,25.817225,12.00342,-15.000033,-22.025013,-27.964298,-8.702998,33.74552,2.2835333,15.000033,-5.015504,2.896363,2.865583,11.151463,26.360853,-29.832838,-26.677881,3.2063663,-10.398423,-11.636306,18.908583,-24.00044,23.207722,25.577265,-15.465699,-7.7761436,-0.3477295
7,-0.19327571988105774,11.441232681274414,77.83048248291016,-0.591404729147421,9.538682975661468,175.75605568501132,-5.1116014,37.769405,14.4013815,27.473743,12.709943,-15.000033,-20.99975,-25.453468,-8.87681,33.226227,0.48832962,15.000033,-4.446054,3.2094994,3.0650816,11.931756,26.487606,-29.178095,-27.678453,3.253859,-10.3105135,-11.825394,18.660082,-24.050125,23.546974,25.356323,-16.937801,-7.692095,-0.69121987
8,-0.35041698813438416,13.05517864227295,77.7677001953125,-1.161854952023977,9.322793417159916,174.97517879220987,-5.4401674,39.91693,14.842255,28.93435,12.691449,-13.512415,-20.281805,-23.300186,-8.992502,33.089962,-1.3155069,15.000033,-3.9646037,3.3480182,3.294363,12.665205,26.618002,-28.509125,-28.627308,3.213239,-10.266039,-11.910973,18.253094,-24.120544,23.877434,25.180677,-17.83082,-7.6265426,-0.95044273
9,-0.49493616819381714,14.622445106506348,77.7016372680664,-1.3922959405807729,9.195313209931307,174.2919573003227,-5.6177406,41.604073,15.776452,30.217272,11.644614,-11.54891,-20.079481,-21.723673,-9.097686,33.665985,-3.1994784,15.000033,-3.5881898,3.1925895,3.4851534,13.289668,26.72786,-27.87699,-29.484608,3.0545259,-10.267732,-11.838516,17.699474,-24.19734,24.143782,25.03357,-17.97445,-7.585753,-1.0724485
