Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.06548750400543213,1.1830005645751953,77.79657745361328,0.3957788208030097,3.0904860228367,-91.0496890943355,2.339119,2.4773297,4.880019,7.043501,-13.452714,-4.826107,0.11190305,-4.703568,6.256664,6.9486523,-11.576404,9.546149,2.7489235,-0.3982216,3.9845588,-2.5345907,14.098054,-36.941845,72.5511,2.9902537,-2.7213955,6.731729,1.3985064,-14.037349,26.350775,61.79978,-13.897001,0.4196701,-3.4971724
1,0.07876951992511749,1.1634576320648193,77.79164123535156,0.4250126025118194,3.130690581927861,-91.02301891772528,2.3038247,2.422372,4.858383,7.042981,-13.465693,-4.791061,0.09085221,-4.7656803,6.2366114,6.947403,-11.624218,9.630506,2.719292,-0.42928904,3.9599257,-2.5266995,14.103189,-36.948135,72.562706,2.9842377,-2.714089,6.7388554,1.4077892,-14.0448885,26.346933,61.841377,-13.903904,0.41268688,-3.5143692
2,0.09424323588609695,1.144773244857788,77.7860107421875,0.4552412233687927,3.169283700996499,-90.99941332916195,2.2713914,2.3672752,4.8397603,7.0417576,-13.479608,-4.7572465,0.071616486,-4.8279614,6.2195983,6.9452734,-11.672914,9.718517,2.692564,-0.4620851,3.9378817,-2.5218875,14.104941,-36.953854,72.57921,2.978546,-2.7068522,6.7469,1.4160917,-14.048623,26.344986,61.88175,-13.912734,0.4079111,-3.532543
3,0.11204174160957336,1.1263315677642822,77.7812271118164,0.485387023344704,3.211256603273995,-90.96996321241126,2.2329543,2.3106537,4.8152995,7.041086,-13.490702,-4.721021,0.04906817,-4.891622,6.1968923,6.944359,-11.719948,9.799211,2.6709049,-0.4905363,3.9119134,-2.5165875,14.111094,-36.976284,72.58653,2.9650903,-2.6998928,6.7525086,1.4408828,-14.067698,26.32859,61.908176,-13.916948,0.3979346,-3.5458188
4,0.13460318744182587,1.1113898754119873,77.77713012695312,0.5137441117639806,3.2549109299218646,-90.93222341651138,2.1894915,2.2519965,4.7826786,7.0415425,-13.497274,-4.679296,0.025108552,-4.95625,6.1664786,6.94404,-11.761107,9.861302,2.65226,-0.50838166,3.8973377,-2.5181243,14.117909,-36.995937,72.57733,2.9614296,-2.694854,6.754165,1.4877123,-14.108311,26.284502,61.89965,-13.916661,0.38589936,-3.5525074
5,0.15639303624629974,1.0948734283447266,77.77539825439453,0.5411772396311022,3.3054167798007015,-90.88161406970283,2.1341822,2.189963,4.736349,7.041021,-13.496169,-4.6316857,-0.005143525,-5.0227265,6.1238008,6.9438257,-11.792178,9.894577,2.617974,-0.5239644,3.877907,-2.5260658,14.118328,-37.003452,72.57375,2.978334,-2.6889367,6.750739,1.5175174,-14.136072,26.235012,61.918884,-13.91465,0.36943007,-3.5570428
6,0.17950031161308289,1.079405426979065,77.7747802734375,0.5686034237758276,3.360861309965691,-90.82180449164768,2.070399,2.1245582,4.6803513,7.0404153,-13.489992,-4.580041,-0.040295634,-5.0911417,6.072528,6.9446826,-11.816539,9.907552,2.5736248,-0.5387807,3.854243,-2.536477,14.11628,-37.00472,72.57123,3.0083697,-2.682305,6.7436347,1.5355911,-14.154757,26.181404,61.958786,-13.910181,0.3494373,-3.560421
7,0.21080796420574188,1.0643107891082764,77.77487182617188,0.5962110586056507,3.413192431606695,-90.75839673675732,2.0087523,2.0559018,4.6221046,7.0395603,-13.479341,-4.524182,-0.07115445,-5.162226,6.018346,6.9452395,-11.840475,9.916546,2.546973,-0.5456185,3.8429396,-2.5625002,14.107712,-37.01413,72.56333,3.031028,-2.6821358,6.738598,1.5871603,-14.193067,26.083212,61.953808,-13.903148,0.32725075,-3.5614383
8,0.24694108963012695,1.0504404306411743,77.77628326416016,0.6245272304728193,3.4551795061483928,-90.69673972755449,1.9588158,1.984119,4.568692,7.038872,-13.465083,-4.464206,-0.09029003,-5.237011,5.9670267,6.9468884,-11.871648,9.938223,2.524947,-0.54401827,3.84256,-2.5876331,14.091557,-37.010292,72.54305,3.0285525,-2.6955862,6.7445626,1.6562124,-14.24223,25.965189,61.91967,-13.872946,0.3033843,-3.5722435
9,0.2855994701385498,1.0371074676513672,77.7764892578125,0.652735448399406,3.486181656146039,-90.63775826572895,1.9225998,1.9097173,4.521907,7.037995,-13.449864,-4.401579,-0.09623742,-5.3158813,5.9185414,6.948065,-11.912865,9.981855,2.514184,-0.5313399,3.8556876,-2.621576,14.063314,-37.00458,72.52613,3.0033727,-2.7232738,6.7636724,1.7491405,-14.311927,25.833908,61.83342,-13.856984,0.2919828,-3.5807242
