Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.02208358235657215,-2.195112466812134,78.11088562011719,0.5798610425810621,-0.5615949409599102,91.01406017828644,4.4239726,4.138184,11.966515,8.820591,-11.344492,-2.9037828,5.4531302,-7.597085,-19.552628,9.174264,-13.809101,3.3572304,-3.01139,-1.4754537,5.0913873,3.3980453,13.725866,-26.800638,59.008694,17.36693,0.97324896,-0.31886297,-0.53416353,-10.918083,26.696465,60.190876,-10.15013,1.9981892,2.9466677
1,0.017274891957640648,-2.197277307510376,78.10836791992188,0.5959422880965242,-0.5054935332367825,91.012841943789,4.3724203,4.1120296,11.969445,8.793618,-11.378454,-2.871374,5.3992176,-7.6172614,-19.542034,9.155726,-13.864637,3.3509624,-3.0014951,-1.5044924,5.104061,3.3720052,13.750311,-26.786175,58.9284,17.337532,1.002771,-0.28952554,-0.57491845,-10.928203,26.68579,60.14992,-10.160492,2.0201123,2.9812741
2,0.012419531121850014,-2.197598934173584,78.10374450683594,0.6111895718676318,-0.4494290260867102,91.01196624349622,4.3230762,4.08677,11.971787,8.762003,-11.412723,-2.8458052,5.3395624,-7.63818,-19.530975,9.151206,-13.926698,3.3349047,-2.9926963,-1.530253,5.104528,3.3371193,13.764428,-26.776468,58.87311,17.308168,1.0361191,-0.25521228,-0.61695415,-10.935049,26.679277,60.125805,-10.1743765,2.043155,3.0112422
3,0.009180285967886448,-2.2070658206939697,78.09800720214844,0.6301811027576809,-0.3930924322289091,91.01001270803435,4.2708726,4.056652,11.975641,8.735996,-11.444751,-2.8065746,5.2855783,-7.661995,-19.51936,9.130559,-13.981771,3.3385901,-2.9819028,-1.5594006,5.1159043,3.3014238,13.774105,-26.762197,58.808903,17.28079,1.0631394,-0.2217051,-0.6610674,-10.940685,26.668783,60.090668,-10.182048,2.065319,3.0439155
4,0.00558480666950345,-2.2154741287231445,78.09382629394531,0.6613519462844639,-0.3351011239675098,91.00550705303594,4.211223,4.0137053,11.983451,8.722466,-11.470112,-2.7330482,5.2350216,-7.697125,-19.504942,9.092003,-14.032057,3.3917286,-2.9649425,-1.6014016,5.1399536,3.262722,13.786731,-26.73663,58.739338,17.258648,1.0711622,-0.19057679,-0.7101811,-10.949466,26.648968,60.04374,-10.172994,2.0829694,3.082985
5,-0.0002672820701263845,-2.2276101112365723,78.09263610839844,0.707846669635294,-0.27372017533762916,91.0001243253615,4.131862,3.9553175,11.993371,8.739305,-11.487085,-2.6017401,5.191327,-7.744416,-19.486996,9.017887,-14.062293,3.5031424,-2.9430838,-1.6598935,5.175626,3.2186065,13.800937,-26.705114,58.6672,17.235523,1.0502603,-0.1552048,-0.7571769,-10.961152,26.617682,59.97446,-10.140709,2.0943162,3.1290061
6,-0.0077890208922326565,-2.235424757003784,78.09247589111328,0.7662298405324911,-0.20963559256587988,90.99355694521526,4.038848,3.8838575,12.005133,8.777112,-11.498162,-2.4292684,5.146777,-7.8046484,-19.46547,8.930455,-14.084597,3.6569126,-2.9166613,-1.7310601,5.2149324,3.1692715,13.809284,-26.676458,58.599728,17.208485,1.010766,-0.113575995,-0.8026297,-10.969348,26.583975,59.89464,-10.088578,2.1024141,3.1766481
7,-0.013456198386847973,-2.2430434226989746,78.0890884399414,0.8507773876631965,-0.13964300455149284,90.97585231633438,3.9612842,3.7799067,12.03217,8.774029,-11.490116,-2.2529156,4.9328203,-7.9536266,-19.413069,9.202723,-14.305178,3.8496354,-2.8722475,-1.8273466,5.259512,3.118138,13.820679,-26.636042,58.525127,17.19206,0.967289,-0.081702396,-0.8495951,-10.983064,26.539083,59.80447,-10.03116,2.110194,3.2290883
8,-0.025971798226237297,-2.2550861835479736,78.08213806152344,0.9133437671227995,-0.0725697455099451,90.95733237367504,3.799947,3.7201664,12.051267,8.968651,-11.606788,-2.11988,4.7629175,-8.068462,-19.378773,9.396897,-14.508743,4.06575,-2.8227901,-1.8993566,5.308402,3.0820024,13.827594,-26.592297,58.435673,17.184843,0.94089854,-0.06443669,-0.89106107,-10.994962,26.509027,59.710472,-9.966702,2.1252198,3.2774456
9,-0.04100258648395538,-2.2591781616210938,78.06520080566406,0.9298072009285837,-0.008806253445818533,90.94289141300001,3.4985974,3.7421443,12.051647,9.479984,-11.910924,-2.043258,4.6426435,-8.123281,-19.37333,9.504397,-14.694942,4.308802,-2.7848046,-1.9203866,5.3739195,3.0676007,13.835611,-26.51404,58.313816,17.206173,0.9394216,-0.07629413,-0.93711025,-11.022005,26.50024,59.612144,-9.887904,2.1492407,3.3215775
10,-0.05672150105237961,-2.2668728828430176,78.04557800292969,0.9380330562379326,0.04931093844018117,90.92518222235886,3.2019446,3.7757044,12.054192,10.001761,-12.232366,-1.9975752,4.551974,-8.162622,-19.38008,9.5675,-14.876475,4.584048,-2.73144,-1.9312587,5.438437,3.050905,13.835045,-26.451233,58.202423,17.227936,0.9557167,-0.097825356,-0.9827688,-11.037526,26.501719,59.53221,-9.791794,2.1797392,3.353468
11,-0.07501383125782013,-2.264472007751465,78.02645874023438,0.9453707261493144,0.10256819114561941,90.89865001089505,2.9483101,3.7999294,12.068472,10.456582,-12.539597,-1.973254,4.4841714,-8.200768,-19.38917,9.601243,-15.061589,4.8799825,-2.6888885,-1.9373628,5.5153613,3.0600035,13.827362,-26.344002,58.069527,17.268208,0.96812814,-0.12808008,-1.035682,-11.063636,26.531212,59.43764,-9.695084,2.2123413,3.3934603
12,-0.09871580451726913,-2.2582414150238037,78.00651550292969,0.9621513173945976,0.15321540282019525,90.85784375398559,2.75682,3.7996204,12.102271,10.804864,-12.814333,-1.9603137,4.4182315,-8.255907,-19.389214,9.649028,-15.268698,5.1848874,-2.630363,-1.9527909,5.5853853,3.0879726,13.81337,-26.237404,57.937355,17.29472,0.9648376,-0.14519198,-1.0844188,-11.092896,26.576069,59.330566,-9.608252,2.243238,3.445006
13,-0.12503838539123535,-2.247023820877075,77.98822784423828,0.9910998648025723,0.19713599363089987,90.79902492066947,2.6559446,3.7669404,12.161976,10.999254,-13.042805,-1.9763497,4.357449,-8.333739,-19.379932,9.718209,-15.51182,5.5029902,-2.5684073,-1.9736055,5.655134,3.1474578,13.78564,-26.105476,57.796783,17.31039,0.9359807,-0.14370953,-1.1247596,-11.14067,26.648134,59.18897,-9.5361805,2.2802353,3.5196767
14,-0.1549382358789444,-2.2235636711120605,77.97138214111328,1.0273268681790133,0.23547825595996494,90.725708861286,2.624409,3.7133632,12.241752,11.079437,-13.239909,-2.019867,4.3057427,-8.425076,-19.366467,9.794431,-15.781501,5.838101,-2.475968,-2.0036128,5.7235093,3.2160034,13.757025,-25.988628,57.659847,17.307997,0.89337367,-0.13048011,-1.155339,-11.184995,26.711609,59.03409,-9.482321,2.320052,3.608457
15,-0.18894371390342712,-2.1951842308044434,77.95330047607422,1.0667066860331644,0.27746305244083475,90.64495766406093,2.616248,3.6506824,12.330212,11.114729,-13.421096,-2.051922,4.254616,-8.521407,-19.348692,9.866493,-16.052076,6.1779323,-2.3954394,-2.020138,5.789697,3.3003678,13.699096,-25.838385,57.522545,17.319397,0.8437262,-0.1185658,-1.1749862,-11.269747,26.81946,58.84196,-9.417297,2.352064,3.7036698
16,-0.21895086765289307,-2.162227153778076,77.93476867675781,1.107402965036537,0.33230120225827253,90.56291432253158,2.5836108,3.5895438,12.416465,11.179046,-13.605574,-2.0331526,4.1891365,-8.61762,-19.32379,9.936855,-16.304258,6.510144,-2.2920332,-2.0440445,5.8433475,3.3783262,13.644427,-25.71183,57.39255,17.335613,0.8008028,-0.11806025,-1.1945097,-11.345425,26.925491,58.657402,-9.35102,2.3580725,3.7871432
17,-0.24810266494750977,-2.1256308555603027,77.91650390625,1.1518085878655895,0.4019264604700282,90.4775259139195,2.5210123,3.5277138,12.501833,11.278576,-13.788488,-1.9406124,4.1050105,-8.715359,-19.285803,10.004189,-16.530348,6.84227,-2.1822944,-2.0725112,5.884547,3.459647,13.584006,-25.58034,57.262268,17.377083,0.7637489,-0.13999745,-1.2173281,-11.4257555,27.067709,58.48062,-9.255419,2.3244636,3.8531013
18,-0.2791840434074402,-2.084397077560425,77.90550994873047,1.1999374477630242,0.4816985389532524,90.3867196894038,2.4522822,3.4600804,12.590598,11.376006,-13.962268,-1.7995023,4.009839,-8.816481,-19.237457,10.06876,-16.742428,7.1771135,-2.0516796,-2.117618,5.9152293,3.5489128,13.538519,-25.461466,57.12343,17.426416,0.7293168,-0.1772151,-1.2486768,-11.484552,27.220066,58.323612,-9.150987,2.2608485,3.9070754
