Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.3267343044281006,0.8375348448753357,76.68413543701172,-0.005573725633806134,13.454691453290595,-89.37514546221259,13.159115,0.9561151,-0.53756535,30.612429,9.5602865,-6.456907,-35.637638,-1.3290346,-17.396502,15.344253,4.39421,2.789082,-15.3552,1.0455207,5.1745048,2.509802,25.374083,-27.783407,-23.549881,0.78564095,-4.457337,21.506788,31.621859,-20.964598,22.894943,-7.053128,5.425978,0.8633371,-21.41449
1,0.26022234559059143,-0.8761106729507446,76.44679260253906,-0.2674326440757966,13.228074889056948,-89.68915860649284,13.110632,1.4780328,0.26520836,32.432007,8.6071,-6.348353,-35.999454,-1.2742765,-17.561712,17.989706,4.038478,1.6642493,-14.843097,1.5021763,5.317272,3.009254,25.39135,-28.027681,-24.061987,0.76843816,-4.654758,21.559755,30.748226,-20.980505,22.856066,-6.723683,6.034889,0.87752515,-21.21684
2,0.18378184735774994,-2.5977203845977783,76.15586853027344,-0.46484671828293744,12.978792238216714,-89.98692362552106,13.147082,1.9345204,1.0621642,34.17892,7.691397,-6.2181034,-36.34839,-1.272496,-17.718958,20.52125,3.9656217,0.51995605,-14.335431,1.8971212,5.4603558,3.4620514,25.407217,-28.30618,-24.575788,0.731991,-4.8584776,21.632336,29.939518,-20.987589,22.783276,-6.4539657,6.6648684,0.8708536,-21.011847
3,0.10786845535039902,-4.327645301818848,75.81071472167969,-0.6365591910211871,12.693481931075295,-90.22757653568367,13.153831,2.3960826,1.7839057,35.977276,6.7512608,-6.086473,-36.549267,-1.3103149,-17.873165,23.090372,3.4363685,-0.55855334,-13.850372,2.2689376,5.6199646,3.9180806,25.418411,-28.603876,-25.008345,0.7366106,-5.048762,21.682093,29.083323,-20.988966,22.72798,-6.1177545,7.2503247,0.91221833,-20.8172
4,0.02706352435052395,-6.062480449676514,75.42021179199219,-0.8221294762643769,12.356598401758955,-90.36916014333103,13.021197,2.932356,2.3597784,37.9471,5.727701,-5.9758315,-36.463505,-1.3571312,-18.002472,25.844503,1.707905,-1.4819503,-13.3961115,2.6561491,5.8107576,4.408635,25.423973,-28.928865,-25.25844,0.8428463,-5.2063518,21.678127,28.087118,-20.994802,22.734255,-5.6071296,7.7302003,1.0695306,-20.654951
5,-0.05641549825668335,-7.8001708984375,74.98240661621094,-1.0164199325306182,11.945466334594778,-90.38476585214558,12.794159,3.5471191,2.7744243,40.061905,4.617406,-5.9319,-36.02896,-1.4089675,-18.005447,28.994442,-1.9059317,-2.2419515,-13.000674,3.0560944,6.0207086,4.9667234,25.424242,-29.301134,-25.31724,1.0575317,-5.3730183,21.649952,26.971592,-21.00954,22.809874,-4.902469,8.058304,1.3055254,-20.513758
6,-0.1442716270685196,-9.54887580871582,74.49597930908203,-1.2154754681046387,11.478796216636278,-90.3068211743371,12.502124,4.2088475,3.0707157,42.279793,3.445971,-5.9366145,-35.34478,-1.4231172,-17.887882,32.413483,-6.8553586,-2.889573,-12.648964,3.4637508,6.24472,5.5646772,25.41862,-29.715576,-25.225874,1.35279,-5.5437884,21.60777,25.773975,-21.034561,22.938406,-4.0647664,8.282613,1.6005634,-20.394915
7,-0.23992927372455597,-11.280204772949219,73.99345397949219,-1.4658789056058255,11.004949294397477,-90.18607542638891,12.012449,4.9426394,3.2619858,44.69792,2.1972651,-5.9191937,-34.513306,-1.3279827,-17.798058,35.744934,-12.02764,-3.4184637,-12.28822,3.925733,6.5130377,6.1561174,25.404459,-30.119999,-24.983341,1.7312987,-5.6305223,21.47925,24.429434,-21.074398,23.11777,-3.1201108,8.480587,2.0494068,-20.331976
8,-0.3561263382434845,-12.970537185668945,73.50898742675781,-1.815788284292443,10.573963125141061,-90.07537644567566,11.185402,5.78155,3.3530638,47.430332,0.8447735,-5.808906,-33.63243,-1.0998505,-17.90186,38.644913,-16.32802,-3.8021617,-11.880944,4.49606,6.850535,6.7041078,25.365677,-30.44933,-24.588938,2.2002857,-5.546488,21.190899,22.862286,-21.153376,23.369785,-2.0932477,8.74173,2.7459743,-20.372622
9,-0.46860942244529724,-14.620296478271484,73.03205108642578,-2.324708680895263,10.191029014306848,-89.96075902772633,9.950859,6.822395,3.3123097,50.63351,-0.6761404,-5.581125,-32.736202,-0.76720524,-18.357185,41.14006,-19.53266,-4.0106893,-11.43894,5.245829,7.300187,7.1857395,25.303488,-30.68078,-24.008232,2.6828158,-5.513425,20.792711,21.057459,-21.256256,23.647955,-0.9842455,9.216989,3.6187356,-20.527193
