Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,2.0888826847076416,0.15131598711013794,77.97537231445312,2.4755934375372566,3.256046011013398,-171.25186528447105,-5.343943,-3.2038512,24.177837,62.686367,-12.575219,-15.000033,-30.58268,-5.294841,-30.946865,54.130642,8.870236,-10.806254,-20.777744,-3.4620624,9.711452,-55.15102,8.271862,-16.285748,-30.420002,18.722233,-2.6248143,11.098885,59.69343,-31.31092,3.5145044,-45.870228,-20.080702,-15.498477,-17.946585
1,2.1494433879852295,1.5696519613265991,78.21046447753906,2.1129003369385866,3.449882732264021,-172.26625152663672,-5.0071883,-4.94364,24.47778,58.02957,-12.081219,-15.000033,-31.31337,-3.8493493,-30.513155,52.9842,14.063633,-5.1316004,-20.591984,-2.8911498,9.552197,-56.355537,8.434914,-16.251778,-30.62494,17.685696,-3.0103948,10.634493,61.897327,-31.1509,2.2872088,-46.699066,-19.960978,-15.52444,-17.773697
2,2.2111942768096924,2.995565414428711,78.40409851074219,1.7196577028122821,3.661325815584127,-173.2843709630594,-4.604549,-6.742402,24.808546,53.17253,-11.559235,-15.000033,-32.213264,-2.0092945,-29.689915,51.75112,19.479082,1.2844418,-20.392385,-2.3050008,9.394275,-57.73062,8.641193,-16.260393,-30.831753,16.572355,-3.3340318,10.230205,64.240234,-30.8485,0.92617106,-47.56551,-19.900936,-15.592242,-17.541927
3,2.293148994445801,4.4155402183532715,78.54131317138672,1.2784819549075837,3.8453685787782015,-174.34949948068123,-4.168432,-8.373733,24.957016,48.328243,-10.967285,-15.000033,-33.24316,0.16959018,-28.398169,50.593437,23.931204,7.6041636,-20.073689,-1.6964264,9.308985,-58.738518,8.853737,-16.34541,-31.156582,15.518119,-3.7434716,9.750099,66.2718,-30.43531,-0.2695235,-48.394867,-19.77202,-15.632446,-17.29673
4,2.390936851501465,5.8264288902282715,78.60547637939453,0.8000446156762766,3.9482727085455456,-175.4813480198599,-3.7206514,-9.639552,24.742233,43.734234,-10.266651,-15.000033,-34.221413,2.328492,-26.911364,49.697197,26.35518,12.570855,-19.53159,-1.0694878,9.376125,-58.830627,9.051716,-16.527243,-31.749825,14.638862,-4.382539,9.058791,67.59669,-29.928696,-1.0475477,-49.151928,-19.445538,-15.587271,-17.058355
5,2.4828362464904785,7.2322001457214355,78.59957885742188,0.3583197382606175,3.9986094392225935,-176.6930783957177,-3.235412,-10.694191,24.097855,39.034332,-9.219832,-15.000033,-35.037884,4.110421,-25.570944,49.10183,26.229385,15.000033,-18.752094,-0.4388492,9.557385,-57.820103,9.225435,-16.749044,-32.741245,13.864613,-5.415162,7.9858065,68.18096,-29.330534,-1.3295587,-49.89519,-18.798538,-15.398065,-16.862858
6,2.573809862136841,8.650495529174805,78.53141784667969,-0.07920558130443894,4.0065729552663925,-177.95220070793346,-2.6906972,-11.589877,23.127348,34.207626,-7.902512,-15.000033,-35.638268,5.431812,-24.6999,48.704384,24.411621,15.000033,-17.821918,0.21651733,9.824982,-55.99972,9.375456,-16.999552,-34.030704,13.160734,-6.7197614,6.6352286,68.34894,-28.645899,-1.2277054,-50.74021,-17.98498,-15.105707,-16.703592
7,2.6662464141845703,10.08722972869873,78.41509246826172,-0.6025829201730499,3.896860622248527,-179.1913869651428,-2.1929934,-12.000734,22.022594,30.133465,-6.8260684,-15.000033,-36.124218,6.692417,-23.700413,48.483257,21.942602,15.000033,-16.727617,0.9222586,10.281013,-53.569588,9.493422,-17.395353,-35.453144,12.676176,-8.021177,5.3034773,67.72275,-27.951384,-0.89254946,-51.2235,-17.052025,-14.816437,-16.493977
8,2.7546639442443848,11.585365295410156,78.27169799804688,-1.2489164327349598,3.603544348594707,179.65044927162808,-2.0127985,-11.577405,21.09184,27.985916,-6.667188,-15.000033,-36.347244,7.59165,-23.150372,48.486168,19.863495,15.000033,-15.58014,1.6256005,10.948203,-50.674316,9.611357,-18.011637,-36.793068,12.631666,-9.059676,4.2767315,66.66619,-27.277674,-0.28097713,-51.60363,-16.39134,-14.607229,-16.214643
9,2.8564486503601074,13.132633209228516,78.1068115234375,-1.918501631291273,3.097212283930589,178.62481399645603,-2.4765232,-10.238745,20.408743,28.535921,-7.7391434,-13.931483,-36.289494,7.8638134,-23.197596,48.850704,18.270916,15.000033,-14.44107,2.208028,11.87203,-47.130646,9.746732,-18.995382,-38.176884,13.288337,-9.851882,3.6863742,64.88064,-26.66834,0.6734303,-51.707615,-15.9179,-14.512992,-15.823681
