Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,1.7953462600708008,0.32164159417152405,78.5744857788086,-0.010297174837116946,-0.6546699465595599,179.8282865987612,2.360428,4.60162,-3.771576,8.533308,-11.209927,-6.3087373,4.058253,-4.8387,-4.730951,8.924967,-11.614124,4.5234003,-2.5445528,-0.81059235,7.6709447,1.9026041,13.291388,-31.738997,57.68113,17.787966,3.8502939,-0.240553,0.341613,-14.354708,41.493446,55.888355,-23.500088,-1.1427677,0.31872958
1,1.8033936023712158,0.35901975631713867,78.57965850830078,-0.04010731110711464,-0.5255992600133044,179.80739132555354,2.2355642,4.6891127,-3.747804,8.46736,-11.147331,-6.416331,3.905978,-4.760429,-4.740215,8.905568,-11.57312,4.417372,-2.551403,-0.79799,7.5788946,1.8232132,13.304626,-31.783224,57.75701,17.678066,3.8443496,-0.22247422,0.33927235,-14.358305,41.508045,55.808796,-23.451635,-1.187417,0.3489563
2,1.8175005912780762,0.39731794595718384,78.58539581298828,-0.07112719933759969,-0.4001018610754293,179.7895406329603,2.1147497,4.776746,-3.728209,8.403148,-11.08814,-6.52299,3.7586896,-4.6822624,-4.751859,8.887814,-11.534258,4.3165855,-2.534091,-0.7943116,7.485898,1.7643894,13.355865,-31.860662,57.798313,17.541857,3.8439658,-0.19615817,0.3530672,-14.352776,41.50664,55.726902,-23.400036,-1.2334021,0.37647295
3,1.8329981565475464,0.44222384691238403,78.59174346923828,-0.1001382537051551,-0.2676139661743318,179.76544489874604,1.9882588,4.865877,-3.7006142,8.331146,-11.020342,-6.6321874,3.5990489,-4.6031756,-4.7581925,8.870537,-11.492536,4.2057095,-2.5247312,-0.80414057,7.400927,1.7167449,13.445594,-31.94473,57.79978,17.41017,3.8392081,-0.19575746,0.345224,-14.326043,41.501522,55.65096,-23.358734,-1.278302,0.40262967
4,1.852372646331787,0.49400246143341064,78.59471893310547,-0.10950995177185212,-0.11363188996940123,179.72172418891566,1.8470068,4.9426584,-3.6460218,8.232192,-10.926435,-6.7454686,3.270686,-4.549662,-4.7347503,9.134469,-11.590087,4.072286,-2.5190392,-0.8414537,7.3160024,1.6419317,13.558829,-32.07243,57.793594,17.285418,3.8242078,-0.24390106,0.31242317,-14.281558,41.48833,55.5675,-23.331648,-1.3163395,0.4243122
5,1.8752515316009521,0.5502207279205322,78.59434509277344,-0.09330183822670687,0.07250055208755982,179.6533610975803,1.682003,5.0009637,-3.5564678,8.10104,-10.79951,-6.858724,2.7298627,-4.5302787,-4.6745677,9.745127,-11.86469,3.908589,-2.515773,-0.8954571,7.2137413,1.5121604,13.644839,-32.233795,57.837822,17.233604,3.80205,-0.35286427,0.26901284,-14.245045,41.46834,55.46166,-23.324316,-1.3367486,0.44424278
6,1.910784125328064,0.6141526699066162,78.5936050415039,-0.06744228051400271,0.27913829413493274,179.57023427082936,1.5004321,5.0561657,-3.4463577,7.951487,-10.652117,-6.9739876,2.1126668,-4.518368,-4.5974383,10.449815,-12.182884,3.7222342,-2.4820282,-0.9835949,7.1135626,1.3902382,13.818118,-32.471317,57.812786,17.200226,3.7792544,-0.5180587,0.2162691,-14.16801,41.396755,55.352585,-23.348051,-1.3495585,0.46038878
7,1.9606348276138306,0.6884651780128479,78.59219360351562,-0.03493661876502994,0.48790976373845,179.47844816571663,1.3173659,5.1127534,-3.3254957,7.7908907,-10.494009,-7.1001043,1.4599383,-4.5072556,-4.5093226,11.206476,-12.518398,3.52638,-2.471683,-1.0872003,7.036644,1.2439194,14.013258,-32.74013,57.769592,17.10132,3.7401354,-0.70448214,0.13402528,-14.081377,41.337334,55.228626,-23.36657,-1.3674419,0.47197822
8,2.0148606300354004,0.7632714509963989,78.58843994140625,0.002413680329347709,0.6809939345826517,179.38397477045342,1.1549685,5.173668,-3.2025945,7.6123357,-10.327435,-7.2454376,0.7975736,-4.493486,-4.4147363,12.003068,-12.855103,3.3338597,-2.4855502,-1.2102323,7.0101395,1.0553,14.238767,-33.069256,57.699665,16.819529,3.6744752,-0.8836765,0.020568417,-13.986381,41.288662,55.07569,-23.362745,-1.4073473,0.47783175
9,2.074863910675049,0.8507291078567505,78.58277893066406,0.04245951751751818,0.8579365161180266,179.2814131296686,1.0151569,5.241787,-3.0747614,7.415442,-10.154533,-7.4169884,0.12043201,-4.4727116,-4.307949,12.847342,-13.191046,3.1431837,-2.5190423,-1.3514776,7.0403986,0.8263566,14.500377,-33.45323,57.59599,16.254766,3.5676804,-1.0580614,-0.12933265,-13.883478,41.255302,54.90507,-23.33149,-1.4819494,0.47123852
10,2.14005970954895,0.9440292716026306,78.57410430908203,0.0865541527823913,1.026911106839945,179.17003195149067,0.88979495,5.314381,-2.9387121,7.1986136,-9.970724,-7.6082864,-0.5859213,-4.447639,-4.1886697,13.752113,-13.5387125,2.949355,-2.5678282,-1.5112166,7.1144543,0.56580657,14.7997675,-33.88927,57.456833,15.48859,3.4310582,-1.2420917,-0.30847812,-13.772713,41.229397,54.71394,-23.28416,-1.5798072,0.45541325
