Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,2.9120242595672607,0.5606544017791748,76.96449279785156,2.923239017891605,-9.440822625896462,-176.8613246514328,10.489561,-9.559066,3.3210409,7.2460227,-10.941367,6.062305,-1.4170918,-12.618177,-17.72577,41.502934,-23.089832,-1.0702862,-0.29105884,-0.85046285,15.635028,8.683741,10.381318,-23.342169,54.97312,8.33699,-0.6577319,17.85609,-5.490761,-17.56229,44.764816,70.81363,31.751387,-10.732885,-22.757137
1,2.9134585857391357,0.5812948942184448,76.97456359863281,2.8971300660886548,-9.39562603440908,-176.82443656924207,10.437794,-9.507063,3.3083098,7.2299623,-10.888338,5.967705,-1.4192024,-12.63439,-17.896336,41.47764,-23.071964,-1.1180125,-0.31674084,-0.83435374,15.625643,8.647517,10.383362,-23.371294,54.999496,8.303052,-0.74243414,17.926947,-5.463228,-17.584305,44.69645,70.70044,31.765736,-10.645574,-22.74011
2,2.917807102203369,0.6039132475852966,76.98799133300781,2.87133633927206,-9.35144153468086,-176.78826746162625,10.391713,-9.454654,3.2958436,7.205819,-10.832986,5.8713927,-1.4209404,-12.649266,-18.06298,41.452625,-23.053677,-1.1629114,-0.3393993,-0.81741637,15.61535,8.613078,10.387229,-23.407957,55.02689,8.263573,-0.83453107,18.005472,-5.4465904,-17.595552,44.623898,70.606766,31.785616,-10.556243,-22.719969
3,2.9215240478515625,0.6288185715675354,77.00466918945312,2.845423117731928,-9.305213451716392,-176.75076225823122,10.333675,-9.401177,3.2820833,7.1990376,-10.783146,5.7783256,-1.4234214,-12.667353,-18.237291,41.42774,-23.036873,-1.2132612,-0.37780324,-0.80412865,15.601005,8.588022,10.389726,-23.425615,55.044796,8.2315035,-0.9117191,18.06847,-5.4398828,-17.597366,44.579247,70.527336,31.803623,-10.477215,-22.701452
4,2.927855968475342,0.655610978603363,77.02433776855469,2.819141846295936,-9.25309139852623,-176.70836352788578,10.263969,-9.3478,3.2610805,7.1972704,-10.725285,5.6937423,-1.4267637,-12.693837,-18.432344,41.4021,-23.023401,-1.2771747,-0.37483302,-0.78785783,15.589337,8.525186,10.401187,-23.478746,55.07438,8.207198,-0.95107156,18.094664,-5.4053288,-17.597189,44.471344,70.44229,31.771955,-10.422608,-22.680948
5,2.9368298053741455,0.6846131086349487,77.04299926757812,2.795605031837713,-9.192791598385595,-176.66070268395924,10.174568,-9.297155,3.230807,7.207502,-10.658757,5.62551,-1.436625,-12.73647,-18.653122,41.38237,-23.017187,-1.3692161,-0.40380377,-0.7781541,15.568544,8.481249,10.407914,-23.486095,55.070984,8.2064,-0.9306691,18.057537,-5.385956,-17.593643,44.430145,70.3798,31.731411,-10.408112,-22.654095
6,2.941669464111328,0.7089952230453491,77.06775665283203,2.773662542097017,-9.125740086770612,-176.60933913332784,10.069554,-9.249485,3.194567,7.2294664,-10.587695,5.5686507,-1.4504981,-12.790181,-18.892685,41.36569,-23.015495,-1.4811304,-0.42936543,-0.77225214,15.545576,8.429973,10.417515,-23.482864,55.05647,8.220809,-0.86791086,17.974657,-5.363307,-17.58549,44.391758,70.326,31.665329,-10.42228,-22.62181
7,2.954190731048584,0.7417328357696533,77.08516693115234,2.748669785771465,-9.058336102586292,-176.55459278705666,9.960002,-9.195652,3.1550703,7.255431,-10.515118,5.509129,-1.4578395,-12.842703,-19.143663,41.339565,-23.011677,-1.5857733,-0.4627246,-0.7679788,15.526096,8.379443,10.433605,-23.475119,55.038254,8.243403,-0.8010995,17.886877,-5.3443956,-17.56877,44.3487,70.27659,31.583681,-10.437263,-22.598894
8,2.9704480171203613,0.7750934958457947,77.10611724853516,2.7153406112004554,-8.995785067372978,-176.49720873190904,9.8565445,-9.129953,3.1165462,7.278648,-10.44508,5.4330964,-1.4495848,-12.881022,-19.398556,41.293407,-22.999958,-1.6562754,-0.5078636,-0.75874805,15.51509,8.329691,10.456339,-23.478657,55.032047,8.264861,-0.7682123,17.83592,-5.3303123,-17.543573,44.281296,70.22572,31.49064,-10.425727,-22.599855
9,2.9838473796844482,0.8129698038101196,77.12834167480469,2.6706293879713425,-8.9391818837027,-176.43555578079258,9.762938,-9.0475445,3.0798528,7.293948,-10.377111,5.3347373,-1.4206028,-12.898091,-19.653944,41.217995,-22.977448,-1.6806864,-0.56289,-0.7386056,15.51399,8.277175,10.483359,-23.506119,55.04876,8.286922,-0.7879773,17.838394,-5.316458,-17.514366,44.181583,70.16444,31.385534,-10.372668,-22.638102
10,3.0029969215393066,0.8542553782463074,77.1513900756836,2.618467930020597,-8.885567117390734,-176.36993254213039,9.670997,-8.953473,3.0435324,7.3105006,-10.312139,5.2224016,-1.3761877,-12.902296,-19.914236,41.119514,-22.946665,-1.6749426,-0.61088985,-0.71472865,15.520243,8.217149,10.524828,-23.564466,55.07933,8.307433,-0.8365146,17.870737,-5.296957,-17.47283,44.03752,70.099556,31.257423,-10.295944,-22.70266
11,3.0231666564941406,0.8994702100753784,77.17559051513672,2.564043111072196,-8.834705200081165,-176.30384855280084,9.5821085,-8.854613,3.0062983,7.32371,-10.244558,5.103566,-1.3226956,-12.903136,-20.183687,41.010548,-22.91069,-1.653786,-0.65454465,-0.69609165,15.533258,8.156697,10.586155,-23.63818,55.10486,8.317258,-0.8889407,17.914152,-5.2774796,-17.417439,43.86369,70.03833,31.117989,-10.215665,-22.771114
12,3.0404818058013916,0.9417260885238647,77.20069885253906,2.5114298748028356,-8.786526253159423,-176.24077056697868,9.492289,-8.756735,2.9675384,7.339965,-10.175077,4.9855304,-1.2643415,-12.908557,-20.467169,40.89928,-22.869947,-1.6320313,-0.72635865,-0.67564917,15.551402,8.09285,10.627301,-23.677689,55.13394,8.324799,-0.92355883,17.953682,-5.262096,-17.384802,43.709248,69.964874,30.989628,-10.146586,-22.821812
