Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-2.4942898750305176,0.4267657697200775,77.02876281738281,0.6317718793104652,0.11726382063204722,-3.5762943663394404,1.7799195,6.1905494,8.30657,16.220322,-18.118862,-8.0297785,-0.8491592,-6.6584015,0.13741356,18.743572,-19.14374,8.55653,-2.0885866,2.7633824,6.0931454,-3.632207,16.338026,-48.862827,54.367146,1.6596836,2.0731785,4.545272,-7.6216097,-13.973961,42.105232,59.504276,1.5400845,13.643078,-2.2658653
1,-2.5117831230163574,0.4764394760131836,77.03033447265625,0.8051800801885707,0.2782304834918357,-3.5621744385524607,1.569296,5.914535,8.319437,16.189457,-18.003386,-7.9066854,-1.2205865,-6.937495,0.19679716,19.058317,-19.248678,8.705765,-2.075125,2.624815,6.0240617,-3.6559858,16.35157,-48.768387,54.31389,1.6231427,2.063738,4.610108,-7.726435,-13.989763,42.12935,59.41722,1.5306616,13.651891,-2.2749283
2,-2.539860248565674,0.540833592414856,77.03019714355469,0.9786269839283428,0.43487570520841073,-3.549942783808256,1.3688445,5.639896,8.334944,16.149284,-17.88456,-7.785416,-1.5839198,-7.214563,0.2591656,19.36876,-19.354296,8.854014,-2.077943,2.492647,5.9612427,-3.6723175,16.357616,-48.650692,54.26042,1.6008003,2.054818,4.674339,-7.8239565,-14.029323,42.17727,59.30674,1.5292515,13.66335,-2.2822976
3,-2.5843863487243652,0.6186262965202332,77.02848052978516,1.1503286523812393,0.5995079128022583,-3.5325827932914735,1.1472404,5.365601,8.3473215,16.129301,-17.773129,-7.6614356,-1.958281,-7.4930663,0.3191701,19.68079,-19.456387,9.0056715,-2.078044,2.3700383,5.896523,-3.6986382,16.350061,-48.53177,54.213593,1.5697882,2.0412076,4.736608,-7.911733,-14.094186,42.219395,59.169262,1.5296267,13.676213,-2.2882805
4,-2.6279735565185547,0.7070344686508179,77.02706909179688,1.3184457456102125,0.7845888965360146,-3.5030204243273313,0.87240857,5.0911827,8.350956,16.160088,-17.680729,-7.530634,-2.36188,-7.777216,0.37160853,19.999733,-19.550776,9.165257,-2.0777664,2.2601192,5.8224125,-3.7368338,16.329157,-48.40578,54.168705,1.5154455,2.0175471,4.7927494,-8.004383,-14.172993,42.24733,59.01929,1.5263324,13.688969,-2.2946649
5,-2.6654739379882812,0.7975261807441711,77.0267562866211,1.4980780908944014,0.9904873626878423,-3.4587044059337395,0.5516181,4.7948523,8.349332,16.220352,-17.587473,-7.3692813,-2.7978556,-8.086428,0.417852,20.33263,-19.641617,9.337233,-2.0818076,2.1486504,5.737422,-3.780091,16.296373,-48.26383,54.121384,1.4196818,1.9804375,4.8363924,-8.102757,-14.265675,42.268906,58.85233,1.5220121,13.706735,-2.3046718
6,-2.7063965797424316,0.8907724022865295,77.02572631835938,1.6850366114542115,1.2114134959747205,-3.403504926124995,0.20027734,4.4843907,8.344699,16.294634,-17.491985,-7.1879215,-3.2576933,-8.412465,0.46042728,20.676506,-19.730398,9.518248,-2.089365,2.037608,5.6446495,-3.8278773,16.253403,-48.110123,54.07389,1.2951157,1.933477,4.8711576,-8.20265,-14.371361,42.284153,58.669724,1.5143216,13.727973,-2.3170152
7,-2.7567358016967773,0.9916287064552307,77.02180480957031,1.8494533279762397,1.4499744218274109,-3.34002947848883,-0.21561986,4.203883,8.32851,16.451302,-17.44082,-7.0339203,-3.7390904,-8.718638,0.49529877,21.01536,-19.805656,9.701214,-2.1000993,1.9580587,5.5473294,-3.8861644,16.202387,-47.946663,54.022297,1.1772437,1.8818462,4.907498,-8.311972,-14.48918,42.291683,58.481266,1.5080392,13.742846,-2.3255496
8,-2.8212733268737793,1.1008265018463135,77.01309204101562,1.9613763078625601,1.7087430042031917,-3.271101610636337,-0.72132784,3.9966385,8.292585,16.739656,-17.475946,-6.9556937,-4.241446,-8.968013,0.51801395,21.336391,-19.857416,9.879053,-2.1146235,1.9407345,5.4483113,-3.9595485,16.145742,-47.773724,53.962734,1.1030793,1.8304163,4.9558153,-8.433911,-14.618498,42.284386,58.29424,1.4991546,13.741179,-2.3242319
9,-2.8860747814178467,1.2117259502410889,76.99806213378906,2.020042337053632,1.9984356135068846,-3.193183877958341,-1.3295711,3.862815,8.258403,17.16281,-17.60803,-6.946131,-4.7790008,-9.160055,0.52765465,21.640898,-19.88121,10.049884,-2.1355042,1.9891994,5.3408484,-4.0498824,16.08434,-47.589695,53.891434,1.0840714,1.787234,5.0175223,-8.571461,-14.758678,42.25569,58.11372,1.4819859,13.71424,-2.3079047
