Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-0.01485513336956501,2.359605312347412,78.70773315429688,-0.014610849621326732,-3.379695691727689,-89.84165202994157,7.0101237,13.142283,32.28478,8.716069,-8.891381,-9.043019,2.929238,-10.339779,-17.175488,11.352076,-9.315786,5.6147976,-1.5790778,0.08000424,9.472562,-8.508942,15.977212,-60.40367,64.28903,0.6857121,3.071525,-0.63071376,-3.881996,-11.303177,36.834175,66.292854,6.452211,5.7785373,2.0395212
1,-0.013078521005809307,2.3671138286590576,78.70930480957031,-0.009142011801063794,-3.360144568608095,-89.84747369891862,6.981503,13.132775,32.289143,8.720863,-8.882427,-9.017432,2.8990645,-10.347183,-17.148148,11.350071,-9.298801,5.630343,-1.4980726,0.090440914,9.480204,-8.504128,15.956765,-59.764446,64.348404,1.2123487,3.2936742,-0.986782,-3.9312809,-11.342763,37.034733,66.17479,6.533809,5.7328873,1.8661069
2,-0.01108221523463726,2.37428617477417,78.71086120605469,-0.0048150888048522095,-3.3412114317214447,-89.85262231961475,6.952387,13.124105,32.292423,8.72779,-8.874145,-8.991032,2.869856,-10.354126,-17.119837,11.348499,-9.282182,5.647384,-1.4683532,0.105483755,9.486341,-8.470916,15.932962,-59.045208,64.39912,1.7843182,3.5205085,-1.3842721,-4.0102687,-11.383934,37.302727,66.07722,6.6350274,5.689439,1.688313
3,-0.009836032055318356,2.3802130222320557,78.71353912353516,0.001510246705287302,-3.3210514998655842,-89.85890007198768,6.92398,13.113981,32.297672,8.73054,-8.86462,-8.966226,2.8382087,-10.361988,-17.093544,11.347649,-9.266044,5.6613874,-1.3973724,0.11426391,9.489836,-8.438879,15.91224,-58.375645,64.448425,2.3291848,3.7274308,-1.7074627,-4.0710225,-11.414051,37.51308,65.97758,6.717175,5.640887,1.5158439
4,0.004022176843136549,2.3803014755249023,78.7171401977539,0.007251023188394642,-3.297407094243766,-89.86784499279167,6.893931,13.103489,32.307293,8.731024,-8.856858,-8.945365,2.7994661,-10.370737,-17.07197,11.351204,-9.252677,5.6675754,-1.4095776,0.13208708,9.493807,-8.363542,15.884024,-57.64224,64.49453,2.8088844,3.883251,-1.8443768,-4.1669655,-11.4551115,37.804222,65.89592,6.8091493,5.5870657,1.3517646
5,0.0020623058080673218,2.391923189163208,78.71674346923828,0.01362262930646589,-3.269332315925583,-89.87938999408392,6.8624406,13.091908,32.32148,8.725146,-8.849669,-8.929627,2.7524734,-10.380787,-17.058205,11.3589945,-9.241754,5.660983,-1.3962464,0.14759181,9.493983,-8.289083,15.853321,-56.9991,64.55927,3.1897242,3.9742048,-1.7303704,-4.2414856,-11.496583,38.040127,65.80311,6.865102,5.52352,1.2014389
6,0.012980382889509201,2.3960695266723633,78.7186508178711,0.019974298041138542,-3.2379135666626158,-89.89295992899301,6.829576,13.078997,32.33918,8.715211,-8.843101,-8.917501,2.6958938,-10.393425,-17.04898,11.377224,-9.236592,5.6453114,-1.3461847,0.15697479,9.490763,-8.2136545,15.825325,-56.428196,64.631935,3.508617,4.022299,-1.4362428,-4.29702,-11.528529,38.21363,65.70661,6.889261,5.4518805,1.0613911
7,0.020560409873723984,2.402299404144287,78.72021484375,0.026813434428749665,-3.2049282703924256,-89.90906154455983,6.7977467,13.065366,32.36068,8.701021,-8.835145,-8.907746,2.6388009,-10.405296,-17.041462,11.390732,-9.229588,5.6291013,-1.3201641,0.16995814,9.488472,-8.131343,15.792904,-55.860744,64.70014,3.727264,4.056459,-1.0457071,-4.362077,-11.561989,38.397903,65.62125,6.9168477,5.375671,0.9283196
8,0.026483528316020966,2.410686492919922,78.71952819824219,0.03268291891893648,-3.171782841942725,-89.92809862507207,6.7662244,13.052361,32.385498,8.686982,-8.825419,-8.899264,2.5825956,-10.4160595,-17.030884,11.399051,-9.220812,5.620709,-1.2873322,0.18398257,9.487763,-8.038204,15.756948,-55.280613,64.73773,3.8482232,4.1100645,-0.64135784,-4.4204063,-11.594018,38.551704,65.54263,6.9518085,5.295834,0.80267143
9,0.0231100432574749,2.423156261444092,78.71944427490234,0.04000139592060707,-3.13819839860399,-89.95215280924968,6.73564,13.038192,32.416225,8.672164,-8.812593,-8.891087,2.5292556,-10.4262495,-17.019049,11.395374,-9.208272,5.6246324,-1.2364182,0.19608265,9.49065,-7.947162,15.721996,-54.722958,64.74438,3.81482,4.181958,-0.17806564,-4.47248,-11.620246,38.658226,65.47369,7.001298,5.208585,0.68152887
