Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-0.014886671677231789,2.405461549758911,78.66395568847656,1.882370476613891,-4.878546401374058,-91.59311407005255,6.0151787,1.9034783,17.504854,10.775406,-10.209187,3.1087134,6.773608,-6.388874,-9.406177,7.6069384,-9.702541,9.290463,-1.473778,-0.30060163,10.202043,0.4695444,10.552076,-37.507317,55.848366,-14.146511,5.0417256,6.0925045,-0.7011872,-11.365523,36.06345,59.54492,13.417874,6.2043543,-2.0979085
1,-0.010151460766792297,2.398125171661377,78.66214752197266,1.8868339894812096,-4.86712364384803,-91.57513346916456,6.0047455,1.8944871,17.487038,10.76924,-10.203485,3.111484,6.783101,-6.3969955,-9.427098,7.579628,-9.701128,9.329045,-1.469779,-0.30101073,10.199602,0.46441004,10.547784,-37.511333,55.856045,-14.138569,5.029558,6.0944853,-0.7052394,-11.36645,36.064495,59.552418,13.415663,6.23107,-2.1034307
2,-0.011191228404641151,2.391775608062744,78.6613998413086,1.8922627077645175,-4.85480319288811,-91.55496824631705,5.9921527,1.8847834,17.46681,10.763658,-10.197,3.1156895,6.796671,-6.405009,-9.450653,7.542345,-9.6948595,9.369969,-1.4631433,-0.29861692,10.194447,0.44710523,10.534607,-37.526867,55.88248,-14.136701,5.0104785,6.0996156,-0.7126388,-11.368077,36.064037,59.56425,13.421719,6.261273,-2.1098003
3,-0.012093073688447475,2.3866312503814697,78.66120147705078,1.8952811188632133,-4.843481353251489,-91.53588210054853,5.981314,1.8765265,17.448065,10.758263,-10.191896,3.1173708,6.8070464,-6.412344,-9.472928,7.513729,-9.692444,9.406376,-1.4591353,-0.29816774,10.192479,0.4396827,10.52937,-37.533447,55.89211,-14.13111,4.999455,6.1022096,-0.71896785,-11.368455,36.06427,59.5721,13.417899,6.2904086,-2.116152
4,-0.02199910394847393,2.38494610786438,78.66332244873047,1.8974303514065733,-4.834520129835703,-91.51683284725657,5.9744887,1.8713897,17.430052,10.750525,-10.188192,3.113054,6.818145,-6.4164367,-9.496091,7.4888015,-9.690653,9.431722,-1.4516708,-0.29367062,10.191453,0.42496583,10.516319,-37.544735,55.91137,-14.129751,4.9993587,6.1064053,-0.7243958,-11.368846,36.0628,59.578712,13.401007,6.3214607,-2.1257782
5,-0.02657872438430786,2.381082534790039,78.6654052734375,1.8935633471569406,-4.828707884619754,-91.4978290220732,5.972363,1.874945,17.41292,10.742705,-10.189002,3.097203,6.8212137,-6.413097,-9.518061,7.486948,-9.69383,9.423377,-1.4463907,-0.28733066,10.196043,0.41812152,10.513858,-37.546516,55.91442,-14.128489,5.019834,6.1064,-0.7268985,-11.368865,36.063778,59.5758,13.360774,6.354548,-2.1382492
6,-0.022875167429447174,2.375406265258789,78.66452026367188,1.884376282219864,-4.825700709772455,-91.47740557780986,5.973466,1.8839694,17.395039,10.735714,-10.193566,3.0734513,6.8214693,-6.404619,-9.5409975,7.497123,-9.698423,9.391928,-1.4425921,-0.2772312,10.206515,0.4040629,10.507905,-37.546734,55.918285,-14.131839,5.0583606,6.1068716,-0.72964257,-11.368927,36.06433,59.563965,13.301389,6.3961296,-2.1563094
7,-0.022752951830625534,2.367656707763672,78.66508483886719,1.8777824665072087,-4.822789954686479,-91.45812410033832,5.975841,1.8897007,17.378876,10.726203,-10.196525,3.0512178,6.828391,-6.3995275,-9.565293,7.494733,-9.703044,9.380129,-1.4391611,-0.26975593,10.216469,0.39036542,10.50018,-37.54502,55.924686,-14.134135,5.0938563,6.1059484,-0.7321299,-11.369127,36.065422,59.551746,13.2413025,6.4340677,-2.1724966
8,-0.030936304479837418,2.36588191986084,78.66767883300781,1.882031009092074,-4.81724902522889,-91.44074128353986,5.977839,1.8820466,17.36523,10.709699,-10.192009,3.0401435,6.8520665,-6.406657,-9.593527,7.4523644,-9.703708,9.430957,-1.4374403,-0.27197498,10.222528,0.38315812,10.498039,-37.5453,55.928375,-14.136458,5.111873,6.1044345,-0.7371246,-11.369184,36.067467,59.54357,13.195103,6.465896,-2.1836665
9,-0.030514713376760483,2.359152317047119,78.66535186767578,1.9035708866786376,-4.807600926965328,-91.42584048859564,5.9806247,1.8510437,17.355228,10.6789255,-10.174494,3.0466518,6.9072313,-6.434751,-9.6304455,7.338392,-9.696745,9.588695,-1.439615,-0.2891551,10.224832,0.37952954,10.495316,-37.54679,55.934177,-14.138735,5.1020527,6.101621,-0.74556816,-11.3690605,36.06966,59.536217,13.164175,6.493813,-2.1872818
