Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-2.9346868991851807,-0.47919052839279175,71.32408142089844,4.918585792767203,-3.6461363651237875,3.87130033192365,-4.1929455,6.9629893,4.676296,97.809456,-12.870251,-4.600479,-25.416988,-12.743448,-8.627852,62.72513,-33.828594,-1.5582962,-4.849479,0.02573577,14.453687,-4.5643077,17.769497,-32.915684,62.24264,0.9788941,0.5141625,16.175728,0.3342486,-25.255165,20.887228,56.426907,-4.276148,-4.5911174,3.2751453
1,-2.9020848274230957,-1.767175316810608,71.52517700195312,4.8218799454665415,-3.614942209858396,4.241502555481974,-3.6259096,4.073231,5.561223,96.32391,-12.63469,-6.5302167,-24.799835,-11.778049,-9.964464,61.755882,-33.340843,-3.0446987,-5.5836873,-0.11506044,13.9464,-4.847788,17.860203,-33.86346,62.178776,1.1287436,0.36653107,15.914495,1.4685469,-25.293673,20.385752,55.91743,-4.76525,-3.9682949,1.6082169
2,-2.8627383708953857,-3.062443733215332,71.77454376220703,4.7074003466444845,-3.575903144020009,4.608304633268216,-3.1599529,1.267437,6.443385,94.9114,-12.48614,-8.343676,-24.196083,-10.785586,-11.328814,60.80351,-32.93014,-4.5473995,-6.2584267,-0.2253327,13.446769,-5.1725574,17.977556,-34.931664,62.114285,1.2222726,0.21654424,15.631552,2.649017,-25.329334,19.800991,55.372128,-5.2392197,-3.3056083,-0.04188909
3,-2.802454948425293,-4.377048015594482,72.08149719238281,4.5823928259429305,-3.54777017813958,4.984100212973955,-2.7377193,-1.6149864,7.1549735,93.26183,-12.284411,-10.3289995,-23.567911,-9.760132,-12.6807375,59.773434,-32.399734,-6.0189977,-6.920887,-0.32953337,12.955319,-5.461678,18.10713,-35.932922,61.99798,1.3627244,0.07249408,15.376275,3.9042509,-25.341415,19.174074,54.756855,-5.726877,-2.6882124,-1.6796628
4,-2.7344443798065186,-5.690563678741455,72.4400405883789,4.450689943808868,-3.549115166103178,5.3798405501733475,-2.291237,-4.7143393,7.5011644,91.061295,-11.927987,-12.76155,-22.877962,-8.696509,-13.987257,58.57207,-31.55013,-7.415336,-7.570524,-0.45023003,12.4707985,-5.6823816,18.241404,-36.744293,61.809788,1.6309274,-0.05897916,15.198078,5.2954206,-25.295212,18.48452,54.030453,-6.2796416,-2.2037926,-3.3061206
5,-2.667344808578491,-7.001801490783691,72.83403015136719,4.318947116147041,-3.5908300811698215,5.79978206976475,-1.7376741,-8.019967,7.560113,88.13984,-11.404379,-15.000033,-22.083033,-7.604448,-15.247436,57.135986,-30.349012,-8.76261,-8.210916,-0.5999178,11.981464,-5.8154936,18.378103,-37.308857,61.54534,2.1445696,-0.17878291,15.0954895,6.8509064,-25.157457,17.725542,53.17863,-6.998574,-1.867542,-5.0293283
6,-2.6152777671813965,-8.266338348388672,73.2480697631836,4.5893360230890226,-3.6103960627064984,6.4027282368724485,-1.1076543,-11.275517,8.134225,84.5378,-10.589583,-15.000033,-21.461288,-7.0964828,-16.298794,55.939808,-29.093134,-9.932374,-9.005991,-1.1611344,11.357376,-5.8853226,18.519112,-37.69256,61.23523,2.832197,-0.28965253,15.050238,8.49652,-24.920424,16.933939,52.26908,-7.838499,-1.6262631,-6.8221774
7,-2.5622148513793945,-9.54019832611084,73.67628479003906,4.839039827875213,-3.642094374412149,7.03546006443755,-0.38788608,-14.421141,8.419996,80.601105,-9.766376,-15.000033,-20.87302,-6.591692,-17.355711,54.75534,-27.610956,-10.995694,-9.815287,-1.7293544,10.723423,-5.930062,18.664852,-37.961807,60.90766,3.4887297,-0.3862448,15.085927,10.141894,-24.595577,16.14481,51.377956,-8.636693,-1.4753786,-8.483406
8,-2.521477699279785,-10.837918281555176,74.1151123046875,4.9481248964448055,-3.6850080497398228,7.643258238051166,0.41139546,-17.068188,8.54544,76.60401,-9.031525,-15.000033,-20.335772,-5.9328365,-18.449932,53.568428,-25.826284,-11.914032,-10.582531,-2.1764724,10.137346,-5.984681,18.815178,-38.18112,60.585762,3.9133127,-0.46356598,15.224185,11.715373,-24.203184,15.386651,50.561108,-9.229498,-1.4246894,-9.810401
9,-2.488847255706787,-12.148351669311523,74.5662841796875,4.969351726439276,-3.7396988305064367,8.242908439339041,1.3172681,-19.287003,8.562397,72.44483,-8.317743,-15.000033,-19.901049,-5.201808,-19.572739,52.463596,-23.660954,-12.907054,-11.322482,-2.5595112,9.592997,-6.05253,18.969385,-38.33952,60.26355,4.034102,-0.49490348,15.468465,13.257178,-23.752748,14.634548,49.77922,-9.584806,-1.5222034,-10.781428
