Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-0.09645587205886841,-2.4159014225006104,78.73252868652344,-0.6977318211557588,-2.2296343531862512,89.15103298209347,3.5323606,5.7290435,-0.3102092,9.545196,-12.124209,-5.6617775,4.030604,-3.1052623,-4.6080775,9.778976,-11.078438,2.293493,-2.701764,0.14534992,11.051551,2.0300112,15.041753,-34.928665,51.42369,17.210833,2.1721113,1.2018697,1.8526865,-15.160313,36.07809,52.61386,-23.374784,-2.2820427,0.28328604
1,-0.10130699723958969,-2.4254186153411865,78.73047637939453,-0.694926493547224,-2.241227051347414,89.17520124556995,3.529137,5.7201147,-0.33241427,9.56752,-12.146094,-5.654218,4.0564637,-3.115333,-4.624814,9.765189,-11.102441,2.3080032,-2.7186015,0.14021425,11.05875,2.0340009,15.057816,-34.92426,51.406647,17.193504,2.1573014,1.2222406,1.8665881,-15.174563,36.061203,52.610733,-23.399313,-2.2841313,0.33959508
2,-0.10415418446063995,-2.4336752891540527,78.73053741455078,-0.6909842885894413,-2.2537247968408067,89.20020224578603,3.5277126,5.7098923,-0.3545825,9.587387,-12.166795,-5.6453395,4.0814924,-3.126643,-4.6411176,9.754558,-11.129023,2.3229356,-2.7325926,0.13519585,11.06794,2.0335157,15.072554,-34.922783,51.391975,17.174393,2.1416726,1.2426144,1.8858216,-15.1912,36.03734,52.601856,-23.42738,-2.286641,0.39927217
3,-0.1053709164261818,-2.4296152591705322,78.72909545898438,-0.6890926141988092,-2.264495176719429,89.2233535154309,3.5227542,5.7017694,-0.3765458,9.6125965,-12.190282,-5.639037,4.1063614,-3.1358018,-4.65802,9.741493,-11.152553,2.3370776,-2.7472448,0.13153596,11.071376,2.0296898,15.080158,-34.921074,51.390106,17.159687,2.1275907,1.2648236,1.898302,-15.20224,36.021194,52.604244,-23.451101,-2.2877572,0.45198047
4,-0.10472279787063599,-2.4276022911071777,78.72621154785156,-0.6905987634227386,-2.2708847735761464,89.24166206488617,3.5085106,5.698347,-0.39777634,9.653274,-12.221998,-5.6390147,4.1280475,-3.140149,-4.676113,9.727075,-11.170397,2.349433,-2.7581687,0.13040066,11.068024,2.0276613,15.084337,-34.91945,51.393566,17.156775,2.1182587,1.2880595,1.907368,-15.210159,36.013317,52.60864,-23.4669,-2.2856746,0.49098384
5,-0.1065221056342125,-2.420706033706665,78.72179412841797,-0.6977858555568709,-2.2733007873126425,89.25117108772307,3.4867635,5.7026362,-0.41588295,9.710106,-12.260852,-5.648393,4.146746,-3.1353035,-4.6919284,9.709689,-11.17395,2.3580806,-2.7603137,0.1341259,11.061494,2.0306768,15.089234,-34.918446,51.394135,17.170399,2.1130202,1.3162664,1.9213389,-15.22236,36.013626,52.599834,-23.476265,-2.2763462,0.5128181
6,-0.11139924079179764,-2.4123213291168213,78.71611785888672,-0.7100634701571132,-2.272982054170109,89.25425765911554,3.459696,5.7118325,-0.43151498,9.778169,-12.304746,-5.664383,4.1614385,-3.124863,-4.7058334,9.6942,-11.169821,2.3642626,-2.7597637,0.13918184,11.050029,2.0395415,15.093034,-34.916714,51.394966,17.195017,2.1122284,1.3498808,1.9345382,-15.235206,36.028812,52.58782,-23.477156,-2.2592854,0.5196205
7,-0.11465414613485336,-2.4066567420959473,78.70986938476562,-0.7228175562273488,-2.267530467095424,89.25864058960856,3.4196367,5.7220144,-0.45037955,9.86334,-12.35968,-5.6822786,4.1761565,-3.114493,-4.7261705,9.673351,-11.168808,2.3710802,-2.761136,0.14634594,11.032599,2.0491116,15.095197,-34.912266,51.398655,17.226065,2.1163967,1.3764395,1.9461927,-15.245756,36.044052,52.575016,-23.472383,-2.2454352,0.52215534
8,-0.11466207355260849,-2.3974063396453857,78.70454406738281,-0.7341299871395928,-2.255024088553963,89.27187697593304,3.3578947,5.7291236,-0.47802153,9.972321,-12.431239,-5.6975493,4.19413,-3.1103208,-4.7608557,9.641283,-11.182318,2.3816564,-2.7711666,0.15521759,11.009706,2.05812,15.0963955,-34.90281,51.401585,17.257544,2.127603,1.3842748,1.9603806,-15.256279,36.050705,52.55257,-23.460249,-2.2426991,0.5306067
9,-0.11819376051425934,-2.391045331954956,78.69939422607422,-0.7409184220381145,-2.231546643143163,89.29669170790933,3.268184,5.728848,-0.51728433,10.104732,-12.519381,-5.708635,4.212629,-3.1184711,-4.816473,9.598026,-11.215345,2.4020302,-2.7895823,0.16781275,10.985076,2.061114,15.096766,-34.88171,51.39634,17.300327,2.150416,1.360725,1.9883941,-15.283054,36.032223,52.499496,-23.445585,-2.25617,0.55576384
10,-0.1224576011300087,-2.3911519050598145,78.6920166015625,-0.7456920346863969,-2.199682141453419,89.32858464980883,3.1585271,5.7236,-0.56419486,10.254103,-12.619695,-5.71802,4.2333226,-3.13444,-4.8872437,9.542516,-11.259241,2.4288013,-2.80711,0.17842108,10.949861,2.054982,15.095572,-34.867683,51.399292,17.34505,2.1846554,1.3196347,2.014466,-15.296795,35.998455,52.454517,-23.427126,-2.278134,0.5835122
11,-0.12536494433879852,-2.3876044750213623,78.68355560302734,-0.7531207824854508,-2.166050855889806,89.36460971341694,3.0327191,5.7215867,-0.615766,10.436216,-12.73993,-5.7271094,4.2564874,-3.1477735,-4.962347,9.485518,-11.314815,2.451089,-2.8025854,0.20093644,10.92547,2.0294836,15.087709,-34.867733,51.410755,17.3904,2.2160385,1.2699412,2.087354,-15.345648,35.915142,52.334747,-23.41858,-2.3094814,0.6211527
12,-0.12902583181858063,-2.3809010982513428,78.67420959472656,-0.7596456390170149,-2.1364186558929465,89.39945085093468,2.912943,5.720088,-0.66321784,10.625743,-12.87091,-5.736079,4.227403,-3.1636686,-5.024497,9.552934,-11.443953,2.4594488,-2.8219695,0.21090898,10.88666,2.0381615,15.085527,-34.857555,51.425896,17.408722,2.236911,1.2365279,2.1146836,-15.3550205,35.88867,52.273567,-23.384727,-2.3411152,0.633532
13,-0.13005965948104858,-2.3694748878479004,78.66244506835938,-0.7725884139654898,-2.1112359289440272,89.43495253245226,2.7849276,5.7279787,-0.7088022,10.855362,-13.027654,-5.747888,4.1654315,-3.17026,-5.069638,9.701675,-11.621464,2.446119,-2.8361936,0.22562449,10.852752,2.0558863,15.081798,-34.846207,51.452293,17.414808,2.2406747,1.2082952,2.1531422,-15.371033,35.854996,52.191647,-23.37095,-2.3744638,0.63886803
14,-0.13291195034980774,-2.3453879356384277,78.6503677368164,-0.7919886127805881,-2.087719580720099,89.47248500120948,2.644799,5.7448964,-0.7553587,11.122898,-13.208856,-5.761632,4.1022425,-3.1662006,-5.1073685,9.861061,-11.813067,2.4175587,-2.8370502,0.24948949,10.826195,2.068927,15.073632,-34.844704,51.490494,17.412552,2.2343116,1.1808952,2.2356167,-15.414222,35.802513,52.040173,-23.370493,-2.4074876,0.6438155
15,-0.13168545067310333,-2.327690839767456,78.63640594482422,-0.8153333378577099,-2.068283151774075,89.51127789417417,2.507143,5.7649627,-0.8041059,11.401214,-13.400931,-5.7732763,4.0523643,-3.1584346,-5.1493945,10.009855,-12.010303,2.3841739,-2.8522646,0.27345112,10.796375,2.1034362,15.068095,-34.83522,51.52247,17.392303,2.2215524,1.1672443,2.2934637,-15.445654,35.77244,51.906834,-23.331179,-2.4510486,0.63445956
16,-0.13239334523677826,-2.3004238605499268,78.62100219726562,-0.8368584426581362,-2.0520747155264423,89.54874926065358,2.376106,5.7823176,-0.85539013,11.679187,-13.598946,-5.7788215,4.018738,-3.1543055,-5.205428,10.142967,-12.212202,2.356311,-2.8691795,0.29032227,10.768702,2.147579,15.065117,-34.81709,51.54454,17.362791,2.204792,1.1738487,2.3495135,-15.463516,35.738647,51.750027,-23.234009,-2.507951,0.6138872
