Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.19596678018569946,0.9508509039878845,78.90274810791016,-0.8285828737527233,11.552329802818303,-85.32701740594607,8.645808,0.34016386,-6.99897,20.070658,2.1104589,-3.8926895,-34.28262,0.3316653,-1.9365798,28.240644,-7.5920434,0.69587845,-19.732653,0.39825356,10.990963,-33.21182,33.11923,-40.856426,-39.610374,-0.81939256,1.2105334,-3.2086644,53.55995,-35.377632,13.005521,-31.844048,-3.939708,-14.558484,-0.14070128
1,0.12889409065246582,-0.5754873752593994,79.03773498535156,-0.5873703626557596,11.318729619448197,-85.41225265969854,9.49415,0.0798901,-7.1515875,20.570099,3.7723794,-3.7976115,-32.784985,0.65765816,-1.1383393,23.003233,-6.6262155,2.1076756,-20.193514,0.15239272,10.969194,-32.82371,33.46043,-41.305195,-40.240597,-0.4388089,1.3550178,-3.5708919,54.66055,-35.420277,12.216757,-32.60473,-4.797948,-14.214203,-0.024551563
2,0.08798787742853165,-2.121650457382202,79.10205841064453,-0.191033896518458,11.029082365143756,-85.40025982247349,10.485698,-0.32308447,-7.3880033,20.8641,5.5718656,-3.6463292,-31.04906,0.7397238,-0.2403744,17.285814,-5.5083394,3.57106,-20.73492,-0.24448656,10.955538,-32.442963,33.86395,-41.79698,-40.96466,-0.028554345,1.5080688,-3.9427679,55.905354,-35.403664,11.3334465,-33.45563,-5.7027063,-13.867147,0.13206458
3,0.04668812453746796,-3.6689062118530273,79.1072006225586,0.3420322562161263,10.655190866327626,-85.36078422389667,11.59052,-0.87822884,-7.6349816,21.08418,7.3901916,-3.5191772,-29.203047,0.55728155,0.6194244,11.762889,-4.3813334,4.8778467,-21.274448,-0.8040174,10.973278,-31.95468,34.315098,-42.223,-41.721165,0.31730524,1.6359502,-4.2708435,57.087196,-35.34012,10.531127,-34.320683,-6.574472,-13.541282,0.2914377
4,-0.0005467886221595109,-5.220651626586914,79.06936645507812,0.8547441402388205,10.229821616222488,-85.43041892226995,12.660751,-1.4570857,-7.7684255,21.494244,9.028901,-3.5208483,-27.414661,0.29551387,1.2697126,7.053097,-3.3330803,5.8167357,-21.647543,-1.3831289,11.063771,-31.221169,34.792904,-42.49531,-42.48468,0.5426282,1.7028445,-4.4910192,57.908813,-35.252132,9.948235,-35.052086,-7.2840858,-13.262808,0.4323835
5,-0.06029575690627098,-6.745872497558594,78.9943618774414,1.2368385642628383,9.782091570147264,-85.71326544043278,13.613886,-1.9706085,-7.7155647,22.242441,10.44305,-3.7116082,-27.47604,0.19643943,1.6396468,6.9412923,-4.3289256,6.2585454,-21.775429,-1.8892721,11.242862,-30.21729,35.284706,-42.6117,-43.249363,0.6003443,1.6957461,-4.535026,58.422787,-35.15013,9.631405,-35.730232,-7.831504,-13.038862,0.52534103
6,-0.11083365231752396,-8.245677947998047,78.88960266113281,1.5005276175587157,9.33469033486942,-86.16566864756851,14.446252,-2.405968,-7.5148177,23.28248,11.665953,-4.030823,-27.352505,0.22817923,1.8211358,6.8871207,-5.06999,6.356299,-21.701054,-2.3152394,11.490173,-29.026861,35.78114,-42.622036,-44.010033,0.53813505,1.6344429,-4.4532394,58.597725,-35.052383,9.514564,-36.267406,-8.216464,-12.853681,0.584574
7,-0.16337555646896362,-9.74386215209961,78.74555969238281,1.629790146728685,8.93200117206324,-86.72322321286843,15.076829,-2.7114189,-7.18211,24.659117,12.57692,-4.4144354,-27.071127,0.39353618,1.870441,6.869039,-5.511818,6.292378,-21.486803,-2.6053898,11.766774,-27.631594,36.266632,-42.45829,-44.72456,0.43463856,1.5334827,-4.365472,58.536377,-34.959587,9.575803,-36.729637,-8.558585,-12.696515,0.63369966
8,-0.20677700638771057,-11.23499584197998,78.55724334716797,1.6149082480422043,8.611510785696522,-87.3170584251099,15.441908,-2.8465488,-6.7347155,26.39306,13.064728,-4.804523,-26.656786,0.68451077,1.8453292,6.8735356,-5.614855,6.244196,-21.185028,-2.71277,12.038378,-26.027287,36.7237,-42.058876,-45.350887,0.3562643,1.4080259,-4.390842,58.254562,-34.872574,9.787638,-37.10436,-8.936586,-12.557851,0.7018593
9,-0.24894553422927856,-12.701760292053223,78.30426025390625,1.5011787678090835,8.366254125613843,-87.92747250173866,15.549594,-2.8813949,-6.1640644,28.522556,13.080398,-5.1615186,-26.046978,1.0293478,1.7081779,6.8994327,-5.3582277,6.5093765,-20.827963,-2.6780438,12.278629,-24.175976,37.131813,-41.377373,-45.887783,0.28102684,1.2366414,-4.629788,57.833427,-34.79024,10.159258,-37.476963,-9.429766,-12.443616,0.8023291
10,-0.286192923784256,-14.180980682373047,77.9980239868164,1.2774486398610532,8.175620671048282,-88.59345734841675,15.423444,-2.7999065,-5.459908,31.051035,12.672907,-5.518822,-25.246666,1.4636841,1.4549973,6.9549775,-4.768565,6.910123,-20.36115,-2.5074267,12.520266,-22.102453,37.47317,-40.482155,-46.350903,0.18302101,1.0199119,-4.994175,57.071983,-34.726967,10.693813,-37.672474,-9.892366,-12.356717,0.9201332
11,-0.3027949333190918,-15.671859741210938,77.64879608154297,0.8530677625995929,8.04842783094913,-89.32568030076202,15.051176,-2.449932,-4.647014,33.90559,11.898701,-5.9414983,-24.385452,2.1345947,1.1912954,7.052222,-3.8824227,6.9162445,-19.771666,-2.1155577,12.791185,-19.847542,37.7385,-39.43666,-46.719143,0.12589647,0.8065135,-5.3233366,56.044388,-34.67383,11.369696,-37.725365,-10.290104,-12.281,1.0264055
12,-0.3503369092941284,-17.09087371826172,77.31555938720703,0.16279395768859228,7.980877871442971,-90.12001061508313,14.454348,-1.7170709,-3.7671492,36.97596,10.842021,-6.501389,-24.879091,3.1865106,0.9535127,9.942585,-4.1768694,6.010927,-19.062708,-1.4426881,13.115765,-17.450544,37.92514,-38.301826,-46.972202,0.17438902,0.64360535,-5.4557266,54.903828,-34.60063,12.168068,-37.734406,-10.629556,-12.200856,1.0951179
13,-0.3844854533672333,-18.524229049682617,76.93882751464844,-0.8715508605327509,8.01073425412329,-90.9845900113273,13.616579,-0.5568361,-2.8678386,40.27136,9.4699,-7.3079023,-26.4508,4.7326374,0.72535175,14.856535,-4.8205147,3.5946186,-18.198366,-0.38338366,13.480968,-14.939487,38.02198,-37.136097,-47.087776,0.37984744,0.5272109,-5.293259,53.48672,-34.487133,13.066497,-37.546345,-10.817576,-12.112168,1.1371672
14,-0.4287503659725189,-19.936098098754883,76.5377426147461,-2.0195292816186616,8.0562454647644,-91.84905837132837,12.66889,0.7670328,-1.969109,43.708214,7.833296,-8.2691555,-28.399124,6.491276,0.4238625,20.534193,-5.202249,0.18831088,-17.25152,0.8136097,13.853509,-12.3019285,38.013943,-35.930775,-47.073414,0.69223136,0.43938193,-4.9380198,51.93576,-34.312565,14.076985,-37.295235,-10.937298,-12.023426,1.1612859
15,-0.48952749371528625,-21.323400497436523,76.10670471191406,-3.0177172414176328,7.985640876797591,-92.63771028328848,11.77463,2.0492523,-1.0320429,47.114384,6.093786,-9.183763,-30.112638,8.119675,0.06532315,25.98683,-5.595673,-3.1033108,-16.272772,1.8309706,14.265738,-9.592757,37.895206,-34.703144,-46.950256,1.020421,0.40321156,-4.5230465,50.264534,-34.078674,15.191973,-36.973404,-10.975556,-11.940513,1.1593906
16,-0.5735837817192078,-22.770675659179688,75.65000915527344,-3.7782914396981657,7.728164910673662,-93.33799017392204,11.001711,3.2873273,0.010145771,50.413017,4.3572907,-9.884496,-31.057653,9.456859,-0.23460951,30.375376,-6.4601326,-5.28193,-15.261209,2.542647,14.764165,-6.8506026,37.664215,-33.451515,-46.747486,1.2811875,0.43829307,-4.179879,48.418545,-33.80255,16.402569,-36.517925,-10.89703,-11.868992,1.1197364
17,-0.6464328169822693,-24.22020149230957,75.19571685791016,-4.362370329360524,7.235818166622006,-94.02138322527641,10.442836,4.5910707,1.2460201,53.620914,2.6098876,-10.442085,-31.137892,10.556112,-0.35568252,33.773273,-8.320781,-5.966207,-14.157372,2.9994714,15.421562,-4.0074058,37.31113,-32.116966,-46.488,1.4017665,0.6126137,-3.986887,46.401012,-33.488487,17.72334,-35.917885,-10.54787,-11.803416,1.0205648
