Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.37793871760368347,2.3936607837677,78.43427276611328,-0.807164273107661,-4.291066644431259,-95.37961516028345,2.3627353,10.245635,11.715776,17.0506,-10.191209,-5.07411,4.6157503,1.0865608,-12.404826,7.6206636,-10.118883,-1.2055742,0.24152233,-1.016313,14.73205,7.948317,10.550821,-19.307419,57.34255,6.488097,-0.51685894,11.326441,-4.9972324,-10.706367,29.627693,58.868713,-13.641169,7.3391275,-2.449526
1,0.3661050498485565,2.5257761478424072,78.42643737792969,-0.8651679845946015,-4.2816891557531624,-95.41424624201075,2.21803,10.350093,11.816983,17.147612,-10.251348,-4.9767756,4.50774,1.1754858,-12.393751,7.5811605,-10.00141,-1.2336453,0.22699337,-0.9679698,14.830119,7.8378005,10.561263,-19.378561,57.214104,6.4632053,-0.5326178,11.356143,-5.098471,-10.723445,29.776085,59.179733,-13.671574,7.394922,-2.3542526
2,0.3638935089111328,2.656122922897339,78.4178237915039,-0.9237650080945071,-4.2713489566418055,-95.450958533058,2.0642302,10.4585285,11.92347,17.263176,-10.316714,-4.871986,4.3953896,1.2648573,-12.381012,7.547069,-9.886325,-1.2625424,0.19165102,-0.9149136,14.923418,7.740127,10.562885,-19.439966,57.08218,6.429602,-0.5511153,11.389025,-5.2008696,-10.7597685,29.98096,59.483513,-13.675216,7.4547453,-2.2572823
3,0.3695686459541321,2.7710187435150146,78.40882110595703,-0.9822026166997194,-4.262154583318991,-95.48268296274206,1.9260007,10.561821,12.016964,17.347158,-10.3736315,-4.782215,4.2894855,1.3534882,-12.372625,7.5058413,-9.768869,-1.2893606,0.14600728,-0.85447747,15.019411,7.639662,10.552303,-19.487377,56.95423,6.411889,-0.5682792,11.420777,-5.2895646,-10.812918,30.165157,59.76635,-13.680008,7.51276,-2.1681192
4,0.3709218502044678,2.885000705718994,78.40062713623047,-1.0438743674428468,-4.255788161939852,-95.50214336519446,1.8243983,10.651128,12.078235,17.354614,-10.410965,-4.7297525,4.191153,1.4378408,-12.375137,7.4649568,-9.655277,-1.3111641,0.090555556,-0.77808017,15.11789,7.531884,10.523211,-19.526957,56.83423,6.419211,-0.5807146,11.453058,-5.3399177,-10.893217,30.284279,60.00264,-13.685,7.565933,-2.1024494
5,0.3763964772224426,2.9947187900543213,78.39147186279297,-1.1089323884071514,-4.2545487079210895,-95.50790918501,1.7707152,10.726532,12.102118,17.266342,-10.429227,-4.7180543,4.1065707,1.5209506,-12.390226,7.4176497,-9.540763,-1.3258247,0.034072265,-0.6867094,15.219292,7.4119773,10.481256,-19.568727,56.728645,6.4560337,-0.5863861,11.492854,-5.361695,-10.979624,30.31014,60.219467,-13.711576,7.611052,-2.0697036
6,0.39550676941871643,3.1099817752838135,78.3840103149414,-1.176157150985865,-4.25688134087433,-95.50356179262545,1.7512043,10.792063,12.098805,17.109797,-10.433916,-4.7357388,4.031747,1.6030465,-12.4144745,7.3655586,-9.42547,-1.3354963,-0.027054582,-0.5887645,15.321335,7.2896924,10.434587,-19.608292,56.628384,6.5132904,-0.58700556,11.537062,-5.3707843,-11.059159,30.273752,60.43349,-13.752315,7.65028,-2.0628302
7,0.4059795141220093,3.2310564517974854,78.37432861328125,-1.2402467582014627,-4.258528184483999,-95.48978203690285,1.7525176,10.843667,12.072791,16.904762,-10.419077,-4.782957,3.9599483,1.6770111,-12.446649,7.314916,-9.316705,-1.3432462,-0.09062253,-0.48906404,15.41618,7.1625237,10.382216,-19.648613,56.535374,6.5791326,-0.58373,11.574554,-5.3613434,-11.138105,30.183718,60.632835,-13.782911,7.686252,-2.073014
8,0.41185393929481506,3.3301279544830322,78.36441802978516,-1.2971777204514765,-4.2552069297244675,-95.46681326220231,1.7617922,10.878015,12.028266,16.670704,-10.378848,-4.86016,3.8845005,1.7363288,-12.485534,7.270637,-9.220416,-1.3523738,-0.15346207,-0.39495817,15.495904,7.031188,10.328525,-19.69327,56.447422,6.6406536,-0.5777088,11.593028,-5.3298492,-11.212759,30.046322,60.810757,-13.781431,7.72145,-2.0923195
9,0.4240345358848572,3.427271604537964,78.35839080810547,-1.3398789559136426,-4.24506500391761,-95.4351902861533,1.783091,10.889982,11.95966,16.395218,-10.308647,-4.9777493,3.8033197,1.7774328,-12.530344,7.2345085,-9.143661,-1.3642648,-0.23142286,-0.3239276,15.5566635,6.9251676,10.295361,-19.717276,56.33136,6.6940155,-0.56532866,11.574904,-5.299149,-11.253406,29.869436,60.995342,-13.725279,7.7561684,-2.125081
