Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-0.39099016785621643,-0.3214033842086792,79.54669189453125,0.39732343674227494,2.4948048118883857,-89.46443155051496,-0.11031105,0.094892256,-0.8900604,8.277024,-9.904109,-1.6354386,1.8330965,-2.3134105,-14.009968,7.0537853,-11.404811,1.1849717,-2.794254,0.36715153,8.998714,-6.0982866,10.331392,-38.268463,60.395718,-1.083156,3.5828528,-5.4979696,-7.19916,-8.744132,32.421513,56.685284,-12.067794,5.8784957,2.5217507
1,-0.394523561000824,-0.4163670837879181,79.53681945800781,0.40614805887514355,2.5862641725814797,-89.46778972867546,-0.11967243,0.08390121,-0.8921947,8.2455435,-9.934402,-1.6227815,1.8075211,-2.3200378,-14.000699,7.054231,-11.456177,1.2167305,-2.7916172,0.3637618,8.988428,-6.121818,10.331029,-38.27034,60.400406,-1.0937017,3.6122944,-5.4903326,-7.235627,-8.741081,32.430218,56.641518,-12.080198,5.871942,2.5421362
2,-0.395712673664093,-0.5117661952972412,79.530517578125,0.4154322397702333,2.6743199387016987,-89.47204862070186,-0.12595889,0.07240274,-0.893585,8.215402,-9.9651375,-1.6104256,1.7856966,-2.3266528,-13.990193,7.054074,-11.5071125,1.2499393,-2.7944138,0.35864863,8.984203,-6.1512985,10.330286,-38.270523,60.409733,-1.1085047,3.645833,-5.4828835,-7.2837415,-8.735031,32.45009,56.60761,-12.087925,5.8632393,2.5606246
3,-0.3956829607486725,-0.6117858290672302,79.52279663085938,0.4239199360996383,2.7691854492284786,-89.47464860117296,-0.13957067,0.061646122,-0.8962194,8.185521,-9.996709,-1.5976377,1.7565831,-2.3332117,-13.982114,7.0549145,-11.558443,1.2805207,-2.7953072,0.35573575,8.971849,-6.1747766,10.329985,-38.267372,60.41406,-1.1193352,3.6705856,-5.474607,-7.3245893,-8.730167,32.46462,56.565613,-12.094565,5.859383,2.5795715
4,-0.393934965133667,-0.6971065402030945,79.5167236328125,0.4309235213349498,2.879824730174788,-89.4726543910424,-0.16785723,0.052242063,-0.90242463,8.149502,-10.026525,-1.5838327,1.7127644,-2.339348,-13.980553,7.0546513,-11.609957,1.3044572,-2.7960312,0.35707477,8.948138,-6.20072,10.330141,-38.255474,60.41876,-1.128805,3.6706984,-5.4650183,-7.373809,-8.726453,32.473724,56.523613,-12.086427,5.8654985,2.597993
5,-0.39363330602645874,-0.7855739593505859,79.50870513916016,0.43559456817190906,3.0168084850337515,-89.46012910574974,-0.22394244,0.0448499,-0.9175237,8.109368,-10.054978,-1.5684433,1.6429845,-2.3456926,-13.992984,7.054841,-11.66106,1.3184764,-2.7969604,0.3622125,8.897231,-6.2211556,10.330993,-38.23664,60.427963,-1.1292727,3.6323106,-5.4523892,-7.412621,-8.723046,32.470665,56.470036,-12.065728,5.8919086,2.6122735
6,-0.3988325595855713,-0.8913401365280151,79.50078582763672,0.4388347984925966,3.171671225991779,-89.43994986665524,-0.2981915,0.03812259,-0.93901104,8.065154,-10.082094,-1.551829,1.5564818,-2.35217,-14.0154915,7.0549426,-11.712497,1.3253963,-2.8061264,0.36995938,8.835826,-6.2422395,10.334412,-38.19259,60.438934,-1.1133167,3.56508,-5.4440393,-7.4661655,-8.713831,32.456963,56.424778,-12.039751,5.9291253,2.6283681
7,-0.39580482244491577,-0.993382453918457,79.49238586425781,0.44106569350555114,3.328995609768353,-89.42455267993961,-0.3720407,0.03312272,-0.95566607,8.016781,-10.109515,-1.5351654,1.4663202,-2.3571904,-14.032882,7.0548944,-11.764583,1.3301165,-2.7976186,0.38016513,8.767055,-6.261784,10.336108,-38.169033,60.44069,-1.1150199,3.4984338,-5.4265995,-7.504272,-8.710826,32.444313,56.358356,-12.001184,5.97007,2.6421034
8,-0.39494168758392334,-1.089358925819397,79.48455047607422,0.4425233770442106,3.4715908485253393,-89.42590983308766,-0.42769262,0.03048236,-0.95676476,7.970576,-10.1424,-1.5195616,1.388004,-2.3590827,-14.030398,7.0551467,-11.818622,1.3374795,-2.7924614,0.38647607,8.735266,-6.284029,10.348696,-38.089252,60.399605,-1.1025462,3.4591823,-5.4183364,-7.586171,-8.69355,32.433342,56.29921,-11.978321,5.9976163,2.670263
9,-0.39812302589416504,-1.1905834674835205,79.47455596923828,0.44122681628788174,3.5922251887932344,-89.45417853800413,-0.45635474,0.03379136,-0.9323417,7.927382,-10.183303,-1.5062746,1.3262849,-2.3537953,-13.996996,7.0553384,-11.874436,1.3479944,-2.7598424,0.39578333,8.7286005,-6.3097634,10.360833,-38.018684,60.319622,-1.113064,3.4612956,-5.4015727,-7.670831,-8.682597,32.43684,56.2187,-11.949286,6.012299,2.7104928
