Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-0.16161954402923584,1.7174102067947388,76.87747955322266,0.01532621550272207,3.6821111034905813,-86.48973257241322,-26.359386,-4.725317,0.46510282,21.526644,2.1446054,1.7836113,15.020148,-6.7589283,-16.032444,55.495167,2.5318322,-4.1693015,6.819619,-0.83086956,6.3964863,27.368372,37.241142,-28.156546,-34.296085,16.274101,0.6524795,19.166983,-12.75086,-25.421257,36.09442,-20.0701,-2.08614,-4.26422,-23.190897
1,-0.11953151226043701,0.059964995831251144,76.381103515625,0.6562139870915166,3.179863643475865,-86.19170459013691,-26.927135,-5.6317286,0.81393725,26.6316,-1.2867875,2.4268105,13.9503,-8.725548,-16.303297,59.845596,0.9093825,-4.7304773,6.0333023,-1.662966,7.1057634,25.16352,37.31716,-28.447014,-33.929848,15.444693,0.5554495,19.706823,-12.022078,-25.46508,35.968155,-19.256218,-1.4957044,-4.4811034,-23.313055
2,-0.12724517285823822,-1.6103473901748657,75.84352111816406,1.2782203301508253,2.6504280845996764,-85.87864682743562,-27.55634,-6.4954944,1.0995883,31.922123,-4.786391,3.107771,12.999964,-10.6481,-16.512989,64.20761,-0.7106412,-5.24183,5.2744884,-2.4936595,7.8023887,22.934431,37.345303,-28.764725,-33.535564,14.561454,0.41253042,20.245203,-11.30303,-25.500029,35.826294,-18.418383,-0.8453005,-4.7283354,-23.415037
3,-0.1282777339220047,-3.2742996215820312,75.34500885009766,1.8423901120386048,2.126080810334944,-85.63770373422994,-27.976864,-7.201546,1.3414273,36.836803,-8.171136,3.7358136,11.991781,-12.515629,-16.652166,68.46453,-2.3425345,-5.838157,4.5704556,-3.259174,8.473587,20.587273,37.335495,-29.162066,-33.037807,13.800473,0.34675515,20.804129,-10.543374,-25.52514,35.671024,-17.583273,-0.31887743,-4.9205427,-23.530989
4,-0.13432396948337555,-4.902595520019531,74.89398956298828,2.3143925999913515,1.64054688031747,-85.55483472380025,-27.92367,-7.672393,1.5836686,40.802433,-11.245966,4.2068906,10.736471,-14.339382,-16.693253,72.49279,-4.002282,-6.666191,3.956121,-3.8965304,9.106938,18.01696,37.29803,-29.70748,-32.35493,13.335486,0.4872464,21.415209,-9.690525,-25.528162,35.492558,-16.765902,-0.10285634,-4.9719253,-23.692093
5,-0.1504468470811844,-6.5025458335876465,74.51129913330078,2.6857653139658555,1.184333148295867,-85.65955717112558,-27.263739,-7.897169,1.8801038,43.6083,-13.96421,4.4597535,9.185829,-16.203678,-16.645504,76.33019,-5.748544,-7.866312,3.466581,-4.374219,9.745682,15.047153,37.247944,-30.513926,-31.364544,13.207229,0.9815339,22.216713,-8.711941,-25.493986,35.24947,-15.908223,-0.49188593,-4.79101,-23.92761
6,-0.18397976458072662,-8.099395751953125,74.19083404541016,2.987986164043118,0.752242656718248,-85.89942762130026,-26.16466,-7.9844275,2.243898,45.580456,-16.421484,4.562217,7.4076214,-18.099617,-16.48698,80.028534,-7.575512,-9.339337,3.0769107,-4.7427998,10.386382,11.800607,37.178158,-31.50298,-30.177677,13.307696,1.7331114,23.158243,-7.6358104,-25.42132,34.946255,-15.016493,-1.3080577,-4.442416,-24.206284
7,-0.20798705518245697,-9.701431274414062,73.9178695678711,3.240844912814384,0.3843005171625493,-86.24188265060641,-24.810762,-8.014455,2.6542659,46.954987,-18.643917,4.5989122,5.385798,-19.883627,-16.152063,83.45146,-9.375492,-10.876398,2.73435,-5.0478663,10.94504,8.590601,37.060875,-32.469543,-29.021496,13.591014,2.5069609,23.981853,-6.5037537,-25.324915,34.64396,-14.206781,-2.0246503,-4.077904,-24.475359
8,-0.21279118955135345,-11.303046226501465,73.68450927734375,3.4618830276910706,0.11986362224133672,-86.65446533694555,-23.38572,-8.036678,3.064314,47.96672,-20.656843,4.6431108,3.1079533,-21.400667,-15.604536,86.45689,-11.018565,-12.263109,2.374894,-5.3302407,11.332995,5.718892,36.866745,-33.21648,-28.088295,14.035289,3.0608768,24.419352,-5.3643126,-25.229464,34.42197,-13.596898,-2.117212,-3.855073,-24.695238
9,-0.18412798643112183,-12.911251068115234,73.50093841552734,3.681723968790353,-0.012911812803581441,-87.21303322060032,-21.90565,-8.028213,3.5186884,48.6129,-22.489147,4.6911616,0.4314753,-22.68194,-14.76213,89.11622,-12.465874,-13.540603,2.040384,-5.6158404,11.516728,3.227287,36.574825,-33.68462,-27.367748,14.761039,3.2876217,24.295916,-4.2104545,-25.153692,34.315098,-13.242666,-1.1903397,-3.838622,-24.870138
10,-0.1580345630645752,-14.518636703491211,73.3706283569336,3.882168692900603,-0.03954524829101126,-87.90543991836985,-20.287525,-7.957954,4.015998,48.800453,-24.125101,4.705686,-2.6144383,-23.752186,-13.688753,91.46725,-13.764883,-14.789952,1.7263707,-5.8660736,11.544815,0.9525222,36.18678,-33.979904,-26.73935,15.755613,3.3172505,23.775282,-3.0279639,-25.103724,34.2967,-13.082659,0.39481905,-3.9397497,-25.023357
11,-0.12416841089725494,-16.140844345092773,73.29814910888672,4.020360799327788,-0.006370643883763665,-88.56344002210086,-18.55832,-7.8654284,4.434873,48.624027,-25.52262,4.709675,-5.799564,-24.271206,-12.315767,93.31688,-14.876725,-15.000033,1.3132645,-6.027356,11.45151,-1.1378727,35.721294,-34.18389,-26.213675,16.801003,3.2635252,23.101772,-1.8481691,-25.083328,34.339504,-13.057064,2.03298,-4.0892553,-25.14819
12,-0.091729536652565,-17.766036987304688,73.29132843017578,4.029519156053296,0.04403583847642326,-89.02895438813029,-16.759043,-7.739379,4.640704,48.191303,-26.64206,4.7062774,-8.773126,-24.355244,-11.2327585,94.49447,-15.800598,-15.000033,0.68228173,-6.048869,11.274941,-3.057153,35.211338,-34.366,-25.826546,17.6756,3.2525804,22.5181,-0.7015335,-25.092386,34.417667,-13.111857,3.118986,-4.214588,-25.244589
13,-0.08498223125934601,-19.39936065673828,73.35401153564453,3.8793923755305664,0.1034654741030405,-89.2235503771642,-14.86996,-7.570707,4.5695596,47.467964,-27.529495,4.6978707,-11.465205,-24.037771,-10.638076,94.95922,-16.559084,-15.000033,-0.24305077,-5.9089785,11.020551,-4.7678843,34.681873,-34.507896,-25.665045,18.365324,3.3296516,22.035658,0.41500834,-25.129353,34.53365,-13.298036,3.4873812,-4.3054,-25.354834
