Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-0.11183576285839081,1.9711172580718994,78.9521255493164,-0.48138800896449563,1.7265962306880431,-89.39620328100652,-0.5505604,4.4608097,10.278673,8.236117,-10.12637,-3.3990078,-0.31956482,-6.953837,-10.349312,8.765533,-9.400196,6.532092,-2.9016025,-0.2193307,6.0119176,-1.9388676,12.805847,-31.539793,62.482643,13.984708,2.8588011,1.9463705,-0.81692284,-11.775346,27.30758,64.138954,-11.392698,-3.1945183,-2.264528
1,-0.11296514421701431,1.9722884893417358,78.9488296508789,-0.4624002564660452,1.7515821797078803,-89.38913313067698,-0.7031769,4.4687076,10.296897,8.535122,-10.359881,-3.3320196,-0.49979982,-7.00999,-10.330054,9.111584,-9.655443,6.5772324,-2.8668077,-0.2426851,6.0257726,-1.9090623,12.807113,-31.349154,62.417774,13.90961,2.8324375,1.8828588,-0.8429761,-11.781058,27.453684,64.05999,-11.320831,-3.0854056,-2.4039934
2,-0.11249826103448868,1.9763740301132202,78.94342041015625,-0.44396342762808355,1.7749328771027373,-89.38154011309403,-0.84304756,4.475612,10.31723,8.809907,-10.580015,-3.2661562,-0.67658925,-7.0641837,-10.310729,9.45362,-9.907001,6.6200075,-2.86368,-0.26298714,6.0391226,-1.8686067,12.801186,-31.127363,62.356678,13.848205,2.8053348,1.8134642,-0.8917962,-11.784075,27.645098,64.001114,-11.231874,-2.968468,-2.5559316
3,-0.10918852686882019,1.9788875579833984,78.93719482421875,-0.4254922517138026,1.8007893444056566,-89.3746919528474,-1.001035,4.4840403,10.332725,9.118816,-10.822929,-3.198229,-0.86322826,-7.1203914,-10.291831,9.812284,-10.170479,6.6677613,-2.8706753,-0.2827091,6.0475535,-1.8188503,12.788811,-30.873543,62.29076,13.788619,2.7759986,1.7552794,-0.9492642,-11.785606,27.839214,63.949936,-11.152175,-2.8653426,-2.6904392
4,-0.108589768409729,1.9795281887054443,78.9328842163086,-0.40624881553498093,1.8331737814189815,-89.36979227879378,-1.2038159,4.4952435,10.336829,9.509715,-11.120245,-3.1250863,-1.0722151,-7.183006,-10.273923,10.207347,-10.461018,6.728009,-2.8620472,-0.30534524,6.0475225,-1.7617577,12.773317,-30.590275,62.209686,13.719171,2.7428212,1.7251145,-0.99800724,-11.78788,27.98772,63.890488,-11.110068,-2.7978687,-2.7767758
5,-0.10789594054222107,1.9793000221252441,78.92800903320312,-0.3849685002376552,1.8785454821726444,-89.36748005964687,-1.4744475,4.5080204,10.323447,10.013736,-11.490393,-3.0402455,-1.3207886,-7.2546105,-10.255516,10.6583185,-10.789043,6.8026524,-2.8588812,-0.3307015,6.0349164,-1.6836773,12.751917,-30.236666,62.105083,13.643212,2.7080011,1.7321273,-1.0506577,-11.7936325,28.106092,63.82774,-11.114728,-2.7781394,-2.7940655
6,-0.10253199189901352,1.9800875186920166,78.91876983642578,-0.36246730203233585,1.9329347313724476,-89.36681489821962,-1.7929442,4.5215683,10.297264,10.597995,-11.911933,-2.9473727,-1.5979595,-7.332075,-10.237038,11.150511,-11.144549,6.887971,-2.841444,-0.35979608,6.0139265,-1.6003425,12.729043,-29.8567,61.987434,13.554825,2.672486,1.7664568,-1.0943996,-11.803562,28.181438,63.752136,-11.157488,-2.7912788,-2.7606971
7,-0.09853575378656387,1.9772671461105347,78.90629577636719,-0.3418792850420589,1.983936153162341,-89.36760550807927,-2.126124,4.539895,10.26763,11.227884,-12.366154,-2.8589048,-1.8753892,-7.4103127,-10.221844,11.657884,-11.516361,6.9825454,-2.8196502,-0.3864358,5.993134,-1.5051218,12.7061825,-29.454277,61.848843,13.466544,2.6287982,1.811673,-1.1328969,-11.817954,28.240026,63.671375,-11.21082,-2.821365,-2.7108006
8,-0.09774923324584961,1.971561074256897,78.8942642211914,-0.32668677301228183,2.0196584144867415,-89.36944577561819,-2.4384112,4.566748,10.244113,11.863501,-12.831178,-2.7870355,-2.126845,-7.484776,-10.213078,12.157798,-11.894472,7.084707,-2.8014078,-0.40443113,5.9814353,-1.3912874,12.684303,-29.033112,61.68054,13.392409,2.5693827,1.8513091,-1.1688673,-11.839408,28.30825,63.589577,-11.2450075,-2.851408,-2.6781042
9,-0.0939871296286583,1.966169834136963,78.87250518798828,-0.316788603735258,2.0437381252425944,-89.37084277268993,-2.7392294,4.604211,10.22946,12.514243,-13.312837,-2.736062,-2.3593936,-7.5560346,-10.210325,12.653478,-12.274212,7.1997933,-2.7454133,-0.422387,5.9758635,-1.2868335,12.673157,-28.640148,61.5013,13.310012,2.4897063,1.8847195,-1.1779326,-11.85858,28.334143,63.496098,-11.266134,-2.8842251,-2.6731837
10,-0.08908625692129135,1.9533967971801758,78.84894561767578,-0.3109591184437868,2.0603590413733106,-89.37251655052344,-3.040108,4.6496077,10.218695,13.192475,-13.8175,-2.6991658,-2.583151,-7.6261225,-10.212483,13.15583,-12.66252,7.3265643,-2.7119536,-0.43497735,5.977647,-1.152908,12.66769,-28.187586,61.283447,13.243463,2.3920336,1.9142321,-1.194217,-11.887852,28.384716,63.4008,-11.268197,-2.9247527,-2.6778505
11,-0.08150783181190491,1.9372916221618652,78.82076263427734,-0.3096641932641287,2.0584525554028197,-89.37758452617808,-3.3139558,4.6996846,10.210114,13.872065,-14.330131,-2.6720335,-2.778208,-7.6939325,-10.221039,13.655892,-13.066744,7.45353,-2.6697166,-0.44015232,5.990162,-0.99409556,12.673044,-27.74743,61.019753,13.184767,2.2897305,1.9436576,-1.2028087,-11.923656,28.42784,63.30047,-11.269953,-2.9658906,-2.6802142
12,-0.0714123547077179,1.9048118591308594,78.79056549072266,-0.3133299496435936,2.0271244974577747,-89.38901116067215,-3.5337887,4.751477,10.201817,14.527178,-14.834502,-2.6500726,-2.9159827,-7.756914,-10.238681,14.12558,-13.488465,7.569305,-2.6305668,-0.4320132,6.0196185,-0.78825516,12.691085,-27.328817,60.6844,13.148319,2.193845,1.9725225,-1.2158478,-11.966772,28.482393,63.20506,-11.27803,-2.9996634,-2.6691887
13,-0.057390134781599045,1.8680211305618286,78.75792694091797,-0.3239993531883561,1.9575844819888202,-89.40484386588965,-3.6855702,4.8066483,10.190198,15.147514,-15.323852,-2.6438584,-2.9823105,-7.813315,-10.274744,14.560389,-13.93105,7.6810513,-2.6066744,-0.40457028,6.076809,-0.5322048,12.722343,-26.932014,60.26941,13.15206,2.1065364,1.9962294,-1.2395952,-12.017557,28.545109,63.114758,-11.294661,-3.0243554,-2.6338863
14,-0.04375520348548889,1.8220635652542114,78.72265625,-0.3405687879618616,1.8578089438318617,-89.42434394983869,-3.7861667,4.8654933,10.1776905,15.748587,-15.806804,-2.65177,-2.9930172,-7.8651175,-10.325244,14.97029,-14.391138,7.791445,-2.591171,-0.36240503,6.155399,-0.2354337,12.765522,-26.549244,59.78806,13.184171,2.0220046,2.016328,-1.2686505,-12.074577,28.611166,63.02694,-11.315988,-3.0442116,-2.5829518
15,-0.028923258185386658,1.7663289308547974,78.68696594238281,-0.35963329600639593,1.74182781813911,-89.45261321715928,-3.8492272,4.9238043,10.171524,16.329412,-16.289398,-2.6510234,-2.97522,-7.9147696,-10.371121,15.373787,-14.867072,7.88167,-2.5717638,-0.31444582,6.2378764,0.11363764,12.824024,-26.17064,59.23527,13.217527,1.9396247,2.0400844,-1.295475,-12.142481,28.703537,62.93942,-11.336137,-3.0591931,-2.5339167
16,-0.012203268706798553,1.7048686742782593,78.65328216552734,-0.37701908120957545,1.6233212028668742,-89.49476503511593,-3.8865564,4.9767027,10.178577,16.885973,-16.775911,-2.61866,-2.9563818,-7.965391,-10.392964,15.790499,-15.357904,7.933091,-2.5253506,-0.27044067,6.3033795,0.513098,12.894613,-25.801363,58.623047,13.220835,1.8592329,2.0775492,-1.3114156,-12.218388,28.831467,62.85851,-11.354598,-3.0696404,-2.505661
17,0.010692971758544445,1.6353912353515625,78.6110610961914,-0.39119169665926706,1.5030969415540278,-89.54981944488433,-3.9037158,5.0221353,10.196984,17.428062,-17.274761,-2.5326147,-2.9433994,-8.0194025,-10.383379,16.233595,-15.872162,7.9315586,-2.4473622,-0.23183577,6.3490543,0.95963776,12.976227,-25.443256,57.944855,13.17664,1.7938166,2.1290677,-1.3151368,-12.302633,29.010958,62.78797,-11.3653145,-3.0706263,-2.5120647
18,0.03725576773285866,1.5503946542739868,78.57721710205078,-0.40407742786056466,1.3747393841613909,-89.61572864470169,-3.8917775,5.0626044,10.22374,17.950615,-17.779316,-2.4101207,-2.9204044,-8.073904,-10.353042,16.687222,-16.405859,7.889842,-2.3487804,-0.19361429,6.384312,1.4536386,13.068889,-25.093534,57.200336,13.105023,1.7391751,2.1905274,-1.3118799,-12.395917,29.23161,62.726467,-11.371605,-3.06357,-2.5404997
19,0.0621679425239563,1.4495753049850464,78.54833221435547,-0.41707990430646585,1.24106382954019,-89.69625744725974,-3.8435354,5.1008368,10.263938,18.432663,-18.275078,-2.287074,-2.8811886,-8.124089,-10.309267,17.128216,-16.938686,7.8296742,-2.2367113,-0.1543054,6.4093194,2.0042424,13.174013,-24.743067,56.40234,13.030575,1.6690997,2.263583,-1.3030007,-12.496803,29.470997,62.66609,-11.382729,-3.0583808,-2.569364
