Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-0.007200142834335566,2.8954968452453613,77.86054229736328,0.9265209178676039,-0.7462654332498346,-89.36168863565462,5.6606846,4.271225,19.735498,6.919606,-11.078759,-4.3441467,1.8750143,-8.141329,-8.276262,10.534377,-13.470092,7.3032503,-0.61241394,-0.93531156,9.312158,-2.9796364,11.332246,-30.447916,59.78163,10.51283,-5.8526807,3.4642303,-2.403365,-12.092883,32.856995,60.819355,7.9383273,-10.394726,-4.3908234
1,0.00017891636525746435,2.8948936462402344,77.85408782958984,0.9630651143151197,-0.7310430650281146,-89.34402306004034,5.6424108,4.218976,19.720001,6.9194098,-11.085572,-4.323659,1.7632226,-8.207908,-8.26681,10.752652,-13.591163,7.3245134,-0.62891185,-0.9635899,9.29034,-2.9595504,11.337597,-30.46219,59.77045,10.551216,-5.871732,3.5445588,-2.4242032,-12.097241,32.847076,60.800297,8.072247,-10.5151005,-4.5957537
2,0.006424285005778074,2.8917698860168457,77.84709167480469,0.9986164718902084,-0.715294460571262,-89.3259118947903,5.624333,4.166456,19.704004,6.917004,-11.091165,-4.30295,1.6511794,-8.274871,-8.256976,10.970196,-13.712339,7.346083,-0.64451295,-0.9915843,9.267204,-2.9448469,11.340615,-30.47919,59.766735,10.587515,-5.8922114,3.6242788,-2.4399252,-12.101766,32.832138,60.77719,8.206165,-10.632751,-4.7997046
3,0.013581939972937107,2.885039806365967,77.84181213378906,1.0339148111886451,-0.7006252184446662,-89.30868286657417,5.6072187,4.1143947,19.689142,6.915527,-11.096787,-4.2828646,1.5396802,-8.341524,-8.246271,11.1885,-13.8329735,7.3653083,-0.64333194,-1.0178304,9.246506,-2.9362414,11.344496,-30.515846,59.763783,10.618732,-5.912213,3.7064433,-2.4496548,-12.113949,32.8072,60.748608,8.338173,-10.758365,-5.001428
4,0.021647075191140175,2.878446340560913,77.83763885498047,1.0697040619404408,-0.6888574786093009,-89.29350792861051,5.5934258,4.06322,19.67694,6.914797,-11.101238,-4.26423,1.4299744,-8.407201,-8.233595,11.407977,-13.951202,7.3789296,-0.6494595,-1.0445628,9.227819,-2.9265943,11.345245,-30.537931,59.76525,10.657164,-5.933308,3.7909043,-2.4655018,-12.123769,32.79658,60.728184,8.453091,-10.90166,-5.2058864
5,0.02947237528860569,2.8750367164611816,77.83348846435547,1.1053552283586663,-0.6805377959876949,-89.2825889964518,5.58462,4.010798,19.669537,6.912608,-11.101843,-4.2461853,1.3164238,-8.474315,-8.215635,11.639496,-14.071062,7.3848934,-0.6495133,-1.0684568,9.213478,-2.917265,11.343504,-30.560867,59.765995,10.700847,-5.9526725,3.8749545,-2.4848018,-12.140871,32.79645,60.712196,8.559036,-11.076953,-5.4134436
6,0.037015046924352646,2.871381998062134,77.82939910888672,1.1422930840895476,-0.6747122295804925,-89.27483655487045,5.5789022,3.9577491,19.665642,6.9101977,-11.100103,-4.2286,1.2012452,-8.542035,-8.193833,11.877401,-14.191172,7.385288,-0.64999324,-1.0934385,9.202344,-2.907054,11.339756,-30.575436,59.767323,10.7519045,-5.970659,3.9585576,-2.5080853,-12.158464,32.81064,60.699158,8.659008,-11.27307,-5.6255665
7,0.044947534799575806,2.8713178634643555,77.82343292236328,1.1762624328707376,-0.6706199987529607,-89.26585877919364,5.5747204,3.9082506,19.661066,6.9087787,-11.0991955,-4.213624,1.0936737,-8.606188,-8.174791,12.104772,-14.305379,7.383211,-0.6572939,-1.1112458,9.192166,-2.8947911,11.330584,-30.586172,59.76976,10.799055,-5.9930778,4.050613,-2.5259979,-12.19029,32.834682,60.67747,8.746552,-11.46841,-5.832434
8,0.052655529230833054,2.8690683841705322,77.81755828857422,1.205252920981151,-0.6676737810741622,-89.25165502895493,5.5719733,3.8659286,19.651936,6.9070067,-11.101079,-4.203397,1.0028951,-8.662252,-8.164564,12.305654,-14.408785,7.3817105,-0.66705304,-1.1302832,9.180252,-2.883838,11.3252,-30.600319,59.777374,10.834942,-6.024342,4.158382,-2.5483112,-12.207451,32.850746,60.66774,8.808834,-11.641716,-6.028551
9,0.0595405250787735,2.866213321685791,77.81135559082031,1.2264374744873623,-0.6632216712628827,-89.23205634044113,5.56705,3.8325858,19.638222,6.906095,-11.107431,-4.2007904,0.92651725,-8.708995,-8.163287,12.480378,-14.501744,7.381485,-0.6768337,-1.1325159,9.164613,-2.8788717,11.307934,-30.63601,59.794846,10.848463,-6.0690155,4.2929463,-2.5343742,-12.259869,32.86581,60.609573,8.854046,-11.783759,-6.2055473
