Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.22716335952281952,2.1615524291992188,78.00267028808594,-0.6988617283489696,1.313597448206762,-95.22870473501267,4.5994253,10.104281,17.325089,6.9520473,-10.891841,-9.877128,1.7898171,-6.1702924,-3.8455987,6.9467254,-10.01731,8.418966,-0.5322634,1.3126084,5.2052336,-1.0134926,14.787661,-44.038155,63.204586,-14.963861,1.815794,18.773293,-4.889924,-13.856702,43.311047,67.90247,5.156043,-1.3144953,-2.8596869
1,0.22617699205875397,2.1622228622436523,78.00286865234375,-0.6997006182616169,1.3133586360760423,-95.22583603875295,4.599022,10.105592,17.320492,6.951374,-10.891415,-9.878549,1.7908337,-6.168688,-3.8478587,6.945956,-10.017031,8.417183,-0.50541687,1.3165585,5.211479,-0.9862039,14.802593,-43.85614,63.175518,-15.57189,1.79371,18.430012,-4.874452,-13.864973,43.30122,67.86784,5.1329036,-1.3127183,-2.8692524
2,0.22518427670001984,2.1627118587493896,78.0030517578125,-0.7004053681826758,1.3131663908398612,-95.22286958479211,4.5977197,10.106914,17.31581,6.9518747,-10.89131,-9.880202,1.7909942,-6.1673727,-3.8499107,6.946506,-10.017201,8.415396,-0.50085866,1.3217686,5.22004,-0.9479267,14.818807,-43.64464,63.141132,-16.165937,1.7756246,18.083885,-4.8725495,-13.871834,43.317043,67.83971,5.114833,-1.3097864,-2.8788722
3,0.22418226301670074,2.163072347640991,78.00315856933594,-0.70107618597242,1.3128798618162052,-95.21992606829879,4.597083,10.108053,17.311253,6.9517074,-10.891011,-9.881332,1.7915882,-6.16614,-3.852124,6.94646,-10.017096,8.413798,-0.4904808,1.3264245,5.2262425,-0.9133904,14.831307,-43.438755,63.11115,-16.771849,1.759169,17.739113,-4.8697534,-13.87549,43.327793,67.81655,5.0973496,-1.3094795,-2.8883655
4,0.22318582236766815,2.1633546352386475,78.00321960449219,-0.7014646921085209,1.3122041867442782,-95.2169185919681,4.5964575,10.108805,17.30695,6.9521265,-10.890564,-9.881564,1.7928646,-6.165471,-3.8545706,6.946548,-10.017614,8.412611,-0.4888712,1.330812,5.2327614,-0.8690231,14.844937,-43.21119,63.070324,-17.394798,1.7426019,17.395584,-4.8735456,-13.877882,43.34798,67.799515,5.083451,-1.3143845,-2.896428
5,0.22229987382888794,2.1635406017303467,78.0030517578125,-0.7012475738712296,1.3111401631289055,-95.21368401516692,4.5965466,10.108758,17.3032,6.952278,-10.889726,-9.879989,1.7949283,-6.1656027,-3.857185,6.94665,-10.01883,8.41203,-0.48478797,1.3342074,5.238395,-0.8190678,14.858461,-42.96522,63.02063,-18.084358,1.7234032,17.032236,-4.8766446,-13.878722,43.36616,67.78525,5.070468,-1.327106,-2.902713
6,0.2215292751789093,2.163588285446167,78.00283813476562,-0.7004639834865192,1.309858696096865,-95.21055239514186,4.597635,10.107975,17.299995,6.9512753,-10.888205,-9.877126,1.7977595,-6.166328,-3.8598976,6.9459853,-10.019915,8.411784,-0.4575554,1.3361114,5.239702,-0.78143895,14.865121,-42.737804,62.98123,-18.830547,1.7031858,16.657812,-4.866881,-13.878861,43.35799,67.76999,5.0521946,-1.3459344,-2.908257
7,0.22097106277942657,2.1635167598724365,78.00247955322266,-0.6996751747232889,1.308226948268476,-95.20714290692975,4.5981116,10.107297,17.296516,6.952831,-10.888229,-9.874261,1.8006649,-6.1672797,-3.8629882,6.946477,-10.021785,8.411857,-0.45814484,1.3399225,5.244937,-0.72672445,14.874012,-42.477436,62.925377,-19.522572,1.6878036,16.311096,-4.873879,-13.878528,43.378883,67.76143,5.0425754,-1.3656961,-2.9119706
8,0.22062042355537415,2.1633100509643555,78.00228881835938,-0.6991970001480485,1.306512999596246,-95.20356738536903,4.5992174,10.10669,17.292835,6.9524617,-10.886789,-9.872875,1.8039675,-6.1678295,-3.866742,6.9465733,-10.023053,8.4121065,-0.4499621,1.3429152,5.2473745,-0.6832164,14.881258,-42.265274,62.878937,-20.098278,1.677798,16.039907,-4.875973,-13.877719,43.389828,67.75406,5.0378942,-1.3837217,-2.9160337
9,0.22031304240226746,2.1630215644836426,78.00212860107422,-0.6989305666168728,1.3044285612077267,-95.1998229327043,4.600563,10.106618,17.288666,6.952495,-10.885715,-9.873379,1.8078974,-6.168153,-3.8713617,6.9469647,-10.024123,8.412687,-0.44320005,1.3461282,5.2491946,-0.6444759,14.887397,-42.087,62.836212,-20.539114,1.6704274,15.855972,-4.878082,-13.876544,43.39912,67.74809,5.0417356,-1.3992224,-2.92115
