Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-2.268153667449951,-0.13198009133338928,77.0440902709961,0.39697212180275115,-2.489525615944861,3.3438226875486006,8.882406,5.5243797,7.441471,7.206119,-16.278238,-6.129502,10.351475,-5.080985,-16.240442,6.860356,-11.871756,8.985194,-2.8816013,-0.98022354,9.963341,4.143453,11.994504,-20.60969,59.425934,2.5493693,3.303281,19.77445,-2.3414905,-7.160303,12.155215,68.50826,-10.570016,-0.61002153,-9.914906
1,-2.290008068084717,-0.15083365142345428,77.04872131347656,0.4041710402105537,-2.462525403664903,3.3591862739679854,8.845431,5.515448,7.4220862,7.204147,-16.26824,-6.1504416,10.323596,-5.0896587,-16.27362,6.8601875,-11.881381,8.989059,-2.906403,-0.9917383,9.9475975,4.1318626,12.004116,-20.670652,59.365917,2.191605,3.3815908,19.767874,-2.3433833,-7.149166,12.187648,68.49938,-10.595097,-0.6048089,-9.9211855
2,-2.2851014137268066,-0.1457047164440155,77.04524230957031,0.4118097185771342,-2.434120782108327,3.375064604179296,8.806954,5.5063605,7.4022675,7.20191,-16.257483,-6.17354,10.294466,-5.098657,-16.30821,6.8601584,-11.891827,8.992995,-2.9239001,-1.0065432,9.927421,4.1136394,12.016491,-20.748404,59.310745,1.8038489,3.465271,19.763933,-2.3423777,-7.13183,12.215495,68.49194,-10.620961,-0.59951484,-9.932183
3,-2.2780489921569824,-0.13903234899044037,77.0430908203125,0.4185230835739122,-2.408497879463624,3.3899924928737106,8.771537,5.4976583,7.3832326,7.200567,-16.248587,-6.192435,10.268909,-5.106816,-16.339933,6.858996,-11.900837,8.996571,-2.9395056,-1.0204208,9.909822,4.0957,12.028221,-20.820942,59.26268,1.4633744,3.538608,19.761938,-2.341164,-7.1126075,12.239068,68.48638,-10.647475,-0.593636,-9.940185
4,-2.2719295024871826,-0.13523223996162415,77.04325866699219,0.42330406233030354,-2.389512967820801,3.4024935061642325,8.745246,5.489908,7.366239,7.199299,-16.243319,-6.2007384,10.25034,-5.1137776,-16.364138,6.858409,-11.908025,8.999513,-2.9559064,-1.0276207,9.899129,4.0816207,12.034469,-20.875774,59.22952,1.2416942,3.585688,19.763464,-2.337722,-7.0999055,12.262922,68.47986,-10.668284,-0.5858096,-9.938064
5,-2.2712814807891846,-0.13048389554023743,77.04417419433594,0.4256968868986728,-2.3787217347875544,3.412891970183342,8.729293,5.4827876,7.3494983,7.1988244,-16.243908,-6.1931252,10.240422,-5.119137,-16.379644,6.859159,-11.913756,8.999432,-2.9632742,-1.0333482,9.891764,4.0650797,12.04285,-20.932938,59.226753,1.175917,3.5940275,19.776455,-2.3291087,-7.0833364,12.282141,68.47765,-10.681153,-0.573296,-9.927008
6,-2.266937732696533,-0.12743940949440002,77.04509735107422,0.4264267614436529,-2.37389949861958,3.4215609617306444,8.719358,5.4761496,7.333008,7.201181,-16.249342,-6.1741533,10.236819,-5.1238422,-16.388933,6.8602433,-11.917894,8.997491,-2.973499,-1.0321171,9.89346,4.0511675,12.046828,-20.968904,59.23734,1.2347832,3.5739603,19.79143,-2.3213687,-7.074945,12.299397,68.47371,-10.691351,-0.55897087,-9.901959
7,-2.2631752490997314,-0.12292509526014328,77.04473876953125,0.4259802412191859,-2.3731697553068454,3.427619260604134,8.716712,5.4706783,7.3208823,7.2022276,-16.255428,-6.152456,10.238075,-5.1273627,-16.392538,6.8603616,-11.919915,8.997674,-2.9782643,-1.0293661,9.896259,4.0437994,12.050044,-21.002872,59.25042,1.331156,3.5480313,19.807415,-2.3070204,-7.0666122,12.315003,68.46982,-10.697329,-0.54484487,-9.878401
8,-2.2684872150421143,-0.12064346671104431,77.04347229003906,0.4251178221306004,-2.37453109894111,3.4299799335863557,8.718991,5.4671288,7.317114,7.202645,-16.259481,-6.136773,10.241827,-5.1303897,-16.391394,6.8601246,-11.920645,9.004152,-2.975287,-1.0292578,9.89731,4.044945,12.053594,-21.033846,59.25556,1.3925868,3.536873,19.817333,-2.2841523,-7.0521727,12.326767,68.4661,-10.703429,-0.53433806,-9.865365
9,-2.262389898300171,-0.11459632217884064,77.04217529296875,0.4223129096020304,-2.379723980472903,3.426814370177849,8.729706,5.468012,7.3269186,7.20308,-16.261545,-6.1304016,10.249935,-5.1311574,-16.382338,6.8596087,-11.918749,9.020929,-2.9700642,-1.0249714,9.906655,4.063926,12.053653,-21.035183,59.232014,1.4157389,3.5498023,19.808903,-2.2612474,-7.041987,12.328219,68.46307,-10.715837,-0.53288263,-9.858547
