Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-2.56129789352417,-0.3654431700706482,78.4528579711914,3.1392760584116215,-6.8801749651970825,1.8534400364007617,7.3276534,3.071971,13.007354,9.023743,-6.909542,-3.519111,8.979498,-10.938959,-12.405937,9.570211,-11.580026,9.796901,0.47746584,-0.5584589,11.332496,-1.3379594,11.053275,-39.547318,56.42835,-19.156088,2.0730715,5.2482395,-1.221533,-11.415178,36.02219,61.86476,17.622124,5.845422,0.25034258
1,-2.5740134716033936,-0.36526891589164734,78.45170593261719,3.140797800279842,-6.891114063942171,1.8583912627903045,7.3432612,3.0737538,13.003874,9.018093,-6.90323,-3.5329685,9.001844,-10.938124,-12.411086,9.556017,-11.575588,9.813836,0.47222584,-0.56954086,11.337612,-1.3372036,11.061629,-39.57982,56.42466,-19.296833,2.0580862,5.2760696,-1.2133801,-11.415978,36.04385,61.851254,17.731792,5.8422565,0.22819602
2,-2.5618081092834473,-0.3723600506782532,78.44950866699219,3.142797829958153,-6.902388381584179,1.8639677666787318,7.3586698,3.0752609,12.999964,9.014004,-6.8980045,-3.5459368,9.023776,-10.938195,-12.416252,9.544294,-11.572357,9.832361,0.46248904,-0.5800764,11.34596,-1.3385075,11.064623,-39.597908,56.424175,-19.43444,2.0428755,5.301597,-1.2096317,-11.415903,36.05857,61.839237,17.8373,5.8401885,0.20859976
3,-2.5582070350646973,-0.3741273581981659,78.45126342773438,3.14383308275469,-6.913020114155868,1.8683946223821981,7.373548,3.0774808,12.996856,9.008593,-6.891633,-3.560672,9.045002,-10.936878,-12.421223,9.531168,-11.568882,9.847687,0.45728573,-0.59079784,11.345881,-1.3384387,11.072422,-39.639465,56.427372,-19.574135,2.026394,5.3304687,-1.2023519,-11.415299,36.093315,61.831944,17.951687,5.835558,0.18426804
4,-2.555239200592041,-0.3787894546985626,78.45024108886719,3.1433667314418687,-6.919463582267215,1.8689151574042484,7.3841887,3.0814533,12.997171,9.001134,-6.8835254,-3.5797307,9.056713,-10.9338455,-12.423402,9.522559,-11.568042,9.855065,0.45767516,-0.59489524,11.344708,-1.3346955,11.078911,-39.660755,56.423824,-19.656086,2.0163813,5.347298,-1.1960256,-11.4145355,36.111298,61.827435,18.02662,5.8313046,0.16690397
5,-2.5596671104431152,-0.3788788914680481,78.44982147216797,3.139392830208189,-6.920187801818475,1.8636191721594104,7.3919992,3.0889113,13.003007,8.983384,-6.8664484,-3.612603,9.056504,-10.926242,-12.422422,9.517448,-11.570691,9.849611,0.46936256,-0.58851236,11.340999,-1.3309983,11.083083,-39.664116,56.417416,-19.659319,2.0150096,5.3480406,-1.1914161,-11.4141,36.11599,61.82782,18.056898,5.82615,0.15599084
6,-2.5597572326660156,-0.37933263182640076,78.44786834716797,3.1330376875932515,-6.916671030520699,1.8539376926638778,7.396353,3.0992637,13.012979,8.961363,-6.8447123,-3.6550322,9.04674,-10.916023,-12.418686,9.51663,-11.576723,9.835119,0.48671505,-0.5760353,11.337936,-1.3235,11.090581,-39.643944,56.402218,-19.598057,2.021317,5.333908,-1.1905771,-11.413855,36.107178,61.832092,18.047981,5.8210034,0.15242897
7,-2.5744574069976807,-0.3773278594017029,78.448974609375,3.127547401530608,-6.9135694451517615,1.843944223260972,7.398135,3.108091,13.022132,8.945208,-6.8288465,-3.6887574,9.035939,-10.907044,-12.414306,9.517936,-11.582906,9.819661,0.5038862,-0.56296235,11.334005,-1.3194677,11.093047,-39.62631,56.39294,-19.52919,2.0268102,5.319319,-1.190122,-11.414052,36.096832,61.83864,18.027025,5.816381,0.15090005
8,-2.57185435295105,-0.3798452913761139,78.44511413574219,3.1275404710902373,-6.915925374551288,1.8363584431028033,7.4023223,3.1093,13.027432,8.93827,-6.826002,-3.6954823,9.029977,-10.905773,-12.409276,9.525795,-11.589739,9.811643,0.50920755,-0.5594129,11.339521,-1.3154203,11.097598,-39.599678,56.380154,-19.480516,2.029003,5.3067794,-1.1951499,-11.414928,36.082813,61.84238,18.000505,5.81498,0.1536522
9,-2.5683605670928955,-0.37792807817459106,78.44733428955078,3.1358645959091445,-6.927917792384027,1.8337715350406905,7.4059987,3.0986807,13.024802,8.956594,-6.8505187,-3.6548655,9.038557,-10.915367,-12.405137,9.532702,-11.592171,9.815339,0.5016797,-0.5696507,11.34745,-1.3149759,11.099425,-39.60003,56.37748,-19.497946,2.0195606,5.3107653,-1.1975038,-11.41518,36.082462,61.84461,17.989107,5.815512,0.15418781
