Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-1.568681001663208,-0.10446811467409134,78.19111633300781,0.4930428262469259,1.6967578750339722,1.6774916261404715,1.433081,6.068476,17.655266,9.379558,-11.232142,-5.7596645,2.135609,-7.579154,-17.117361,12.548564,-15.603661,6.348752,-2.0432875,1.6457475,7.906391,-6.330245,17.679186,-42.4025,53.237804,-8.671402,3.6894124,-4.4409018,-9.634104,-14.927406,39.46027,56.77467,11.7465925,10.950191,-6.5296073
1,-1.566922664642334,-0.11162161827087402,78.18514251708984,0.5307105057315012,1.7579228545186283,1.6439965620288053,1.3870752,6.027858,17.685516,9.34444,-11.227943,-5.7755694,1.850382,-7.6739426,-17.032135,12.9956045,-15.822653,6.2863107,-2.025106,1.6017452,7.8887863,-6.341937,17.69867,-42.420673,53.221943,-8.679465,3.717808,-4.4220724,-9.654928,-14.926594,39.45781,56.752884,11.744136,10.958743,-6.5402765
2,-1.5691807270050049,-0.11662298440933228,78.17552947998047,0.568763770664454,1.8206305404111744,1.6082594021138767,1.3426445,5.9850945,17.718103,9.302558,-11.219536,-5.7910924,1.557632,-7.7707534,-16.943535,13.45167,-16.040098,6.223237,-2.0000906,1.558388,7.8679686,-6.3524036,17.713402,-42.43334,53.20586,-8.690254,3.7515879,-4.4042883,-9.674346,-14.925131,39.44899,56.73222,11.740511,10.968088,-6.551913
3,-1.5715051889419556,-0.12345610558986664,78.16185760498047,0.6074517938346202,1.8803549192346756,1.5767455320209012,1.2966539,5.9441667,17.746809,9.27119,-11.218183,-5.8070726,1.2799608,-7.863343,-16.859661,13.887497,-16.258171,6.1621366,-1.9787742,1.5118173,7.851554,-6.37304,17.733583,-42.472107,53.197098,-8.701145,3.7751658,-4.3820596,-9.692548,-14.921755,39.4427,56.710537,11.737123,10.9757595,-6.5616794
4,-1.5755008459091187,-0.13474608957767487,78.1447982788086,0.6468904406202627,1.9322538532970055,1.5560514903772813,1.2465287,5.9091573,17.765083,9.267856,-11.235914,-5.824217,1.0333226,-7.9478264,-16.787918,14.288642,-16.481918,6.1056404,-1.9721154,1.4619119,7.8444095,-6.4215026,17.753817,-42.567955,53.219666,-8.707174,3.7711582,-4.348621,-9.711538,-14.916625,39.454605,56.688595,11.742234,10.979053,-6.567428
5,-1.5790174007415771,-0.14667300879955292,78.12684631347656,0.689462464544478,1.9766994160714535,1.545292691500263,1.1926996,5.878088,17.774843,9.291173,-11.275974,-5.8433404,0.8173189,-8.02662,-16.726788,14.654766,-16.71996,6.0566,-1.972951,1.4026347,7.8461556,-6.5048075,17.781204,-42.754856,53.292854,-8.712231,3.7265716,-4.295789,-9.723216,-14.906527,39.473488,56.658176,11.752489,10.976542,-6.5684657
6,-1.5727033615112305,-0.16500286757946014,78.10832214355469,0.7342151633032412,2.0156360147064754,1.5420034816421928,1.1369464,5.8497596,17.778406,9.332823,-11.331559,-5.8637733,0.6244433,-8.101088,-16.67365,14.994749,-16.968124,6.012866,-1.9954772,1.3410064,7.8560534,-6.6076045,17.802979,-42.980293,53.406303,-8.703825,3.652163,-4.2319903,-9.743049,-14.897121,39.51742,56.628628,11.771899,10.970522,-6.565508
7,-1.566819429397583,-0.18727797269821167,78.08705139160156,0.7758341880597063,2.046526121722732,1.549614376510602,1.0743321,5.8313975,17.769337,9.407138,-11.402746,-5.884454,0.45932597,-8.165357,-16.633383,15.305856,-17.211527,5.969074,-2.0247824,1.2816596,7.8743377,-6.73303,17.823473,-43.240387,53.519955,-8.697507,3.570787,-4.166588,-9.7566805,-14.886494,39.5683,56.598232,11.792817,10.962408,-6.5597744
8,-1.5590325593948364,-0.2128828763961792,78.06493377685547,0.80918176129327,2.0666921463163135,1.5724817514387996,1.0009857,5.8294015,17.740927,9.52591,-11.488247,-5.904234,0.33027244,-8.212911,-16.612272,15.580321,-17.433756,5.919898,-2.0224419,1.2201018,7.896282,-6.8908505,17.861187,-43.57407,53.590374,-8.725668,3.5057712,-4.103626,-9.747125,-14.860792,39.583443,56.57933,11.80334,10.9511595,-6.5523057
9,-1.5496339797973633,-0.24394921958446503,78.0453872680664,0.827534231617539,2.0726477822952925,1.6176378939203109,0.90130043,5.8563404,17.682665,9.726503,-11.603043,-5.9233913,0.25194722,-8.233149,-16.618404,15.798865,-17.625961,5.8614483,-2.0616777,1.1790692,7.9366255,-7.0531554,17.89514,-43.873997,53.615215,-8.748066,3.4644794,-4.061588,-9.750909,-14.831301,39.636475,56.577866,11.814638,10.938996,-6.5385275
