Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-0.46472108364105225,2.1407079696655273,77.41940307617188,1.6132557575568134,1.8625177039928174,-85.45195843794302,-3.5864618,4.105992,5.32594,11.229154,-10.990525,-7.5184984,-3.3705528,-8.852905,-14.395063,17.818985,-15.77961,8.100812,-1.9031858,-0.5568127,3.4620495,3.2118816,23.3695,-34.61759,48.71741,-0.43224248,-1.3065968,-0.6830827,1.067643,-22.77228,40.296886,47.048016,13.281438,23.205318,-7.3613386
1,-0.4762306809425354,2.146926164627075,77.40628051757812,1.6668844938570582,1.9259504413152293,-85.42695773859755,-3.5861034,4.041809,5.3236127,11.049962,-10.894041,-7.5929,-3.6093276,-8.951297,-14.36483,18.176023,-15.950041,8.020708,-1.9244543,-0.58908355,3.451554,3.1240933,23.388449,-34.68436,48.563766,-0.39796314,-1.3107942,-0.67763346,1.0509633,-22.792545,40.333202,47.026375,13.295613,23.168678,-7.416696
2,-0.48787152767181396,2.144753932952881,77.3978271484375,1.7205092013160428,1.9914216637041426,-85.40244789943648,-3.5848682,3.977194,5.32268,10.86316,-10.792302,-7.6746535,-3.8558452,-9.050376,-14.331367,18.541927,-16.122435,7.9339466,-1.9418105,-0.6214924,3.4375885,3.032554,23.40929,-34.758957,48.411793,-0.3609064,-1.3129927,-0.6752246,1.037537,-22.81553,40.36602,47.004753,13.30943,23.127592,-7.4768157
3,-0.5024263858795166,2.150733709335327,77.3895492553711,1.7737463867843044,2.0527805612282495,-85.37692633585735,-3.5831938,3.9135184,5.31889,10.688013,-10.69908,-7.7418585,-4.0844526,-9.145982,-14.303407,18.884342,-16.287735,7.8605824,-1.9613963,-0.6536141,3.4266834,2.936662,23.422827,-34.827507,48.273457,-0.3317977,-1.3221012,-0.6672581,1.017266,-22.830486,40.399357,46.994125,13.320759,23.092615,-7.524672
4,-0.5126391053199768,2.156059503555298,77.38185119628906,1.8265462149940281,2.104147814665668,-85.34858981900797,-3.5850503,3.852719,5.307826,10.551965,-10.632945,-7.772521,-4.26989,-9.233848,-14.289847,19.17192,-16.43756,7.8204374,-1.9759309,-0.68654144,3.4259937,2.8352976,23.43647,-34.896713,48.148296,-0.33251122,-1.3471636,-0.64434516,1.0097744,-22.84502,40.419468,46.9729,13.326115,23.073956,-7.5419884
5,-0.5281519889831543,2.1506075859069824,77.37255859375,1.8829829255952222,2.1430803499462385,-85.31963056561955,-3.5945904,3.7909293,5.2901726,10.472385,-10.606303,-7.739089,-4.400966,-9.317559,-14.293682,19.3878,-16.56493,7.836041,-1.984864,-0.72488487,3.4398642,2.7272916,23.44764,-34.96016,48.04399,-0.35935473,-1.4015605,-0.5948868,1.011046,-22.856083,40.420124,46.945255,13.317667,23.081467,-7.5064425
6,-0.5492084622383118,2.1375112533569336,77.36283874511719,1.9418062444035582,2.1730856526054354,-85.28986567401405,-3.6094923,3.728673,5.267644,10.433106,-10.60772,-7.660512,-4.493471,-9.398238,-14.310296,19.55322,-16.676506,7.8910193,-1.9905897,-0.76677394,3.4637425,2.6145847,23.455793,-35.01872,47.955486,-0.40476856,-1.4766876,-0.5267896,1.0171705,-22.86318,40.408474,46.91524,13.299568,23.107292,-7.4337034
7,-0.5735675096511841,2.125549793243408,77.35144805908203,1.9947229278216454,2.196878500517528,-85.2550134250582,-3.6216347,3.6746848,5.237307,10.404902,-10.616712,-7.5845556,-4.561996,-9.468385,-14.3366995,19.693207,-16.784922,7.946724,-1.9977723,-0.80343837,3.4920018,2.4977417,23.462261,-35.07668,47.874645,-0.47754103,-1.5495226,-0.46189135,1.0268046,-22.867731,40.39534,46.885616,13.282902,23.135168,-7.3609347
8,-0.5960901975631714,2.1104483604431152,77.34092712402344,2.0335683313486284,2.217116308884998,-85.21061698282669,-3.6230612,3.6376514,5.1963477,10.359425,-10.612974,-7.5591125,-4.6200976,-9.520336,-14.369728,19.830387,-16.901505,7.9645653,-2.0178971,-0.8255286,3.5204122,2.3839889,23.46691,-35.12442,47.789165,-0.579581,-1.5970614,-0.42386964,1.0328184,-22.86988,40.39779,46.86131,13.277612,23.149199,-7.3249683
9,-0.6204517483711243,2.094341993331909,77.32942962646484,2.052562865632195,2.2310687966525,-85.15480487300289,-3.6029732,3.623538,5.142757,10.278613,-10.584226,-7.6096807,-4.665615,-9.547479,-14.409311,19.968008,-17.027273,7.930024,-2.037238,-0.83051085,3.5466433,2.2602146,23.472784,-35.18697,47.708107,-0.7602577,-1.6063871,-0.42074004,1.0468643,-22.871477,40.415573,46.839466,13.301154,23.142157,-7.348903
10,-0.6450557112693787,2.0750274658203125,77.31778717041016,2.0573956885347826,2.2381864713490724,-85.08987198647814,-3.5688205,3.6264272,5.078044,10.182169,-10.544201,-7.706461,-4.6922545,-9.55551,-14.457093,20.093641,-17.156391,7.865167,-2.07363,-0.8206809,3.5776846,2.1479595,23.477066,-35.225845,47.61909,-0.98428845,-1.5920019,-0.4436839,1.0534017,-22.871264,40.453156,46.824387,13.3375,23.124332,-7.406076
