Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-2.4129276275634766,0.07449452579021454,78.39653778076172,0.3773717198050238,-4.460780409219638,-2.3206236411027565,6.261553,2.3212717,3.4296682,9.521598,-10.969329,-3.228162,9.750338,-3.2501543,-11.120191,8.274332,-13.66763,3.5373828,9.027657,6.2131667,9.263975,-1.142807,9.600891,-36.09765,60.985165,-9.609716,9.500185,5.6413846,-3.6415484,-12.02987,26.531612,68.12118,-12.187999,4.885218,-2.9462125
1,-2.4131574630737305,0.07301107794046402,78.3941421508789,0.37153520177411464,-4.463334808710038,-2.335602723304204,6.273024,2.334464,3.439835,9.517411,-10.973737,-3.2440004,9.753082,-3.2358744,-11.103193,8.271132,-13.670214,3.534292,8.99808,6.2359705,9.226159,-1.1317856,9.6005,-36.10785,61.011993,-9.619277,9.53018,5.6420856,-3.6634998,-12.031743,26.543427,68.08986,-12.300914,4.8995147,-2.9993227
2,-2.4097983837127686,0.06470843404531479,78.39239501953125,0.3652006912688238,-4.465300860145117,-2.3488796898174247,6.2841854,2.3478327,3.4481037,9.512051,-10.977438,-3.2613487,9.7574005,-3.2208915,-11.0878725,8.264476,-13.671573,3.5316327,8.9643,6.2619677,9.181435,-1.1118151,9.598966,-36.12787,61.03551,-9.638456,9.561082,5.6474147,-3.6894412,-12.03388,26.569067,68.06971,-12.408252,4.9148774,-3.0559843
3,-2.4054388999938965,0.06113545969128609,78.389892578125,0.35942644039906996,-4.467588453756525,-2.3654405268791487,6.294605,2.3611531,3.460074,9.509535,-10.9826145,-3.2756538,9.760236,-3.206598,-11.069681,8.259571,-13.672873,3.5280516,8.927365,6.2901096,9.129155,-1.0818956,9.5933895,-36.15341,61.05854,-9.666873,9.589067,5.6575327,-3.7145665,-12.037028,26.611944,68.05582,-12.49922,4.9292407,-3.11378
4,-2.398132085800171,0.057918671518564224,78.3887939453125,0.35545423668909504,-4.471777329178306,-2.39040460416609,6.3061724,2.3737924,3.4817836,9.5107765,-10.990593,-3.2822902,9.759459,-3.1944633,-11.043779,8.261567,-13.674953,3.5222468,8.894522,6.3158164,9.084457,-1.0571119,9.586651,-36.16271,61.085068,-9.684881,9.611866,5.6635427,-3.7371714,-12.038558,26.640821,68.033195,-12.593989,4.939355,-3.1647832
5,-2.3978543281555176,0.051664210855960846,78.3860855102539,0.3540597932188177,-4.477028797804553,-2.426076084778718,6.316087,2.385417,3.5162184,9.519241,-11.0020275,-3.2753162,9.753579,-3.1850083,-11.008585,8.26917,-13.675569,3.5120394,8.86936,6.337561,9.043386,-1.0344822,9.580337,-36.160828,61.11444,-9.691785,9.626373,5.6663046,-3.755572,-12.039082,26.655663,68.00337,-12.695931,4.9442067,-3.210469
6,-2.397916793823242,0.04701470956206322,78.38694763183594,0.35475003659114224,-4.482700947989745,-2.469224325435627,6.3246207,2.3957758,3.559729,9.532507,-11.015937,-3.2586443,9.741899,-3.1784635,-10.966631,8.285054,-13.67746,3.498896,8.848558,6.358201,9.003954,-1.0094035,9.574103,-36.154114,61.140915,-9.694629,9.635179,5.6678276,-3.7714505,-12.038896,26.66376,67.96965,-12.799612,4.944699,-3.2518668
7,-2.4029088020324707,0.043576691299676895,78.38871002197266,0.35567140835853356,-4.49116472519883,-2.5176090358697296,6.3375444,2.4067638,3.6084328,9.54505,-11.030978,-3.242912,9.730952,-3.1718168,-10.919842,8.302709,-13.679551,3.4864237,8.826476,6.379713,8.966007,-0.9765562,9.567071,-36.137585,61.163147,-9.696934,9.64371,5.6698937,-3.7854438,-12.038431,26.670261,67.935165,-12.895916,4.9435983,-3.2890527
8,-2.406292676925659,0.043417103588581085,78.39005279541016,0.3547584698722879,-4.5062628767842625,-2.5677205553564932,6.3618135,2.420118,3.6572998,9.551239,-11.045339,-3.238708,9.730759,-3.162133,-10.871542,8.31339,-13.680478,3.4783158,8.800946,6.402749,8.939337,-0.9437149,9.5554285,-36.109245,61.18176,-9.705385,9.65716,5.6710935,-3.8007286,-12.037846,26.67526,67.89688,-12.972185,4.941563,-3.3192348
9,-2.4106225967407227,0.042915262281894684,78.391357421875,0.35138040418572636,-4.527988523289811,-2.615678274587923,6.397632,2.436095,3.7016969,9.549357,-11.059268,-3.253493,9.741167,-3.1490571,-10.82487,8.318263,-13.683179,3.4784942,8.785683,6.423048,8.924339,-0.9239524,9.551386,-36.095516,61.20344,-9.743085,9.67797,5.6748357,-3.8130023,-12.037786,26.672651,67.84969,-13.013138,4.937271,-3.3442938
