Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.3474240303039551,3.033879518508911,77.61325073242188,-0.6235023916107552,-6.799457205709091,-84.47532676452299,13.497539,7.541145,20.93143,7.111813,-15.011106,-6.307754,14.504263,-8.152824,-22.864721,6.768006,-10.880076,10.720105,-8.1813345,-0.6024836,13.870664,3.944658,13.873121,-27.742981,57.938908,14.301474,-10.186527,22.160812,3.178814,-11.548249,22.425945,59.34047,2.5971699,-9.400156,6.634056
1,0.3536836802959442,3.031660795211792,77.61466979980469,-0.600693302925836,-6.764206960973659,-84.47325306022633,13.45711,7.5055203,20.92276,7.1108646,-15.026583,-6.2874284,14.468017,-8.187628,-22.86859,6.7667775,-10.880938,10.765885,-8.152272,-0.63900125,13.868145,3.940308,13.885062,-27.60318,57.830532,14.175737,-9.757149,21.877539,3.1864505,-11.554778,22.39899,59.297802,2.622698,-9.413613,6.6468883
2,0.36077865958213806,3.0265655517578125,77.61531829833984,-0.5789180169108679,-6.732142766368897,-84.47252667228656,13.421547,7.4705124,20.915258,7.1092577,-15.042227,-6.2696238,14.435471,-8.22185,-22.871004,6.7657013,-10.8824625,10.812349,-8.125594,-0.6752091,13.862863,3.9307046,13.89046,-27.45473,57.736496,14.050931,-9.324735,21.619766,3.183151,-11.557379,22.378277,59.27405,2.6519587,-9.430641,6.6604366
3,0.3685763478279114,3.0272088050842285,77.6145248413086,-0.5571530972501338,-6.6936113054415864,-84.46918756488533,13.37636,7.434412,20.905573,7.109115,-15.057561,-6.2465625,14.395141,-8.257208,-22.876303,6.765319,-10.883104,10.857389,-8.127339,-0.7178422,13.85803,3.9294896,13.896166,-27.274532,57.640175,13.947844,-8.906937,21.31048,3.1551216,-11.558543,22.381647,59.26455,2.6804218,-9.44637,6.672763
4,0.3731532394886017,3.0327422618865967,77.61479949951172,-0.5334280783373521,-6.638749341075721,-84.45984056571555,13.308808,7.3948603,20.890709,7.1087623,-15.071083,-6.210366,14.336198,-8.295324,-22.888685,6.7641153,-10.879883,10.899047,-8.121995,-0.76201385,13.8362255,3.897581,13.900321,-27.14558,57.587036,13.84923,-8.520149,20.887691,3.131083,-11.556819,22.377504,59.257378,2.7054715,-9.459208,6.6798406
5,0.3826056718826294,3.0318095684051514,77.61681365966797,-0.5047756610909314,-6.568299440288322,-84.44584384918628,13.219943,7.347785,20.872786,7.1095457,-15.085628,-6.158562,14.25886,-8.340984,-22.908335,6.7638493,-10.874535,10.938553,-8.111264,-0.8135676,13.797751,3.836616,13.904036,-27.06121,57.578903,13.751457,-8.162421,20.320797,3.1112387,-11.554084,22.370983,59.25156,2.7266777,-9.468392,6.680602
6,0.3896242678165436,3.0400331020355225,77.61968994140625,-0.4714403199195308,-6.487153157556339,-84.4277966499555,13.116202,7.2950044,20.85197,7.111179,-15.100974,-6.095143,14.168774,-8.392518,-22.933998,6.7653084,-10.868631,10.976559,-8.119096,-0.87473804,13.756909,3.772928,13.9115505,-26.970385,57.58,13.674009,-7.827135,19.644089,3.070202,-11.548254,22.374615,59.2583,2.7397587,-9.475123,6.679788
7,0.4003063440322876,3.0494182109832764,77.6255874633789,-0.4427325608178618,-6.389230798441059,-84.40254324217399,12.988635,7.2456613,20.824028,7.1124854,-15.110401,-6.0231657,14.058966,-8.440473,-22.965132,6.765319,-10.85681,11.009615,-8.127386,-0.9324593,13.701371,3.68817,13.920591,-26.91515,57.60958,13.6146755,-7.524305,18.89795,3.0308344,-11.541489,22.375456,59.265274,2.7534637,-9.479606,6.675971
8,0.4064364731311798,3.065778970718384,77.63272094726562,-0.4252117064565873,-6.269630812750106,-84.36582079459424,12.828483,7.207105,20.78302,7.114578,-15.1086645,-5.9459033,13.921708,-8.477718,-23.002579,6.766059,-10.836573,11.034729,-8.154239,-0.9830662,13.638895,3.592769,13.938028,-26.87192,57.64516,13.601995,-7.266708,18.109966,2.9705956,-11.529361,22.372465,59.28315,2.7615182,-9.482886,6.6740084
9,0.4168698191642761,3.087796211242676,77.640380859375,-0.40651283441794106,-6.129269496767691,-84.3174555349578,12.635984,7.1639876,20.726204,7.1174498,-15.099473,-5.861852,13.758509,-8.518091,-23.044285,6.766794,-10.805703,11.053252,-8.18714,-1.0398773,13.566298,3.4859443,13.975513,-26.862268,57.685806,13.642339,-7.0623274,17.269344,2.8932507,-11.505161,22.35504,59.317375,2.762158,-9.488132,6.6767926
10,0.4234173893928528,3.113868236541748,77.64822387695312,-0.3807351975484633,-5.969742700381698,-84.2609939560033,12.415243,7.110444,20.657824,7.1198,-15.083594,-5.7705812,13.571514,-8.5665,-23.089226,6.7679553,-10.766722,11.066051,-8.229705,-1.0937513,13.47929,3.349638,13.995816,-26.880173,57.76648,13.728726,-6.9059362,16.370708,2.8130126,-11.493959,22.335436,59.35102,2.7630248,-9.491759,6.682651
11,0.4330091178417206,3.1378488540649414,77.6619644165039,-0.36108730947994305,-5.7883381352422125,-84.19955265340123,12.16283,7.064176,20.58401,7.122735,-15.05142,-5.677957,13.33171,-8.617858,-23.134846,6.8251424,-10.751486,11.069877,-8.254237,-1.1558423,13.383236,3.2056713,14.056504,-26.945091,57.832508,13.817496,-6.7817063,15.438431,2.7301347,-11.45938,22.281546,59.383102,2.75209,-9.492639,6.6855435
