Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-2.213735818862915,-0.10513070970773697,79.09746551513672,-0.07239474546612662,-4.917740954143104,1.7539883076404175,6.4862056,2.7188127,0.17199723,11.055776,-13.289421,-3.7636547,9.103716,0.8088337,-12.34559,7.0542274,-12.406907,0.68190694,-2.7287855,-0.17956582,8.21105,-3.4040504,19.898003,-43.18649,61.84511,0.5828156,-0.84481514,7.6242476,8.190464,-12.416011,15.409801,54.829224,-12.579779,-2.897016,-2.1345906
1,-2.211750030517578,-0.12421498447656631,79.10025024414062,-0.09392132091500238,-4.804070478656654,1.73113488069878,6.380879,2.7832527,0.17418343,11.01233,-13.252329,-3.8908563,8.975926,0.8556582,-12.339017,7.0515447,-12.421465,0.674988,-2.70063,-0.17331958,8.111068,-3.4085608,19.92787,-43.172916,61.83934,0.5513651,-0.8407845,7.6552067,8.156484,-12.406589,15.430387,54.81248,-12.574744,-2.8626688,-2.131172
2,-2.209273338317871,-0.14958365261554718,79.1004638671875,-0.11386461265508141,-4.694922795240573,1.71234565407786,6.2768993,2.8445365,0.17100519,10.977257,-13.21998,-4.0131593,8.854512,0.898687,-12.337719,7.049012,-12.4365,0.67113465,-2.6754863,-0.1705759,8.01154,-3.4175496,19.952866,-43.16354,61.84456,0.51871336,-0.8384982,7.689768,8.123407,-12.395266,15.452713,54.798298,-12.571311,-2.8271408,-2.1280322
3,-2.20778226852417,-0.17841976881027222,79.09810638427734,-0.1284132338296314,-4.577264380113856,1.6833355105911036,6.1672916,2.9044073,0.1806614,10.934371,-13.184886,-4.145398,8.720021,0.9402533,-12.32369,7.0471015,-12.450903,0.66189617,-2.6341429,-0.16580266,7.9077935,-3.4386766,19.964506,-43.154938,61.862804,0.49066845,-0.8359422,7.718619,8.098111,-12.388614,15.462555,54.774082,-12.566448,-2.7938612,-2.123204
4,-2.2149012088775635,-0.21443970501422882,79.09270477294922,-0.12949262847259932,-4.435545736393567,1.6274017886072116,6.041318,2.9603608,0.22411934,10.870218,-13.140675,-4.3024087,8.5255,0.97257215,-12.277036,7.097138,-12.488483,0.6389599,-2.583023,-0.18639538,7.7943306,-3.4415603,20.009575,-43.106667,61.85072,0.47629452,-0.83074164,7.7260337,8.041983,-12.35932,15.484473,54.769985,-12.554743,-2.7651494,-2.1266537
5,-2.2315361499786377,-0.24958127737045288,79.08637237548828,-0.11869369266283941,-4.265299951515095,1.5383175943559044,5.909063,3.0154757,0.31096223,10.754377,-13.076338,-4.501578,8.116896,0.96534,-12.187902,7.521007,-12.731053,0.59045434,-2.489077,-0.21063387,7.6682467,-3.4602492,20.051502,-43.043846,61.8436,0.47882468,-0.8253405,7.7044196,7.9971285,-12.329615,15.479762,54.74486,-12.51889,-2.7326071,-2.1331267
6,-2.252413511276245,-0.28498002886772156,79.07952117919922,-0.10003686906892124,-4.074797333180176,1.4264108412155987,5.7744412,3.070307,0.42810503,10.596701,-12.99436,-4.730418,7.5263653,0.9247322,-12.069378,8.275213,-13.15204,0.5245018,-2.3689547,-0.23972899,7.5331664,-3.4887748,20.093248,-42.968597,61.839626,0.49166718,-0.81973016,7.6620607,7.955249,-12.297463,15.461567,54.709682,-12.465595,-2.6973677,-2.1434186
7,-2.2722864151000977,-0.3297148644924164,79.07272338867188,-0.07301178773846535,-3.872041743286538,1.3014415087196258,5.619821,3.1225736,0.5605639,10.449818,-12.9137335,-4.9587593,6.8670764,0.8716584,-11.938955,9.134321,-13.611876,0.46431217,-2.2433965,-0.28351456,7.398399,-3.5143712,20.149506,-42.872578,61.827465,0.5119218,-0.8130366,7.6142893,7.897305,-12.2532625,15.444621,54.68101,-12.436768,-2.6797173,-2.1491463
8,-2.2814414501190186,-0.4021844267845154,79.06059265136719,-0.03704132963234664,-3.6649419081043106,1.1730564329281707,5.4298077,3.16996,0.693519,10.360599,-12.849721,-5.1566634,6.1583047,0.80548835,-11.816066,10.07709,-14.074625,0.43426,-2.125077,-0.35010973,7.2727942,-3.5377064,20.22861,-42.762154,61.809452,0.52949524,-0.8062173,7.576397,7.824519,-12.193997,15.439303,54.653194,-12.470796,-2.6982007,-2.1406398
9,-2.3101649284362793,-0.4728783965110779,79.04708099365234,0.015230456778828418,-3.4452597438576285,1.033102704811198,5.1882987,3.20396,0.8336131,10.343646,-12.805386,-5.3093023,5.374826,0.71367455,-11.699572,11.129944,-14.555108,0.43501765,-2.0074258,-0.44186637,7.150425,-3.5621116,20.323034,-42.630226,61.789093,0.54808474,-0.798579,7.55,7.7383237,-12.128427,15.446122,54.621967,-12.58877,-2.7933848,-2.0947604
10,-2.345804214477539,-0.5380327105522156,79.03288269042969,0.08043948132777819,-3.212658456774017,0.8803070480052126,4.9082203,3.2289302,0.9851737,10.372271,-12.771812,-5.435147,4.5181336,0.6016213,-11.581762,12.291491,-15.062633,0.45595962,-1.8859823,-0.5490968,7.0300035,-3.5928001,20.42155,-42.4797,61.773266,0.56962705,-0.79106843,7.528347,7.6460047,-12.063489,15.4596405,54.581345,-12.763693,-2.9434543,-2.0218954
11,-2.382063150405884,-0.6094096899032593,79.01609802246094,0.14287373652365012,-2.987296276780367,0.7342253952326927,4.6121583,3.2631764,1.1291933,10.4458475,-12.755556,-5.5539503,3.6454203,0.49469247,-11.469757,13.503808,-15.556668,0.5017547,-1.7771313,-0.6594245,6.9272094,-3.627039,20.527094,-42.328117,61.76363,0.58493316,-0.7854956,7.5144944,7.5492916,-11.997169,15.47895,54.533237,-12.96367,-3.074321,-1.9616002
12,-2.4275357723236084,-0.6943725943565369,78.99517822265625,0.18680724706520543,-2.7898298085962234,0.6141099813754343,4.324128,3.324579,1.2469584,10.559945,-12.760607,-5.685431,2.8217633,0.41956854,-11.371794,14.691804,-15.993148,0.57748985,-1.6962607,-0.758785,6.8585057,-3.6621606,20.642946,-42.193333,61.759037,0.58533996,-0.78371954,7.511401,7.4528913,-11.925821,15.502836,54.47603,-13.156211,-3.1119814,-1.9520134
13,-2.4575865268707275,-0.7855122685432434,78.9770736694336,0.20335367440135405,-2.6235793191918617,0.5226960789641518,4.035212,3.424282,1.3341341,10.738672,-12.797791,-5.830903,2.0371404,0.38900152,-11.306676,15.882116,-16.361855,0.6679267,-1.6471878,-0.84029114,6.830985,-3.6994061,20.772366,-42.075108,61.756832,0.5670389,-0.78602517,7.525525,7.350287,-11.844079,15.532265,54.412056,-13.350607,-2.9853992,-2.029852
