Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.10836084932088852,1.6554664373397827,78.45112609863281,-0.6619471319351127,3.7321982232382718,-102.99420217175994,1.6416593,5.0997276,32.057415,6.5446744,-11.1046,-4.1138096,-8.839486,-4.1817107,-5.3460336,9.135909,-4.776038,3.6710865,-2.4878016,-1.9431996,2.4378765,3.5993285,15.501907,-32.691914,54.45502,0.019676799,12.043379,15.679576,-1.5082467,-12.161664,38.954758,58.882,-8.308847,7.0029893,-22.593063
1,0.0904347226023674,1.6471376419067383,78.45417022705078,-0.6729831095770847,3.7741707346872997,-102.90105345634673,1.5729525,5.117921,31.95942,6.5467257,-11.089371,-4.174695,-8.83865,-4.177547,-5.433284,9.091649,-4.764162,3.6738834,-2.5287206,-1.9272146,2.433911,3.5468519,15.505808,-32.69099,54.413757,-0.0405487,12.037699,15.714995,-1.4917092,-12.158334,38.956882,58.868576,-8.362159,7.0101933,-22.661684
2,0.0790327936410904,1.6413750648498535,78.45333862304688,-0.6859351971245802,3.8167718009508764,-102.80914266789908,1.503989,5.1379027,31.862429,6.5478864,-11.074397,-4.240767,-8.8362255,-4.170935,-5.51984,9.041691,-4.748672,3.6777775,-2.5674531,-1.9160615,2.4335108,3.4840615,15.521899,-32.69849,54.37446,-0.11696506,12.031482,15.753349,-1.4830084,-12.144739,38.959827,58.861755,-8.414829,7.016328,-22.737871
3,0.06401257961988449,1.6398636102676392,78.45225524902344,-0.6952065089350213,3.8577274181988543,-102.71457030201881,1.4363269,5.1542206,31.76301,6.5497675,-11.058462,-4.296226,-8.834784,-4.1688995,-5.6079993,8.999872,-4.7387404,3.679407,-2.6075308,-1.9070485,2.431766,3.4277656,15.535343,-32.69938,54.33463,-0.17484705,12.025619,15.783161,-1.462362,-12.133218,38.954777,58.84513,-8.472537,7.024343,-22.80107
4,0.04944990575313568,1.6417245864868164,78.44866180419922,-0.6959244363541357,3.8942214372479613,-102.61285423389651,1.3728594,5.1613708,31.657501,6.5529366,-11.040011,-4.3254056,-8.835113,-4.1782527,-5.700354,8.976391,-4.7411437,3.675437,-2.645757,-1.9071062,2.4364522,3.3617744,15.549794,-32.699867,54.30515,-0.20367196,12.020549,15.791154,-1.4473981,-12.121519,38.94667,58.828915,-8.512768,7.0352902,-22.83326
5,0.032200101763010025,1.641101360321045,78.45634460449219,-0.6838819593242192,3.921765628501464,-102.50013441627516,1.3180681,5.154949,31.542154,6.5582833,-11.017069,-4.3128324,-8.834691,-4.20505,-5.799452,8.980358,-4.762054,3.6631365,-2.6846225,-1.9258603,2.448856,3.3010032,15.570829,-32.687416,54.27565,-0.17381997,12.015213,15.76282,-1.4254166,-12.105302,38.918934,58.80218,-8.54989,7.0534005,-22.815542
6,0.012967115268111229,1.6461153030395508,78.46403503417969,-0.662659848064044,3.9430659759354096,-102.37961021049486,1.2691588,5.1388574,31.419954,6.5655313,-10.991334,-4.270752,-8.834069,-4.2440634,-5.9032907,9.003932,-4.795913,3.644884,-2.723735,-1.9588774,2.4693723,3.2345467,15.601913,-32.67463,54.249504,-0.11423918,12.009399,15.708541,-1.4139025,-12.08388,38.8876,58.779705,-8.570992,7.0758343,-22.76262
7,-0.01119440421462059,1.6422590017318726,78.46839141845703,-0.6398919747313366,3.9662173465434654,-102.25760601795812,1.2176118,5.120588,31.297144,6.5716314,-10.963457,-4.22498,-8.837152,-4.285676,-6.0080767,9.030484,-4.8326707,3.6250331,-2.7634234,-1.984651,2.486023,3.1626654,15.615056,-32.655453,54.239834,-0.042493105,12.005602,15.6536045,-1.384961,-12.075431,38.858307,58.74103,-8.588172,7.097535,-22.706179
8,-0.032301582396030426,1.643816351890564,78.4703598022461,-0.6229362292695522,3.9991333344520923,-102.14048752238699,1.1517304,5.110071,31.179853,6.5786157,-10.935598,-4.2017403,-8.850537,-4.319622,-6.1098027,9.048903,-4.864957,3.607545,-2.7868667,-2.0033643,2.504762,3.0856075,15.637043,-32.6428,54.2204,0.008394808,12.009473,15.615691,-1.3700483,-12.062945,38.835545,58.717747,-8.586847,7.108507,-22.676456
9,-0.0525718554854393,1.646945834159851,78.470703125,-0.6149577220037827,4.048636114041578,-102.02996256340597,1.0644593,5.1086454,31.069675,6.5826197,-10.906232,-4.2100024,-8.881428,-4.3430395,-6.207053,9.054595,-4.8889866,3.5905876,-2.8018029,-2.003791,2.5144272,3.0039644,15.655853,-32.636753,54.199062,0.030143484,12.024762,15.602019,-1.3476856,-12.053302,38.824665,58.694572,-8.56647,7.106874,-22.696774
10,-0.0633411779999733,1.6641103029251099,78.47314453125,-0.6114213919194063,4.108896934609871,-101.92269209313005,0.96245813,5.112142,30.963278,6.5846725,-10.874566,-4.2352133,-8.925283,-4.3612394,-6.3020277,9.056102,-4.9106183,3.5729272,-2.8082197,-1.9917748,2.5209088,2.9089198,15.66889,-32.638336,54.185703,0.03505129,12.047521,15.601138,-1.3297805,-12.047753,38.825752,58.676964,-8.52084,7.0967484,-22.745129
11,-0.08362097293138504,1.6660504341125488,78.47185516357422,-0.6093574429990256,4.169107307091512,-101.81775061424543,0.86075926,5.117772,30.860203,6.5866604,-10.843907,-4.267857,-8.964273,-4.3764925,-6.396309,9.04594,-4.9274135,3.559785,-2.806824,-1.9703125,2.5207083,2.8275661,15.672435,-32.6383,54.168026,0.03584087,12.072001,15.614025,-1.3116575,-12.046667,38.83282,58.670536,-8.479148,7.0827403,-22.786844
12,-0.10536046326160431,1.6635289192199707,78.4704360961914,-0.6051841526223416,4.2186240153018995,-101.71287284957562,0.7738963,5.1222777,30.758682,6.5894675,-10.81656,-4.2981515,-8.982962,-4.3918996,-6.4924264,9.020749,-4.938638,3.5563943,-2.7971342,-1.967098,2.5385401,2.7192264,15.684343,-32.63155,54.17499,0.025390266,12.087597,15.632751,-1.3041115,-12.044221,38.856396,58.664436,-8.444427,7.069109,-22.79908
13,-0.13024824857711792,1.661064863204956,78.47138977050781,-0.5968436329966311,4.250879531856239,-101.60857322762617,0.71209097,5.1227183,30.660698,6.591116,-10.79297,-4.3215504,-8.969599,-4.40888,-6.5903645,8.972931,-4.942957,3.569904,-2.7908978,-1.9723408,2.558345,2.6490283,15.699974,-32.60009,54.161808,0.01805309,12.0959,15.664617,-1.2968178,-12.042513,38.89905,58.66981,-8.43958,7.051171,-22.750519
14,-0.15270675718784332,1.6587660312652588,78.47341918945312,-0.5869175866809301,4.272798154958007,-101.50521771653916,0.6646231,5.1222973,30.565586,6.592337,-10.771593,-4.343946,-8.934915,-4.425181,-6.6896176,8.905923,-4.9405184,3.5955791,-2.781946,-1.9824388,2.5836263,2.587686,15.714999,-32.5538,54.149097,0.008908345,12.099681,15.708837,-1.2953687,-12.042667,38.958878,58.685207,-8.44684,7.028535,-22.665194
15,-0.178206205368042,1.6637599468231201,78.47057342529297,-0.5782030800855293,4.294166898770872,-101.40336459746885,0.6189304,5.1241474,30.471703,6.593896,-10.752035,-4.3714166,-8.894629,-4.4386888,-6.7889786,8.8295145,-4.9326267,3.6208665,-2.7756345,-1.9915272,2.6069741,2.5351944,15.731805,-32.495102,54.13378,-0.0049823807,12.099495,15.756757,-1.3040769,-12.044178,39.03492,58.710506,-8.461606,7.013182,-22.58007
16,-0.1981569230556488,1.6701761484146118,78.47195434570312,-0.5739056029142768,4.3247183785759304,-101.30352858166815,0.56358385,5.131487,30.37709,6.5939827,-10.732818,-4.4100943,-8.864844,-4.4463243,-6.88758,8.753241,-4.91989,3.633082,-2.767561,-1.9922284,2.6173258,2.494001,15.746304,-32.43117,54.11507,-0.017388206,12.096792,15.801845,-1.3058959,-12.045934,39.098896,58.73566,-8.502506,7.0170736,-22.53109
17,-0.2216055691242218,1.6701947450637817,78.47883605957031,-0.575766719748472,4.368067899026895,-101.20614938919634,0.49288243,5.147821,30.279703,6.5948267,-10.715901,-4.4699593,-8.850259,-4.445784,-6.9836817,8.678906,-4.90151,3.6263278,-2.7549195,-1.9816021,2.6079304,2.4626927,15.756783,-32.36618,54.09801,-0.028610917,12.086567,15.845096,-1.2914361,-12.046996,39.146,58.761322,-8.600262,7.0476713,-22.54465
18,-0.24998702108860016,1.679641604423523,78.47418975830078,-0.5818804471112446,4.4186454750894555,-101.11095161102797,0.41511476,5.1696477,30.181217,6.5952406,-10.701705,-4.544938,-8.842485,-4.439136,-7.0783386,8.602256,-4.877747,3.608207,-2.7466662,-1.9638654,2.589043,2.4477496,15.768667,-32.28425,54.072258,-0.036157258,12.069879,15.887408,-1.2909813,-12.047405,39.209766,58.804264,-8.718293,7.0970945,-22.596277
19,-0.27467262744903564,1.671913981437683,78.47982788085938,-0.5897164716136067,4.4724235535156485,-101.01694020879701,0.3337346,5.194155,30.084198,6.5953884,-10.686063,-4.617321,-8.835823,-4.4300385,-7.174613,8.520672,-4.8497553,3.5862653,-2.740803,-1.9423953,2.5641952,2.4410129,15.779495,-32.19691,54.04334,-0.048836872,12.057209,15.9274845,-1.2833903,-12.046631,39.2581,58.8393,-8.836347,7.1549444,-22.645012
20,-0.3019281029701233,1.6727421283721924,78.4817123413086,-0.5972776974494189,4.525354686235853,-100.92356452309376,0.25328007,5.217432,29.991943,6.5955477,-10.665654,-4.669284,-8.826612,-4.422684,-7.275185,8.435606,-4.8208294,3.5680616,-2.7272015,-1.9225867,2.5408278,2.4233582,15.787246,-32.123203,54.023457,-0.07797577,12.057914,15.964461,-1.2790227,-12.046049,39.279705,58.86498,-8.8987875,7.209556,-22.65094
21,-0.32422691583633423,1.6745930910110474,78.48591613769531,-0.6045437652089066,4.578670652401677,-100.82991611667464,0.1700425,5.2408137,29.905323,6.5983124,-10.637232,-4.691401,-8.814689,-4.4172816,-7.3841558,8.343872,-4.788805,3.5541215,-2.7322793,-1.8982409,2.5235758,2.4243853,15.795208,-32.022114,53.976475,-0.11543817,12.08377,15.993553,-1.285639,-12.045959,39.27906,58.87306,-8.890699,7.263284,-22.57799
22,-0.3487664759159088,1.6673259735107422,78.4896240234375,-0.6125993188805838,4.634091426219019,-100.73769333445762,0.084564224,5.264437,29.823568,6.6013203,-10.603392,-4.694646,-8.803758,-4.412393,-7.4977384,8.248321,-4.753724,3.5408633,-2.7317824,-1.8734401,2.504146,2.4203951,15.80068,-31.926123,53.933052,-0.17054638,12.12505,16.019592,-1.2835932,-12.046832,39.244602,58.86101,-8.840941,7.319908,-22.456684
23,-0.37173840403556824,1.665183186531067,78.495849609375,-0.620152775471198,4.6873170970752005,-100.64523833750425,0.0021066102,5.2870684,29.742931,6.6046696,-10.570737,-4.692135,-8.788146,-4.4082246,-7.612049,8.149444,-4.718997,3.529839,-2.7254457,-1.8487148,2.4835484,2.4090292,15.803455,-31.8521,53.902363,-0.23642181,12.165986,16.045479,-1.2870624,-12.048529,39.204872,58.85322,-8.764625,7.3730607,-22.344696
24,-0.39272862672805786,1.670046091079712,78.49408721923828,-0.6268202074936763,4.73338233628338,-100.55091114240699,-0.07041637,5.30755,29.659391,6.606877,-10.545593,-4.6969876,-8.761449,-4.404639,-7.7232914,8.0477495,-4.6877394,3.5224206,-2.7260926,-1.8243041,2.468035,2.4072866,15.805316,-31.783154,53.873444,-0.2806433,12.191327,16.066454,-1.2845618,-12.051373,39.163708,58.845036,-8.722177,7.416727,-22.295115
25,-0.40700384974479675,1.6970313787460327,78.49400329589844,-0.6321150687659108,4.768806545666465,-100.45430101607704,-0.12751745,5.324881,29.572607,6.609283,-10.533247,-4.714325,-8.71729,-4.401668,-7.8291097,7.9399834,-4.6614504,3.5192637,-2.7240102,-1.8017056,2.4541078,2.412507,15.805924,-31.739412,53.85447,-0.30835378,12.19763,16.086618,-1.2870541,-12.054408,39.13958,58.856945,-8.694849,7.4519215,-22.344131
26,-0.43825459480285645,1.6687028408050537,78.49397277832031,-0.6368812453451511,4.796647481842361,-100.35616743276393,-0.17350166,5.3400273,29.484331,6.6108823,-10.528383,-4.7366095,-8.660828,-4.398819,-7.932191,7.8284054,-4.638968,3.5193584,-2.728555,-1.7787607,2.4435782,2.429403,15.8056135,-31.699862,53.835304,-0.32043535,12.19331,16.102825,-1.2838295,-12.058153,39.114872,58.86879,-8.686538,7.481578,-22.45423
