Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,0.3909726142883301,-2.5630345344543457,76.34855651855469,3.0835167449901992,2.146956213281489,90.5928766217769,1.1199126,-3.7840562,4.003773,29.232006,-21.421633,-1.7418171,-22.212671,-11.79584,-4.3370843,77.19905,-15.940742,-4.426453,-9.6108675,-6.2032857,11.308152,11.757615,26.714085,-14.770172,-6.610044,7.726135,8.74602,11.978479,25.541895,-27.262495,30.710165,-4.0511346,-2.3407257,4.5926957,-6.7739644
1,0.4407130777835846,-1.2517950534820557,76.82951354980469,2.5696438635417973,2.513028954701613,90.51059984652419,2.255346,-3.171349,3.6193192,27.917551,-19.148823,-2.2584646,-22.761864,-10.328471,-4.671658,73.54785,-15.35351,-3.6567197,-10.154156,-5.6795607,10.899119,12.214477,26.798983,-15.023425,-7.8115497,6.7336636,7.266278,11.685173,26.42037,-27.333931,30.388107,-4.8796573,-2.630033,4.605395,-6.6491146
2,0.500177800655365,0.06629621237516403,77.3189697265625,2.0608620117039558,2.869889771416064,90.4229187924573,3.4111178,-2.5655882,3.213018,26.592815,-16.904392,-2.7845297,-23.30993,-8.893486,-4.972369,69.90349,-14.794447,-2.9258685,-10.668908,-5.173664,10.515853,12.657125,26.945791,-15.306248,-9.034296,5.651361,5.749498,11.4216,27.381691,-27.41198,30.023205,-5.797229,-2.942546,4.6143293,-6.5036063
3,0.5666495561599731,1.403125524520874,77.80730438232422,1.5787391079989195,3.2299249331635047,90.33621995121904,4.5049105,-1.988816,2.8153338,25.363129,-14.648602,-3.293878,-23.764992,-7.5163665,-5.2382607,66.103226,-14.203366,-2.162403,-11.160527,-4.683825,10.138781,13.1438,27.12523,-15.586682,-10.296538,4.645907,4.3291473,11.060886,28.31858,-27.486408,29.657362,-6.6918273,-3.1935034,4.6227336,-6.3836226
4,0.6336058378219604,2.7455389499664307,78.27879333496094,1.1462473084848988,3.60609479144282,90.25691140167913,5.466107,-1.4646308,2.455645,24.30763,-12.329673,-3.762386,-24.033453,-6.2194037,-5.4586473,61.977398,-13.517021,-1.2915945,-11.612071,-4.203837,9.748747,13.705441,27.312462,-15.862161,-11.598713,3.8746343,3.1421113,10.493949,29.150518,-27.547205,29.304245,-7.468084,-3.3012557,4.6343884,-6.3304205
5,0.700178861618042,4.102679252624512,78.73064422607422,0.7256571588731674,4.026444504967953,90.19329691808777,6.2466493,-0.9492252,2.137892,23.434517,-9.823229,-4.2301273,-24.075571,-4.96148,-5.6627817,57.357246,-12.685073,-0.25360504,-12.022198,-3.681252,9.32263,14.353006,27.486906,-16.121105,-12.946097,3.4094515,2.2337842,9.627009,29.874594,-27.582026,28.963238,-8.0747,-3.2079756,4.636861,-6.4062457
6,0.7519676685333252,5.467483997344971,79.15484619140625,0.324485320333793,4.475337858576613,90.14094736925247,6.901307,-0.45348164,1.8396289,22.695251,-7.1852794,-4.701813,-23.92799,-3.7504365,-5.8330836,52.32997,-11.735774,0.8925652,-12.4004755,-3.1350808,8.869596,15.058652,27.643337,-16.368553,-14.315462,3.1659324,1.524726,8.550708,30.50827,-27.588177,28.633453,-8.5423975,-2.9755683,4.6333137,-6.572385
7,0.7911889553070068,6.834975719451904,79.53717803955078,0.022168373835040077,4.900428308877991,90.0892433057068,7.5007854,-0.079486854,1.5603594,22.103653,-4.6372237,-5.0949974,-23.615993,-2.684747,-5.8942685,47.12357,-10.728569,2.0370297,-12.744578,-2.6644282,8.419817,15.801256,27.78991,-16.629486,-15.675526,3.0643394,0.9644361,7.4381967,31.014715,-27.5753,28.324574,-8.916583,-2.699594,4.650867,-6.718465
8,0.8380053639411926,8.217300415039062,79.8760757446289,-0.10113452028734753,5.249900112360514,90.02885367402418,8.115429,0.0768322,1.3129582,21.66733,-2.3956912,-5.3174696,-23.174093,-1.86369,-5.781431,41.985203,-9.733484,3.0697846,-13.053968,-2.3675025,8.00435,16.560242,27.94234,-16.92783,-16.996645,3.0228512,0.50307125,6.461034,31.363886,-27.562424,28.041992,-9.252099,-2.4736807,4.7179594,-6.733989
9,0.8819910883903503,9.598163604736328,80.16752624511719,0.013364026817819612,5.50997271802217,89.96685911329826,8.794977,-0.044528276,1.1264836,21.303064,-0.4248698,-5.2944694,-22.568777,-1.3285065,-5.4224634,36.83145,-8.70647,4.0035825,-13.3465185,-2.3063343,7.620059,17.368134,28.111107,-17.26181,-18.326342,3.0877233,0.18394308,5.611055,31.561,-27.566353,27.776676,-9.573057,-2.280205,4.8652124,-6.5638227
10,0.917921781539917,10.983104705810547,80.40988159179688,0.3203022937995441,5.706956421899548,89.91129181874382,9.501311,-0.3826926,1.0000162,21.013332,1.3761684,-5.077157,-21.787905,-1.0541625,-4.8742633,31.565346,-7.625916,4.8695784,-13.625145,-2.4256115,7.2546697,18.23886,28.29788,-17.613838,-19.681871,3.2817495,0.009258446,4.8177958,31.63265,-27.592794,27.525452,-9.871651,-2.078997,5.0711784,-6.2764997
11,0.9394340515136719,12.361601829528809,80.59548950195312,0.7270500184081546,5.850233078206809,89.85426019877511,10.178556,-0.8459705,0.9001455,20.919003,2.8963609,-4.759297,-20.915817,-1.0099816,-4.289182,26.442268,-6.5974007,5.6079416,-13.869821,-2.6420932,6.925902,19.124266,28.504982,-17.98383,-20.991623,3.4862208,-0.12402928,4.1573954,31.58103,-27.6419,27.306885,-10.156786,-1.9288752,5.286203,-5.946922
12,0.956192135810852,13.733795166015625,80.71467590332031,1.1419573355687809,5.950136747463087,89.78729683541194,10.76746,-1.3430326,0.7871728,21.14852,4.0164833,-4.437695,-20.054176,-1.1263344,-3.8313038,21.745213,-5.7294016,6.1865315,-14.058124,-2.8736084,6.6514473,19.969416,28.734564,-18.375751,-22.182783,3.579804,-0.31507465,3.7061505,31.405952,-27.708689,27.13931,-10.432042,-1.8890461,5.4592333,-5.649025
13,0.9804145693778992,15.090082168579102,80.77715301513672,1.5971840414939869,6.012057766685707,89.71095632822849,11.257932,-1.9087362,0.6370615,21.736172,4.5951962,-4.064034,-19.22086,-1.4096977,-3.5247755,17.453781,-5.0784283,6.645054,-14.19229,-3.1503017,6.4148006,20.76356,28.9934,-18.807512,-23.253397,3.5136514,-0.5881862,3.5076618,31.106619,-27.789766,27.027931,-10.703694,-2.0005188,5.58528,-5.367267
14,1.0056723356246948,16.425823211669922,80.78205871582031,2.133145489485623,6.027086986583252,89.6315512527559,11.683808,-2.5703745,0.46510282,22.620604,4.726179,-3.603211,-18.384485,-1.8556212,-3.315744,13.466605,-4.574404,7.0280848,-14.284835,-3.5139685,6.212767,21.531454,29.284431,-19.273024,-24.236002,3.3581667,-0.88925576,3.5129251,30.682198,-27.883812,26.963465,-10.964895,-2.223847,5.6873007,-5.072899
