Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-1.2149444818496704,0.8634666204452515,78.65299224853516,0.048992710943293674,4.359793821850805,89.14681098792991,0.40201804,2.1429813,7.0917425,7.0336347,-11.257661,-1.8713776,-1.3255252,-6.4140577,-9.551146,6.9449067,-10.163584,6.5565925,-1.328758,-0.6324052,5.420929,-0.0184722,16.218546,-41.483047,53.97066,5.1415863,3.623277,-2.421598,-1.3194251,-14.586317,40.600845,56.27877,8.609135,10.448337,-2.7037232
1,-1.260172724723816,0.9833049774169922,78.640625,0.04939077853957393,4.459751996146416,89.19157912084528,0.3882754,2.091326,7.04739,7.0363946,-11.371787,-1.8348494,-1.3186402,-6.4665337,-9.595113,6.9473743,-10.256557,6.6086535,-1.3207682,-0.68802977,5.4062886,0.06130841,16.23629,-41.298027,53.921696,5.0906463,3.63091,-2.3976443,-1.2203772,-14.610378,40.479294,56.120342,8.593227,10.454197,-2.7661529
2,-1.3101284503936768,1.1070172786712646,78.62670135498047,0.049206596063866015,4.560080316117449,89.23625941636327,0.37352243,2.0407944,7.0028944,7.039308,-11.48619,-1.7994593,-1.3124027,-6.517681,-9.63929,6.9493957,-10.348896,6.65957,-1.3100897,-0.7397898,5.388459,0.13355884,16.241783,-41.1191,53.88992,5.0397854,3.636156,-2.3683538,-1.1196023,-14.636872,40.35748,55.963936,8.5846195,10.46151,-2.8292994
3,-1.3585373163223267,1.2364308834075928,78.61138916015625,0.04950051826927801,4.659675056119045,89.28117865649841,0.36092114,1.9887098,6.9583178,7.0422845,-11.600571,-1.7620264,-1.3038199,-6.570483,-9.683874,6.9504247,-10.441468,6.712808,-1.3069948,-0.78690714,5.3807425,0.20675282,16.244934,-40.922127,53.84495,4.9938965,3.6439373,-2.348742,-1.0012093,-14.699348,40.239246,55.76086,8.566691,10.469884,-2.8884192
4,-1.404254674911499,1.3651169538497925,78.59623718261719,0.052899058184803366,4.757781408990059,89.32660661934781,0.35289982,1.9324489,6.9137363,7.0448904,-11.713795,-1.7194228,-1.2906559,-6.627557,-9.7289295,6.952581,-10.536897,6.7715206,-1.3032211,-0.8364142,5.376465,0.2690823,16.24259,-40.730797,53.79747,4.933543,3.659988,-2.3439913,-0.86407655,-14.7759075,40.12225,55.524857,8.525847,10.473153,-2.9474714
5,-1.4562809467315674,1.5001862049102783,78.58114624023438,0.05708379798612705,4.8536089052327265,89.37559986966086,0.35070574,1.8736616,6.8660836,7.047695,-11.826529,-1.6727829,-1.2700781,-6.687031,-9.7778,6.9541817,-10.636077,6.838682,-1.3059227,-0.8881373,5.377942,0.3273414,16.237415,-40.52401,53.73976,4.851893,3.685835,-2.366293,-0.70939845,-14.8636465,40.001232,55.255333,8.436649,10.469137,-2.9988866
6,-1.5095916986465454,1.6292389631271362,78.56566619873047,0.06157735343357721,4.947755772945778,89.42700875527815,0.3523408,1.8130713,6.816327,7.050584,-11.938676,-1.623117,-1.2443134,-6.748138,-9.829511,6.9557753,-10.7382965,6.9118505,-1.3138137,-0.9411661,5.3842344,0.3836597,16.231384,-40.30551,53.672405,4.75579,3.7189584,-2.4079018,-0.5405654,-14.962099,39.87744,54.958332,8.312898,10.460263,-3.0449862
7,-1.5592832565307617,1.7670989036560059,78.54969787597656,0.0694279897692991,5.04130098104627,89.4749741427767,0.3572275,1.7478015,6.7701488,7.053937,-12.050581,-1.5670301,-1.216871,-6.8139753,-9.878387,6.9577913,-10.840059,6.9861217,-1.3214611,-0.9977136,5.39474,0.43298268,16.22618,-40.09825,53.59749,4.666289,3.7578883,-2.4509306,-0.3650232,-15.071828,39.767387,54.639965,8.199511,10.449528,-3.0997639
8,-1.6161577701568604,1.9080774784088135,78.53319549560547,0.08167684718725822,5.1355104727275265,89.5135852472919,0.36507982,1.6753134,6.7330813,7.057002,-12.16232,-1.5013013,-1.1913356,-6.887465,-9.9188,6.9601097,-10.937584,7.0566783,-1.3234371,-1.0592605,5.4086356,0.46903884,16.22315,-39.92628,53.517757,4.602957,3.801036,-2.4774642,-0.18829912,-15.194011,39.685028,54.30481,8.138303,10.440571,-3.1771615
9,-1.6761492490768433,2.0480518341064453,78.51826477050781,0.09672091759925053,5.231552307396549,89.5436114464017,0.37479806,1.597053,6.703949,7.060462,-12.275471,-1.4217865,-1.1680069,-6.967232,-9.951939,6.962821,-11.034646,7.121541,-1.3151208,-1.1240841,5.4232197,0.49424592,16.222504,-39.788616,53.43708,4.532304,3.8440704,-2.4873004,-0.0065758205,-15.3298435,39.629013,53.95122,8.141619,10.436983,-3.282652
10,-1.7385393381118774,2.193079710006714,78.50389099121094,0.11338250994867614,5.328590147502316,89.5674699295306,0.3868484,1.5145403,6.6803856,7.0634975,-12.388714,-1.3313581,-1.1449021,-7.0510817,-9.9805355,6.9650607,-11.131179,7.1836033,-1.3002045,-1.1907116,5.440127,0.50918674,16.22472,-39.67704,53.35288,4.4542956,3.8890076,-2.4884627,0.18272988,-15.479554,39.59313,53.57517,8.186525,10.436178,-3.4080606
11,-1.8032914400100708,2.343177556991577,78.49057006835938,0.13351790843217093,5.42416124699999,89.58208317812904,0.4035255,1.4276534,6.6660175,7.067542,-12.5015955,-1.237492,-1.1222578,-7.139203,-10.002302,6.96801,-11.219444,7.2453027,-1.2850949,-1.2604886,5.465842,0.51262325,16.230734,-39.596203,53.25321,4.450223,3.9444754,-2.4758062,0.3718825,-15.643109,39.583153,53.179226,8.26309,10.431349,-3.5467877
12,-1.8673579692840576,2.48512864112854,78.47392272949219,0.16739363432782098,5.515839617983133,89.58390241368375,0.42800882,1.3259196,6.666566,7.070991,-12.611437,-1.1473976,-1.0991762,-7.242348,-10.01159,6.97069,-11.291013,7.308522,-1.2755224,-1.3453364,5.5061584,0.50620985,16.241295,-39.54789,53.12417,4.6048894,4.0191126,-2.4442613,0.55287915,-15.82028,39.60509,52.766056,8.360926,10.415852,-3.6922119
13,-1.9274121522903442,2.627774238586426,78.44876861572266,0.21948636018721593,5.608275437967907,89.57332790363057,0.45538148,1.2071007,6.6824875,7.0731926,-12.714467,-1.062888,-1.1127993,-7.370742,-10.004287,7.041882,-11.391346,7.3794923,-1.2753643,-1.4468386,5.5558853,0.49032325,16.256586,-39.54861,52.972973,4.9054756,4.1078677,-2.3662355,0.7197996,-16.011393,39.674526,52.341167,8.50729,10.378961,-3.8540184
14,-1.9881576299667358,2.7744808197021484,78.41789245605469,0.28550836183671924,5.701189000731727,89.55136406682448,0.48612523,1.0732579,6.71222,7.0738,-12.812513,-0.97996056,-1.1514797,-7.520447,-9.983443,7.1587543,-11.507785,7.4548635,-1.2802379,-1.562978,5.614007,0.4638474,16.27675,-39.592674,52.80338,5.3174205,4.209131,-2.2537603,0.87763447,-16.216665,39.784195,51.901672,8.697758,10.326787,-4.0317593
15,-2.0503406524658203,2.9232616424560547,78.3828353881836,0.3615516156610483,5.784307370462209,89.51706640899921,0.5306222,0.930151,6.755093,7.0755663,-12.912982,-0.8987367,-1.5499157,-7.744334,-9.905033,8.061491,-12.014509,7.524947,-1.2854913,-1.6901156,5.693993,0.4275833,16.302124,-39.647335,52.594097,5.8942623,4.3368816,-2.1620235,1.0379261,-16.434385,39.902775,51.43505,8.873015,10.278357,-4.2038436
