Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
0,-0.32051700353622437,-1.794073224067688,79.37030029296875,0.860589139656354,5.434830508477168,83.83957197885502,-2.106319,7.971403,-16.803282,48.889877,-0.60144293,3.4324312,-32.144848,-9.579487,4.674356,34.39774,0.14626053,-0.22703312,-18.035265,-0.027256673,2.451767,-1.1313252,37.56049,-2.922203,-46.57534,-31.48531,-3.6678348,-5.701141,46.47964,-17.00176,11.9388275,-21.158249,-2.4317994,-2.2139592,-1.3104713
1,0.5935503840446472,-0.9826277494430542,79.3500747680664,0.7637440760137544,5.410575472423146,83.68001787261,-3.1854823,7.803482,-17.446451,51.846657,0.21383107,3.7482028,-31.100107,-8.873144,4.237247,33.67521,0.8890608,1.050595,-17.761168,0.16519402,2.449177,-0.58140266,37.692413,-2.7482831,-46.725388,-31.101706,-3.7917786,-5.9552355,45.850605,-16.874214,12.174727,-21.760143,-2.2800708,-2.1941648,-0.93182737
2,1.5096698999404907,-0.18335765600204468,79.26493835449219,0.6794734573099531,5.397954982867841,83.52961723068269,-4.3120217,7.6450047,-18.072134,54.862625,1.1259894,4.123511,-30.060768,-8.153442,3.8610775,32.88266,1.8458446,2.4117434,-17.473352,0.32496578,2.430536,-0.05884223,37.88097,-2.5710933,-46.924206,-30.7421,-3.925818,-6.209434,45.238125,-16.647137,12.390024,-22.343044,-2.1698563,-2.1752794,-0.5086514
3,2.432434320449829,0.570531964302063,79.15618896484375,0.5974358347530435,5.356829827465093,83.3583639404762,-5.390947,7.453115,-18.714981,57.84991,1.7975293,4.4715967,-29.011524,-7.4396586,3.4574265,32.21757,2.3939004,3.606703,-17.130693,0.43221286,2.445141,0.46520102,38.09763,-2.461228,-47.03168,-30.37789,-4.057831,-6.429089,44.510487,-16.365253,12.643932,-22.830336,-2.0669918,-2.1633737,-0.12840597
4,3.3545937538146973,1.3297021389007568,78.95952606201172,0.513385798452001,5.246530756174876,83.1364125117895,-6.318348,7.165354,-19.41077,60.730316,1.8850732,4.677309,-27.941877,-6.7613096,2.920323,31.879353,1.9090192,4.384054,-16.706713,0.4677791,2.547301,1.0641111,38.30735,-2.4542398,-46.94511,-29.979986,-4.1732955,-6.587092,43.520645,-16.074772,13.0041895,-23.140652,-1.9395269,-2.164082,0.12041771
5,4.275228977203369,2.1007986068725586,78.67317199707031,0.44933059845141404,5.035772326544779,82.8577480539499,-6.9888673,6.6908326,-20.193714,63.47782,1.1973584,4.667644,-26.807,-6.184788,2.131944,31.965778,-0.07296883,4.6285386,-16.2077,0.40998006,2.7523682,1.7992817,38.489014,-2.544789,-46.668793,-29.545351,-4.249314,-6.686593,42.26677,-15.810562,13.493976,-23.2811,-1.7533597,-2.1874995,0.17133993
6,5.186768054962158,2.877164840698242,78.3175048828125,0.3985573223642491,4.753374240651726,82.5374330883434,-7.46601,6.072143,-21.024618,66.14429,-0.059418246,4.488373,-25.629633,-5.6635714,1.1834818,32.353424,-3.1226416,4.502393,-15.667574,0.29762277,3.032052,2.654241,38.635147,-2.6863742,-46.264606,-29.079512,-4.2964168,-6.749101,40.823166,-15.582801,14.080639,-23.307007,-1.5154129,-2.2264977,0.07461294
7,6.105856895446777,3.6255009174346924,77.9417724609375,0.3118037432058846,4.4489450657287115,82.1768589815197,-7.9049625,5.441915,-21.831694,68.78012,-1.6328589,4.197848,-24.507765,-5.064817,0.28188628,32.921688,-6.528015,4.1650925,-15.100497,0.20179084,3.374102,3.5924287,38.73307,-2.8505778,-45.721684,-28.566685,-4.3445044,-6.7739706,39.154392,-15.389383,14.74383,-23.21117,-1.2589014,-2.2611783,-0.0811991
8,7.036389350891113,4.3451128005981445,77.54522705078125,0.14103589810744233,4.171473539751623,81.77853931688378,-8.465323,4.9348097,-22.551893,71.42741,-3.2656438,3.858605,-23.540194,-4.2751236,-0.38230205,33.5517,-9.579627,3.760921,-14.514959,0.19056398,3.7629316,4.5631356,38.767075,-3.0216026,-45.021397,-27.98993,-4.422772,-6.7608085,37.228962,-15.2205105,15.454497,-22.987091,-1.0205486,-2.2710524,-0.20571996
9,7.948418617248535,5.044556140899658,77.1187973022461,-0.13744859013818328,3.9198515607186932,81.32431195429847,-9.141874,4.5936685,-23.17567,74.0798,-4.957595,3.463851,-22.711699,-3.2420897,-0.70873356,34.16487,-12.212748,3.2795947,-13.901715,0.29175156,4.202292,5.5678906,38.723198,-3.2003064,-44.14422,-27.269974,-4.5093694,-6.7421937,35.03535,-15.058423,16.193104,-22.628664,-0.84299374,-2.230269,-0.24815829
